,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-12,204.44M,,-7.42M,16.46M,26.93M,43.40M,43.40M,1.957M,32.68M,32.68M,,,-68.72M,66.19M,426.24M,,-31.08M,,,213.20M,982.59M,19.62M,221.70M,,-1.115B,-291.76M,-1.407B,,,,,0.00,-84.18M,-10.06M,-94.23M,35.73M,-803.52M,,1.089B,-155.57M,933.76M,,,,-2.638B,,72.84M,130.48M,,AOR,Restated
2010-09,192.02M,,-4.426M,17.17M,27.54M,44.71M,44.71M,72.03M,68.43M,16.92M,,,-260.79M,-193.62M,220.63M,,-15.88M,23.40M,0.095M,0.00,27.62M,-111.60M,9.694M,,-292.72M,-947.27M,-1.240B,,,,,0.00,-84.04M,-10.06M,-94.09M,2.145M,-196.89M,,1.056B,33.44M,1.089B,,,,-9.099M,,69.70M,112.08M,,AOR,Restated
2010-06,188.75M,,-0.041M,16.84M,29.10M,45.93M,45.93M,-22.92M,-27.82M,61.67M,,,296.83M,44.60M,375.17M,,-12.87M,-23.40M,-0.038M,0.00,-2.973M,93.71M,291.67M,,-853.51M,288.21M,-565.30M,,,,,0.00,-83.79M,-10.06M,-93.84M,16.05M,-654.62M,,1.044B,12.22M,1.056B,,,,-1.137B,,130.95M,126.77M,,AOR,Restated
2010-03,150.96M,,1.461M,17.21M,31.12M,48.33M,48.33M,,27.82M,-10.16M,,,77.97M,330.20M,653.60M,,-10.63M,,-0.057M,,-585.46M,-10.30M,-47.66M,,-252.88M,-571.83M,-824.71M,,,,,,-83.30M,-10.06M,-93.36M,15.45M,-808.62M,,1.246B,-202.67M,1.044B,,,,-252.88M,,14.25M,121.44M,,AOR,Restated
2009-12,136.82M,,0.161M,21.35M,32.00M,53.35M,53.35M,-0.403M,,39.40M,,,-203.36M,-260.46M,113.87M,,-31.30M,27.66M,,0.00,-237.04M,-110.86M,-178.08M,,-88.29M,-484.76M,-573.05M,,,,,,-83.16M,-10.06M,-93.21M,6.954M,-63.16M,,1.374B,-127.37M,1.246B,,,,-573.05M,,11.39M,178.52M,,AOR,Restated
2009-09,127.66M,,-0.11M,16.20M,32.42M,48.62M,48.62M,20.43M,,51.38M,,,259.03M,259.03M,661.02M,,-9.711M,-10.01M,0.298M,58.98M,866.82M,2.127M,1.231B,,-1.301B,-25.38M,-1.326B,,,,,,-82.53M,-10.06M,-92.58M,-6.931M,-1.670B,,1.151B,222.99M,1.374B,,,,-1.326B,,-1.394M,173.91M,,AOR,Restated
2009-06,51.19M,,-0.139M,13.82M,30.78M,44.59M,44.59M,74.42M,,46.82M,-12.42M,-36.62M,25.06M,-23.98M,339.90M,,-7.414M,-7.405M,-0.009M,144.01M,587.90M,29.44M,870.04M,,-480.78M,132.81M,-347.97M,,,,,,-82.28M,-7.50M,-89.78M,2.751M,-1.213B,,1.154B,-2.917M,1.151B,,,,-347.97M,,9.551M,351.74M,,AOR,Restated
2009-03,64.22M,,,13.04M,31.32M,44.36M,44.36M,-11.95M,,33.62M,12.42M,36.62M,-262.69M,-213.65M,74.60M,,-10.54M,-10.25M,-0.289M,,517.41M,-12.77M,578.26M,,-520.55M,-367.92M,-888.47M,,,,,,-77.74M,-4.333M,-82.08M,6.382M,-1.067B,,1.568B,-414.51M,1.154B,,,,-888.47M,,,,,AOR,Restated
2008-12,102.24M,,1.241M,53.42M,132.37M,45.61M,45.61M,39.14M,,-158.10M,,,326.64M,-107.48M,334.65M,,-30.47M,-6.119M,-24.35M,,117.15M,2.483B,-304.23M,,-540.25M,80.53M,-459.73M,,,,,,-308.50M,0.00,-77.23M,9.34M,150.21M,,1.388B,180.63M,1.568B,,,0.00,-3.352B,,290.32M,1.363B,,AOR,Restated
2008-09,91.18M,,3.406M,,,46.14M,46.14M,-41.84M,,177.42M,,,,173.13M,449.44M,,-26.18M,-26.18M,,,315.01M,-345.74M,-56.90M,,-300.75M,-832.17M,-1.133B,,,,,,,,-77.15M,-9.871M,-643.52M,,1.639B,-250.99M,1.388B,,,200.00M,-500.75M,,,,,,
