,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,204.98M,,-1.087M,,,41.73M,41.73M,-7.443M,,507.43M,,,,-40.10M,705.51M,,-11.38M,-11.38M,,,-72.32M,-632.78M,-716.47M,,-650.26M,954.66M,304.40M,,-101.86M,,,,,,-50.64M,23.30M,78.94M,,1.422B,67.98M,1.490B,,,0.00,-650.26M,,,,,,
2005-09,191.07M,,-2.806M,,,42.94M,42.94M,-18.40M,,-1.047B,,,,416.08M,-417.91M,,-8.71M,-8.71M,,,31.51M,168.16M,190.96M,,550.08M,-86.72M,463.36M,,-155.20M,,,,,,-50.98M,17.29M,171.37M,,1.478B,-55.58M,1.422B,,,1.000B,-450.26M,,,,,,
2005-06,196.83M,,-4.57M,,,43.12M,43.12M,-62.23M,,-14.23M,,,,-462.46M,-303.53M,,-3.108M,-3.108M,,,399.35M,-358.84M,37.40M,,25.58M,-596.67M,-571.08M,,-63.78M,,,,,,-51.26M,46.63M,373.08M,,1.371B,106.96M,1.478B,,,401.32M,-375.74M,,,,,,
2005-03,189.29M,,-1.231M,,,45.96M,45.96M,,,15.73M,,,,64.57M,314.31M,,-3.349M,-3.349M,,,-275.72M,-809.04M,-1.088B,,-50.81M,178.96M,128.14M,,-188.77M,,,,,,-45.74M,19.76M,781.11M,,1.364B,7.306M,1.371B,,,400.00M,-450.81M,,,,,,
2004-12,192.20M,,-0.636M,,,46.39M,46.39M,-31.79M,,-57.60M,,,,17.90M,166.46M,,-12.01M,-12.01M,,,-72.85M,-469.24M,-554.10M,,639.82M,-946.86M,-307.04M,,-151.62M,,,,,,-46.29M,38.53M,-8.634M,,1.760B,-396.26M,1.364B,,,700.00M,-60.18M,,,,,,
2004-09,186.44M,,-0.30M,,,48.09M,48.09M,-54.85M,,-58.98M,,,,-28.99M,91.41M,,-7.93M,-7.93M,,,-238.57M,-321.56M,-568.07M,,-124.63M,788.17M,663.54M,,-135.26M,,,,,,-46.64M,25.64M,531.20M,,1.706B,54.55M,1.760B,,,0.55M,-125.18M,,,,,,
2004-06,184.38M,,-3.151M,,,49.95M,49.95M,-23.95M,,67.40M,,,,-97.03M,177.60M,,-7.028M,-7.028M,,,-618.41M,-1.159B,-1.785B,,110.35M,-93.23M,17.12M,,-161.21M,,,,,,-47.09M,-32.92M,1.395B,,1.918B,-212.46M,1.706B,,,400.00M,-289.65M,,,,,,
2004-03,159.49M,,-3.04M,,,51.64M,51.64M,-27.37M,,21.95M,,,,86.22M,288.89M,,-4.813M,-4.813M,,,-339.34M,-707.12M,-1.051B,,199.34M,513.36M,712.71M,,-162.18M,,,,,,-47.64M,48.21M,780.58M,,1.900B,18.19M,1.918B,,,300.11M,-100.77M,,,,,,
2003-12,166.90M,,-3.834M,,,52.83M,52.83M,-25.10M,,204.36M,,,,-66.49M,328.66M,,-8.321M,-8.321M,,0.00,-161.35M,-90.58M,-260.25M,,-675.23M,-460.99M,-1.136B,,,,,,,,-36.02M,15.47M,-449.61M,,2.281B,-381.19M,1.900B,,,0.00,-675.23M,,,,,,
2003-09,156.46M,,-0.422M,,,51.97M,51.97M,-45.21M,,200.77M,,,,110.04M,473.62M,,-11.07M,-11.07M,,0.999M,-49.34M,-305.55M,-364.96M,,-541.22M,271.92M,-269.31M,,,,,,,,-35.92M,16.52M,-405.09M,,2.577B,-296.44M,2.281B,,,0.00,-541.22M,,,,,,
2003-06,134.04M,,-0.415M,,,54.17M,54.17M,21.88M,,-105.19M,,,,-44.74M,59.73M,,-9.198M,-9.198M,,2.134B,-468.59M,-410.51M,1.246B,,119.37M,633.51M,752.89M,,,,,,,,-35.79M,24.93M,429.25M,,842.89M,1.735B,2.577B,,,300.00M,-180.63M,,,,,,
2003-03,116.54M,,0.228M,,,32.69M,32.69M,-12.48M,,190.50M,,,,46.65M,374.13M,,-3.044M,-3.044M,,,-201.23M,-694.58M,-898.85M,,897.81M,-1.042B,-144.56M,,,,,,,,-27.70M,-3.806M,83.48M,,1.284B,-441.24M,842.89M,,,999.57M,-101.76M,,,,,,
2002-12,125.82M,,,,,32.33M,32.33M,1.635M,,-10.84M,,,,-33.30M,115.64M,,-5.059M,-5.059M,,-2.65M,1.226B,-393.67M,824.26M,,182.94M,-381.33M,-198.39M,,0.00,,,,,,-27.59M,9.282M,-1.091B,,1.436B,-151.58M,1.284B,,,400.40M,-217.47M,,,,,,
2002-09,117.22M,,-0.205M,,,32.60M,32.60M,-14.73M,,-288.83M,,,,10.15M,-143.80M,,-6.037M,-6.037M,,2.00M,-1.208B,-426.14M,-1.638B,,99.44M,1.566B,1.666B,,-31.58M,,,,,,-22.93M,15.28M,2.309B,,908.42M,527.29M,1.436B,,,200.00M,-100.56M,,,,,,
2002-06,121.49M,,0.515M,,,32.87M,32.87M,-2.529M,,198.46M,,,,-93.43M,257.38M,,-3.229M,-3.229M,,-2.00M,-66.09M,-611.88M,-683.20M,,99.92M,101.37M,201.29M,,-109.42M,,,,,,-23.10M,13.30M,318.35M,,1.016B,-107.48M,908.42M,,,100.79M,-0.871M,,,,,,
2002-03,120.56M,,-0.31M,,,31.99M,31.99M,-9.837M,,213.21M,,,,53.59M,409.20M,,-2.51M,-2.51M,,,144.21M,-228.01M,-86.31M,,648.21M,-902.87M,-254.66M,,-99.32M,,,,,,-23.23M,19.27M,-313.74M,,1.007B,9.144M,1.016B,,,700.00M,-51.79M,,,,,,
2001-12,101.73M,,,,,47.68M,47.68M,-0.97M,,-172.32M,,,,2.672M,-21.21M,,-7.393M,-7.393M,,-61.74M,97.12M,-54.66M,-26.67M,,-153.43M,-541.40M,-694.83M,,-80.90M,,,,,,-23.47M,3.613M,267.00M,,787.63M,219.12M,1.007B,,,0.00,-153.43M,,,,,,
2001-09,97.87M,,,,,49.70M,49.70M,-5.624M,,81.75M,,,,-10.98M,212.72M,,-6.246M,-6.246M,,56.25M,272.80M,-296.14M,26.67M,,-114.98M,-384.19M,-499.16M,,-160.54M,,,,,,-23.97M,11.99M,-195.22M,,743.46M,44.16M,787.63M,,,25.00M,-139.98M,,,,,,
2001-06,94.81M,,-1.559M,,,49.05M,49.05M,-9.954M,,-193.42M,,,,-28.42M,-89.50M,,-6.608M,-6.608M,,-8.904M,309.90M,-394.75M,-100.36M,,236.09M,1.027B,1.263B,,-82.30M,,,,,,-24.26M,13.58M,236.09M,,697.22M,46.24M,743.46M,,,350.45M,-114.36M,,,,,,
2001-03,83.67M,,1.559M,,,47.51M,47.51M,-5.077M,,-79.52M,,,,4.146M,52.29M,,-3.491M,-3.491M,,-47.34M,93.27M,-387.17M,-344.73M,,49.15M,835.99M,885.14M,,,,,,,,-24.17M,2.762M,222.15M,,767.52M,-70.30M,697.22M,,,100.00M,-50.85M,,,,,,
2000-12,71.97M,,,,,43.74M,43.74M,7.803M,,-40.20M,,,,-6.429M,76.88M,,-7.494M,-7.494M,,4.303M,706.73M,-348.04M,355.50M,,949.67M,-1.549B,-599.71M,,0.00,,,,,,-23.24M,25.43M,-228.21M,,563.34M,204.18M,767.52M,,,949.65M,0.023M,,,,,,
2000-09,74.42M,,,,,27.36M,27.36M,-6.746M,,-1.191M,,,,21.42M,115.26M,,-7.799M,-7.799M,,0.00,89.68M,-392.63M,-310.75M,,19.20M,668.41M,687.61M,,0.00,,,,,,-9.595M,12.66M,149.60M,,609.23M,-45.90M,563.34M,,,50.00M,-30.80M,,,,,,
2000-06,71.54M,,,,,26.80M,26.80M,-5.138M,,-97.74M,,,,-11.27M,-15.81M,,-1.473M,-1.473M,,0.00,189.60M,-206.52M,-18.40M,,0.418M,-463.63M,-463.21M,,-22.58M,,,,,,-9.555M,-1.403M,-424.70M,,1.068B,-458.92M,609.23M,,,1.246M,-0.828M,,,,,,
2000-03,68.24M,,,,,26.23M,26.23M,-1.83M,,90.39M,,,,-12.71M,170.31M,,-2.018M,-2.018M,,-4.303M,-174.48M,-405.59M,-586.40M,,-0.621M,514.39M,513.77M,,-32.36M,,,,,,-9.596M,-1.849M,247.93M,,1.236B,-168.16M,1.068B,,,,-0.621M,,,,,,
1999-12,66.10M,,,,,26.70M,26.70M,3.60M,,-73.00M,,,,17.30M,40.70M,,-11.70M,-11.70M,,,43.60M,-477.40M,-445.50M,,0.30M,724.20M,724.50M,,-73.60M,,,,,,-9.70M,7.90M,606.40M,,1.035B,201.50M,1.236B,,,0.80M,-0.50M,,,,,,
1999-09,67.60M,,,,,24.40M,24.40M,-2.70M,,297.90M,,,,-220.10M,167.10M,,47.10M,47.10M,,,110.90M,39.50M,197.50M,,-46.60M,-96.80M,-143.40M,,-5.40M,,,,,,-9.80M,-7.70M,-291.70M,,961.90M,73.00M,1.035B,,,54.00M,-100.60M,,,,,,
1999-06,65.00M,,,,,23.10M,23.10M,1.60M,,-31.60M,,,,160.60M,218.70M,,-54.90M,-54.90M,,,133.30M,-352.60M,-274.20M,,85.20M,207.40M,292.60M,,-0.70M,,,,,,-7.90M,6.20M,211.00M,,806.30M,155.60M,961.90M,,,146.00M,-60.80M,,,,,,
1999-03,66.90M,,,,,22.80M,22.80M,-0.70M,,49.20M,,,,41.90M,180.10M,,-3.40M,-3.40M,,,691.20M,-158.80M,529.00M,,149.50M,-510.40M,-360.90M,,-0.10M,,,,,,-7.70M,4.00M,-625.60M,,722.90M,83.40M,806.30M,,,153.20M,-3.70M,,,,,,
1998-12,57.90M,,,,,22.40M,22.40M,-0.80M,,149.10M,,,,-195.10M,33.50M,,0.40M,0.40M,,,-346.70M,-523.50M,-869.80M,,374.40M,397.80M,772.20M,,-96.30M,,,,,,-7.70M,4.90M,1.016B,,542.60M,180.30M,722.90M,,,375.00M,-0.60M,,,,,,
1998-09,56.40M,,,,,22.90M,22.90M,4.10M,,-129.80M,,,,143.10M,96.70M,,-4.20M,-4.20M,,,260.00M,58.60M,314.40M,,499.10M,-727.70M,-228.60M,,-60.80M,,,,,,-8.00M,-1.00M,-716.20M,,0.00,-305.10M,542.60M,,,500.00M,-0.90M,,,,,,
1998-06,44.70M,,,,,22.80M,22.80M,-2.20M,,15.50M,,,,-91.60M,-10.80M,,-9.80M,-9.80M,,,400.90M,-372.80M,18.30M,,-1.20M,304.30M,303.10M,,-58.10M,,,,,,-8.00M,0.90M,200.50M,,0.00,207.90M,0.00,,,,-1.20M,,,,,,
1998-03,49.00M,,,,,11.50M,11.50M,-4.10M,,12.20M,,,,-151.40M,-82.80M,,-3.20M,-3.20M,,,173.80M,-419.80M,-249.20M,,-0.40M,674.40M,674.00M,,-16.60M,,,,,,-5.30M,11.30M,584.90M,,386.90M,252.90M,0.00,,,,-0.40M,,,,,,
1997-12,46.30M,,,,,16.60M,16.60M,4.10M,,-12.60M,,,,,53.40M,,-5.80M,-5.80M,,,33.70M,-326.50M,-298.60M,,-250.10M,301.30M,51.20M,,0.00,,,,,,-5.30M,253.40M,250.80M,,0.00,5.50M,386.90M,,,-250.00M,-0.10M,,,,,,
1997-09,45.80M,,,,,8.70M,8.70M,-6.30M,,60.00M,,,,,108.20M,,-1.80M,-1.80M,,,17.90M,-342.10M,-326.00M,,250.00M,157.30M,407.30M,,-19.10M,,,-250.00M,,,-5.20M,2.90M,153.70M,,0.00,-64.00M,0.00,,,250.00M,0.00,,,,,,
1997-06,42.80M,,,,,8.70M,8.70M,-4.10M,,-4.90M,,,,,42.50M,,-3.70M,-3.70M,,,-44.10M,-156.10M,-203.90M,,0.00,-512.70M,-512.70M,,-19.20M,,,100.00M,,,-5.30M,-5.70M,209.10M,,0.00,47.70M,0.00,,,,0.00,,,,,,
1997-03,41.30M,,,,,8.40M,8.40M,-1.00M,,106.60M,,,,,155.30M,,-2.00M,-2.00M,,,-131.90M,-56.10M,-190.00M,,-0.10M,-23.80M,-23.90M,,-29.50M,,,150.00M,,,-5.40M,3.60M,-17.60M,,450.00M,-52.30M,0.00,,,,-0.10M,,,,,,
1996-12,40.40M,,,,,13.30M,13.30M,-3.90M,,13.20M,,,,1.00M,64.00M,,-8.50M,-8.50M,,,124.30M,-201.90M,-86.10M,,-10.20M,123.10M,112.90M,,-16.70M,,,,,,-4.70M,-1.30M,49.80M,,0.00,27.80M,0.00,,,,-10.20M,,,,,,
1996-09,35.90M,,,,,8.00M,8.00M,6.20M,,47.20M,,,,-4.50M,92.80M,,-4.90M,-4.90M,,,139.80M,-425.50M,-290.60M,,-2.10M,-116.60M,-118.70M,,-21.20M,,,,,,-4.70M,4.70M,220.70M,,0.00,22.80M,0.00,,,,-2.10M,,,,,,
1996-06,38.60M,,,,,7.60M,7.60M,-1.70M,,5.90M,,,,2.00M,52.40M,,-3.20M,-3.20M,,,281.80M,-202.10M,76.50M,,-0.20M,-612.90M,-613.10M,,-14.50M,,,,,,-4.80M,3.70M,-155.30M,,0.00,-26.40M,0.00,,,,-0.20M,,,,,,
1996-03,36.20M,,,,,7.40M,7.40M,-4.50M,,-14.10M,,,,,25.00M,,-3.70M,-3.70M,,,-346.70M,-276.90M,-627.30M,,-2.40M,461.10M,458.70M,,-28.40M,,,,,,-5.30M,-9.50M,664.00M,,364.10M,61.70M,0.00,,,,-2.40M,,,,,,
1995-12,36.80M,1.00M,1.00M,,,17.70M,17.70M,2.10M,,27.60M,,,,,73.10M,,-7.00M,-7.00M,,,195.90M,-365.00M,-176.10M,,-3.40M,-125.20M,-128.60M,,-3.30M,,,,,,-5.40M,-4.40M,157.10M,,0.00,54.10M,0.00,,,0.00,-3.40M,,,,,,
1995-09,35.60M,28.90M,29.20M,,,4.90M,4.90M,-2.00M,,-24.20M,,,,,43.50M,,-4.60M,-4.60M,,,199.60M,-218.80M,-23.80M,,100.00M,-324.50M,-224.50M,,-11.40M,,,,,,-4.80M,3.20M,-18.10M,,0.00,1.50M,0.00,,,100.00M,0.00,,,,,,
1995-06,31.40M,1.40M,1.30M,,,4.70M,4.70M,-2.50M,,-61.80M,,,,,-26.90M,,-3.20M,-3.20M,,,-77.30M,-307.00M,-387.50M,,-0.10M,479.30M,479.20M,,-10.70M,,,,,,-4.70M,3.40M,288.20M,,0.00,-126.20M,0.00,,,,-0.10M,,,,,,
1995-03,27.20M,-31.30M,-31.50M,,,4.80M,4.80M,-5.00M,,23.30M,,,,,18.80M,,-2.70M,-2.70M,,,-225.30M,-367.30M,-595.30M,,,-154.20M,-154.20M,,-12.00M,,,,,,-4.90M,1.00M,630.30M,,380.90M,53.90M,0.00,,,,,,,,,,
1994-12,31.90M,4.40M,-0.30M,,,4.30M,4.30M,17.40M,,154.80M,,,,-145.60M,62.50M,,-3.30M,-3.30M,,,611.20M,-592.20M,15.70M,,0.00,-755.70M,-755.70M,,-4.30M,,,,,,-4.80M,2.50M,-357.70M,,0.00,-279.50M,0.00,,,,0.00,,,,,,
1994-09,29.10M,,,,,4.40M,4.40M,-4.70M,,16.80M,,,,23.00M,68.60M,,-1.50M,-1.50M,,,-409.80M,627.50M,216.20M,,0.00,-122.40M,-122.40M,,-17.60M,,,,,,-4.90M,-2.80M,-61.10M,,0.00,223.60M,0.00,,,,0.00,,,,,,
1994-06,28.70M,1.40M,3.50M,,,4.60M,4.60M,-5.10M,,-112.50M,,,,120.50M,39.70M,,0.90M,0.90M,,,139.20M,-584.50M,-444.40M,,-0.10M,12.20M,12.10M,,-15.80M,,,,,,-4.30M,-0.50M,-61.70M,,0.00,-466.20M,0.00,,,,-0.10M,,,,,,
1994-03,27.60M,-1.40M,-3.50M,,,4.30M,4.30M,-10.50M,,146.40M,,,,2.10M,166.40M,,-3.00M,-3.00M,,,240.30M,-48.20M,189.10M,,,58.10M,58.10M,,-6.30M,,,,,,-4.30M,-1.10M,22.30M,,525.20M,377.70M,0.00,,,,,,,,,,
1993-12,26.60M,,,,,4.10M,4.10M,-3.10M,,-47.20M,,,,,23.20M,,-6.60M,-6.60M,,,257.70M,-147.00M,104.10M,,0.00,-400.20M,-400.20M,,,,,,,,-4.40M,-3.50M,-592.50M,,0.00,-465.30M,0.00,,,,0.00,,,,,,
1993-09,25.90M,,,,,4.10M,4.10M,-9.30M,,80.30M,,,,9.50M,110.50M,,-5.90M,-5.90M,,,107.80M,-58.30M,43.60M,,-0.10M,504.60M,504.50M,,,,,,,,-4.30M,-13.30M,434.00M,,0.00,588.20M,0.00,,,,-0.10M,,,,,,
1993-06,25.20M,,,,,3.90M,3.90M,-4.10M,,-65.50M,,,,-68.70M,-109.20M,,-5.40M,-5.40M,,,-1.015B,18.40M,-1.002B,,,222.60M,222.60M,,,,,,,,-4.40M,0.40M,22.20M,,0.00,-1.089B,0.00,,,,,,,,,,
1993-03,24.30M,,,,,4.10M,4.10M,-7.20M,,79.90M,,,,59.20M,160.30M,,-4.40M,-4.40M,,,-8.20M,-26.60M,-39.20M,,,1.082B,1.082B,,,,,,,,-3.60M,3.50M,793.10M,,577.00M,914.10M,0.00,,,,,,,,,,
1992-12,21.60M,,-34.80M,,,27.10M,27.10M,-2.80M,,-206.30M,,,,212.60M,17.40M,,-5.00M,-5.00M,,,168.90M,-107.70M,56.20M,,73.60M,-650.20M,-576.60M,,,,,,,,-3.60M,-26.10M,-687.20M,,0.00,-613.60M,0.00,,,,-1.40M,,,,,,
1992-09,21.00M,,,,,3.40M,3.40M,-7.10M,,147.80M,,,,16.70M,181.80M,,-19.20M,-19.20M,,,146.10M,68.60M,195.50M,,0.00,421.40M,421.40M,,,,,,,,-3.60M,45.80M,184.80M,,0.00,562.20M,0.00,,,,0.00,,,,,,
1992-06,27.80M,51.70M,51.70M,,,2.70M,2.70M,-8.60M,,90.60M,,,,-16.70M,147.50M,,-3.40M,-3.40M,,,402.20M,-198.90M,199.90M,,-0.20M,-231.40M,-231.60M,,,,,,,,-3.60M,-2.30M,-270.20M,,0.00,77.10M,0.00,,,,-0.20M,,,,,,
1992-03,27.50M,-51.70M,-51.70M,,,2.90M,2.90M,-9.40M,,1.30M,,,,,-29.40M,,-4.70M,-4.70M,,,321.20M,126.80M,443.30M,,,121.90M,121.90M,,,,,,,,-3.60M,-9.00M,-199.20M,,336.50M,214.70M,0.00,,,,,,,,,,
1991-12,18.20M,-156.70M,-164.50M,,,2.60M,2.60M,-1.30M,,8.00M,,,,158.00M,21.00M,,-12.90M,-12.90M,,,-384.60M,-29.20M,-426.70M,,-0.80M,554.60M,553.80M,,,,,0.00,,,-3.20M,6.30M,375.40M,,0.00,-30.20M,0.00,,,,-0.80M,,,,,,
1991-09,17.40M,30.10M,30.10M,,,2.70M,2.70M,-0.40M,,-1.40M,,,,-12.20M,36.20M,,-7.80M,-7.80M,,,399.50M,328.40M,720.10M,,0.00,-450.80M,-450.80M,,,,,0.00,,,-3.30M,-1.40M,-897.00M,,0.00,-140.80M,0.00,,,,0.00,,,,,,
1991-06,16.30M,4.30M,4.30M,,,2.10M,2.10M,3.00M,,12.10M,,,,-0.20M,37.60M,,-4.80M,-4.80M,,,-149.40M,335.90M,181.70M,,-0.10M,174.80M,174.70M,,,,,0.00,,,-3.20M,8.10M,89.20M,,0.00,308.50M,0.00,,,,-0.10M,,,,,,
1991-03,15.30M,122.30M,122.30M,,,2.20M,2.20M,2.00M,,10.70M,,,,12.40M,164.90M,,-3.40M,-3.40M,,,143.80M,-17.90M,122.50M,,,-228.00M,-228.00M,,,,,40.00M,,,-2.50M,-31.90M,-389.70M,,301.30M,-102.30M,0.00,,,,,,,,,,
1990-12,12.90M,-74.80M,-74.80M,,,2.00M,2.00M,1.00M,,9.60M,,,,-23.60M,-72.90M,,-1.70M,-1.70M,,,-385.30M,685.80M,298.80M,,-0.80M,-226.30M,-227.10M,,0.00,,,,,,-2.30M,41.90M,-152.10M,,0.00,73.80M,0.00,,,,-0.80M,,,,,,
1990-09,14.40M,-27.60M,-27.60M,,,2.60M,2.60M,2.10M,,7.50M,,,,9.20M,8.20M,,-2.00M,-2.00M,,,-81.20M,-52.60M,-135.80M,,-0.20M,210.20M,210.00M,,0.00,,,,,,-2.00M,-8.70M,80.30M,,0.00,-47.30M,0.00,,,,-0.20M,,,,,,
1990-06,13.80M,21.00M,21.00M,,,1.80M,1.80M,3.30M,,6.60M,,,,2.90M,49.40M,,-2.00M,-2.00M,,,135.70M,-197.70M,-64.00M,,-8.90M,162.40M,153.50M,,-1.00M,,,,,,-2.00M,-13.80M,22.10M,,0.00,7.50M,0.00,,,,-8.90M,,,,,,
1990-03,12.80M,81.40M,81.40M,,,1.70M,1.70M,3.00M,,5.30M,,,,-5.20M,99.00M,,-1.80M,-1.80M,,,52.80M,93.50M,144.50M,,,-75.60M,-75.60M,,-15.60M,,,,,,-2.00M,-7.50M,-269.70M,,293.60M,-26.20M,0.00,,,,,,,,,,
