,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.541B,1.541B,17.83M,567.68M,585.52M,3.129M,,588.64M,1.619M,989.28M,620.52M,149.38M,471.14M,,471.14M,471.14M,3.129M,670.13M,,3.52,,3.52,3.52,,3.52,,3.52,3.52,,128.37M,128.38M,1.10,,AOR,
2020-09,1.464B,1.464B,11.86M,565.10M,576.96M,3.914M,,580.87M,2.773M,943.10M,486.88M,114.75M,372.14M,17.05M,372.14M,372.14M,85.51M,544.95M,,2.75,,2.75,2.75,,2.75,,2.75,2.75,,128.28M,128.36M,1.10,,AOR,
2020-06,1.444B,1.444B,9.842M,545.68M,555.53M,3.913M,,559.44M,6.969M,957.14M,312.37M,71.31M,241.05M,17.05M,241.05M,241.05M,76.88M,387.47M,,1.74,,1.74,1.74,,1.74,,1.74,1.74,,128.28M,128.33M,1.10,,AOR,
2020-03,1.506B,1.506B,22.38M,624.38M,646.75M,3.913M,,650.66M,-20.78M,976.80M,349.75M,80.93M,268.82M,17.08M,268.82M,268.82M,77.66M,493.36M,,1.93,,1.93,1.93,,1.93,,1.93,1.93,,129.70M,129.76M,1.10,,AOR,
2019-12,1.530B,1.530B,27.06M,552.74M,579.81M,4.305M,,584.11M,-6.452M,1.009B,652.19M,159.12M,493.07M,17.08M,493.07M,493.07M,77.27M,829.26M,,3.60,,3.60,3.60,,3.60,,3.60,3.60,,131.48M,131.52M,1.10,,AOR,
2019-09,1.558B,1.558B,22.09M,557.25M,579.34M,5.088M,,584.42M,3.737M,1.030B,635.05M,154.97M,480.08M,16.10M,480.08M,480.08M,77.95M,834.63M,,3.47,,3.47,3.47,,3.47,,3.47,3.47,,132.96M,133.00M,1.00,,AOR,Restated
2019-06,1.554B,1.554B,24.05M,531.07M,555.11M,5.077M,,560.19M,8.911M,1.041B,625.54M,152.28M,473.26M,18.13M,473.26M,473.26M,73.92M,821.98M,,3.34,,3.34,3.34,,3.34,,3.34,3.34,,135.43M,135.46M,1.00,,AOR,Restated
2019-03,1.551B,1.551B,20.28M,570.90M,591.17M,5.02M,,596.19M,11.84M,1.050B,634.48M,151.74M,482.74M,18.13M,482.74M,482.74M,72.17M,810.73M,,3.35,,3.35,3.35,,3.35,,3.35,3.35,,137.89M,137.92M,1.00,,AOR,Restated
2018-12,1.540B,1.540B,25.91M,507.75M,533.66M,5.359M,,539.02M,4.219M,1.059B,699.39M,153.18M,546.22M,,546.22M,546.22M,43.09M,860.72M,,3.76,,3.76,3.76,,3.76,,3.76,3.76,,139.70M,139.79M,1.00,,AOR,Restated
2018-09,1.488B,1.488B,21.78M,509.74M,531.52M,6.143M,,537.67M,-3.415M,1.029B,696.35M,170.26M,526.09M,,526.09M,526.09M,44.60M,834.69M,,3.54,,3.54,3.54,,3.53,,3.53,3.53,,142.82M,142.98M,1.00,,AOR,Restated
2018-06,1.466B,1.466B,21.77M,496.53M,518.30M,6.388M,,524.68M,2.326M,1.009B,654.62M,161.46M,493.16M,18.13M,493.16M,493.16M,45.75M,774.74M,,3.26,,3.26,3.26,,3.26,,3.26,3.26,,144.82M,145.00M,0.80,,AOR,Restated
2018-03,1.434B,1.434B,16.25M,541.46M,557.70M,6.632M,,564.34M,-9.431M,975.52M,457.87M,105.26M,352.61M,18.13M,352.61M,352.61M,45.57M,564.50M,,2.24,,2.24,2.24,,2.23,,2.23,2.23,,148.69M,148.90M,0.75,,AOR,Restated
2017-12,1.456B,1.456B,19.37M,484.71M,504.08M,7.025M,,511.10M,21.30M,971.45M,628.69M,306.29M,322.40M,18.13M,322.40M,322.40M,46.68M,731.38M,,2.01,,2.01,2.01,,2.01,,2.01,2.01,,150.04M,150.32M,0.75,,AOR,Restated
2017-09,1.417B,1.417B,17.40M,477.07M,494.47M,7.808M,,502.28M,0.00,957.13M,580.54M,224.62M,355.92M,18.13M,355.92M,355.92M,51.03M,680.61M,,2.22,,2.22,2.22,,2.21,,2.21,2.21,,151.35M,151.69M,0.75,,AOR,Restated
2017-06,1.399B,1.399B,16.32M,476.94M,493.26M,8.113M,,501.38M,-0.017M,938.20M,596.38M,215.33M,381.05M,18.24M,381.05M,381.05M,50.03M,688.59M,,2.36,,2.36,2.36,,2.35,,2.35,2.35,,152.86M,153.28M,0.75,,AOR,Restated
2017-03,1.361B,1.361B,16.11M,532.58M,548.69M,8.42M,,557.11M,0.00,914.26M,518.25M,169.33M,348.93M,18.24M,348.93M,348.93M,49.39M,610.03M,,2.13,,2.13,2.13,,2.12,,2.12,2.12,,154.43M,154.95M,0.75,,AOR,Restated
2016-12,1.341B,1.341B,21.07M,469.49M,490.56M,9.089M,,499.65M,1.566M,875.76M,510.12M,179.55M,330.57M,20.32M,330.57M,330.57M,49.18M,617.26M,,1.98,,1.98,1.98,,1.98,,1.98,1.98,,155.11M,155.69M,0.70,,AOR,Restated
2016-09,1.350B,1.350B,22.00M,480.10M,502.09M,9.787M,,511.88M,28.48M,858.34M,550.30M,200.31M,349.98M,20.32M,349.98M,349.98M,49.52M,661.47M,,2.10,,2.10,2.10,,2.10,,2.10,2.10,,155.49M,156.03M,0.70,,AOR,Restated
2016-06,1.312B,1.312B,22.61M,473.46M,496.07M,11.42M,,507.49M,0.264M,863.82M,530.18M,194.15M,336.03M,20.32M,336.03M,336.03M,50.19M,636.98M,,1.98,,1.98,1.98,,1.98,,1.98,1.98,,157.80M,158.34M,0.70,,AOR,Restated
