,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,16.25B,16.25B,11.78B,4.474B,2.917B,,-113.00M,404.00M,113.00M,-291.00M,4.215B,259.00M,113.00M,404.00M,-291.00M,78.00M,-291.00M,46.00M,16.00M,30.00M,-12.00M,,-1.00M,17.00M,102.70M,1.748B,1.298B,450.00M,,0.02,-0.01,,0.0607,0.01,,0.02,-0.01,,0.0604,0.01,,1.812B,1.823B,0.00,,AOR,
2020-09,14.71B,14.71B,11.01B,3.694B,2.812B,,198.00M,464.00M,-24.00M,-488.00M,4.147B,-453.00M,-24.00M,464.00M,-488.00M,361.00M,-488.00M,-580.00M,49.00M,-629.00M,0.00,,-81.00M,-710.00M,-854.54M,1.219B,1.335B,-116.00M,,-0.39,0.00,,-0.4698,-0.39,,-0.39,0.00,,-0.4698,-0.39,,1.811B,1.811B,0.00,,AOR,
2020-06,11.78B,11.78B,7.896B,3.883B,2.455B,,-4.665B,456.00M,41.00M,-415.00M,3.832B,51.00M,41.00M,456.00M,-415.00M,-4.476B,-415.00M,-4.84B,-331.00M,-4.509B,-3.00M,,-209.00M,-4.721B,-370.22M,-3.005B,1.379B,-4.384B,,-2.61,0.00,,-0.2066,-2.61,,-2.61,0.00,,-0.2066,-2.61,,1.809B,1.809B,0.00,,AOR,
2020-03,18.01B,18.01B,11.92B,6.091B,3.388B,,-145.00M,365.00M,63.00M,-302.00M,4.721B,1.37B,63.00M,365.00M,-302.00M,-8.00M,-302.00M,1.06B,525.00M,535.00M,-15.00M,,-60.00M,460.00M,580.85M,2.758B,1.332B,1.425B,,0.26,-0.01,,0.3185,0.25,,0.26,-0.01,,0.3183,0.25,,1.808B,1.816B,0.00,,AOR,
2019-12,20.88B,20.88B,13.03B,7.843B,3.709B,,-150.00M,362.00M,76.00M,-286.00M,5.008B,2.835B,76.00M,362.00M,-286.00M,77.00M,-286.00M,2.626B,458.00M,2.168B,-21.00M,,-40.00M,2.107B,2.252B,4.287B,1.299B,2.988B,,1.17,-0.01,,1.239,1.17,,1.17,-0.01,,1.238,1.16,,1.805B,1.817B,0.88,,AOR,Restated
2019-09,19.12B,19.12B,11.84B,7.274B,3.699B,,-797.00M,413.00M,129.00M,-284.00M,5.00B,2.274B,129.00M,413.00M,-284.00M,-743.00M,-284.00M,1.247B,341.00M,906.00M,299.00M,,-151.00M,1.054B,1.334B,2.961B,1.301B,1.66B,,0.44,0.15,,0.7612,0.58,,0.43,0.15,,0.7489,0.58,,1.803B,1.816B,0.00,,AOR,Restated
2019-06,20.26B,20.26B,12.84B,7.425B,3.368B,,-330.00M,472.00M,34.00M,-438.00M,4.674B,2.751B,34.00M,472.00M,-438.00M,-304.00M,-438.00M,2.009B,393.00M,1.616B,366.00M,,-222.00M,1.76B,1.659B,3.787B,1.306B,2.481B,,0.79,0.18,,0.9372,0.98,,0.79,0.18,,0.9363,0.97,,1.802B,1.814B,0.88,,AOR,Restated
2019-03,14.92B,14.92B,8.376B,6.546B,2.33B,,4.301B,198.00M,30.00M,-168.00M,3.158B,3.388B,30.00M,198.00M,-168.00M,4.017B,-168.00M,7.237B,1.647B,5.59B,21.00M,,-159.00M,5.452B,2.111B,8.263B,828.00M,7.435B,,3.55,0.01,,1.380,3.56,,3.53,0.01,,1.370,3.55,,1.53B,1.537B,0.00,,AOR,Restated
2018-12,15.30B,15.30B,9.001B,6.302B,2.152B,,0.00,163.00M,75.00M,-88.00M,2.884B,3.418B,75.00M,163.00M,-88.00M,101.00M,-88.00M,3.431B,645.00M,2.786B,0.00,,2.00M,2.788B,2.788B,4.326B,732.00M,3.594B,,1.87,0.00,,1.87,1.87,,1.86,0.00,,1.86,1.86,,1.49B,1.498B,0.88,,AOR,Restated
2018-09,14.31B,14.31B,8.108B,6.198B,2.321B,,-99.00M,81.00M,,-159.00M,3.115B,3.083B,,81.00M,-159.00M,278.00M,-159.00M,3.202B,783.00M,2.419B,0.00,,-97.00M,2.322B,2.397B,4.077B,794.00M,3.283B,,1.56,0.00,,1.610,1.56,,1.55,0.00,,1.600,1.55,,1.49B,1.498B,0.00,,AOR,Restated
2018-06,15.23B,15.23B,8.348B,6.881B,2.213B,,0.00,175.00M,32.00M,-143.00M,2.957B,3.924B,32.00M,175.00M,-143.00M,73.00M,-143.00M,3.854B,795.00M,3.059B,0.00,,-143.00M,2.916B,2.916B,4.773B,744.00M,4.029B,,1.96,0.00,,1.96,1.96,,1.95,0.00,,1.95,1.95,,1.491B,1.498B,0.84,,AOR,Restated
2018-03,14.55B,14.55B,7.541B,7.007B,2.239B,,28.00M,172.00M,29.00M,-143.00M,2.97B,4.037B,29.00M,172.00M,-143.00M,34.00M,-143.00M,3.928B,813.00M,3.115B,0.00,,-178.00M,2.937B,2.915B,4.831B,731.00M,4.10B,,1.95,0.00,,1.935,1.95,,1.95,0.00,,1.935,1.95,,1.503B,1.51B,0.00,,AOR,Restated
2017-12,15.35B,15.35B,8.729B,6.622B,2.087B,,-15.00M,146.00M,17.00M,-129.00M,2.829B,3.793B,17.00M,146.00M,-129.00M,81.00M,-129.00M,3.745B,-728.00M,4.473B,,,-50.00M,4.423B,4.432B,4.633B,742.00M,3.891B,,2.93,,,2.936,2.93,,2.91,,,2.916,2.91,,1.512B,1.521B,0.84,,AOR,Restated
2017-09,12.78B,12.78B,7.214B,5.565B,2.228B,,,137.00M,52.00M,-85.00M,2.936B,2.629B,52.00M,137.00M,-85.00M,150.00M,-85.00M,2.694B,829.00M,1.865B,,,-118.00M,1.747B,1.747B,3.539B,708.00M,2.831B,,1.14,,,1.14,1.14,,1.13,,,1.13,1.13,,1.538B,1.548B,0.00,,AOR,Restated
2017-06,14.24B,14.24B,7.717B,6.521B,2.022B,,,134.00M,17.00M,-117.00M,2.733B,3.788B,17.00M,134.00M,-117.00M,-53.00M,-117.00M,3.618B,1.144B,2.474B,,,-108.00M,2.366B,2.366B,4.463B,711.00M,3.752B,,1.51,,,1.51,1.51,,1.51,,,1.51,1.51,,1.562B,1.572B,0.78,,AOR,Restated
2017-03,13.34B,13.34B,6.969B,6.367B,1.941B,,0.00,115.00M,31.00M,-84.00M,2.617B,3.75B,31.00M,115.00M,-84.00M,85.00M,-84.00M,3.751B,1.212B,2.539B,,,-151.00M,2.388B,2.388B,4.542B,676.00M,3.866B,,1.51,,,1.51,1.51,,1.50,,,1.50,1.50,,1.58B,1.591B,0.00,,AOR,Restated
2016-12,14.78B,14.78B,8.406B,6.378B,1.985B,,0.00,121.00M,22.00M,-99.00M,2.672B,3.706B,22.00M,121.00M,-99.00M,118.00M,-99.00M,3.725B,1.237B,2.488B,,,-9.00M,2.479B,2.479B,4.533B,687.00M,3.846B,,1.56,,,1.56,1.56,,1.55,,,1.55,1.55,,1.592B,1.603B,0.78,,AOR,Restated
2016-09,13.14B,13.14B,7.305B,5.837B,2.287B,,-31.00M,119.00M,20.00M,-99.00M,2.976B,2.861B,20.00M,119.00M,-99.00M,119.00M,-99.00M,2.881B,989.00M,1.892B,,,-121.00M,1.771B,1.791B,3.689B,689.00M,3.00B,,1.10,,,1.113,1.10,,1.10,,,1.113,1.10,,1.608B,1.615B,0.00,,AOR,Restated
2016-06,14.28B,14.28B,7.201B,7.076B,2.305B,,-44.00M,88.00M,18.00M,-70.00M,2.931B,4.145B,18.00M,88.00M,-70.00M,108.00M,-70.00M,4.183B,1.471B,2.712B,,,-115.00M,2.597B,2.626B,4.897B,626.00M,4.271B,,1.60,,,1.618,1.60,,1.59,,,1.607,1.59,,1.621B,1.631B,0.71,,AOR,Restated
2016-03,12.97B,12.97B,6.864B,6.105B,2.137B,,0.00,81.00M,14.00M,-67.00M,2.742B,3.363B,14.00M,81.00M,-67.00M,150.00M,-67.00M,3.446B,1.17B,2.276B,,,-133.00M,2.143B,2.143B,4.132B,605.00M,3.527B,,1.31,,,1.31,1.31,,1.30,,,1.30,1.30,,1.633B,1.643B,0.00,,AOR,Restated
2015-12,15.24B,15.24B,8.623B,6.621B,2.025B,,-81.00M,66.00M,42.00M,-24.00M,2.632B,3.989B,42.00M,66.00M,-24.00M,393.00M,-24.00M,4.358B,1.448B,2.91B,,,-30.00M,2.88B,2.934B,5.031B,607.00M,4.424B,,1.74,,,1.773,1.74,,1.73,,,1.762,1.73,,1.654B,1.668B,0.71,,AOR,Restated
2015-09,13.51B,13.51B,7.355B,6.157B,2.406B,,-53.00M,68.00M,13.00M,-55.00M,3.009B,3.148B,13.00M,68.00M,-55.00M,131.00M,-55.00M,3.224B,1.483B,1.741B,,,-132.00M,1.609B,1.641B,3.895B,603.00M,3.292B,,0.96,,,0.9789,0.96,,0.95,,,0.9688,0.95,,1.679B,1.694B,0.00,,AOR,Restated
2015-06,13.10B,13.10B,6.663B,6.438B,2.101B,,0.00,62.00M,50.00M,-12.00M,2.676B,3.762B,50.00M,62.00M,-12.00M,212.00M,-12.00M,3.962B,1.323B,2.639B,,,-156.00M,2.483B,2.483B,4.599B,575.00M,4.024B,,1.46,,,1.46,1.46,,1.45,,,1.45,1.45,,1.696B,1.711B,0.66,,AOR,Restated
2015-03,12.46B,12.46B,6.69B,5.771B,2.081B,,0.00,66.00M,74.00M,8.00M,2.665B,3.106B,74.00M,66.00M,8.00M,206.00M,8.00M,3.32B,1.092B,2.228B,,,-120.00M,2.108B,2.108B,3.97B,584.00M,3.386B,,1.24,,,1.24,1.24,,1.23,,,1.23,1.23,,1.699B,1.715B,0.00,,AOR,Restated
2014-12,13.39B,13.39B,7.656B,5.735B,1.935B,,0.00,69.00M,11.00M,-58.00M,2.527B,3.208B,11.00M,69.00M,-58.00M,212.00M,-58.00M,3.362B,1.118B,2.244B,,,-62.00M,2.182B,2.182B,4.023B,592.00M,3.431B,,1.28,,,1.28,1.28,,1.27,,,1.27,1.27,,1.70B,1.717B,1.15,,AOR,Restated
2014-09,12.39B,12.39B,7.019B,5.37B,2.384B,,-73.00M,72.00M,34.00M,-38.00M,2.974B,2.396B,34.00M,72.00M,-38.00M,103.00M,-38.00M,2.461B,836.00M,1.625B,,,-126.00M,1.499B,1.547B,3.123B,590.00M,2.533B,,0.87,,,0.8981,0.87,,0.86,,,0.8878,0.86,,1.716B,1.735B,0.00,,AOR,Restated
