,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,3.059B,,,-73.00M,-73.00M,,,744.00M,744.00M,212.00M,,113.00M,142.00M,-174.00M,-11.00M,-224.00M,-335.00M,,28.00M,-716.00M,0.00,3.679B,,-1.22B,,-1.22B,0.00,,-118.00M,-1.338B,,2.00M,-919.00M,-917.00M,,-969.00M,-969.00M,0.00,0.00,38.00M,-251.00M,-2.099B,,4.195B,242.00M,-106.00M,4.331B,,,8.00M,-6.00M,-969.00M,,AOR,Restated
2018-03,3.115B,,,-6.00M,-6.00M,,,731.00M,731.00M,103.00M,,100.00M,16.00M,374.00M,-1.00M,1.068B,-743.00M,,-450.00M,248.00M,0.00,4.526B,,-1.063B,,-1.063B,-1.581B,,-118.00M,-2.762B,,3.00M,232.00M,235.00M,,-1.295B,-1.295B,-1.266B,-1.266B,41.00M,-13.00M,-2.298B,,4.695B,-534.00M,34.00M,4.195B,,,23.00M,-20.00M,-1.295B,,AOR,Restated
2017-12,4.473B,,,-43.00M,-43.00M,,,742.00M,742.00M,-1.726B,,94.00M,139.00M,-1.378B,65.00M,-1.16B,5.00M,,856.00M,-1.612B,,2.237B,,-981.00M,,-981.00M,,,-62.00M,-1.043B,,-305.00M,1.14B,835.00M,,-1.313B,-1.313B,,,50.00M,-156.00M,-584.00M,,4.064B,610.00M,21.00M,4.695B,,,1.025B,-1.33B,-1.313B,,AOR,Restated
2017-09,1.865B,,,7.00M,-282.00M,,,708.00M,708.00M,40.00M,,86.00M,130.00M,893.00M,-98.00M,413.00M,-454.00M,,65.00M,819.00M,,3.57B,,-895.00M,,-895.00M,140.00M,,-66.00M,-821.00M,,139.00M,1.359B,1.498B,,-3.424B,-3.424B,-1.208B,-1.208B,20.00M,-53.00M,-3.167B,,4.428B,-418.00M,54.00M,4.064B,,,767.00M,-628.00M,-3.424B,,AOR,Restated
2017-06,2.474B,,,-124.00M,-124.00M,,,711.00M,711.00M,168.00M,,89.00M,112.00M,-502.00M,3.00M,1.153B,-323.00M,,152.00M,483.00M,,4.10B,,-805.00M,,-805.00M,0.00,,-95.00M,-900.00M,,1.497B,-1.026B,471.00M,,-2.444B,-2.444B,0.00,0.00,70.00M,-840.00M,-2.743B,,3.925B,457.00M,46.00M,4.428B,,,2.00B,-503.00M,-2.444B,,AOR,Restated
2017-03,2.539B,,,-85.00M,-85.00M,,,676.00M,676.00M,202.00M,,92.00M,74.00M,876.00M,-12.00M,829.00M,-1.101B,,-1.056B,-464.00M,,3.228B,,-883.00M,,-883.00M,-557.00M,,85.00M,-1.355B,,972.00M,182.00M,1.154B,,-2.035B,-2.035B,-1.237B,-1.237B,121.00M,-65.00M,-2.062B,,4.071B,-189.00M,43.00M,3.925B,,,2.011B,-1.039B,-2.035B,,AOR,Restated
2016-12,2.488B,,,-118.00M,-118.00M,,,687.00M,687.00M,-76.00M,,97.00M,187.00M,-1.16B,102.00M,-2.763B,751.00M,,1.047B,-2.023B,,1.445B,,-1.04B,,-1.04B,,,5.00M,-1.035B,,-152.00M,732.00M,580.00M,,-1.465B,-1.465B,,,65.00M,-167.00M,-987.00M,,4.76B,-577.00M,-112.00M,4.071B,,,42.00M,-194.00M,-1.465B,,AOR,Restated
2016-09,1.892B,,,-150.00M,-176.00M,,,689.00M,689.00M,329.00M,,88.00M,69.00M,428.00M,-28.00M,668.00M,-233.00M,,-410.00M,425.00M,,3.521B,,-1.082B,,-1.082B,-450.00M,,0.00,-1.532B,,486.00M,-704.00M,-218.00M,,-1.591B,-1.591B,-1.145B,-1.145B,43.00M,11.00M,-2.90B,,5.227B,-911.00M,-12.00M,4.76B,,,2.019B,-1.533B,-1.591B,,AOR,Restated
2016-06,2.712B,,,-152.00M,-152.00M,,,626.00M,626.00M,88.00M,,100.00M,285.00M,-279.00M,-4.00M,118.00M,-409.00M,,334.00M,-240.00M,,3.63B,,-1.135B,,-1.135B,0.00,,-53.00M,-1.188B,,234.00M,-925.00M,-691.00M,,-1.517B,-1.517B,0.00,0.00,56.00M,36.00M,-2.116B,,5.015B,326.00M,-114.00M,5.227B,,,280.00M,-46.00M,-1.517B,,AOR,Restated
2016-03,2.276B,,,-150.00M,-150.00M,,,605.00M,605.00M,246.00M,,99.00M,109.00M,1.816B,84.00M,145.00M,-698.00M,,-1.18B,167.00M,,3.529B,,-1.15B,,-1.15B,0.00,,-90.00M,-1.24B,,3.322B,-1.198B,2.124B,,-2.039B,-2.039B,-1.168B,-1.168B,108.00M,-667.00M,-1.642B,,4.301B,647.00M,67.00M,5.015B,,,3.384B,-62.00M,-2.039B,,AOR,Restated
2015-12,2.91B,,,-474.00M,-474.00M,,,607.00M,607.00M,551.00M,,106.00M,211.00M,-2.358B,134.00M,-891.00M,796.00M,,658.00M,-1.661B,,2.456B,,-1.406B,,-1.406B,-400.00M,,8.00M,-1.798B,,-182.00M,1.907B,1.725B,,-2.352B,-2.352B,,,52.00M,13.00M,-562.00M,,4.269B,96.00M,-64.00M,4.301B,,,382.00M,-564.00M,-2.352B,,AOR,Restated
2015-09,1.741B,-2.00M,,-184.00M,-186.00M,,,603.00M,603.00M,65.00M,,101.00M,414.00M,18.00M,-47.00M,458.00M,198.00M,,240.00M,867.00M,,3.804B,,-1.204B,,-1.204B,0.00,-143.00M,157.00M,-1.19B,,2.154B,24.00M,2.178B,,-3.272B,-3.272B,-1.115B,-1.115B,37.00M,-388.00M,-2.56B,,4.475B,54.00M,-71.00M,4.725B,,,2.369B,-215.00M,-3.272B,,AOR,Restated
2015-06,2.639B,-33.00M,,-212.00M,-245.00M,,,575.00M,575.00M,-369.00M,,96.00M,39.00M,-21.00M,-81.00M,340.00M,-754.00M,,385.00M,-131.00M,,2.808B,,-1.156B,,-1.156B,0.00,62.00M,-134.00M,-1.228B,,11.00M,398.00M,409.00M,,-1.035B,-1.035B,0.00,0.00,57.00M,-327.00M,-896.00M,,3.745B,684.00M,46.00M,4.475B,,,64.00M,-53.00M,-1.035B,,AOR,Restated
2015-03,2.228B,-56.00M,,-206.00M,-262.00M,,,584.00M,584.00M,-88.00M,,109.00M,4.00M,819.00M,37.00M,436.00M,-213.00M,,-888.00M,191.00M,,2.918B,,-907.00M,,-907.00M,0.00,81.00M,-10.00M,-836.00M,,-807.00M,-793.00M,-1.60B,,-485.00M,-485.00M,-1.948B,-1.948B,170.00M,621.00M,-3.242B,,5.077B,-1.16B,-172.00M,3.745B,,,48.00M,-855.00M,-485.00M,,AOR,Restated
2014-12,2.244B,0.00,,-212.00M,-212.00M,,,592.00M,592.00M,290.00M,,104.00M,171.00M,-1.027B,92.00M,-1.283B,70.00M,,617.00M,-1.531B,,1.855B,,-998.00M,,-998.00M,0.00,0.00,7.00M,-991.00M,,-1.029B,2.747B,1.718B,,-1.303B,-1.303B,,,65.00M,417.00M,897.00M,,3.421B,1.761B,-105.00M,5.077B,,,69.00M,-1.098B,-1.303B,,AOR,Restated
2014-09,1.625B,-14.00M,,-176.00M,-190.00M,,,590.00M,590.00M,213.00M,,100.00M,201.00M,63.00M,-142.00M,824.00M,-49.00M,,-310.00M,386.00M,,3.105B,,-1.063B,,-1.063B,13.00M,,-3.00M,-1.053B,,-48.00M,-1.203B,-1.251B,,-1.44B,-1.44B,0.00,0.00,56.00M,15.00M,-2.62B,,4.09B,-568.00M,-101.00M,3.421B,,,51.00M,-99.00M,-1.44B,,AOR,Restated
2014-06,2.419B,-5.00M,,-222.00M,-227.00M,,,557.00M,557.00M,128.00M,,100.00M,62.00M,-74.00M,-73.00M,-6.00M,-372.00M,,245.00M,-280.00M,,2.936B,,-889.00M,,-889.00M,-386.00M,,-6.00M,-1.281B,,1.577B,-1.063B,514.00M,,-1.833B,-1.833B,0.00,0.00,53.00M,-386.00M,-1.652B,,4.078B,3.00M,9.00M,4.09B,,,2.042B,-465.00M,-1.833B,,AOR,Restated
2014-03,2.056B,-169.00M,,-217.00M,-386.00M,,,580.00M,580.00M,261.00M,,112.00M,-56.00M,706.00M,37.00M,425.00M,-375.00M,,-1.007B,-214.00M,,2.527B,,-701.00M,,-701.00M,230.00M,,-13.00M,-484.00M,,34.00M,167.00M,201.00M,,-1.536B,-1.536B,-1.508B,-1.508B,201.00M,441.00M,-2.201B,,4.397B,-158.00M,-161.00M,4.078B,,,72.00M,-38.00M,-1.536B,,AOR,Restated
2013-12,1.904B,-111.00M,,-239.00M,-350.00M,,,561.00M,561.00M,-85.00M,,96.00M,27.00M,-1.175B,97.00M,-707.00M,-319.00M,,976.00M,-1.128B,,1.212B,,-658.00M,,-658.00M,136.00M,,-5.00M,-527.00M,,-980.00M,2.149B,1.169B,,-1.718B,-1.718B,,,94.00M,218.00M,-237.00M,,3.931B,448.00M,18.00M,4.397B,,,66.00M,-1.046B,-1.718B,,AOR,Restated
2013-09,1.543B,-80.00M,,-161.00M,-241.00M,,,559.00M,559.00M,-71.00M,,97.00M,146.00M,-371.00M,-27.00M,695.00M,281.00M,,-44.00M,534.00M,,2.735B,,-987.00M,,-987.00M,-21.00M,,-6.00M,-1.014B,,-654.00M,-50.00M,-704.00M,,-1.393B,-1.393B,0.00,0.00,69.00M,250.00M,-1.778B,,3.932B,-57.00M,56.00M,3.931B,,,31.00M,-685.00M,-1.393B,,AOR,Restated
2013-06,2.034B,0.00,,-232.00M,-232.00M,,,569.00M,569.00M,410.00M,,97.00M,130.00M,73.00M,-59.00M,-345.00M,212.00M,,365.00M,246.00M,,3.413B,,-690.00M,,-690.00M,17.00M,,1.00M,-672.00M,,-7.00M,-1.755B,-1.762B,,-800.00M,-800.00M,0.00,0.00,164.00M,-348.00M,-2.746B,,3.952B,-5.00M,-15.00M,3.932B,,,22.00M,-29.00M,-800.00M,,AOR,Restated
2013-03,1.621B,-26.00M,,-185.00M,-211.00M,,,550.00M,550.00M,-11.00M,,108.00M,33.00M,858.00M,42.00M,331.00M,-427.00M,,-909.00M,-105.00M,,2.16B,,-574.00M,,-574.00M,-35.00M,,84.00M,-525.00M,,829.00M,-1.239B,-410.00M,,-850.00M,-850.00M,-24.00M,-24.00M,230.00M,228.00M,-826.00M,,3.207B,809.00M,-64.00M,3.952B,,,841.00M,-12.00M,-850.00M,,AOR,Restated
2012-12,1.438B,-219.00M,,-110.00M,-329.00M,,,514.00M,514.00M,-236.00M,,100.00M,86.00M,-934.00M,95.00M,-314.00M,-145.00M,,677.00M,-621.00M,,1.144B,,-545.00M,,-545.00M,-1.925B,,5.00M,-2.465B,,2.261B,994.00M,3.255B,,-1.044B,-1.044B,-1.30B,-1.30B,124.00M,101.00M,1.136B,,3.387B,-185.00M,5.00M,3.207B,,,3.037B,-776.00M,-1.044B,,AOR,Restated
2012-09,1.39B,-14.00M,,-175.00M,-189.00M,,,492.00M,492.00M,319.00M,,97.00M,31.00M,-344.00M,-58.00M,-146.00M,59.00M,,-278.00M,-767.00M,,1.535B,,-933.00M,,-933.00M,-256.00M,,-100.00M,-1.289B,,-1.622B,1.025B,-597.00M,,-973.00M,-973.00M,0.00,0.00,164.00M,101.00M,-1.305B,,4.374B,-1.059B,72.00M,3.387B,,,528.00M,-2.15B,-973.00M,,AOR,Restated
2012-06,2.036B,0.00,,-169.00M,-169.00M,,,522.00M,522.00M,-83.00M,,103.00M,184.00M,48.00M,6.00M,-522.00M,167.00M,,407.00M,106.00M,,2.885B,,-740.00M,,-740.00M,-11.00M,,62.00M,-689.00M,,-35.00M,-848.00M,-883.00M,,-373.00M,-373.00M,0.00,0.00,320.00M,-518.00M,-1.454B,,3.731B,742.00M,-99.00M,4.374B,,,92.00M,-127.00M,-373.00M,,AOR,Restated
2012-03,1.226B,-184.00M,,-138.00M,-322.00M,,,488.00M,488.00M,250.00M,,108.00M,-132.00M,831.00M,18.00M,433.00M,-196.00M,,-1.046B,40.00M,,1.812B,,-1.477B,,-1.477B,-350.00M,,24.00M,-1.803B,,73.00M,1.266B,1.339B,,-869.00M,-869.00M,-1.076B,-1.076B,410.00M,100.00M,-96.00M,,3.766B,-87.00M,52.00M,3.731B,,,1.569B,-1.496B,-869.00M,,AOR,Restated
2011-12,1.521B,0.00,,-145.00M,-145.00M,,,485.00M,485.00M,-14.00M,,100.00M,148.00M,-643.00M,52.00M,-373.00M,-233.00M,,675.00M,-522.00M,,1.734B,,-634.00M,,-634.00M,-361.00M,,17.00M,-978.00M,,1.541B,-976.00M,565.00M,,-800.00M,-800.00M,0.00,0.00,114.00M,-9.00M,-130.00M,,3.185B,626.00M,-45.00M,3.766B,,,1.59B,-49.00M,-800.00M,,AOR,Restated
2011-09,1.251B,0.00,,-585.00M,-585.00M,,,462.00M,462.00M,-80.00M,,113.00M,-26.00M,14.00M,-94.00M,472.00M,,,-174.00M,361.00M,,2.104B,,-998.00M,,-998.00M,552.00M,,-673.00M,-1.119B,,1.062B,,835.00M,,-1.964B,-1.964B,,0.00,27.00M,-99.00M,-1.201B,,3.519B,-216.00M,-118.00M,3.185B,,,1.85B,-788.00M,-1.964B,,AOR,Restated
2011-06,1.663B,0.00,,-16.00M,-16.00M,,,476.00M,476.00M,12.00M,-10.00M,98.00M,466.00M,-511.00M,-75.00M,-841.00M,,,560.00M,-867.00M,,1.822B,,-716.00M,,-716.00M,-1.00M,,106.00M,-611.00M,,265.00M,,415.00M,,-1.427B,-1.427B,,0.00,83.00M,104.00M,-825.00M,,3.094B,386.00M,39.00M,3.519B,,,500.00M,-235.00M,-1.427B,,AOR,Restated
2011-03,1.01B,-75.00M,,2.00M,2.00M,,,456.00M,456.00M,256.00M,-2.00M,113.00M,-443.00M,1.292B,-43.00M,292.00M,,,-984.00M,557.00M,,1.949B,,-632.00M,,-632.00M,-8.00M,,-35.00M,-675.00M,,-31.00M,,-57.00M,,-805.00M,-805.00M,,-756.00M,614.00M,-302.00M,-1.306B,,3.039B,-32.00M,87.00M,3.094B,,,0.00,-31.00M,-805.00M,,AOR,Restated
2010-12,1.334B,,,14.00M,-61.00M,,,447.00M,447.00M,-61.00M,12.00M,99.00M,207.00M,-1.313B,13.00M,-290.00M,,,732.00M,-858.00M,,1.119B,,-1.213B,,-1.213B,-163.00M,,495.00M,-881.00M,,-42.00M,,454.00M,,-797.00M,-797.00M,,,404.00M,38.00M,99.00M,,2.722B,337.00M,-20.00M,3.039B,,,0.00,-42.00M,-797.00M,,AOR,Restated
2010-09,966.00M,,,65.00M,65.00M,,,434.00M,434.00M,-331.00M,6.00M,0.00,203.00M,25.00M,-126.00M,968.00M,,,-4.00M,863.00M,,2.206B,,-797.00M,,-797.00M,-43.00M,,-220.00M,-1.06B,,-792.00M,396.00M,-396.00M,,-1.18B,-1.18B,,0.00,361.00M,,-1.508B,,2.951B,-362.00M,133.00M,2.722B,,,-794.00M,-792.00M,-1.18B,,AOR,Restated
2010-06,1.505B,,,9.00M,-34.00M,,,432.00M,432.00M,229.00M,30.00M,119.00M,603.00M,-363.00M,-67.00M,-649.00M,,,78.00M,-1.001B,,1.883B,,-506.00M,,-506.00M,-134.00M,,155.00M,-485.00M,,-336.00M,-180.00M,-516.00M,,-1.249B,-1.249B,,0.00,351.00M,,-1.414B,,3.075B,-16.00M,-108.00M,2.951B,,,794.00M,-336.00M,-1.249B,,AOR,Restated
2010-03,998.00M,,,-44.00M,-92.00M,,,424.00M,424.00M,241.00M,57.00M,137.00M,-525.00M,752.00M,-21.00M,274.00M,,,-671.00M,334.00M,,1.574B,,-500.00M,,-500.00M,108.00M,,-46.00M,-438.00M,,-164.00M,-323.00M,-487.00M,,-215.00M,-215.00M,,-653.00M,188.00M,,-1.167B,,3.204B,-31.00M,-98.00M,3.075B,,,-1.297B,-164.00M,-215.00M,,AOR,Restated
2009-12,844.00M,,,3.00M,-24.00M,,,423.00M,423.00M,-6.00M,39.00M,135.00M,-34.00M,-1.10B,87.00M,56.00M,,,495.00M,-462.00M,,915.00M,,-307.00M,,-307.00M,-2.254B,,21.00M,-2.54B,,-79.00M,1.297B,1.218B,,-25.00M,-25.00M,,,233.00M,,1.426B,,3.417B,-199.00M,-14.00M,3.204B,,,1.297B,-79.00M,-25.00M,,AOR,Restated
2009-09,1.074B,,,-226.00M,11.00M,,,425.00M,425.00M,40.00M,73.00M,121.00M,5.00M,-38.00M,-46.00M,256.00M,,,-183.00M,-11.00M,,1.738B,,-626.00M,,-626.00M,-7.00M,46.00M,-58.00M,-645.00M,,-819.00M,0.00,-819.00M,,-34.00M,-34.00M,,0.00,49.00M,,-804.00M,,3.128B,289.00M,,3.417B,,,3.00M,-822.00M,-34.00M,,AOR,Restated
2009-06,1.031B,,,-38.00M,219.00M,,,404.00M,404.00M,332.00M,3.00M,111.00M,0.00,52.00M,3.00M,-291.00M,32.00M,,-382.00M,-586.00M,,1.514B,,-378.00M,,-378.00M,162.00M,-185.00M,4.00M,-397.00M,,858.00M,-1.985B,-1.127B,,0.00,0.00,,0.00,-231.00M,,-1.358B,,3.369B,-241.00M,,3.128B,,,8.00M,850.00M,0.00,,AOR,Restated
2009-03,653.00M,,,24.00M,-268.00M,,,406.00M,406.00M,-25.00M,203.00M,111.00M,-103.00M,1.233B,-56.00M,-301.00M,-48.00M,,,828.00M,,1.805B,,-458.00M,,-458.00M,-1.00M,0.00,-6.00M,-465.00M,,-1.11B,,-1.11B,,0.00,0.00,,-648.00M,-328.00M,320.00M,-1.766B,,3.795B,-426.00M,,3.369B,,,-44.00M,-1.066B,0.00,,AOR,Restated
2008-12,851.00M,,,-174.00M,-419.00M,,,396.00M,396.00M,-24.00M,0.00,114.00M,31.00M,-779.00M,-18.00M,94.00M,16.00M,,,-687.00M,,262.00M,,-291.00M,,-291.00M,-145.00M,185.00M,3.00M,-248.00M,,1.204B,,1.204B,,-104.00M,-104.00M,,,,-320.00M,780.00M,,3.001B,794.00M,,3.795B,,,1.783B,-579.00M,-104.00M,,,Restated
2008-09,1.062B,,,-16.00M,-264.00M,,,404.00M,404.00M,-80.00M,39.00M,112.00M,-205.00M,106.00M,-105.00M,217.00M,23.00M,,-64.00M,177.00M,,1.245B,,-629.00M,,-629.00M,-186.00M,,-50.00M,-781.00M,,517.00M,746.00M,1.263B,,-1.459B,-1.459B,,0.00,144.00M,,-52.00M,,2.589B,412.00M,,3.001B,,,706.00M,1.258B,-1.459B,,,Restated
2008-06,1.284B,,,-79.00M,-202.00M,,,402.00M,402.00M,-108.00M,0.00,89.00M,-192.00M,-219.00M,-96.00M,-5.00M,-17.00M,,,-337.00M,,936.00M,,-353.00M,,-353.00M,-311.00M,,90.00M,-574.00M,,-19.00M,-831.00M,-850.00M,,-1.027B,-1.027B,,0.00,244.00M,,-1.633B,,3.86B,-1.271B,,2.589B,,,119.00M,-969.00M,-1.027B,,,Restated
2008-03,1.133B,,,-10.00M,-186.00M,,,391.00M,391.00M,106.00M,0.00,201.00M,85.00M,1.509B,-94.00M,38.00M,-6.00M,-591.00M,17.00M,873.00M,,2.603B,,-347.00M,,-347.00M,-163.00M,,27.00M,-483.00M,,731.00M,-616.00M,-220.00M,-116.00M,-922.00M,-1.038B,,-664.00M,248.00M,,-1.674B,,3.414B,446.00M,,3.86B,,-116.00M,881.00M,-766.00M,-922.00M,,,Restated
2007-12,1.25B,,,,232.00M,,,385.00M,385.00M,-46.00M,,,103.00M,-1.99B,-34.00M,188.00M,,591.00M,-17.00M,-1.262B,,662.00M,,-249.00M,,-249.00M,,,-75.00M,-324.00M,,,,335.00M,116.00M,-1.045B,-929.00M,,,,,-594.00M,,3.67B,-256.00M,,3.414B,,116.00M,,,-1.045B,,,
2007-09,877.00M,,,,132.00M,,,392.00M,392.00M,-71.00M,,,35.00M,153.00M,-33.00M,408.00M,,-239.00M,-87.00M,202.00M,0.00,1.567B,,-580.00M,-87.00M,-667.00M,-357.00M,1.00M,,-1.023B,,,,1.30B,87.00M,-1.725B,-1.638B,,0.00,,,-338.00M,,3.464B,206.00M,,3.67B,,87.00M,,,-1.725B,,,
2007-06,1.178B,,,,56.00M,,,365.00M,365.00M,-157.00M,,,25.00M,-271.00M,13.00M,-297.00M,,231.00M,-34.00M,-358.00M,-15.00M,1.094B,,-440.00M,88.00M,-352.00M,-64.00M,4.00M,-133.00M,-548.00M,,,,2.336B,304.00M,-1.942B,-1.638B,,0.00,,,736.00M,,2.182B,1.282B,,3.464B,,304.00M,,,-1.942B,,,
2007-03,931.00M,,,,-440.00M,,,360.00M,360.00M,60.00M,,,338.00M,1.316B,48.00M,301.00M,,-747.00M,53.00M,971.00M,24.00M,2.244B,,-301.00M,,-301.00M,-167.00M,0.00,182.00M,-286.00M,,,,265.00M,429.00M,-2.299B,-1.87B,,-637.00M,,,-2.213B,,2.437B,-255.00M,,2.182B,,429.00M,,,-2.299B,,,
2006-12,1.701B,,,,-753.00M,,,374.00M,374.00M,-92.00M,,,136.00M,-1.553B,24.00M,-335.00M,,936.00M,77.00M,-851.00M,1.00M,516.00M,,-245.00M,,-245.00M,,1.53B,-49.00M,1.236B,,,,-1.205B,425.00M,-957.00M,-532.00M,,,,,-1.726B,,2.411B,26.00M,,2.437B,,425.00M,,,-957.00M,,,
