,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,11.74B,,11.74B,11.47B,11.47B,,,,3.535B,26.74B,0.00,1.848B,15.88B,40.86B,40.69B,7.095B,106.38B,-54.39B,52.00B,70.67B,108.09B,178.76B,8.267B,,8.103B,247.13B,273.87B,,11.36B,11.36B,11.32B,22.69B,3.146B,3.146B,2.963B,2.963B,,,28.80B,100.61B,100.61B,28.05B,28.05B,1.415B,1.28B,23.39B,153.34B,182.13B,,54.00M,56.44B,39.46B,7.517B,,,,1.884B,90.32B,,AOR,
2020-09,13.71B,,13.71B,10.31B,10.31B,,,,3.352B,27.37B,,,,,,,104.42B,-53.96B,50.47B,68.90B,106.59B,175.49B,7.131B,,8.485B,241.57B,268.94B,,10.98B,10.98B,11.22B,22.19B,4.429B,4.429B,2.888B,2.888B,,,29.51B,100.00B,100.00B,27.90B,27.90B,1.395B,1.254B,22.70B,151.86B,181.37B,,54.00M,54.25B,39.17B,7.517B,,,,212.00M,86.18B,,AOR,
2020-06,13.94B,,13.94B,10.23B,10.23B,,,,3.323B,27.48B,,,,,,,102.75B,-53.76B,48.98B,67.35B,105.76B,173.12B,7.378B,,9.012B,238.49B,265.98B,,10.43B,10.43B,11.57B,22.00B,4.046B,4.046B,2.403B,2.403B,,,28.44B,100.76B,100.76B,27.95B,27.95B,1.177B,1.256B,22.78B,152.74B,181.19B,,54.00M,53.42B,38.94B,7.517B,,,,-1.279B,83.61B,,AOR,
2020-03,8.516B,,8.516B,10.80B,10.80B,,,,4.768B,24.08B,,,,,,,102.01B,-53.57B,48.44B,67.22B,106.42B,173.64B,7.08B,,9.175B,238.34B,262.42B,,9.963B,9.963B,12.03B,21.99B,2.973B,2.973B,2.634B,2.634B,,,27.60B,100.60B,100.60B,27.86B,27.86B,1.277B,1.259B,22.31B,152.04B,179.64B,,54.00M,51.52B,38.60B,7.517B,,,,-1.144B,81.51B,,AOR,
2019-12,5.50B,,5.50B,11.29B,11.29B,,,,8.60B,25.39B,0.00,1.483B,15.10B,40.64B,39.09B,5.245B,101.56B,-53.24B,48.32B,68.72B,104.43B,173.15B,7.683B,,8.866B,238.02B,263.41B,,10.83B,10.83B,12.25B,23.07B,4.452B,4.452B,2.768B,2.768B,,,30.29B,97.76B,97.76B,28.18B,28.18B,1.148B,1.372B,21.93B,149.25B,179.54B,,54.00M,50.70B,38.45B,7.517B,,,,1.047B,82.73B,,AOR,Restated
2019-09,3.507B,,3.507B,10.68B,10.68B,,,,8.132B,22.32B,,,,,,,99.77B,-52.98B,46.79B,66.91B,103.18B,170.09B,8.289B,,8.883B,234.05B,256.37B,,10.20B,10.20B,11.81B,22.01B,1.039B,1.039B,2.944B,2.944B,,,25.99B,99.85B,99.85B,27.99B,27.99B,1.016B,1.368B,22.02B,151.22B,177.21B,,54.00M,48.57B,38.20B,7.517B,,,,-1.159B,78.14B,,AOR,Restated
2019-06,3.919B,,3.919B,10.84B,10.84B,,,,6.607B,21.36B,,,,,,,98.51B,-52.47B,46.05B,67.94B,103.99B,171.94B,8.438B,,8.77B,235.19B,256.56B,,10.01B,10.01B,11.99B,22.00B,6.365B,6.365B,2.642B,2.642B,,,31.01B,101.25B,101.25B,28.00B,28.00B,980.00M,1.329B,17.14B,147.72B,178.72B,,54.00M,46.42B,37.95B,7.517B,,,,-62.00M,76.85B,,AOR,Restated
2019-03,3.498B,,3.498B,10.74B,10.74B,,,,6.039B,20.27B,,,,,,,97.65B,-51.93B,45.72B,68.07B,104.32B,172.39B,9.159B,,8.645B,235.92B,256.19B,,10.23B,10.23B,10.57B,20.80B,4.629B,4.629B,2.485B,2.485B,,,27.92B,104.46B,104.46B,27.82B,27.82B,903.00M,1.316B,18.81B,152.41B,180.33B,,54.00M,44.38B,37.62B,7.517B,,,,422.00M,74.96B,,AOR,Restated
2018-12,3.814B,,3.814B,11.10B,11.10B,,,,6.93B,21.85B,0.00,1.539B,14.19B,38.38B,38.64B,2.991B,95.74B,-51.31B,44.44B,66.15B,105.56B,171.71B,7.883B,,5.802B,229.84B,251.68B,,8.494B,8.494B,12.53B,21.02B,4.398B,4.398B,2.182B,2.182B,,,27.60B,107.34B,107.34B,27.59B,27.59B,889.00M,1.316B,15.33B,151.58B,179.18B,,54.00M,41.98B,37.46B,7.517B,,,,-368.00M,71.61B,,AOR,Restated
2018-09,10.62B,,10.62B,8.983B,8.983B,,,,3.607B,23.21B,,,,,,,90.79B,-50.93B,39.86B,36.70B,85.39B,122.09B,7.724B,,7.756B,177.43B,200.64B,,7.036B,7.036B,7.785B,14.82B,3.173B,3.173B,1.633B,1.633B,,,19.63B,69.71B,69.71B,25.17B,25.17B,822.00M,1.317B,12.47B,108.66B,128.29B,,54.00M,41.22B,37.39B,7.517B,,,,374.00M,71.52B,,AOR,Restated
2018-06,5.726B,,5.726B,8.847B,8.847B,,,,3.642B,18.22B,,,,,,,90.09B,-50.73B,39.36B,36.87B,85.62B,122.50B,7.438B,,3.744B,173.03B,191.25B,,6.94B,6.94B,7.687B,14.63B,2.634B,2.634B,1.746B,1.746B,,,19.01B,61.95B,61.95B,25.14B,25.14B,1.049B,1.343B,12.07B,100.50B,119.50B,,54.00M,40.27B,37.43B,7.517B,,,,461.00M,70.69B,,AOR,Restated
2018-03,6.03B,,6.03B,8.759B,8.759B,,,,3.964B,18.75B,,,,,,,89.46B,-50.39B,39.07B,37.15B,85.11B,122.25B,7.095B,,3.707B,172.12B,190.88B,,7.349B,7.349B,7.213B,14.56B,3.039B,3.039B,1.578B,1.578B,,,19.18B,63.68B,63.68B,24.70B,24.70B,1.228B,1.354B,11.25B,100.99B,120.17B,,55.00M,38.96B,37.38B,7.517B,,,,608.00M,69.48B,,AOR,Restated
2017-12,3.428B,,3.428B,8.834B,8.834B,,,,4.081B,16.34B,0.00,1.332B,12.35B,36.05B,36.91B,1.752B,88.39B,-49.92B,38.47B,36.78B,84.58B,121.36B,6.931B,,4.354B,171.12B,187.46B,,6.908B,6.908B,8.264B,15.17B,5.134B,5.134B,1.687B,1.687B,,,21.99B,59.42B,59.42B,24.26B,24.26B,843.00M,1.357B,10.97B,96.01B,118.00B,,55.00M,38.20B,37.50B,7.517B,,,,379.00M,68.62B,,AOR,Restated
2017-09,4.114B,,4.114B,7.915B,7.915B,,,,3.931B,15.96B,,,,,,,87.80B,-49.94B,37.86B,36.75B,84.89B,121.64B,6.695B,,3.145B,169.34B,185.30B,,6.976B,6.976B,7.66B,14.64B,5.241B,5.241B,1.572B,1.572B,,,21.45B,59.72B,59.72B,35.60B,35.60B,836.00M,1.353B,10.91B,107.59B,129.04B,,55.00M,24.98B,37.53B,7.517B,,,,381.00M,55.43B,,AOR,Restated
2017-06,2.693B,,2.693B,7.849B,7.849B,,,,4.29B,14.83B,,,,,,,87.12B,-49.95B,37.17B,36.74B,84.87B,121.61B,6.521B,,2.899B,168.20B,183.03B,,6.73B,6.73B,7.74B,14.47B,6.358B,6.358B,1.448B,1.448B,,,22.28B,57.21B,57.21B,35.41B,35.41B,843.00M,1.451B,10.84B,104.91B,127.18B,,56.00M,24.56B,37.48B,7.517B,,,,428.00M,55.00B,,AOR,Restated
2017-03,4.022B,,4.022B,7.525B,7.525B,,,,3.698B,15.24B,,,,,,,86.62B,-49.99B,36.63B,36.59B,85.35B,121.94B,5.938B,,2.732B,167.23B,182.48B,,6.658B,6.658B,7.673B,14.33B,3.509B,3.509B,1.234B,1.234B,,,19.07B,58.28B,58.28B,35.35B,35.35B,2.589B,1.456B,10.68B,105.76B,124.83B,,56.00M,24.06B,38.12B,7.517B,,,,342.00M,55.06B,,AOR,Restated
