,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,390.00M,8.00M,15.00M,72.00M,419.00M,419.00M,96.00M,51.00M,,26.00M,-109.00M,,,109.00M,-46.00M,,17.00M,-29.00M,1.029B,,-343.00M,,,3.00M,,17.00M,-323.00M,,-2.409B,-2.409B,,0.00,0.00,-230.00M,-230.00M,7.00M,-37.00M,-2.669B,,2.772B,-1.963B,4.00M,813.00M,,,828.00M,-3.237B,0.00,,AOR,
2020-06,307.00M,61.00M,14.00M,71.00M,414.00M,414.00M,-31.00M,10.00M,,25.00M,58.00M,,,-48.00M,9.00M,,19.00M,38.00M,856.00M,,-436.00M,,,3.00M,,18.00M,-415.00M,,-680.00M,-680.00M,,0.00,0.00,-230.00M,-230.00M,11.00M,-8.00M,-907.00M,,3.237B,-466.00M,1.00M,2.772B,,,0.00,-680.00M,0.00,,AOR,
2020-03,361.00M,7.00M,19.00M,23.00M,402.00M,402.00M,-4.00M,13.00M,,24.00M,127.00M,,,-123.00M,-10.00M,,-62.00M,-68.00M,765.00M,,-459.00M,,,11.00M,,-55.00M,-503.00M,,-25.00M,-25.00M,,-402.00M,-402.00M,-236.00M,-236.00M,31.00M,-36.00M,-668.00M,,3.647B,-406.00M,-4.00M,3.237B,,,0.00,-25.00M,-402.00M,,AOR,
2019-12,447.00M,34.00M,16.00M,42.00M,395.00M,395.00M,71.00M,24.00M,,26.00M,-51.00M,,,30.00M,29.00M,,-3.00M,5.00M,1.022B,,-286.00M,,,12.00M,,-6.00M,-280.00M,,94.00M,94.00M,,0.00,0.00,-218.00M,-218.00M,7.00M,1.00M,-116.00M,,3.02B,626.00M,1.00M,3.647B,,,125.00M,-31.00M,0.00,,AOR,
2019-09,495.00M,1.00M,14.00M,2.00M,404.00M,404.00M,41.00M,19.00M,,25.00M,-21.00M,,,86.00M,-47.00M,,-60.00M,-42.00M,952.00M,,-483.00M,,,-64.00M,,16.00M,-531.00M,,470.00M,470.00M,,0.00,0.00,-218.00M,-218.00M,15.00M,-9.00M,258.00M,,2.342B,679.00M,-1.00M,3.02B,,,-414.00M,884.00M,0.00,,AOR,Restated
2019-06,382.00M,23.00M,16.00M,120.00M,409.00M,409.00M,-13.00M,16.00M,,24.00M,-193.00M,,,244.00M,4.00M,,8.00M,63.00M,1.01B,,-578.00M,,,-38.00M,,-149.00M,-765.00M,,2.284B,2.284B,,-180.00M,-180.00M,-217.00M,-217.00M,20.00M,-127.00M,1.78B,,315.00M,2.025B,2.00M,2.342B,,,3.614B,-1.33B,-180.00M,,AOR,Restated
2019-03,347.00M,55.00M,9.00M,62.00M,366.00M,366.00M,1.00M,27.00M,,23.00M,212.00M,,,-117.00M,-9.00M,,-32.00M,54.00M,890.00M,,-471.00M,,,-382.00M,,53.00M,-800.00M,,301.00M,301.00M,,-68.00M,-68.00M,-223.00M,-223.00M,25.00M,7.00M,42.00M,,183.00M,132.00M,0.00,315.00M,,,357.00M,-56.00M,-68.00M,,AOR,Restated
2018-12,531.00M,-44.00M,12.00M,-58.00M,370.00M,370.00M,57.00M,26.00M,,24.00M,-59.00M,,,26.00M,6.00M,,-30.00M,-57.00M,912.00M,,-454.00M,,,-16.00M,,-193.00M,-663.00M,,-46.00M,-46.00M,,-254.00M,-254.00M,-197.00M,-197.00M,7.00M,-3.00M,-493.00M,,430.00M,-244.00M,-3.00M,183.00M,,,115.00M,-161.00M,-254.00M,,AOR,Restated
2018-09,498.00M,28.00M,9.00M,26.00M,376.00M,376.00M,-11.00M,22.00M,,24.00M,-159.00M,,,146.00M,-13.00M,,-48.00M,-74.00M,874.00M,,-404.00M,,,-69.00M,,-23.00M,-496.00M,,29.00M,29.00M,,-200.00M,-200.00M,-199.00M,-199.00M,12.00M,-10.00M,-368.00M,,419.00M,10.00M,1.00M,430.00M,,,171.00M,-142.00M,-200.00M,,AOR,Restated
2018-06,499.00M,-39.00M,13.00M,-31.00M,384.00M,384.00M,-6.00M,18.00M,,24.00M,19.00M,,,150.00M,-1.00M,,-91.00M,77.00M,975.00M,,-436.00M,,,65.00M,,-2.00M,-373.00M,,-122.00M,-122.00M,,-300.00M,-300.00M,-200.00M,-200.00M,10.00M,3.00M,-609.00M,,426.00M,-7.00M,0.00,419.00M,,,-6.00M,-116.00M,-300.00M,,AOR,Restated
