,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,14.65B,,14.65B,2.666B,,2.666B,16.16B,16.16B,1.032B,34.50B,,,,,52.78B,,,52.78B,-23.50B,29.28B,2.236B,,2.236B,,897.00M,32.41B,66.92B,12.90B,861.00M,13.76B,5.638B,19.40B,2.491B,2.491B,842.00M,3.333B,2.664B,2.664B,,25.40B,32.83B,4.88B,37.71B,,,,2.278B,39.99B,65.38B,89.00M,56.89B,11.31B,65.79B,,,-965.00M,1.535B
2020-07,14.14B,,14.14B,2.562B,,2.562B,13.50B,13.50B,1.162B,31.36B,,,,,51.72B,,,51.72B,-22.90B,28.82B,2.233B,,2.233B,,932.00M,31.99B,63.35B,11.69B,907.00M,12.60B,5.783B,18.38B,2.476B,2.476B,831.00M,3.307B,2.511B,2.511B,,24.20B,32.37B,4.895B,37.26B,,,,2.299B,39.56B,63.76B,89.00M,55.07B,11.23B,65.79B,,,-1.012B,-414.00M
2020-04,8.696B,,8.696B,2.61B,,2.61B,14.99B,14.99B,982.00M,27.28B,,,,,28.33B,,,28.33B,,28.33B,2.22B,,2.22B,,909.00M,31.46B,58.74B,10.06B,855.00M,10.91B,5.205B,16.12B,4.20B,4.20B,853.00M,5.053B,2.179B,2.179B,,23.35B,31.62B,5.075B,36.70B,,,,2.182B,38.88B,62.23B,89.00M,52.35B,11.01B,65.79B,,,-1.148B,-3.49B
2020-01,2.133B,,2.133B,1.738B,368.00M,2.106B,14.53B,14.53B,1.04B,19.81B,0.0,8.39B,18.43B,13.67B,7.173B,1.005B,1.789B,50.46B,-22.09B,28.36B,2.254B,,2.254B,,807.00M,31.43B,51.24B,7.787B,660.00M,8.447B,4.171B,12.62B,2.813B,2.813B,828.00M,3.641B,2.116B,2.116B,,18.38B,28.67B,5.066B,33.74B,706.00M,706.00M,,1.535B,35.98B,54.35B,89.00M,51.73B,11.00B,65.20B,,,-739.00M,-3.116B
2019-10,2.193B,,2.193B,2.231B,,2.231B,15.71B,15.71B,1.039B,21.17B,,,,,49.81B,,,49.81B,-21.70B,28.11B,2.253B,,2.253B,,772.00M,31.14B,52.31B,9.24B,686.00M,9.926B,4.177B,14.10B,2.513B,2.513B,828.00M,3.341B,2.121B,2.121B,,19.56B,26.60B,5.113B,31.71B,,,,2.116B,33.83B,53.39B,89.00M,50.73B,10.75B,61.85B,,,-801.00M,-1.082B
2019-07,2.547B,,2.547B,2.274B,,2.274B,14.74B,14.74B,1.137B,20.70B,,,,,49.48B,,,49.48B,-21.30B,28.18B,2.254B,,2.254B,,881.00M,31.31B,52.01B,9.494B,766.00M,10.26B,4.159B,14.42B,1.315B,1.315B,831.00M,2.146B,2.233B,2.233B,,18.80B,27.06B,5.263B,32.33B,,,,2.045B,34.37B,53.17B,89.00M,49.45B,10.78B,60.70B,,,-776.00M,-1.16B
2019-04,1.882B,,1.882B,2.317B,,2.317B,15.50B,15.50B,859.00M,20.55B,,,,,48.80B,,,48.80B,-20.90B,27.90B,2.25B,,2.25B,,813.00M,30.96B,51.52B,10.31B,789.00M,11.10B,4.309B,15.41B,1.456B,1.456B,793.00M,2.249B,2.015B,2.015B,,19.67B,26.80B,5.145B,31.95B,,,,2.036B,33.98B,53.66B,89.00M,47.46B,10.59B,59.45B,,,-835.00M,-2.143B
2019-01,1.778B,,1.778B,1.64B,296.00M,1.936B,13.92B,13.92B,890.00M,18.53B,0.0,8.363B,18.20B,12.46B,1.392B,820.00M,1.705B,42.94B,-20.56B,22.38B,2.252B,,2.252B,,847.00M,25.47B,44.00B,7.755B,667.00M,8.422B,4.117B,12.54B,2.395B,2.395B,0.00,2.395B,1.782B,1.782B,,16.72B,26.81B,0.00,26.81B,491.00M,491.00M,,1.867B,29.16B,45.88B,89.00M,46.42B,10.58B,58.20B,,,-772.00M,-1.878B
2018-10,1.764B,,1.764B,2.171B,,2.171B,14.75B,14.75B,1.12B,19.81B,,,,,42.35B,,,42.35B,-20.29B,22.05B,2.258B,,2.258B,,1.079B,25.39B,45.20B,9.054B,652.00M,9.706B,4.18B,13.89B,,2.452B,,2.452B,1.858B,1.858B,,18.20B,23.33B,,23.33B,,,,2.352B,25.68B,43.88B,89.00M,45.24B,10.41B,53.70B,,,-717.00M,1.32B
2018-07,3.49B,,3.49B,2.164B,,2.164B,14.04B,14.04B,1.104B,20.80B,,,,,41.86B,,,41.86B,-19.96B,21.91B,2.251B,,2.251B,,1.27B,25.43B,46.23B,9.407B,750.00M,10.16B,4.077B,14.23B,,2.203B,,2.203B,1.989B,1.989B,,18.43B,23.30B,,23.30B,,,,2.502B,25.80B,44.22B,89.00M,43.54B,10.08B,50.93B,,,-774.00M,2.009B
2018-04,3.599B,,3.599B,2.296B,,2.296B,14.43B,14.43B,887.00M,21.21B,,,,,41.60B,,,41.60B,-19.67B,21.93B,2.281B,,2.281B,,1.227B,25.44B,46.65B,9.726B,730.00M,10.46B,4.217B,14.67B,,1.549B,,1.549B,1.911B,1.911B,,18.13B,24.24B,,24.24B,,,,2.586B,26.83B,44.96B,89.00M,41.22B,10.02B,49.04B,,,-596.00M,1.687B
2018-01,3.595B,,3.595B,1.604B,348.00M,1.952B,12.75B,12.75B,638.00M,18.93B,0.0,8.352B,18.07B,11.51B,1.308B,538.00M,1.637B,41.41B,-19.34B,22.08B,2.275B,,2.275B,,1.246B,25.60B,44.53B,7.244B,574.00M,7.818B,3.81B,11.63B,,2.761B,,2.761B,1.805B,1.805B,,16.19B,24.27B,,24.27B,440.00M,440.00M,,2.174B,26.88B,43.08B,89.00M,39.94B,10.19B,48.20B,,,-566.00M,1.454B
2017-10,3.549B,,3.549B,2.166B,,2.166B,13.42B,13.42B,548.00M,19.68B,,,,,41.61B,,,41.61B,-19.65B,21.96B,2.217B,,2.217B,,1.164B,25.34B,45.02B,8.57B,768.00M,9.338B,3.553B,12.89B,,1.323B,,1.323B,1.788B,1.788B,,16.00B,24.27B,,24.27B,244.00M,244.00M,,1.968B,26.48B,42.48B,89.00M,39.19B,9.883B,45.99B,,,-629.00M,2.543B
2017-07,4.83B,,4.83B,2.187B,,2.187B,12.87B,12.87B,626.00M,20.51B,,,,,41.40B,,,41.40B,-19.37B,22.04B,2.235B,,2.235B,,1.178B,25.45B,45.96B,8.541B,1.04B,9.581B,3.766B,13.35B,,545.00M,,545.00M,1.931B,1.931B,,15.82B,24.42B,,24.42B,237.00M,237.00M,,1.923B,26.58B,42.40B,89.00M,38.07B,9.958B,44.08B,,,-482.00M,3.554B
2017-04,3.565B,,3.565B,2.164B,,2.164B,13.61B,13.61B,558.00M,19.90B,,,,,40.66B,,,40.66B,-18.87B,21.79B,2.095B,,2.095B,,1.164B,25.05B,44.94B,9.138B,1.614B,10.75B,3.31B,14.06B,,544.00M,,544.00M,1.832B,1.832B,,16.44B,22.39B,,22.39B,235.00M,235.00M,,1.916B,24.54B,40.98B,89.00M,36.46B,9.779B,41.44B,,,-923.00M,3.962B
2017-01,2.538B,,2.538B,1.57B,459.00M,2.029B,12.55B,12.55B,608.00M,17.72B,0.0,8.207B,17.77B,11.02B,1.169B,739.00M,1.519B,40.43B,-18.51B,21.91B,2.093B,,2.093B,,1.235B,25.24B,42.97B,7.00B,533.00M,7.533B,3.679B,11.21B,,1.252B,,1.252B,1.669B,1.669B,,14.13B,22.35B,,22.35B,296.00M,296.00M,,1.855B,24.50B,38.63B,88.00M,35.52B,9.787B,40.19B,,,-867.00M,4.333B
2016-10,3.589B,,3.589B,1.995B,,1.995B,13.24B,13.24B,523.00M,19.35B,,,,,40.02B,,,40.02B,-18.18B,21.84B,2.095B,,2.095B,,1.219B,25.15B,44.50B,8.054B,717.00M,8.771B,3.485B,12.26B,,543.00M,,543.00M,1.632B,1.632B,,14.43B,22.34B,,22.34B,255.00M,255.00M,,1.856B,24.45B,38.88B,88.00M,34.61B,9.628B,37.82B,,,-883.00M,5.622B
2016-07,4.018B,,4.018B,1.995B,,1.995B,12.32B,12.32B,605.00M,18.94B,,,,,39.83B,,,39.83B,-17.86B,21.98B,2.106B,,2.106B,,1.225B,25.31B,44.25B,8.273B,1.009B,9.282B,3.534B,12.82B,,43.00M,,43.00M,1.666B,1.666B,,14.52B,20.90B,,20.90B,291.00M,291.00M,,1.874B,23.06B,37.59B,88.00M,33.49B,9.549B,35.69B,,,-778.00M,6.657B
2016-04,3.257B,,3.257B,1.989B,,1.989B,13.22B,13.22B,545.00M,19.01B,,,,,39.82B,,,39.82B,-17.57B,22.24B,2.123B,,2.123B,,1.20B,25.57B,44.58B,8.711B,1.508B,10.22B,3.279B,13.50B,,44.00M,,44.00M,1.607B,1.607B,,15.15B,20.90B,,20.90B,303.00M,303.00M,,1.885B,23.09B,38.24B,88.00M,31.91B,9.362B,34.44B,,,-578.00M,6.335B
2016-01,2.216B,,2.216B,1.89B,,1.89B,11.81B,11.81B,569.00M,16.48B,0.0,8.149B,17.67B,10.28B,1.02B,670.00M,1.481B,39.27B,-17.08B,22.19B,2.102B,,2.102B,,1.196B,25.49B,41.97B,6.565B,510.00M,7.075B,3.456B,10.53B,,427.00M,,427.00M,1.566B,1.566B,,12.52B,20.79B,,20.79B,379.00M,379.00M,,1.965B,23.13B,35.66B,88.00M,30.97B,9.347B,33.19B,,,-898.00M,6.316B
2015-10,3.04B,,3.04B,1.942B,,1.942B,12.50B,12.50B,1.129B,18.61B,,,,,39.12B,,,39.12B,-16.92B,22.19B,2.111B,,2.111B,,1.241B,25.55B,44.15B,7.236B,748.00M,7.984B,3.432B,11.42B,,3.047B,,3.047B,1.513B,1.513B,,15.98B,17.82B,,17.82B,793.00M,793.00M,,1.949B,20.56B,36.53B,88.00M,30.25B,8.966B,31.02B,,,-662.00M,7.619B
2015-07,4.936B,,4.936B,1.696B,,1.696B,11.86B,11.86B,1.04B,19.53B,,,,,38.86B,,,38.86B,-16.56B,22.30B,1.34B,,1.34B,,625.00M,24.27B,43.80B,7.495B,783.00M,8.278B,3.412B,11.69B,,3.057B,,3.057B,1.652B,1.652B,,16.40B,16.32B,,16.32B,560.00M,560.00M,,1.884B,18.76B,35.16B,88.00M,29.28B,8.972B,29.12B,,,-582.00M,8.637B
2015-04,2.827B,,2.827B,1.839B,,1.839B,12.31B,12.31B,1.023B,18.00B,,,,,38.80B,,,38.80B,-16.24B,22.56B,1.359B,,1.359B,,594.00M,24.52B,42.51B,8.07B,1.263B,9.333B,3.015B,12.35B,,3.054B,,3.054B,1.603B,1.603B,,17.00B,13.82B,,13.82B,600.00M,600.00M,,1.883B,16.30B,33.31B,88.00M,27.80B,8.957B,27.32B,,,-327.00M,9.204B
2015-01,1.723B,,1.723B,1.484B,,1.484B,11.08B,11.08B,1.016B,15.30B,0.0,8.243B,17.76B,9.602B,905.00M,585.00M,1.419B,38.51B,-15.79B,22.72B,1.353B,,1.353B,,571.00M,24.64B,39.95B,5.807B,469.00M,6.276B,3.197B,9.473B,,328.00M,,328.00M,1.468B,1.468B,,11.27B,16.87B,,16.87B,642.00M,642.00M,,1.844B,19.36B,30.62B,88.00M,27.00B,8.885B,26.19B,,,-452.00M,9.322B
2014-10,2.181B,,2.181B,1.611B,,1.611B,12.01B,12.01B,949.00M,16.75B,,,,,39.74B,,,39.74B,-16.80B,22.94B,1.283B,,1.283B,,540.00M,24.76B,41.51B,6.897B,590.00M,7.487B,3.315B,10.80B,,34.00M,,34.00M,1.424B,1.424B,,12.26B,16.69B,,16.69B,512.00M,512.00M,,1.937B,19.14B,31.40B,88.00M,26.23B,8.742B,24.94B,,,-18.00M,10.11B
2014-07,4.216B,,4.216B,1.637B,,1.637B,11.66B,11.66B,973.00M,18.49B,,,,,39.60B,,,39.60B,-16.48B,23.13B,1.295B,,1.295B,,567.00M,24.99B,43.48B,7.165B,940.00M,8.105B,3.197B,11.30B,,34.00M,,34.00M,1.503B,1.503B,,12.84B,16.70B,,16.70B,528.00M,528.00M,,1.953B,19.18B,32.02B,88.00M,25.32B,8.217B,22.26B,,,91.00M,11.46B
2014-04,2.511B,,2.511B,1.831B,,1.831B,12.34B,12.34B,830.00M,17.52B,,,,,39.33B,,,39.33B,-16.09B,23.24B,1.293B,,1.293B,,583.00M,25.11B,42.63B,7.739B,1.143B,8.882B,2.908B,11.79B,,34.00M,,34.00M,1.441B,1.441B,,13.26B,14.71B,,14.71B,498.00M,498.00M,,2.013B,17.22B,30.48B,88.00M,23.91B,8.501B,20.44B,,,88.00M,12.15B
2014-01,1.929B,,1.929B,1.398B,,1.398B,11.06B,11.06B,895.00M,15.28B,0.0,8.375B,17.95B,10.11B,696.00M,548.00M,1.388B,39.06B,-15.72B,23.35B,1.289B,,1.289B,,602.00M,25.24B,40.52B,5.797B,408.00M,6.205B,3.174B,9.379B,,33.00M,,33.00M,1.337B,1.337B,,10.75B,14.69B,,14.69B,514.00M,514.00M,,2.042B,17.25B,28.00B,88.00M,23.18B,8.402B,19.19B,,,46.00M,12.52B
