,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,33.54B,33.54B,22.08B,11.46B,6.076B,,340.00M,11.00M,-329.00M,6.604B,4.852B,11.00M,340.00M,-329.00M,,-329.00M,4.523B,1.091B,3.432B,,,3.432B,3.432B,5.494B,631.00M,4.863B,3.2,,3.2,3.2,3.18,,3.18,3.18,1.073B,1.078B,1.5
2020-07,38.05B,38.05B,25.11B,12.94B,6.355B,,346.00M,9.00M,-337.00M,6.874B,6.067B,9.00M,346.00M,-337.00M,,-337.00M,5.73B,1.398B,4.332B,,,4.332B,4.332B,6.691B,615.00M,6.076B,4.04,,4.04,4.04,4.02,,4.02,4.02,1.073B,1.077B,1.5
2020-04,28.26B,28.26B,18.64B,9.625B,5.829B,,324.00M,17.00M,-307.00M,6.349B,3.276B,17.00M,324.00M,-307.00M,,-307.00M,2.969B,724.00M,2.245B,,,2.245B,2.245B,3.90B,607.00M,3.293B,2.09,,2.09,2.09,2.08,,2.08,2.08,1.073B,1.077B,1.5
2020-01,25.78B,25.78B,17.05B,8.736B,4.814B,,309.00M,17.00M,-292.00M,5.333B,3.403B,17.00M,309.00M,-292.00M,,-292.00M,3.111B,630.00M,2.481B,,,2.481B,2.481B,4.015B,595.00M,3.42B,2.29,,2.29,2.29,2.28,,2.28,2.28,1.084B,1.088B,1.36
2019-10,27.22B,27.22B,17.84B,9.387B,4.942B,,302.00M,22.00M,-280.00M,5.44B,3.947B,22.00M,302.00M,-280.00M,,-280.00M,3.667B,898.00M,2.769B,,,2.769B,2.769B,4.563B,594.00M,3.969B,2.54,,2.54,2.54,2.53,,2.53,2.53,1.089B,1.094B,1.36
2019-07,30.84B,30.84B,20.41B,10.43B,5.044B,,302.00M,19.00M,-283.00M,5.536B,4.896B,19.00M,302.00M,-283.00M,,-283.00M,4.613B,1.134B,3.479B,,,3.479B,3.479B,5.475B,560.00M,4.915B,3.18,,3.18,3.18,3.17,,3.17,3.17,1.095B,1.099B,1.36
2019-04,26.38B,26.38B,17.36B,9.017B,4.94B,,288.00M,15.00M,-273.00M,5.42B,3.597B,15.00M,288.00M,-273.00M,,-273.00M,3.324B,811.00M,2.513B,,,2.513B,2.513B,4.159B,547.00M,3.612B,2.28,,2.28,2.28,2.27,,2.27,2.27,1.101B,1.106B,1.36
2019-01,26.49B,26.49B,17.46B,9.027B,4.922B,,269.00M,20.00M,-249.00M,5.402B,3.625B,20.00M,269.00M,-249.00M,,-249.00M,3.113B,769.00M,2.344B,,,2.344B,2.344B,3.931B,549.00M,3.382B,2.1,,2.1,2.1,2.09,,2.09,2.09,1.116B,1.122B,1.03
2018-10,26.30B,26.30B,17.15B,9.151B,4.808B,,249.00M,25.00M,-224.00M,5.281B,3.87B,25.00M,249.00M,-224.00M,,-224.00M,3.646B,779.00M,2.867B,,,2.867B,2.867B,4.436B,541.00M,3.895B,2.53,,2.53,2.53,2.51,,2.51,2.51,1.135B,1.141B,1.03
2018-07,30.46B,30.46B,20.10B,10.36B,5.004B,,272.00M,26.00M,-246.00M,5.464B,4.901B,26.00M,272.00M,-246.00M,,-246.00M,4.655B,1.149B,3.506B,,,3.506B,3.506B,5.457B,530.00M,4.927B,3.06,,3.06,3.06,3.05,,3.05,3.05,1.144B,1.149B,1.03
2018-04,24.95B,24.95B,16.33B,8.617B,4.779B,,261.00M,22.00M,-239.00M,5.236B,3.381B,22.00M,261.00M,-239.00M,,-239.00M,3.142B,738.00M,2.404B,,,2.404B,2.404B,3.935B,532.00M,3.403B,2.09,,2.09,2.09,2.08,,2.08,2.08,1.152B,1.158B,1.03
2018-01,23.88B,23.88B,15.79B,8.093B,4.44B,,269.00M,23.00M,-246.00M,4.904B,3.189B,23.00M,269.00M,-246.00M,,-246.00M,2.943B,1.164B,1.779B,,,1.779B,1.779B,3.741B,529.00M,3.212B,1.53,,1.53,1.53,1.52,,1.52,1.52,1.16B,1.166B,0.89
