,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,3.432B,,,631.00M,631.00M,-99.00M,,79.00M,29.00M,-103.00M,-2.638B,965.00M,138.00M,,152.00M,-1.486B,,2.586B,-471.00M,43.00M,43.00M,,,-3.00M,-431.00M,-30.00M,0.00,-30.00M,21.00M,0.00,21.00M,-1.614B,-1.614B,-5.00M,-1.628B,14.14B,527.00M,-14.00M,14.65B,21.00M,0.00,-30.00M,0.00,1.07B,399.00M
2020-07,4.332B,,,615.00M,615.00M,81.00M,,67.00M,-3.00M,57.00M,1.553B,2.252B,-188.00M,,326.00M,4.00B,,9.092B,-446.00M,4.00M,4.00M,,,,-442.00M,-1.779B,0.00,-1.779B,146.00M,0.00,146.00M,-1.612B,-1.612B,-2.00M,-3.247B,8.696B,5.403B,40.00M,14.14B,146.00M,0.00,-1.779B,0.00,1.552B,249.00M
2020-04,2.245B,,,607.00M,607.00M,-68.00M,,88.00M,31.00M,-534.00M,-633.00M,3.868B,62.00M,,71.00M,2.834B,,5.737B,-586.00M,8.00M,8.00M,,,,-578.00M,4.933B,-974.00M,3.959B,18.00M,-791.00M,-773.00M,-1.611B,-1.611B,-125.00M,1.45B,2.133B,6.609B,-46.00M,8.696B,18.00M,4.96B,-1.001B,-791.00M,59.00M,338.00M
2020-01,2.481B,,,595.00M,595.00M,95.00M,,54.00M,120.00M,128.00M,1.195B,-1.749B,17.00M,,-6.00M,-415.00M,,2.93B,-787.00M,16.00M,16.00M,,,-2.00M,-773.00M,1.992B,279.00M,2.271B,95.00M,-3.056B,-2.961B,-1.481B,-1.481B,-56.00M,-2.227B,2.193B,-70.00M,10.00M,2.133B,95.00M,2.016B,620.00M,-3.056B,560.00M,202.00M
2019-10,2.769B,,,594.00M,594.00M,49.00M,,58.00M,-15.00M,40.00M,-978.00M,-247.00M,92.00M,,-112.00M,-1.205B,,2.25B,-645.00M,10.00M,10.00M,,,4.00M,-631.00M,-16.00M,695.00M,679.00M,28.00M,-1.29B,-1.262B,-1.486B,-1.486B,-4.00M,-2.073B,2.547B,-454.00M,100.00M,2.193B,28.00M,0.00,679.00M,-1.29B,748.00M,352.00M
2019-07,3.479B,,,560.00M,560.00M,53.00M,,53.00M,-12.00M,53.00M,776.00M,-1.072B,-276.00M,,216.00M,-303.00M,,3.83B,-565.00M,5.00M,5.00M,,,-1.00M,-561.00M,389.00M,-372.00M,17.00M,123.00M,-1.251B,-1.128B,-1.492B,-1.492B,-18.00M,-2.621B,1.882B,648.00M,17.00M,2.547B,123.00M,1.404B,-1.387B,-1.251B,1.825B,213.00M
2019-04,2.513B,,,547.00M,547.00M,5.00M,,86.00M,91.00M,-391.00M,-1.586B,3.18B,32.00M,,236.00M,1.471B,,4.713B,-681.00M,6.00M,6.00M,,,-13.00M,-688.00M,-15.00M,-967.00M,-982.00M,34.00M,-1.368B,-1.334B,-1.499B,-1.499B,-98.00M,-3.913B,1.778B,112.00M,-8.00M,1.882B,34.00M,0.00,-982.00M,-1.368B,87.00M,345.00M
2019-01,2.344B,,,549.00M,549.00M,90.00M,,78.00M,15.00M,229.00M,797.00M,-1.494B,223.00M,,-76.00M,-321.00M,,3.002B,-731.00M,12.00M,12.00M,,,17.00M,-723.00M,3.449B,-59.00M,3.39B,96.00M,-4.445B,-4.349B,-1.156B,-1.156B,-125.00M,-2.24B,1.764B,39.00M,-25.00M,1.778B,96.00M,3.466B,144.00M,-4.445B,757.00M,180.00M
2018-10,2.867B,,,541.00M,541.00M,56.00M,,60.00M,-119.00M,-4.00M,-686.00M,-443.00M,-12.00M,,-131.00M,-1.276B,,2.129B,-620.00M,5.00M,5.00M,,,-3.00M,-618.00M,-1.164B,1.398B,234.00M,15.00M,-2.397B,-2.382B,-1.175B,-1.175B,-43.00M,-3.366B,3.49B,-1.855B,129.00M,1.764B,15.00M,0.00,234.00M,-2.397B,1.008B,340.00M
2018-07,3.506B,,,530.00M,530.00M,-111.00M,,60.00M,62.00M,127.00M,332.00M,-441.00M,-218.00M,,79.00M,-121.00M,,3.926B,-535.00M,8.00M,8.00M,,,,-527.00M,-18.00M,-350.00M,-368.00M,111.00M,-2.00B,-1.889B,-1.184B,-1.184B,27.00M,-3.414B,3.599B,-15.00M,-94.00M,3.49B,111.00M,0.00,-368.00M,-2.00B,1.89B,176.00M
2018-04,2.404B,,,532.00M,532.00M,-9.00M,,84.00M,-61.00M,-319.00M,-1.687B,3.079B,-250.00M,,208.00M,1.031B,,3.981B,-556.00M,8.00M,8.00M,,,,-548.00M,-10.00M,-1.209B,-1.219B,14.00M,-1.121B,-1.107B,-1.189B,-1.189B,115.00M,-3.40B,3.595B,33.00M,-29.00M,3.599B,14.00M,,-1.219B,-1.121B,119.00M,339.00M
2018-01,1.779B,,,529.00M,529.00M,,,59.00M,206.00M,234.00M,692.00M,-1.329B,-85.00M,,-101.00M,-589.00M,,2.29B,-543.00M,9.00M,9.00M,-114.00M,,,-652.00M,-9.00M,1.435B,1.426B,98.00M,-1.933B,-1.835B,-1.038B,-1.038B,-170.00M,-1.617B,3.549B,21.00M,25.00M,3.595B,98.00M,0.00,576.00M,-1.933B,1.027B,154.00M
2017-10,2.165B,,,518.00M,518.00M,,,66.00M,66.00M,1.00M,-588.00M,-303.00M,75.00M,,-55.00M,-870.00M,,1.879B,-508.00M,15.00M,15.00M,8.00M,,,-485.00M,484.00M,125.00M,609.00M,20.00M,-2.146B,-2.126B,-1.044B,-1.044B,-43.00M,-2.604B,4.83B,-1.21B,-71.00M,3.549B,20.00M,997.00M,-388.00M,-2.146B,1.437B,347.00M
2017-07,2.672B,,,510.00M,510.00M,,,67.00M,67.00M,49.00M,863.00M,-926.00M,-51.00M,,114.00M,49.00M,,3.298B,-388.00M,10.00M,10.00M,-268.00M,,,-646.00M,1.984B,0.00,1.984B,106.00M,-2.632B,-2.526B,-1.061B,-1.061B,35.00M,-1.568B,3.565B,1.084B,181.00M,4.83B,106.00M,1.994B,-10.00M,-2.632B,2.133B,169.00M
2017-04,2.014B,,,505.00M,505.00M,,,81.00M,81.00M,-145.00M,-1.051B,2.939B,51.00M,,170.00M,1.964B,,4.564B,-458.00M,13.00M,13.00M,,,,-445.00M,-11.00M,-710.00M,-721.00M,31.00M,-1.289B,-1.258B,-1.069B,-1.069B,-33.00M,-3.081B,2.538B,1.038B,-11.00M,3.565B,31.00M,,-721.00M,-1.289B,135.00M,321.00M
