,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,2.813B,2.819B,2.314B,505.01M,74.45M,81.00M,30.59M,1.011M,-29.58M,332.50M,532.23M,-27.22M,1.011M,30.59M,-29.58M,84.71M,-29.58M,27.92M,4.573M,23.34M,,,-25.75M,-2.401M,-70.98M,183.79M,125.28M,58.51M,,-0.01,,,-0.4333,-0.01,,-0.01,,,-0.4333,-0.01,,162.02M,162.02M,0.35,,AOR,
2020-06,2.053B,2.063B,1.307B,755.84M,75.37M,-436.91M,32.70M,1.506M,-31.19M,303.36M,508.91M,246.93M,1.506M,32.70M,-31.19M,-397.06M,-31.19M,-181.32M,-30.91M,-150.41M,,,-26.27M,-176.68M,184.06M,-18.44M,130.18M,-148.62M,,-1.09,,,1.138,-1.09,,-1.09,,,1.138,-1.09,,161.89M,161.89M,0.35,,AOR,
2020-03,3.377B,3.401B,3.254B,146.36M,87.74M,-25.92M,22.64M,4.073M,-18.57M,328.34M,556.66M,-410.30M,4.073M,22.64M,-18.57M,-26.58M,-18.57M,-455.45M,-162.17M,-293.29M,,,-11.34M,-304.62M,-285.21M,-292.24M,140.58M,-432.81M,,-1.88,,,-1.760,-1.88,,-1.88,,,-1.760,-1.88,,161.87M,161.87M,0.35,,AOR,
2019-12,4.423B,4.382B,3.641B,740.65M,93.26M,0.00,36.38M,5.012M,-31.37M,383.63M,611.47M,129.18M,5.012M,36.38M,-31.37M,2.547M,-31.37M,100.36M,19.29M,81.07M,,,-20.46M,60.60M,60.14M,271.32M,134.58M,136.74M,,0.38,,,0.3771,0.38,,0.37,,,0.3671,0.37,,161.34M,162.16M,0.35,,AOR,
2019-09,4.410B,4.425B,3.438B,987.00M,87.63M,0.00,36.03M,6.164M,-29.86M,345.58M,560.22M,426.78M,6.164M,36.03M,-29.86M,4.085M,-29.86M,401.00M,103.02M,297.98M,,,-36.17M,261.81M,261.52M,564.04M,127.02M,437.03M,,1.60,,,1.598,1.60,,1.58,,,1.578,1.58,,163.68M,165.01M,0.33,,AOR,Restated
2019-06,4.769B,4.783B,3.753B,1.030B,85.32M,-152.71M,34.26M,4.588M,-29.68M,333.25M,545.48M,484.45M,4.588M,34.26M,-29.68M,-148.62M,-29.68M,306.15M,89.34M,216.82M,,,-19.90M,196.92M,303.47M,467.32M,126.91M,340.42M,,1.16,,,1.789,1.16,,1.15,,,1.775,1.15,,169.36M,170.55M,0.33,,AOR,Restated
2019-03,3.884B,3.897B,2.967B,930.39M,88.03M,0.00,36.65M,6.375M,-30.27M,331.59M,541.05M,389.34M,6.375M,36.65M,-30.27M,4.922M,-30.27M,363.99M,87.50M,276.49M,,,-23.43M,253.06M,251.33M,522.06M,121.42M,400.64M,,1.48,,,1.470,1.48,,1.47,,,1.460,1.47,,170.85M,172.24M,0.33,,AOR,Restated
2018-12,4.391B,4.344B,3.575B,769.46M,85.96M,0.00,33.92M,6.232M,-27.68M,352.14M,551.81M,217.65M,6.232M,33.92M,-27.68M,1.851M,-27.68M,191.82M,28.50M,163.32M,,,-21.42M,141.90M,141.32M,339.45M,113.72M,225.74M,,0.82,,,0.8166,0.82,,0.81,,,0.8067,0.81,,172.44M,173.97M,0.33,,AOR,Restated
2018-09,4.757B,4.771B,3.770B,1.001B,71.13M,0.00,32.40M,5.136M,-27.26M,317.20M,497.21M,503.52M,5.136M,32.40M,-27.26M,2.136M,-27.26M,478.39M,116.26M,362.13M,,,-19.67M,342.47M,342.25M,619.67M,108.88M,510.79M,,1.95,,,1.949,1.95,,1.93,,,1.929,1.93,,175.10M,176.93M,0.33,,AOR,Restated
2018-06,4.461B,4.471B,3.489B,982.25M,68.68M,0.00,32.32M,2.934M,-29.39M,296.22M,475.27M,506.98M,2.934M,32.32M,-29.39M,2.773M,-29.39M,480.36M,117.45M,362.91M,,,-17.41M,345.51M,345.75M,623.06M,110.38M,512.68M,,1.96,,,1.961,1.96,,1.94,,,1.941,1.94,,175.90M,177.59M,0.33,,AOR,Restated
2018-03,4.105B,4.128B,3.243B,885.14M,64.66M,,32.72M,2.59M,-30.13M,320.29M,489.29M,395.85M,2.59M,32.72M,-30.13M,8.185M,-30.13M,373.90M,85.04M,288.86M,,,-20.77M,268.09M,263.79M,510.96M,104.34M,406.62M,,1.51,,,1.486,1.51,,1.50,,,1.476,1.50,,176.62M,177.95M,0.33,,AOR,Restated
2017-12,4.041B,3.993B,3.091B,901.38M,80.42M,36.25M,32.06M,1.667M,-30.40M,350.40M,536.55M,364.82M,1.667M,32.06M,-30.40M,36.84M,-30.40M,371.26M,-185.97M,557.23M,,,-36.15M,521.08M,500.89M,509.06M,105.73M,403.32M,,2.94,,,2.825,2.94,,2.92,,,2.807,2.92,,176.27M,178.94M,0.33,,AOR,Restated
2017-09,3.704B,3.719B,2.777B,941.83M,68.25M,0.00,28.73M,1.074M,-27.66M,322.28M,493.41M,448.41M,1.074M,28.73M,-27.66M,25.35M,-27.66M,446.10M,158.39M,287.72M,,,-15.70M,272.01M,259.68M,577.72M,102.88M,474.83M,,1.53,,,1.460,1.53,,1.53,,,1.460,1.53,,176.15M,176.53M,0.33,,AOR,Restated
2017-06,3.443B,3.459B,2.837B,621.42M,59.80M,-19.25M,29.64M,0.176M,-29.47M,316.26M,481.35M,140.08M,0.176M,29.64M,-29.47M,-4.539M,-29.47M,106.07M,32.00M,74.07M,,,-16.31M,57.77M,63.99M,241.00M,105.28M,135.71M,,0.33,,,0.3653,0.33,,0.33,,,0.3653,0.33,,176.15M,176.30M,0.33,,AOR,Restated
2017-03,3.063B,3.080B,2.653B,427.48M,57.26M,-12.22M,27.16M,0.819M,-26.34M,307.72M,461.02M,-33.54M,0.819M,27.16M,-26.34M,5.304M,-26.34M,-54.57M,-16.79M,-37.78M,,,-7.686M,-45.47M,-47.12M,68.63M,96.04M,-27.41M,,-0.26,,,-0.2694,-0.26,,-0.26,,,-0.2694,-0.26,,176.21M,176.21M,0.33,,AOR,Restated
2016-12,2.955B,2.955B,2.453B,501.85M,37.66M,0.00,26.30M,1.111M,-25.19M,261.00M,392.26M,109.60M,1.111M,26.30M,-25.19M,-0.988M,-25.19M,83.42M,12.95M,70.46M,,,-17.30M,53.16M,53.16M,203.31M,93.59M,109.72M,,0.30,,,0.30,0.30,,0.30,,,0.30,0.30,,175.93M,175.93M,0.33,,AOR,Restated
2016-09,2.847B,2.847B,2.342B,505.12M,32.99M,0.00,19.55M,0.778M,-18.77M,256.23M,380.36M,124.76M,0.778M,19.55M,-18.77M,3.874M,-18.77M,109.87M,22.20M,87.67M,,,-13.17M,74.50M,74.50M,220.55M,91.13M,129.42M,,0.42,,,0.42,0.42,,0.42,,,0.42,0.42,,175.87M,175.99M,0.33,,AOR,Restated
2016-06,2.715B,2.715B,2.110B,604.96M,29.66M,-654.08M,14.25M,0.527M,-13.72M,251.34M,371.41M,233.54M,0.527M,14.25M,-13.72M,-650.33M,-13.72M,-430.52M,-38.04M,-392.47M,,,-16.90M,-409.37M,187.16M,-325.84M,90.42M,-416.26M,,-2.33,,,1.062,-2.33,,-2.33,,,1.062,-2.33,,175.86M,175.86M,0.33,,AOR,Restated
2016-03,2.019B,2.019B,1.569B,449.68M,25.62M,-8.718M,12.09M,0.075M,-12.01M,252.58M,366.08M,83.60M,0.075M,12.09M,-12.01M,-5.888M,-12.01M,65.70M,22.31M,43.39M,,,-22.14M,21.25M,27.01M,165.66M,87.88M,77.78M,,0.12,,,0.1526,0.12,,0.12,,,0.1525,0.12,,176.74M,176.78M,0.33,,AOR,Restated
2015-12,2.944B,2.944B,2.590B,353.49M,34.41M,0.00,11.66M,0.988M,-10.67M,285.21M,410.20M,-56.71M,0.988M,11.66M,-10.67M,2.704M,-10.67M,-64.67M,-40.72M,-23.95M,,,-19.97M,-43.92M,-43.92M,37.56M,90.57M,-53.01M,,-0.24,,,-0.24,-0.24,,-0.24,,,-0.24,-0.24,,181.38M,181.91M,0.33,,AOR,Restated
2015-09,3.586B,3.586B,2.879B,706.51M,30.75M,0.00,11.10M,0.673M,-10.43M,265.40M,383.91M,322.60M,0.673M,11.10M,-10.43M,8.497M,-10.43M,320.67M,110.07M,210.61M,,,-14.28M,196.32M,191.57M,419.54M,87.76M,331.78M,,1.05,,,1.025,1.05,,1.04,,,1.015,1.04,,187.21M,187.34M,0.33,,AOR,Restated
