,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,21.89B,22.31B,15.01B,7.30B,4.77B,,,-1.06B,227.00M,6.00M,-221.00M,,5.125B,2.175B,6.00M,227.00M,-221.00M,-1.06B,-221.00M,894.00M,202.00M,692.00M,,,692.00M,1.512B,1.526B,405.00M,1.121B,0.92,,2.011,0.92,0.91,,1.9980000000000002,0.91,752.00M,754.00M,0.6
2020-07,26.87B,27.30B,18.00B,9.304B,5.02B,,,,221.00M,8.00M,-219.00M,,5.347B,3.957B,8.00M,221.00M,-219.00M,,-219.00M,3.738B,910.00M,2.828B,,,2.828B,2.828B,4.333B,374.00M,3.959B,3.74,,3.74,3.74,3.74,,3.74,3.74,752.00M,753.00M,0.55
2020-04,19.42B,19.68B,13.16B,6.513B,4.196B,,,,205.00M,5.00M,-205.00M,,4.522B,1.991B,5.00M,205.00M,-205.00M,,-205.00M,1.786B,449.00M,1.337B,,,1.337B,1.337B,2.364B,373.00M,1.991B,1.76,,1.76,1.76,1.76,,1.76,1.76,755.00M,756.00M,0.55
2020-01,15.54B,16.03B,11.05B,4.981B,3.685B,,,0.00,186.00M,3.00M,-183.00M,,4.023B,958.00M,3.00M,186.00M,-183.00M,,-183.00M,775.00M,265.00M,510.00M,,,510.00M,510.00M,1.342B,381.00M,961.00M,0.67,,0.67,0.67,0.66,,0.66,0.66,762.00M,763.00M,0.55
2019-10,16.92B,17.39B,11.75B,5.64B,3.772B,,,0.00,182.00M,5.00M,-177.00M,,4.082B,1.558B,5.00M,182.00M,-177.00M,,-177.00M,1.381B,332.00M,1.049B,,,1.049B,1.049B,1.908B,345.00M,1.563B,1.36,,1.36,1.36,1.36,,1.36,1.36,769.00M,770.00M,0.55
2019-07,20.57B,20.99B,14.25B,6.74B,4.048B,,,,179.00M,12.00M,-169.00M,,4.359B,2.381B,12.00M,179.00M,-169.00M,,-169.00M,2.212B,536.00M,1.676B,,,1.676B,1.676B,2.738B,347.00M,2.391B,2.14,,2.14,2.14,2.14,,2.14,2.14,781.00M,781.00M,0.55
2019-04,17.45B,17.74B,12.16B,5.581B,3.862B,,,,167.00M,7.00M,-162.00M,,4.164B,1.417B,7.00M,167.00M,-162.00M,,-162.00M,1.255B,209.00M,1.046B,,,1.046B,1.046B,1.759B,337.00M,1.422B,1.31,,1.31,1.31,1.31,,1.31,1.31,796.00M,797.00M,0.48
2019-01,15.21B,15.65B,10.75B,4.899B,5.098B,,,,164.00M,7.00M,-157.00M,,5.467B,-568.00M,7.00M,164.00M,-157.00M,,-157.00M,-725.00M,99.00M,-824.00M,,,-824.00M,-824.00M,-160.00M,401.00M,-561.00M,-1.03,,-1.03,-1.03,-1.03,,-1.03,-1.03,799.00M,800.00M,0.48
2018-10,16.96B,17.42B,12.04B,5.377B,3.997B,,,,162.00M,9.00M,-153.00M,,4.42B,957.00M,9.00M,162.00M,-153.00M,,-153.00M,804.00M,175.00M,629.00M,,,629.00M,629.00M,1.421B,455.00M,966.00M,0.78,,0.78,0.78,0.78,,0.78,0.78,806.00M,807.00M,0.48
2018-07,20.44B,20.89B,14.00B,6.885B,4.386B,,,,162.00M,9.00M,-153.00M,,4.722B,2.163B,9.00M,162.00M,-153.00M,,-153.00M,2.01B,490.00M,1.52B,,,1.52B,1.52B,2.536B,364.00M,2.172B,1.86,,1.86,1.86,1.86,,1.86,1.86,813.00M,814.00M,0.48
2018-04,17.12B,17.36B,11.61B,5.748B,3.934B,,,,163.00M,3.00M,-160.00M,,4.283B,1.465B,3.00M,163.00M,-160.00M,,-160.00M,1.305B,317.00M,988.00M,,,988.00M,988.00M,1.855B,387.00M,1.468B,1.19,,1.19,1.19,1.19,,1.19,1.19,825.00M,826.00M,0.41
2018-01,15.26B,15.49B,11.24B,4.251B,2.829B,,,0.00,160.00M,6.00M,-154.00M,,3.153B,1.098B,6.00M,160.00M,-154.00M,0.00,-154.00M,944.00M,390.00M,554.00M,,,554.00M,554.00M,1.496B,392.00M,1.104B,0.67,,0.67,0.67,0.67,,0.67,0.67,827.00M,828.00M,0.41
2017-10,16.56B,16.77B,11.06B,5.713B,3.808B,,,0.00,162.00M,2.00M,-160.00M,,4.166B,1.547B,2.00M,162.00M,-160.00M,,-160.00M,1.387B,515.00M,872.00M,,,872.00M,872.00M,1.929B,380.00M,1.549B,1.05,,1.05,1.05,1.05,,1.05,1.05,831.00M,832.00M,0.41
2017-07,19.27B,19.50B,12.82B,6.67B,3.931B,,,0.00,164.00M,5.00M,-159.00M,,4.288B,2.382B,5.00M,164.00M,-159.00M,,-159.00M,2.223B,804.00M,1.419B,,,1.419B,1.419B,2.766B,379.00M,2.387B,1.68,,1.68,1.68,1.68,,1.68,1.68,841.00M,842.00M,0.41
2017-04,16.86B,16.86B,11.06B,5.80B,3.876B,,,-464.00M,164.00M,3.00M,-161.00M,,4.241B,1.559B,3.00M,164.00M,-161.00M,-464.00M,-161.00M,934.00M,332.00M,602.00M,,,602.00M,901.28M,1.487B,389.00M,1.098B,0.7,,1.0490000000000002,0.7,0.7,,1.0490000000000002,0.7,857.00M,858.00M,0.35
2017-01,15.32B,15.78B,11.14B,4.642B,3.035B,,,0.00,161.00M,2.00M,-159.00M,,3.373B,1.269B,2.00M,161.00M,-159.00M,,-159.00M,1.11B,447.00M,663.00M,,0.00,663.00M,663.00M,1.671B,400.00M,1.271B,0.74,,0.74,0.74,0.74,,0.74,0.74,868.00M,868.00M,0.35
2016-10,15.74B,15.74B,10.33B,5.407B,4.084B,,,0.00,167.00M,4.00M,-163.00M,,4.468B,939.00M,4.00M,167.00M,-163.00M,,-163.00M,776.00M,397.00M,379.00M,,-1.00M,378.00M,378.00M,1.355B,412.00M,943.00M,0.43,,0.43,0.43,0.43,,0.43,0.43,873.00M,874.00M,0.35
2016-07,18.26B,18.26B,11.97B,6.288B,3.866B,,,0.00,170.00M,4.00M,-166.00M,,4.237B,2.051B,4.00M,170.00M,-166.00M,,-166.00M,1.885B,718.00M,1.167B,,,1.167B,1.167B,2.45B,395.00M,2.055B,1.32,,1.32,1.32,1.31,,1.31,1.31,883.00M,885.00M,0.35
2016-04,15.23B,15.23B,9.897B,5.337B,3.391B,,,0.00,158.00M,2.00M,-156.00M,,3.751B,1.586B,2.00M,158.00M,-156.00M,,-156.00M,1.43B,546.00M,884.00M,,,884.00M,884.00M,1.971B,383.00M,1.588B,0.98,,0.98,0.98,0.98,,0.98,0.98,897.00M,899.00M,0.28
2016-01,13.24B,13.24B,8.648B,4.588B,3.771B,,,,144.00M,1.00M,-143.00M,,4.15B,438.00M,1.00M,144.00M,-143.00M,,-143.00M,295.00M,284.00M,11.00M,,,11.00M,11.00M,834.00M,395.00M,439.00M,0.01,,0.01,0.01,0.01,,0.01,0.01,909.00M,909.00M,0.28
2015-10,14.36B,14.36B,9.37B,4.99B,3.287B,375.00M,,,142.00M,1.00M,-141.00M,,3.662B,1.328B,1.00M,142.00M,-141.00M,,-141.00M,1.187B,451.00M,736.00M,,0.00,736.00M,736.00M,1.73B,401.00M,1.329B,0.8,,0.8,0.8,0.8,,0.8,0.8,918.00M,921.00M,0.28
2015-07,17.35B,17.35B,11.37B,5.981B,3.634B,375.00M,,,135.00M,2.00M,-133.00M,,4.009B,1.972B,2.00M,135.00M,-133.00M,,-133.00M,1.839B,713.00M,1.126B,,,1.126B,1.126B,2.374B,400.00M,1.974B,1.2,,1.2,1.2,1.2,,1.2,1.2,931.00M,933.00M,0.28
2015-04,14.13B,14.13B,9.117B,5.012B,3.415B,365.00M,,,134.00M,0.00,-134.00M,,3.78B,1.232B,0.00,134.00M,-134.00M,,-134.00M,1.098B,425.00M,673.00M,,,673.00M,673.00M,1.623B,391.00M,1.232B,0.7,,0.7,0.7,0.7,,0.7,0.7,950.00M,952.00M,0.23
2015-01,12.54B,12.54B,8.194B,4.347B,3.157B,,,,136.00M,4.00M,-132.00M,,3.528B,819.00M,4.00M,136.00M,-132.00M,,-132.00M,687.00M,237.00M,450.00M,,,450.00M,450.00M,1.21B,387.00M,823.00M,0.46,,0.46,0.46,0.46,,0.46,0.46,964.00M,966.00M,0.23
2014-10,13.68B,13.68B,8.963B,4.718B,3.255B,375.00M,,,135.00M,1.00M,-134.00M,,3.63B,1.088B,1.00M,135.00M,-134.00M,,-134.00M,954.00M,369.00M,585.00M,,,585.00M,585.00M,1.49B,401.00M,1.089B,0.59,,0.59,0.59,0.59,,0.59,0.59,978.00M,980.00M,0.23
2014-07,16.60B,16.60B,10.86B,5.735B,3.541B,375.00M,,,127.00M,1.00M,-126.00M,,3.916B,1.819B,1.00M,127.00M,-126.00M,,-126.00M,1.693B,654.00M,1.039B,,,1.039B,1.039B,2.22B,400.00M,1.82B,1.04,,1.04,1.04,1.04,,1.04,1.04,995.00M,996.00M,0.23
2014-04,13.40B,13.40B,8.645B,4.758B,3.319B,373.00M,,,125.00M,1.00M,-124.00M,,3.692B,1.066B,1.00M,125.00M,-124.00M,,-124.00M,942.00M,318.00M,624.00M,,,624.00M,624.00M,1.465B,398.00M,1.067B,0.61,,0.61,0.61,0.61,,0.61,0.61,1.015B,1.017B,0.18
2014-01,11.66B,11.66B,7.618B,4.042B,3.045B,370.00M,,,129.00M,1.00M,-128.00M,,3.415B,627.00M,1.00M,129.00M,-128.00M,,-128.00M,499.00M,193.00M,306.00M,,,306.00M,306.00M,1.023B,395.00M,628.00M,0.29,,0.29,0.29,0.29,,0.29,0.29,1.035B,1.037B,0.18
2013-10,12.96B,12.96B,8.476B,4.481B,3.184B,373.00M,,,126.00M,1.00M,-125.00M,,3.557B,924.00M,1.00M,126.00M,-125.00M,,-125.00M,799.00M,300.00M,499.00M,,,499.00M,499.00M,1.325B,400.00M,925.00M,0.47,,0.47,0.47,0.47,,0.47,0.47,1.047B,1.049B,0.18
2013-07,15.71B,15.71B,10.31B,5.397B,3.414B,367.00M,,,111.00M,1.00M,-110.00M,,3.781B,1.616B,1.00M,111.00M,-110.00M,,-110.00M,1.506B,565.00M,941.00M,,,941.00M,941.00M,2.008B,391.00M,1.617B,0.88,,0.88,0.88,0.88,,0.88,0.88,1.067B,1.068B,0.18
2013-04,13.09B,13.09B,8.533B,4.555B,3.222B,352.00M,,,114.00M,1.00M,-113.00M,,3.574B,981.00M,1.00M,114.00M,-113.00M,,-113.00M,868.00M,328.00M,540.00M,,,540.00M,540.00M,1.358B,376.00M,982.00M,0.49,,0.49,0.49,0.49,,0.49,0.49,1.088B,1.09B,0.16
2013-01,11.05B,11.05B,7.261B,3.785B,2.808B,412.00M,,,112.00M,2.00M,-110.00M,,3.22B,565.00M,2.00M,112.00M,-110.00M,,-110.00M,455.00M,166.00M,289.00M,,,289.00M,289.00M,1.005B,438.00M,567.00M,0.26,,0.26,0.26,0.26,,0.26,0.26,1.111B,1.113B,0.16
