,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-10,8.249B,1.852B,10.10B,,,15.71B,15.71B,,1.103B,26.92B,18.68B,,,,3.823B,,,22.51B,,22.51B,,,202.00M,241.00M,1.015B,23.96B,50.88B,12.76B,,,12.76B,,12.76B,,609.00M,609.00M,530.00M,1.139B,1.614B,1.614B,2.935B,19.56B,21.18B,3.907B,25.09B,,1.007B,1.007B,,1.144B,27.24B,46.81B,376.00M,3.942B,0.00,-245.00M,4.073B
2020-07,11.64B,1.085B,12.73B,,,13.83B,13.83B,,1.16B,27.72B,18.61B,,,,3.798B,,,22.41B,,22.41B,,,326.00M,267.00M,1.043B,24.05B,51.76B,12.92B,,,12.92B,,12.92B,,1.609B,1.609B,520.00M,2.129B,1.715B,1.715B,3.471B,21.37B,20.20B,3.859B,24.06B,,981.00M,981.00M,,1.00B,26.04B,47.41B,378.00M,4.134B,129.00M,-285.00M,4.356B
2020-04,5.955B,201.00M,6.156B,,,14.28B,14.28B,,1.487B,21.93B,35.90B,,,,3.876B,,,39.78B,-17.40B,22.38B,,,300.00M,215.00M,1.014B,23.91B,45.83B,10.84B,,,10.84B,,10.84B,,1.604B,1.604B,506.00M,2.11B,1.212B,1.212B,3.18B,18.32B,20.20B,3.915B,24.12B,,915.00M,915.00M,,761.00M,25.79B,44.12B,377.00M,1.722B,10.00M,-393.00M,1.716B
2020-01,716.00M,160.00M,876.00M,,,13.18B,13.18B,,1.263B,15.32B,0.00,7.20B,17.86B,10.38B,3.891B,506.00M,,39.84B,-17.28B,22.56B,303.00M,303.00M,372.00M,216.00M,702.00M,24.15B,39.47B,7.659B,420.00M,257.00M,8.336B,221.00M,8.557B,194.00M,2.538B,2.538B,501.00M,3.039B,1.219B,1.219B,1.489B,15.18B,16.77B,3.943B,20.71B,,894.00M,894.00M,,712.00M,22.32B,37.50B,381.00M,1.727B,0.00,-136.00M,1.972B
2019-10,794.00M,127.00M,921.00M,,,13.72B,13.72B,,1.025B,15.66B,35.67B,,,,3.873B,,,39.54B,-17.30B,22.24B,303.00M,303.00M,363.00M,479.00M,713.00M,24.10B,39.76B,8.822B,,,8.822B,,8.822B,,1.211B,1.211B,499.00M,1.71B,1.222B,1.222B,2.53B,15.06B,16.64B,3.942B,20.58B,,875.00M,875.00M,,791.00M,22.24B,37.31B,384.00M,2.238B,0.00,-164.00M,2.458B
2019-07,1.796B,275.00M,2.071B,,,13.73B,13.73B,,995.00M,16.80B,35.60B,,,,3.967B,,,39.57B,-17.40B,22.17B,303.00M,303.00M,179.00M,512.00M,735.00M,23.90B,40.70B,9.499B,,,9.499B,,9.499B,,1.009B,1.009B,492.00M,1.501B,1.324B,1.324B,2.794B,15.84B,16.54B,4.055B,20.59B,,868.00M,868.00M,,759.00M,22.22B,38.06B,388.00M,2.439B,0.00,-187.00M,2.64B
2019-04,2.973B,190.00M,3.163B,,,15.03B,15.03B,,1.146B,19.34B,35.45B,,,,3.926B,,,39.38B,-17.30B,22.08B,303.00M,303.00M,235.00M,495.00M,775.00M,23.88B,43.22B,11.48B,,,11.48B,,11.48B,,1.008B,1.008B,500.00M,1.508B,1.376B,1.376B,2.643B,17.78B,16.54B,4.064B,20.61B,,837.00M,837.00M,,759.00M,22.20B,39.98B,397.00M,3.095B,0.00,-256.00M,3.236B
2019-01,511.00M,218.00M,729.00M,,,12.56B,12.56B,,938.00M,14.23B,0.00,7.196B,18.05B,10.09B,,525.00M,,35.86B,-17.43B,18.43B,303.00M,303.00M,256.00M,294.00M,995.00M,20.28B,34.51B,8.279B,385.00M,287.00M,8.951B,184.00M,9.135B,194.00M,1.832B,1.832B,0.00,1.832B,1.299B,1.299B,1.375B,14.50B,14.39B,0.00,14.39B,,827.00M,827.00M,,1.149B,16.37B,30.86B,401.00M,3.452B,0.00,-209.00M,3.644B
2018-10,1.668B,208.00M,1.876B,,,12.36B,12.36B,,897.00M,15.14B,,,,,36.62B,,,36.62B,-17.70B,18.92B,1.272B,1.272B,290.00M,285.00M,805.00M,21.58B,36.71B,9.283B,,,9.283B,,9.283B,,,1.117B,,1.117B,1.356B,1.356B,2.507B,15.07B,14.46B,,14.46B,,827.00M,827.00M,,963.00M,16.25B,31.32B,403.00M,5.156B,0.00,-165.00M,5.394B
2018-07,2.251B,391.00M,2.642B,,,11.88B,11.88B,,956.00M,15.48B,,,,,36.67B,,,36.67B,-17.50B,19.17B,1.271B,1.271B,87.00M,249.00M,843.00M,21.62B,37.10B,8.984B,,,8.984B,,8.984B,,,894.00M,,894.00M,1.449B,1.449B,2.583B,14.58B,14.94B,,14.94B,,828.00M,828.00M,,978.00M,16.74B,31.32B,406.00M,5.517B,0.00,-142.00M,5.781B
2018-04,1.565B,205.00M,1.77B,,,13.20B,13.20B,,1.059B,16.03B,,,,,36.90B,,,36.90B,-17.40B,19.50B,1.288B,1.288B,321.00M,199.00M,896.00M,22.20B,38.24B,10.10B,,,10.10B,,10.10B,,,896.00M,,896.00M,1.439B,1.439B,2.62B,15.77B,14.95B,,14.95B,,808.00M,808.00M,,962.00M,16.72B,32.49B,411.00M,5.405B,0.00,-71.00M,5.745B
2018-01,588.00M,102.00M,690.00M,,,11.39B,11.39B,,689.00M,12.77B,0.00,7.414B,18.52B,10.48B,,530.00M,,36.94B,-17.22B,19.72B,1.307B,1.307B,408.00M,168.00M,915.00M,22.52B,35.29B,6.59B,340.00M,253.00M,7.183B,184.00M,7.367B,71.00M,,1.431B,,1.431B,1.378B,1.378B,1.102B,12.10B,15.56B,,15.56B,,803.00M,803.00M,,955.00M,17.32B,29.42B,415.00M,5.425B,22.00M,11.00M,5.873B
2017-10,743.00M,85.00M,828.00M,,,12.39B,12.39B,,788.00M,14.01B,,,,,36.92B,,,36.92B,-17.10B,19.82B,1.327B,1.327B,370.00M,347.00M,912.00M,22.77B,36.78B,8.903B,,,8.903B,,8.903B,,,468.00M,,468.00M,1.404B,1.404B,2.155B,13.74B,15.57B,,15.57B,,794.00M,794.00M,0.00,939.00M,17.30B,31.04B,415.00M,5.289B,0.00,38.00M,5.742B
2017-07,1.696B,119.00M,1.815B,,,11.41B,11.41B,,811.00M,14.03B,,,,,36.76B,,,36.76B,-17.00B,19.76B,1.255B,1.255B,360.00M,328.00M,930.00M,22.64B,36.67B,8.649B,,,8.649B,,8.649B,,,296.00M,,296.00M,1.45B,1.45B,2.565B,13.62B,15.79B,,15.79B,,790.00M,790.00M,0.00,929.00M,17.51B,31.13B,419.00M,5.253B,0.00,-136.00M,5.536B
2017-04,1.963B,84.00M,2.047B,,,12.25B,12.25B,,975.00M,15.28B,,,,,36.65B,,,36.65B,-16.90B,19.75B,1.081B,1.081B,477.00M,272.00M,759.00M,22.34B,37.61B,9.905B,,,9.905B,,9.905B,,,295.00M,,295.00M,1.415B,1.415B,2.346B,14.69B,15.77B,,15.77B,,769.00M,769.00M,,857.00M,17.40B,32.08B,426.00M,5.346B,0.00,-241.00M,5.531B
2017-01,558.00M,100.00M,658.00M,,,10.46B,10.46B,,884.00M,12.00B,0.00,7.329B,18.15B,10.98B,,464.00M,,36.92B,-16.97B,19.95B,1.082B,1.082B,366.00M,222.00M,789.00M,22.41B,34.41B,6.651B,304.00M,318.00M,7.273B,194.00M,7.467B,,,1.305B,,1.305B,1.253B,1.253B,1.159B,11.97B,14.39B,,14.39B,,763.00M,763.00M,,843.00M,16.00B,27.97B,433.00M,6.241B,0.00,-240.00M,6.434B
2016-10,960.00M,123.00M,1.083B,,,10.99B,10.99B,,655.00M,12.73B,,,,,37.14B,,,37.14B,-17.10B,20.04B,1.034B,1.034B,436.00M,331.00M,804.00M,22.64B,35.37B,7.836B,,,7.836B,,7.836B,,,800.00M,,800.00M,1.258B,1.258B,2.035B,12.63B,14.40B,,14.40B,,745.00M,745.00M,109.00M,889.00M,16.03B,28.66B,437.00M,6.376B,0.00,-214.00M,6.599B
2016-07,1.988B,168.00M,2.156B,,,10.60B,10.60B,,591.00M,13.35B,,,,,37.07B,,,37.07B,-16.80B,20.27B,1.074B,1.074B,604.00M,250.00M,918.00M,23.12B,36.47B,7.696B,,,7.696B,,7.696B,,,1.193B,,1.193B,1.285B,1.285B,2.259B,13.18B,14.62B,,14.62B,,744.00M,744.00M,109.00M,904.00M,16.27B,29.45B,440.00M,6.839B,0.00,-366.00M,6.913B
2016-04,4.561B,174.00M,4.735B,,,11.06B,11.06B,,683.00M,16.47B,,,,,36.06B,,,36.06B,-16.60B,19.46B,,,400.00M,154.00M,687.00M,20.70B,37.18B,8.821B,,,8.821B,,8.821B,,,1.083B,,1.083B,1.233B,1.233B,2.369B,14.12B,14.32B,,14.32B,,726.00M,726.00M,,796.00M,15.84B,29.96B,447.00M,7.074B,0.00,-309.00M,7.212B
2016-01,405.00M,307.00M,712.00M,,,9.458B,9.458B,,391.00M,10.56B,0.00,7.086B,17.45B,10.86B,,513.00M,,35.91B,-16.34B,19.58B,154.00M,154.00M,222.00M,241.00M,511.00M,20.70B,31.27B,5.633B,255.00M,251.00M,6.139B,179.00M,6.318B,,,1.104B,,1.104B,1.078B,1.078B,1.172B,10.49B,11.54B,,11.54B,,729.00M,729.00M,,846.00M,13.12B,23.61B,455.00M,7.593B,0.00,-394.00M,7.654B
2015-10,1.227B,158.00M,1.385B,,,10.43B,10.43B,255.00M,321.00M,12.40B,,,,,35.86B,,,35.86B,-16.20B,19.66B,,,382.00M,,1.223B,21.26B,33.66B,7.338B,,,7.338B,,7.338B,,,1.058B,,1.058B,1.084B,1.084B,1.997B,12.16B,11.54B,,11.54B,0.00,731.00M,731.00M,,843.00M,13.12B,25.28B,459.00M,8.298B,0.00,-379.00M,8.378B
2015-07,901.00M,188.00M,1.089B,,,9.704B,9.704B,251.00M,322.00M,11.37B,,,,,35.65B,,,35.65B,-15.90B,19.75B,,,412.00M,,1.216B,21.38B,32.74B,7.123B,,,7.123B,,7.123B,,,1.014B,,1.014B,1.146B,1.146B,2.191B,12.14B,10.34B,,10.34B,0.00,739.00M,739.00M,,833.00M,11.92B,24.06B,464.00M,8.533B,0.00,-310.00M,8.687B
2015-04,1.434B,95.00M,1.529B,,,10.61B,10.61B,255.00M,393.00M,12.79B,,,,,35.69B,,,35.69B,-15.80B,19.89B,,,384.00M,,1.355B,21.63B,34.42B,8.023B,,,8.023B,,8.023B,,,1.026B,,1.026B,1.153B,1.153B,2.213B,12.97B,10.33B,,10.33B,98.00M,727.00M,825.00M,,816.00M,11.98B,24.94B,473.00M,9.085B,0.00,-81.00M,9.477B
2015-01,466.00M,125.00M,591.00M,,,8.911B,8.911B,,349.00M,9.851B,0.00,7.04B,17.25B,10.43B,,730.00M,,35.44B,-15.41B,20.03B,,,354.00M,133.00M,1.349B,21.87B,31.72B,5.124B,222.00M,255.00M,5.601B,165.00M,5.766B,,,552.10M,,552.10M,979.00M,979.00M,1.278B,9.348B,10.81B,,10.81B,,730.00M,730.00M,,869.00M,12.40B,21.75B,480.00M,9.591B,0.00,-103.00M,9.968B
2014-10,1.562B,211.00M,1.773B,,,9.762B,9.762B,261.00M,334.00M,12.13B,,,,,35.38B,,,35.38B,-15.20B,20.18B,,,395.00M,,1.327B,21.90B,34.03B,6.459B,,,6.459B,,6.459B,,,551.00M,,551.00M,1.029B,1.029B,2.089B,10.80B,10.81B,,10.81B,92.00M,736.00M,828.00M,,864.00M,12.50B,23.30B,487.00M,10.27B,0.00,-28.00M,10.73B
2014-07,1.039B,90.00M,1.129B,,,9.315B,9.315B,276.00M,355.00M,11.08B,,,,,35.27B,,,35.27B,-14.90B,20.37B,,,382.00M,,1.312B,22.06B,33.14B,6.191B,,,6.191B,,6.191B,,,54.00M,,54.00M,1.039B,1.039B,2.094B,10.01B,10.06B,,10.06B,187.00M,743.00M,930.00M,,891.00M,11.88B,21.90B,496.00M,10.75B,0.00,-5.00M,11.24B
2014-04,658.00M,110.00M,768.00M,,,10.52B,10.52B,283.00M,386.00M,11.95B,,,,,35.22B,,,35.22B,-14.60B,20.62B,,,360.00M,,1.30B,22.28B,34.23B,7.051B,,,7.051B,,7.051B,,,47.00M,,47.00M,1.055B,1.055B,2.16B,10.81B,10.08B,,10.08B,261.00M,730.00M,991.00M,,862.00M,11.93B,22.75B,506.00M,10.98B,0.00,-9.00M,11.48B
2014-01,391.00M,185.00M,576.00M,,,9.127B,9.127B,252.00M,341.00M,10.30B,0.00,7.016B,17.16B,10.06B,,834.00M,,35.07B,-14.24B,20.83B,,,279.00M,,1.323B,22.44B,32.73B,5.008B,186.00M,243.00M,5.437B,153.00M,5.59B,,,435.00M,,435.00M,892.00M,892.00M,1.174B,8.876B,10.09B,,10.09B,291.00M,730.00M,1.021B,,896.00M,12.00B,20.88B,515.00M,11.36B,0.00,-17.00M,11.85B
2013-10,1.101B,115.00M,1.216B,,,9.593B,9.593B,220.00M,336.00M,11.36B,,,,,34.97B,,,34.97B,-14.00B,20.97B,,,439.00M,,1.30B,22.71B,34.08B,5.776B,,,5.776B,,5.776B,,,51.00M,,51.00M,944.00M,944.00M,1.927B,9.403B,10.09B,,10.09B,322.00M,730.00M,1.052B,,881.00M,12.02B,21.43B,525.00M,12.10B,0.00,23.00M,12.65B
2013-07,1.085B,189.00M,1.274B,,,9.106B,9.106B,224.00M,309.00M,10.91B,,,,,34.77B,,,34.77B,-13.80B,20.97B,,,306.00M,,1.22B,22.50B,33.41B,5.664B,,,5.664B,,5.664B,,,47.00M,,47.00M,985.00M,985.00M,1.993B,9.34B,9.015B,,9.015B,390.00M,733.00M,1.123B,,868.00M,11.01B,20.35B,532.00M,12.50B,0.00,26.00M,13.06B
2013-04,1.081B,118.00M,1.199B,,,10.27B,10.27B,228.00M,313.00M,12.01B,,,,,34.66B,,,34.66B,-13.40B,21.26B,,,272.00M,,1.188B,22.72B,34.73B,7.041B,,,7.041B,,7.041B,,,47.00M,,47.00M,1.008B,1.008B,1.876B,10.44B,9.026B,,9.026B,440.00M,717.00M,1.157B,,857.00M,11.04B,21.48B,544.00M,12.62B,38.00M,52.00M,13.25B
