,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,126.50M,,,-188.00M,-12.20M,-200.20M,,56.10M,56.10M,27.40M,,35.40M,,-16.40M,133.50M,-124.10M,,,281.20M,290.60M,374.80M,-18.40M,,-18.40M,-3.740B,229.00M,16.80M,-3.512B,288.80M,,288.80M,8.50M,-29.90M,-21.40M,-134.10M,-134.10M,,-35.50M,97.80M,6.976B,-3.040B,21.20M,3.958B,8.50M,428.70M,-139.90M,-29.90M,92.60M,15.10M
2020-06,253.70M,,,-200.80M,-10.00M,-210.80M,,22.20M,22.20M,-43.10M,,29.10M,,4.80M,-6.10M,83.40M,,,372.40M,449.70M,505.60M,-11.80M,,-11.80M,-62.00M,394.20M,-57.40M,263.00M,135.40M,,135.40M,0.00,-0.90M,-0.90M,-133.90M,-133.90M,,159.90M,160.50M,6.036B,929.10M,11.00M,6.976B,0.00,136.60M,-1.20M,-0.90M,8.60M,2.00M
2020-03,58.80M,,,-61.10M,159.40M,98.30M,,23.40M,23.40M,-5.10M,,29.80M,,50.50M,-10.10M,-203.40M,,,67.10M,-146.40M,109.30M,-47.80M,,-47.80M,-18.80M,102.30M,,35.70M,20.50M,,20.50M,12.10M,-66.00M,-53.90M,-134.60M,-134.60M,,113.20M,-54.80M,5.976B,90.20M,-30.70M,6.036B,12.10M,20.50M,0.00,-66.00M,237.60M,10.60M
2019-12,348.10M,,,-260.20M,-39.10M,-299.30M,,26.80M,26.80M,13.70M,,28.00M,,15.30M,14.20M,60.50M,,,-175.60M,-100.90M,31.70M,-25.70M,,-25.70M,-1.00M,-2.90M,,-29.60M,49.40M,,49.40M,,-121.40M,-121.40M,-130.60M,-130.60M,,193.30M,-9.30M,5.958B,-7.20M,25.90M,5.976B,,49.60M,-0.20M,-121.40M,20.60M,1.10M
2019-09,309.30M,,,-439.20M,25.50M,-413.70M,,26.00M,26.00M,0.20M,,23.40M,,10.40M,-39.90M,30.80M,,,72.50M,63.40M,32.30M,-31.10M,,-31.10M,0.00,-37.20M,,-68.30M,18.60M,,18.60M,10.50M,-164.70M,-154.20M,-131.10M,-131.10M,,528.20M,261.50M,5.758B,225.50M,-25.50M,5.958B,10.50M,19.90M,-1.30M,-164.70M,105.90M,11.50M
2019-06,254.60M,,,-809.00M,-5.50M,-814.50M,,25.60M,25.60M,-9.00M,,28.70M,,30.40M,-25.00M,131.10M,,,103.20M,209.30M,-274.90M,-130.40M,,-130.40M,0.00,-144.20M,,-274.60M,-2.20M,,-2.20M,0.00,-120.40M,-120.40M,-132.10M,-132.10M,,615.50M,360.80M,5.946B,-188.70M,0.30M,5.758B,0.00,0.00,-2.20M,-120.40M,111.60M,6.70M
2019-03,381.60M,,,-121.20M,-47.20M,-168.40M,,21.50M,21.50M,-4.00M,,28.20M,,26.40M,-66.20M,-166.10M,,,136.40M,-95.90M,189.40M,-46.50M,,-46.50M,-684.20M,95.60M,,-635.10M,0.00,,0.00,12.80M,-148.00M,-135.20M,-133.10M,-133.10M,,1.60M,-266.70M,6.659B,-712.40M,-0.50M,5.946B,12.80M,0.00,0.00,-148.00M,267.50M,5.00M
2018-12,260.00M,,,-101.90M,37.60M,-64.30M,,20.30M,20.30M,11.50M,,31.20M,,30.40M,62.60M,-16.70M,,,-80.20M,-34.30M,254.80M,-25.70M,,-25.70M,0.00,-73.40M,,-99.10M,1.70M,,1.70M,,-321.40M,-321.40M,-122.30M,-122.30M,,45.90M,-396.10M,6.911B,-240.40M,-11.30M,6.659B,,1.70M,0.00,-321.40M,35.80M,6.50M
2018-09,476.30M,,,220.20M,-2.60M,217.60M,,17.70M,17.70M,3.90M,,28.30M,,19.90M,-39.50M,-134.70M,,,126.00M,-48.20M,721.20M,-35.00M,,-35.00M,10.20M,7.20M,,-17.60M,-1.40M,,-1.40M,11.20M,-368.80M,-357.60M,-122.00M,-122.00M,,36.00M,-445.00M,6.654B,258.60M,-2.20M,6.911B,11.20M,0.00,-1.40M,-368.80M,108.60M,5.10M
2018-06,355.40M,,,283.30M,4.10M,287.40M,,20.40M,20.40M,-9.80M,,28.30M,,41.20M,-23.10M,-45.60M,,,-42.70M,-111.40M,611.50M,-27.80M,,-27.80M,-87.30M,23.80M,,-91.30M,-361.90M,,-361.90M,0.00,-436.60M,-436.60M,-1.756B,-1.756B,,2.20M,-2.552B,8.726B,-2.032B,-40.30M,6.654B,0.00,0.00,-361.90M,-436.60M,104.00M,10.50M
