,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,6.104B,6.423B,1.561B,4.862B,1.346B,1.062B,,,302.00M,55.00M,-247.00M,1.00M,2.409B,2.453B,55.00M,302.00M,-247.00M,,-247.00M,2.206B,185.00M,2.021B,,2.021B,2.021B,3.409B,901.00M,2.508B,3.45,,,3.45,3.45,3.43,,,3.43,3.43,585.00M,589.00M,1.6
2020-06,5.908B,6.206B,1.488B,4.718B,1.295B,964.00M,,,296.00M,3.00M,-293.00M,136.00M,2.395B,2.323B,3.00M,296.00M,-293.00M,,-293.00M,2.03B,227.00M,1.803B,,1.803B,1.803B,3.256B,930.00M,2.326B,3.07,,,3.07,3.07,3.05,,,3.05,3.05,588.00M,592.00M,1.6
2020-03,5.894B,6.161B,1.513B,4.648B,1.316B,952.00M,,,346.00M,11.00M,-335.00M,25.00M,2.293B,2.355B,11.00M,346.00M,-335.00M,,-335.00M,2.02B,195.00M,1.825B,,1.825B,1.825B,3.263B,897.00M,2.366B,3.09,,,3.09,3.09,3.07,,,3.07,3.07,590.00M,594.00M,1.6
2019-12,5.881B,6.197B,1.253B,4.944B,1.513B,1.312B,,,301.00M,236.00M,-65.00M,71.00M,2.896B,2.048B,236.00M,301.00M,-65.00M,,-65.00M,1.983B,280.00M,1.703B,,1.703B,1.703B,2.986B,702.00M,2.284B,2.87,,,2.87,2.87,2.85,,,2.85,2.85,593.00M,597.00M,1.45
2019-09,5.463B,5.737B,1.036B,4.701B,1.223B,1.001B,,,313.00M,114.00M,-199.00M,1.00M,2.225B,2.476B,114.00M,313.00M,-199.00M,,-199.00M,2.277B,309.00M,1.968B,,1.968B,1.968B,3.098B,508.00M,2.59B,3.29,,,3.29,3.29,3.27,,,3.27,3.27,599.00M,602.00M,1.45
2019-06,5.574B,5.871B,1.012B,4.859B,1.26B,924.00M,,,332.00M,218.00M,-114.00M,-3.00M,2.181B,2.678B,218.00M,332.00M,-114.00M,,-114.00M,2.564B,385.00M,2.179B,,2.179B,2.179B,3.397B,501.00M,2.896B,3.59,,,3.59,3.59,3.57,,,3.57,3.57,607.00M,610.00M,1.45
2019-03,5.286B,5.557B,1.055B,4.502B,1.154B,879.00M,,,343.00M,185.00M,-158.00M,-3.00M,2.03B,2.472B,185.00M,343.00M,-158.00M,,-158.00M,2.314B,322.00M,1.992B,,1.992B,1.992B,3.152B,495.00M,2.657B,3.2,,,3.2,3.2,3.18,,,3.18,3.18,622.00M,626.00M,1.45
2018-12,6.001B,6.23B,1.096B,5.134B,1.559B,1.182B,,,352.00M,155.00M,-197.00M,11.00M,2.752B,2.382B,155.00M,352.00M,-197.00M,,-197.00M,2.185B,257.00M,1.928B,,1.928B,1.928B,3.027B,490.00M,2.537B,3.04,,,3.04,3.04,3.01,,,3.01,3.01,637.00M,641.00M,1.32
2018-09,5.51B,5.904B,1.037B,4.867B,1.293B,926.00M,,,355.00M,126.00M,-229.00M,325.00M,2.544B,2.323B,126.00M,355.00M,-229.00M,,-229.00M,2.094B,235.00M,1.859B,,1.859B,1.859B,2.95B,501.00M,2.449B,2.88,,,2.88,2.88,2.86,,,2.86,2.86,645.00M,649.00M,1.32
2018-06,5.679B,6.059B,1.024B,5.035B,1.353B,869.00M,,,347.00M,162.00M,-185.00M,-19.00M,2.203B,2.832B,162.00M,347.00M,-185.00M,,-185.00M,2.647B,351.00M,2.296B,,2.296B,2.296B,3.478B,484.00M,2.994B,3.5,,,3.5,3.5,3.48,,,3.48,3.48,656.00M,660.00M,1.32
