,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,2.021B,,,901.00M,901.00M,-78.00M,,25.00M,1.146B,-90.00M,-739.00M,-79.00M,,261.00M,499.00M,3.368B,-135.00M,,-135.00M,,-506.00M,-1.001B,14.00M,-1.628B,-88.00M,,-88.00M,,-765.00M,-765.00M,-936.00M,-936.00M,,-9.00M,-1.798B,9.145B,-58.00M,9.087B,,-88.00M,0.00,-765.00M
2020-06,1.803B,,,930.00M,930.00M,-177.00M,,138.00M,-222.00M,-113.00M,124.00M,-176.00M,,535.00M,148.00M,2.842B,-158.00M,,-158.00M,,-3.00M,-1.951B,-47.00M,-2.159B,2.289B,,2.289B,,-555.00M,-555.00M,-942.00M,-942.00M,,-17.00M,775.00M,7.687B,1.458B,9.145B,,4.039B,-1.75B,-555.00M
2020-03,1.825B,,,897.00M,897.00M,-84.00M,,107.00M,-955.00M,-113.00M,112.00M,319.00M,,26.00M,-611.00M,2.134B,-142.00M,,-142.00M,,-2.645B,2.558B,-1.00M,-230.00M,1.713B,,1.713B,,-961.00M,-961.00M,-945.00M,-945.00M,,-61.00M,-254.00M,6.037B,1.65B,7.687B,,4.963B,-3.25B,-961.00M
2019-12,1.703B,,,702.00M,702.00M,-117.00M,,-355.00M,-441.00M,35.00M,-97.00M,279.00M,,497.00M,273.00M,2.514B,-188.00M,,-188.00M,,-13.60B,7.598B,230.00M,-5.963B,0.00,,0.00,,-1.094B,-1.094B,-860.00M,-860.00M,,25.00M,-1.929B,11.42B,-5.378B,6.037B,,0.00,0.00,-1.094B
2019-09,1.968B,,,508.00M,508.00M,-102.00M,,137.00M,165.00M,17.00M,138.00M,-111.00M,,657.00M,866.00M,3.377B,-170.00M,,-170.00M,,-2.00M,5.814B,-270.00M,5.372B,-864.00M,,-864.00M,,-1.161B,-1.161B,-868.00M,-868.00M,,34.00M,-2.859B,5.525B,5.89B,11.42B,,0.00,-864.00M,-1.161B
2019-06,2.179B,,,501.00M,501.00M,-20.00M,,8.00M,-21.00M,-90.00M,-627.00M,91.00M,,-607.00M,-1.254B,1.414B,-144.00M,,-144.00M,,-7.00M,2.902B,-6.00M,2.745B,-2.65B,,-2.65B,,-2.415B,-2.415B,-880.00M,-880.00M,,-47.00M,-5.992B,7.358B,-1.833B,5.525B,,0.00,-2.65B,-2.415B
2019-03,1.992B,,,495.00M,495.00M,-50.00M,,24.00M,-207.00M,-28.00M,165.00M,-249.00M,,-297.00M,-616.00M,1.845B,-116.00M,,-116.00M,,-5.00M,3.682B,-6.00M,3.555B,-1.00B,,-1.00B,,-3.032B,-3.032B,-901.00M,-901.00M,,-54.00M,-4.987B,6.945B,413.00M,7.358B,,0.00,-1.00B,-3.032B
2018-12,1.928B,,,490.00M,490.00M,-69.00M,,-250.00M,-144.00M,90.00M,191.00M,145.00M,,502.00M,784.00M,3.194B,-225.00M,,-225.00M,,-2.00M,-4.296B,-114.00M,-4.637B,-621.00M,,-621.00M,,-2.124B,-2.124B,-840.00M,-840.00M,,17.00M,-3.568B,11.96B,-5.011B,6.945B,,,-621.00M,-2.124B
2018-09,1.859B,,,501.00M,501.00M,-180.00M,,455.00M,114.00M,42.00M,-52.00M,122.00M,,412.00M,638.00M,3.273B,-171.00M,,-171.00M,,0.00,1.34B,-37.00M,1.132B,0.00,,0.00,,-1.729B,-1.729B,-851.00M,-851.00M,,0.00,-2.58B,10.13B,1.825B,11.96B,,,0.00,-1.729B
2018-06,2.296B,,,484.00M,484.00M,-42.00M,,83.00M,36.00M,-28.00M,-718.00M,-97.00M,,88.00M,-719.00M,2.102B,-187.00M,,-187.00M,,0.00,3.121B,4.00M,2.938B,-500.00M,,-500.00M,,-3.244B,-3.244B,-865.00M,-865.00M,,-41.00M,-4.65B,9.741B,390.00M,10.13B,,,-500.00M,-3.244B
