,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2020-09,77.66M,,,,,,26.52M,26.52M,2.936M,52.63M,11.36M,8.478M,0.928M,36.28M,-16.32M,,-34.25M,-4.883M,175.90M,-12.08M,,-12.08M,,0.00,27.90M,,15.81M,-5.00M,-5.00M,,-50.01M,-50.01M,0.836M,-2.536M,-56.71M,717.53M,135.01M,0.289M,852.83M,,0.00,-5.00M,-50.01M,-4.33M
2020-06,69.87M,,,,,,26.22M,26.22M,-0.996M,50.87M,10.88M,33.71M,2.116M,0.398M,-13.97M,,-19.92M,2.33M,159.17M,-12.39M,,-12.39M,,0.00,-34.41M,,-46.80M,-5.00M,-5.00M,,0.00,0.00,30.56M,0.00,25.56M,579.36M,137.93M,0.234M,717.53M,,0.00,-5.00M,0.00,2.241M
2020-03,61.38M,,,,,,24.13M,24.13M,7.067M,50.79M,10.35M,37.00M,1.439M,21.67M,-14.11M,,-17.91M,28.09M,181.81M,-13.16M,,-13.16M,,-955.57M,282.12M,,-686.61M,400.00M,400.00M,,-50.01M,-50.01M,0.484M,-3.04M,347.44M,738.64M,-157.37M,-1.91M,579.36M,,400.00M,,-50.01M,2.089M
2019-12,98.53M,,,,,,18.98M,18.98M,-1.714M,47.66M,8.672M,-32.68M,2.02M,-23.61M,-5.494M,,31.65M,-28.11M,144.01M,-22.30M,,-22.30M,,,-7.096M,,-29.40M,,,,0.00,0.00,20.96M,,20.96M,602.25M,135.57M,0.82M,738.64M,,,,0.00,
2019-09,94.84M,,,,,,21.86M,21.86M,-2.731M,43.73M,0.991M,-2.056M,1.609M,36.78M,-21.07M,,17.65M,32.91M,206.09M,-20.53M,,-20.53M,,0.00,-273.52M,,-294.05M,0.00,0.00,,0.00,0.00,0.143M,,0.143M,691.36M,-87.82M,-1.289M,602.25M,,0.00,0.00,0.00,
2019-06,85.90M,,,,,,18.40M,18.40M,6.565M,41.00M,0.714M,8.17M,-2.546M,21.19M,-18.65M,,-10.40M,-2.237M,150.34M,-32.95M,,-32.95M,,-611.55M,430.96M,,-213.54M,0.00,0.00,,0.00,0.00,26.56M,,26.56M,727.85M,-36.64M,0.154M,691.36M,,0.00,0.00,0.00,0.00
2019-03,116.09M,,,,,,14.24M,14.24M,0.892M,39.49M,-0.294M,4.502M,-1.904M,14.72M,-8.958M,,14.76M,23.13M,193.55M,-29.01M,,-29.01M,,0.00,182.36M,,153.35M,0.00,0.00,,-100.01M,-100.01M,0.00,,-100.01M,481.27M,246.89M,-0.311M,727.85M,,0.00,,-100.01M,0.00
2018-12,130.90M,,,,,,14.00M,14.00M,2.714M,38.69M,0.251M,-28.92M,-0.991M,2.022M,-26.78M,,65.96M,11.30M,197.86M,-21.05M,,-21.05M,,,-39.35M,,-60.39M,,,,-101.03M,-101.03M,18.90M,,-82.13M,425.89M,55.33M,0.046M,481.27M,,,,-101.03M,
2018-09,132.88M,,,-0.064M,,,15.41M,15.41M,1.569M,36.85M,-119.81M,2.056M,0.754M,23.01M,4.017M,,-11.87M,17.96M,204.30M,-17.39M,0.00,-17.39M,,0.00,-210.70M,,-228.09M,,,,-150.02M,-150.02M,0.00,,-150.02M,600.45M,-173.80M,-0.752M,425.89M,,,,-150.02M,
2018-06,122.74M,,,0.012M,,,14.03M,14.03M,1.599M,38.74M,38.74M,-7.259M,-1.81M,-11.12M,6.097M,,18.21M,4.123M,182.05M,-19.83M,0.00,-19.83M,,0.00,-35.65M,,-55.48M,,,,-150.02M,-150.02M,28.90M,,-121.12M,597.16M,5.454M,-2.164M,600.45M,,,,-150.02M,
