,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,614.82M,614.82M,111.97M,502.85M,220.38M,63.56M,283.94M,120.30M,,,0.00,,404.24M,98.61M,-1.09M,97.52M,19.86M,77.66M,77.66M,77.66M,125.13M,26.52M,98.61M,1.27,,1.27,1.27,1.26,,1.26,1.26,61.15M,61.97M
2020-06,583.25M,583.25M,106.04M,477.21M,211.81M,61.79M,273.60M,115.99M,,,0.00,,389.59M,87.62M,0.141M,87.76M,17.89M,69.87M,69.87M,69.87M,113.85M,26.22M,87.62M,1.15,,1.15,1.15,1.14,,1.14,1.14,60.98M,61.42M
2020-03,583.45M,583.45M,101.24M,482.21M,215.47M,74.01M,289.48M,109.03M,,,0.00,,398.51M,83.70M,-0.141M,83.56M,22.18M,61.38M,61.38M,61.38M,107.83M,24.13M,83.70M,1.01,,1.01,1.01,1.0,,1.0,1.0,60.87M,61.08M
2019-12,569.30M,569.30M,88.64M,480.66M,195.52M,59.00M,254.52M,96.00M,,,-7.80M,,350.53M,130.14M,-2.58M,127.56M,29.03M,98.53M,98.53M,104.55M,149.11M,18.98M,130.14M,1.62,,1.719,1.62,1.62,,1.719,1.62,60.65M,60.82M
2019-09,590.39M,590.39M,90.92M,499.47M,217.55M,64.39M,281.94M,102.81M,,,0.00,,384.76M,114.71M,3.397M,118.11M,23.27M,94.84M,94.84M,94.84M,136.58M,21.86M,114.71M,1.57,,1.57,1.57,1.57,,1.57,1.57,60.29M,60.71M
2019-06,563.39M,563.39M,90.77M,472.63M,195.85M,57.14M,252.99M,116.89M,,,0.00,,369.89M,102.74M,4.722M,107.46M,21.56M,85.90M,85.90M,85.90M,121.14M,18.40M,102.74M,1.43,,1.43,1.43,1.43,,1.43,1.43,59.98M,60.20M
2019-03,544.90M,544.90M,88.18M,456.72M,170.95M,46.66M,217.61M,96.31M,,,0.00,,313.92M,142.79M,7.434M,150.23M,34.14M,116.09M,116.09M,116.09M,157.04M,14.24M,142.79M,1.94,,1.94,1.94,1.93,,1.93,1.93,59.69M,60.03M
2018-12,543.77M,543.77M,86.71M,457.06M,164.26M,42.54M,206.80M,92.04M,,,0.00,,298.84M,158.22M,7.095M,165.31M,34.41M,130.90M,130.90M,130.90M,172.22M,14.00M,158.22M,2.17,,2.17,2.17,2.16,,2.16,2.16,60.22M,60.64M
2018-09,562.71M,562.71M,93.44M,469.27M,160.42M,41.75M,202.17M,95.08M,,,,,297.25M,172.02M,-12.76M,159.26M,26.38M,132.88M,132.88M,132.88M,187.43M,15.41M,172.02M,2.2,,2.2,2.2,2.18,,2.18,2.18,60.46M,61.41M
2018-06,542.20M,542.20M,91.01M,451.19M,165.81M,39.37M,205.18M,94.06M,,,,,299.24M,151.95M,2.259M,154.21M,31.47M,122.74M,122.74M,122.74M,165.98M,14.03M,151.95M,2.01,,2.01,2.01,1.99,,1.99,1.99,60.97M,61.63M
2018-03,533.30M,533.30M,89.64M,443.66M,169.97M,39.28M,209.25M,91.06M,,,,,300.30M,143.36M,2.79M,146.15M,36.51M,109.64M,109.64M,109.64M,158.23M,14.87M,143.36M,1.79,,1.79,1.79,1.77,,1.77,1.77,61.42M,62.06M
2017-12,523.19M,523.19M,87.39M,435.80M,167.93M,39.98M,207.92M,85.89M,,,,,293.81M,142.00M,2.145M,144.14M,55.71M,88.43M,88.43M,88.43M,157.18M,15.18M,142.00M,1.42,,1.42,1.42,1.41,,1.41,1.41,62.20M,62.55M
2017-09,538.00M,538.00M,90.54M,447.46M,162.07M,37.83M,199.90M,85.48M,,,-13.24M,,285.38M,162.08M,-8.216M,153.86M,18.12M,135.74M,135.74M,147.43M,177.62M,15.54M,162.08M,2.15,,2.335,2.15,2.14,,2.323,2.14,63.08M,63.75M
2017-06,517.84M,517.84M,89.77M,428.07M,160.95M,39.37M,200.32M,88.60M,,,-0.001M,,288.92M,139.14M,2.588M,141.73M,44.07M,97.66M,97.66M,97.66M,154.47M,15.32M,139.14M,1.53,,1.53,1.53,1.52,,1.52,1.52,63.94M,64.36M
