,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,849.56M,360.33M,1.210B,296.18M,138.10M,434.28M,10.80M,17.10M,27.90M,47.20M,,,44.56M,1.793B,0.0,,293.82M,300.68M,175.59M,770.10M,-240.18M,529.92M,1.859B,225.90M,2.085B,102.94M,62.38M,85.92M,18.42M,2.884B,4.678B,64.47M,33.05M,,97.52M,242.34M,339.86M,19.28M,19.28M,46.01M,65.28M,883.13M,883.13M,,,1.288B,369.05M,338.72M,707.76M,0.602M,389.50M,390.10M,9.665M,1.157B,2.446B,305.45M,1.946B,,,,-18.72M,2.232B
2020-06,714.27M,379.30M,1.094B,304.87M,,304.87M,10.58M,18.25M,28.83M,,,,238.16M,1.665B,,,,545.05M,,545.05M,,545.05M,1.859B,236.37M,2.095B,112.93M,54.52M,86.24M,13.84M,2.908B,4.573B,54.39M,35.86M,,90.24M,218.69M,308.94M,19.28M,19.28M,46.49M,65.76M,888.61M,888.61M,,,1.263B,373.87M,345.58M,719.44M,0.444M,386.44M,386.88M,49.82M,1.156B,2.419B,304.53M,1.868B,,,,-18.50M,2.154B
2020-03,572.89M,248.26M,821.14M,338.66M,101.05M,439.70M,10.84M,20.10M,30.94M,53.57M,,,36.17M,1.409B,,,,559.44M,,559.44M,,559.44M,1.865B,246.18M,2.111B,204.97M,56.34M,84.34M,15.99M,3.032B,4.441B,56.20M,32.01M,,88.21M,208.06M,296.26M,19.28M,19.28M,46.84M,66.12M,889.63M,889.63M,,,1.252B,378.68M,357.64M,736.33M,0.221M,391.48M,391.70M,21.41M,1.191B,2.443B,223.10M,1.798B,,,,-22.90M,1.998B
2019-12,735.46M,426.76M,1.162B,354.67M,85.12M,439.79M,10.92M,21.46M,32.38M,55.17M,,,20.16M,1.737B,,,,533.24M,,533.24M,,533.24M,1.065B,104.32M,1.170B,312.04M,50.13M,59.78M,13.01M,2.138B,3.875B,52.41M,39.50M,,91.91M,168.33M,260.24M,,,42.52M,42.52M,847.75M,847.75M,,,1.151B,,342.30M,342.30M,0.258M,390.22M,390.48M,18.09M,795.40M,1.946B,211.22M,1.737B,,,,-18.38M,1.929B
2019-09,599.22M,373.06M,972.28M,322.03M,79.41M,401.44M,11.96M,22.44M,34.40M,49.05M,,,26.19M,1.512B,0.0,,267.13M,,151.06M,418.18M,-194.76M,223.43M,1.065B,108.90M,1.174B,358.40M,53.08M,58.92M,10.58M,1.879B,3.390B,62.63M,31.80M,,94.43M,204.07M,298.50M,,,0.00,0.00,807.03M,807.03M,,,1.106B,,0.00,0.00,0.313M,391.09M,457.50M,23.43M,523.25M,1.629B,142.60M,1.638B,,,,-19.19M,1.761B
2019-06,688.35M,298.14M,986.49M,320.46M,,320.46M,12.91M,23.10M,36.01M,,,,161.94M,1.505B,,,,,,,,226.00M,1.065B,,1.065B,161.62M,,25.08M,194.30M,1.672B,3.177B,55.63M,,,55.63M,213.20M,268.82M,,,,,803.24M,803.24M,,,1.072B,,,,0.352M,363.27M,363.62M,117.80M,481.43M,1.553B,98.72M,1.543B,,,,-18.19M,1.624B
2019-03,726.66M,587.12M,1.314B,321.48M,,321.48M,11.16M,22.30M,33.46M,,,,138.74M,1.807B,,,,,,,,208.22M,555.96M,,555.96M,301.36M,,21.55M,95.68M,1.183B,2.990B,68.16M,,,68.16M,197.30M,265.45M,,,,,809.34M,809.34M,,,1.075B,,,,0.402M,352.11M,352.51M,95.53M,448.04M,1.523B,29.40M,1.457B,,,,-19.34M,1.467B
2018-12,480.12M,652.48M,1.133B,325.69M,,325.69M,10.18M,21.38M,31.56M,,,,129.79M,1.620B,,,,,,,,179.22M,555.96M,,555.96M,413.69M,,23.13M,100.25M,1.272B,2.892B,66.86M,,,66.86M,184.45M,251.30M,,,,,796.38M,796.38M,,,1.048B,,,,0.409M,353.14M,353.54M,81.47M,435.02M,1.483B,13.28M,1.418B,,,,-21.99M,1.409B
2018-09,424.71M,614.70M,1.039B,295.35M,,295.35M,9.229M,21.34M,30.57M,39.53M,,,12.80M,1.418B,0.0,,226.47M,,107.62M,334.09M,-189.04M,145.04M,555.96M,31.26M,587.22M,411.18M,,33.44M,10.93M,1.188B,2.605B,57.76M,27.66M,,85.41M,153.32M,238.74M,,,,,715.70M,715.70M,,,954.43M,,,,0.035M,299.62M,330.81M,3.877M,365.55M,1.320B,20.43M,1.287B,,,,-22.18M,1.285B
2018-06,599.27M,485.23M,1.084B,297.38M,,297.38M,9.793M,21.53M,31.32M,,,,55.85M,1.469B,,,,,,,,126.11M,555.96M,,555.96M,329.41M,,35.15M,45.38M,1.092B,2.561B,44.65M,,,44.65M,163.25M,207.89M,,,,,736.03M,736.03M,,,943.92M,,,,0.025M,291.68M,291.70M,59.47M,351.17M,1.295B,20.01M,1.268B,,,,-21.98M,1.266B
