,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,581.11M,581.11M,329.61M,251.50M,117.37M,,,-2.917M,10.64M,-10.64M,,117.37M,134.13M,10.64M,-10.64M,-2.213M,-10.64M,121.28M,17.43M,103.85M,,,103.85M,106.34M,153.27M,,2020-09,1.38,,,,2020-09,1.37,,,,2020-09,75.35M,,2020-09,AOR,
2020-06,561.25M,561.25M,326.45M,234.80M,120.36M,,,-3.841M,12.44M,-12.44M,,120.36M,114.44M,12.44M,-12.44M,-10.30M,-12.44M,91.70M,20.83M,70.86M,,,70.86M,73.83M,124.76M,,2020-06,0.94,,,,2020-06,0.93,,,,2020-06,75.17M,,2020-06,AOR,
2020-03,594.46M,594.46M,322.51M,271.96M,132.02M,,,,10.88M,-10.88M,,132.02M,139.94M,10.88M,-10.88M,-1.565M,-10.88M,127.50M,25.50M,102.00M,,,102.00M,102.00M,158.37M,,2020-03,1.35,,,,2020-03,1.33,,,,2020-03,75.74M,,2020-03,AOR,
2019-12,606.00M,606.00M,339.11M,266.88M,125.75M,,,-6.962M,11.08M,-11.08M,,125.75M,141.14M,11.08M,-11.08M,-8.02M,-11.08M,122.04M,25.19M,96.85M,,,96.85M,102.38M,152.64M,,2019-12,1.28,,,,2019-12,1.26,,,,2019-12,75.78M,,2019-12,AOR,
2019-09,624.25M,624.25M,342.27M,281.98M,128.26M,,,-11.96M,11.33M,-11.33M,,128.26M,153.72M,11.33M,-11.33M,-13.18M,-11.33M,129.22M,24.02M,105.19M,,,105.19M,114.93M,160.07M,,2019-09,1.39,,,,2019-09,1.37,,,,2019-09,75.70M,,2019-09,AOR,Restated
2019-06,642.10M,642.10M,349.76M,292.34M,134.93M,,,-2.126M,11.01M,-11.01M,,134.93M,157.41M,11.01M,-11.01M,-1.748M,-11.01M,144.65M,31.44M,113.21M,,,113.21M,114.87M,174.82M,,2019-06,1.50,,,,2019-06,1.48,,,,2019-06,75.46M,,2019-06,AOR,Restated
2019-03,622.23M,622.23M,338.40M,283.83M,136.05M,,,,10.92M,-10.92M,,136.05M,147.78M,10.92M,-10.92M,0.14M,-10.92M,137.00M,26.73M,110.27M,,,110.27M,110.27M,166.58M,,2019-03,1.46,,,,2019-03,1.44,,,,2019-03,75.44M,,2019-03,AOR,Restated
2018-12,614.09M,614.09M,340.45M,273.64M,130.37M,,,-3.832M,11.04M,-11.04M,,130.37M,143.27M,11.04M,-11.04M,-3.412M,-11.04M,128.82M,30.69M,98.14M,,,98.14M,101.06M,158.18M,,2018-12,1.29,,,,2018-12,1.27,,,,2018-12,76.13M,,2018-12,AOR,Restated
2018-09,622.89M,622.89M,342.66M,280.23M,130.48M,,,-4.621M,10.96M,-10.96M,,130.48M,149.75M,10.96M,-10.96M,-5.555M,-10.96M,133.24M,26.89M,106.35M,,,106.35M,110.04M,162.80M,,2018-09,1.39,,,,2018-09,1.37,,,,2018-09,76.56M,,2018-09,AOR,Restated
2018-06,634.36M,634.36M,346.99M,287.37M,137.55M,,,-1.988M,11.14M,-11.14M,,137.55M,149.82M,11.14M,-11.14M,-1.938M,-11.14M,136.74M,29.62M,107.13M,,,107.13M,108.68M,167.45M,,2018-06,1.40,,,,2018-06,1.38,,,,2018-06,76.54M,,2018-06,AOR,Restated
2018-03,612.32M,612.32M,335.67M,276.65M,138.33M,,,-1.642M,11.00M,-11.00M,,138.33M,138.32M,11.00M,-11.00M,2.807M,-11.00M,130.13M,31.17M,98.96M,,,98.96M,100.21M,162.19M,,2018-03,1.29,,,,2018-03,1.27,,,,2018-03,76.42M,,2018-03,AOR,Restated
2017-12,585.90M,585.90M,325.02M,260.88M,131.25M,,,5.615M,10.97M,-10.97M,,131.25M,129.63M,10.97M,-10.97M,4.938M,-10.97M,123.60M,29.86M,93.75M,,,93.75M,89.49M,154.98M,,2017-12,1.23,,,,2017-12,1.21,,,,2017-12,76.28M,,2017-12,AOR,Restated
2017-09,574.49M,574.49M,316.56M,257.93M,131.43M,,,0.00,11.06M,-11.06M,,131.43M,126.50M,11.06M,-11.06M,-1.653M,-11.06M,113.79M,30.02M,83.77M,,,83.77M,83.77M,146.13M,,2017-09,1.09,,,,2017-09,1.08,,,,2017-09,76.31M,,2017-09,AOR,Restated
2017-06,573.37M,573.37M,316.44M,256.92M,131.79M,,,,11.30M,-11.30M,,131.79M,125.13M,11.30M,-11.30M,-0.372M,-11.30M,113.46M,29.61M,83.84M,,,83.84M,83.84M,146.60M,,2017-06,1.10,,,,2017-06,1.08,,,,2017-06,76.22M,,2017-06,AOR,Restated
2017-03,553.55M,553.55M,302.61M,250.94M,130.47M,,,-4.797M,11.55M,-11.55M,,130.47M,120.47M,11.55M,-11.55M,-4.489M,-11.55M,104.43M,28.53M,75.90M,,,75.90M,79.39M,136.67M,,2017-03,0.99,,,,2017-03,0.99,,,,2017-03,76.12M,,2017-03,AOR,Restated
2016-12,530.42M,530.42M,297.93M,232.48M,123.06M,,,-23.90M,12.01M,-12.01M,,123.06M,109.43M,12.01M,-12.01M,-24.67M,-12.01M,72.75M,15.40M,57.35M,,,57.35M,76.19M,107.32M,,2016-12,0.76,,,,2016-12,0.75,,,,2016-12,75.95M,,2016-12,AOR,Restated
2016-09,530.36M,530.36M,299.47M,230.89M,119.11M,,,-2.067M,11.91M,-11.91M,,119.11M,111.78M,11.91M,-11.91M,-0.554M,-11.91M,99.31M,29.44M,69.87M,,,69.87M,71.33M,133.41M,,2016-09,0.92,,,,2016-09,0.91,,,,2016-09,75.82M,,2016-09,AOR,Restated
2016-06,549.70M,549.70M,305.64M,244.06M,130.24M,,,0.00,11.20M,-11.20M,,130.24M,113.82M,11.20M,-11.20M,1.027M,-11.20M,103.64M,27.89M,75.76M,,,75.76M,75.76M,137.02M,,2016-06,1.00,,,,2016-06,0.99,,,,2016-06,75.69M,,2016-06,AOR,Restated
2016-03,502.57M,502.57M,279.24M,223.34M,119.99M,,,0.00,10.49M,-10.49M,,119.99M,103.34M,10.49M,-10.49M,-0.044M,-10.49M,92.81M,24.68M,68.13M,,,68.13M,68.13M,123.26M,,2016-03,0.90,,,,2016-03,0.89,,,,2016-03,75.75M,,2016-03,AOR,Restated
2015-12,499.80M,499.80M,276.40M,223.40M,113.37M,,,-6.516M,10.23M,-10.23M,,113.37M,110.03M,10.23M,-10.23M,-11.11M,-10.23M,88.69M,20.92M,67.76M,,,67.76M,72.74M,119.06M,,2015-12,0.88,,,,2015-12,0.87,,,,2015-12,76.21M,,2015-12,AOR,Restated
2015-09,503.79M,503.79M,280.53M,223.26M,114.79M,,,13.35M,10.23M,-10.23M,,114.79M,108.47M,10.23M,-10.23M,14.04M,-10.23M,112.28M,32.77M,79.50M,,,79.50M,70.06M,142.88M,,2015-09,1.03,,,,2015-09,1.02,,,,2015-09,76.83M,,2015-09,AOR,Restated
2015-06,514.88M,514.88M,283.27M,231.62M,121.71M,,,,10.58M,-10.58M,,121.71M,109.91M,10.58M,-10.58M,-0.827M,-10.58M,98.50M,28.91M,69.58M,,,69.58M,69.58M,128.17M,,2015-06,0.89,,,,2015-06,0.89,,,,2015-06,77.47M,,2015-06,AOR,Restated
2015-03,502.20M,502.20M,276.16M,226.04M,124.28M,,,,10.60M,-10.60M,,124.28M,101.76M,10.60M,-10.60M,1.723M,-10.60M,92.88M,26.93M,65.95M,,,65.95M,65.95M,121.99M,,2015-03,0.84,,,,2015-03,0.84,,,,2015-03,78.00M,,2015-03,AOR,Restated
2014-12,523.90M,523.90M,294.78M,229.12M,120.99M,,,-13.67M,10.57M,-10.57M,,120.99M,108.13M,10.57M,-10.57M,-12.21M,-10.57M,85.34M,23.72M,61.62M,,,61.62M,71.49M,114.54M,,2014-12,0.78,,,,2014-12,0.77,,,,2014-12,78.67M,,2014-12,AOR,Restated
2014-09,533.18M,533.18M,298.53M,234.65M,123.80M,,,0.00,10.46M,-10.46M,,123.80M,110.85M,10.46M,-10.46M,0.944M,-10.46M,101.33M,29.89M,71.44M,,,71.44M,71.44M,131.40M,,2014-09,0.89,,,,2014-09,0.88,,,,2014-09,79.56M,,2014-09,AOR,Restated
2014-06,546.69M,546.69M,305.56M,241.13M,129.04M,,,,10.40M,-10.40M,,129.04M,112.09M,10.40M,-10.40M,-0.137M,-10.40M,101.55M,29.77M,71.78M,,,71.78M,71.78M,131.37M,,2014-06,0.89,,,,2014-06,0.88,,,,2014-06,80.11M,,2014-06,AOR,Restated
2014-03,544.00M,544.00M,299.58M,244.42M,130.58M,,,,10.46M,-10.46M,,130.58M,113.84M,10.46M,-10.46M,0.844M,-10.46M,104.22M,29.67M,74.55M,,,74.55M,74.55M,133.94M,,2014-03,0.92,,,,2014-03,0.91,,,,2014-03,80.53M,,2014-03,AOR,Restated
2013-12,520.62M,520.62M,293.61M,227.01M,123.14M,,,,10.48M,-10.48M,,123.14M,103.87M,10.48M,-10.48M,-0.696M,-10.48M,92.70M,25.14M,67.56M,,,67.56M,67.56M,122.82M,,2013-12,0.83,,,,2013-12,0.82,,,,2013-12,80.78M,,2013-12,AOR,Restated
2013-09,490.62M,490.62M,279.11M,211.51M,114.14M,,,,10.57M,-10.57M,,114.14M,97.37M,10.57M,-10.57M,-0.188M,-10.57M,86.61M,22.81M,63.80M,,,63.80M,63.80M,116.96M,,2013-09,0.78,,,,2013-09,0.78,,,,2013-09,81.26M,,2013-09,AOR,Restated
2013-06,518.44M,518.44M,295.60M,222.85M,123.29M,,,,10.60M,-10.60M,,123.29M,99.56M,10.60M,-10.60M,-0.573M,-10.60M,88.39M,25.83M,62.56M,,,62.56M,62.56M,119.06M,,2013-06,0.76,,,,2013-06,0.76,,,,2013-06,81.83M,,2013-06,AOR,Restated
2013-03,494.45M,494.45M,282.45M,212.00M,117.28M,,,,10.56M,-10.56M,,117.28M,94.71M,10.56M,-10.56M,1.279M,-10.56M,85.43M,24.13M,61.30M,,,61.30M,61.30M,115.83M,,2013-03,0.74,,,,2013-03,0.74,,,,2013-03,82.20M,,2013-03,AOR,Restated
2012-12,490.84M,490.84M,287.98M,202.86M,112.06M,,,-216.39M,10.52M,-10.52M,,112.06M,90.80M,10.52M,-10.52M,-216.17M,-10.52M,-135.89M,-16.87M,-119.02M,,,-119.02M,70.51M,-105.00M,,2012-12,-1.45,,,,2012-12,-1.45,,,,2012-12,82.30M,,2012-12,AOR,Restated
2012-09,479.86M,479.86M,285.02M,194.84M,107.17M,,,-7.085M,10.54M,-10.54M,,107.17M,87.67M,10.54M,-10.54M,-6.953M,-10.54M,70.18M,20.06M,50.13M,,,50.13M,55.19M,100.26M,,2012-09,0.60,,,,2012-09,0.60,,,,2012-09,82.48M,,2012-09,AOR,Restated
2012-06,494.14M,494.14M,291.03M,203.11M,111.88M,,,-2.581M,10.54M,-10.54M,,111.88M,91.23M,10.54M,-10.54M,-2.811M,-10.54M,77.88M,23.53M,54.35M,,,54.35M,56.15M,107.62M,,2012-06,0.65,,,,2012-06,0.65,,,,2012-06,83.18M,,2012-06,AOR,Restated
2012-03,489.42M,489.42M,286.53M,202.89M,113.38M,,,-4.938M,10.66M,-10.66M,,113.38M,89.51M,10.66M,-10.66M,-4.821M,-10.66M,74.02M,21.85M,52.17M,,,52.17M,55.65M,103.88M,,2012-03,0.63,,,,2012-03,0.62,,,,2012-03,82.80M,,2012-03,AOR,Restated
2011-12,480.68M,480.68M,287.08M,193.60M,108.22M,,,-8.382M,8.395M,-8.395M,,108.22M,85.38M,8.395M,-8.395M,-9.825M,-8.395M,67.16M,19.78M,47.39M,,,47.39M,53.30M,94.83M,,2011-12,0.57,,,,2011-12,0.57,,,,2011-12,82.60M,,2011-12,AOR,Restated
2011-09,476.88M,476.88M,295.35M,181.53M,107.30M,,,-3.372M,7.763M,-7.763M,,107.30M,74.24M,7.763M,-7.763M,-3.372M,-7.763M,63.10M,14.76M,48.34M,,,48.34M,50.92M,91.40M,,2011-09,0.58,0.00,,,2011-09,0.58,0.00,,,2011-09,82.40M,,2011-09,AOR,Restated
2011-06,453.80M,453.80M,268.96M,184.84M,105.21M,,,-0.347M,6.72M,-6.72M,,105.21M,79.63M,6.72M,-6.72M,-0.347M,-6.72M,73.26M,23.07M,50.18M,,,50.18M,50.42M,96.93M,,2011-06,0.61,0.00,,,2011-06,0.60,0.00,,,2011-06,82.15M,,2011-06,AOR,Restated
2011-03,427.09M,427.09M,248.39M,178.70M,100.98M,,,-0.907M,6.454M,-6.454M,,100.98M,77.72M,6.454M,-6.454M,-0.907M,-6.454M,70.36M,22.41M,47.95M,,,47.95M,48.57M,92.44M,,2011-03,0.58,0.00,,,2011-03,0.57,0.00,,,2011-03,81.43M,,2011-03,AOR,Restated
2010-12,405.22M,405.22M,243.23M,161.99M,91.31M,,,-4.065M,4.955M,-4.955M,,91.31M,70.68M,4.955M,-4.955M,-5.157M,-4.955M,60.56M,19.05M,41.51M,,,41.51M,44.30M,78.74M,,2010-12,0.51,,,,2010-12,0.50,,,,2010-12,80.90M,,2010-12,AOR,Restated
2010-09,373.73M,373.73M,219.60M,154.13M,88.17M,,,-4.625M,4.162M,-4.162M,,88.17M,65.96M,4.162M,-4.162M,-4.625M,-4.162M,57.18M,18.61M,38.56M,,,38.56M,41.68M,76.57M,,2010-09,0.47,0.00,,,2010-09,0.47,0.00,,,2010-09,80.52M,,2010-09,AOR,Restated
2010-06,378.53M,378.53M,223.70M,154.82M,91.01M,,,-0.792M,3.599M,-3.599M,,91.01M,63.81M,3.599M,-3.599M,-0.792M,-3.599M,59.42M,19.02M,40.40M,,,40.40M,40.94M,78.39M,,2010-06,0.50,0.00,,,2010-06,0.49,0.00,,,2010-06,80.37M,,2010-06,AOR,Restated
2010-03,355.60M,355.60M,208.06M,147.54M,87.78M,,,-1.613M,3.434M,-3.434M,,87.78M,59.76M,3.434M,-3.434M,-1.613M,-3.434M,54.71M,18.09M,36.62M,,,36.62M,37.70M,72.43M,,2010-03,0.45,0.00,,,2010-03,0.45,0.00,,,2010-03,80.08M,,2010-03,AOR,Restated
2009-12,343.34M,343.34M,204.31M,139.03M,82.77M,,,-3.481M,3.966M,-3.966M,,82.77M,56.27M,3.966M,-3.966M,-3.481M,-3.966M,48.82M,15.73M,33.09M,,,33.09M,35.45M,67.24M,,2009-12,0.41,0.00,,,2009-12,0.41,0.00,,,2009-12,79.94M,,2009-12,AOR,Restated
2009-09,323.25M,323.25M,194.19M,129.06M,79.79M,,,-1.37M,3.951M,-3.951M,,79.79M,49.27M,3.951M,-3.951M,-1.37M,-3.951M,43.95M,14.17M,29.78M,,,29.78M,30.71M,62.03M,,2009-09,0.37,0.00,,,2009-09,0.37,0.00,,,2009-09,79.74M,,2009-09,AOR,Restated
2009-06,336.46M,336.46M,205.35M,131.10M,81.12M,,,-3.635M,4.44M,-4.44M,,81.12M,49.98M,4.44M,-4.44M,-3.635M,-4.44M,41.91M,13.99M,27.92M,,,27.92M,30.34M,60.51M,,2009-06,0.35,0.00,,,2009-06,0.34,0.00,,,2009-06,79.68M,,2009-06,AOR,Restated
2009-03,326.61M,326.61M,203.42M,123.19M,81.78M,,,-2.442M,4.821M,-4.821M,,81.78M,41.41M,4.821M,-4.821M,-2.442M,-4.821M,34.15M,11.54M,22.60M,,,22.60M,24.22M,52.56M,,2009-03,0.28,0.00,,,2009-03,0.28,0.00,,,2009-03,79.51M,,2009-03,AOR,Restated
2008-12,355.31M,355.31M,222.64M,132.66M,85.31M,,,-11.48M,,,,55.22M,77.44M,,,-11.48M,,30.64M,10.12M,20.52M,,,20.52M,28.21M,47.99M,,2008-12,0.24,0.00,,,2008-12,0.24,0.00,,,2008-12,80.53M,,2008-12,,Restated
2008-09,365.19M,365.19M,218.80M,146.40M,81.61M,,,-32.64M,,,30.09M,111.70M,34.69M,,,-32.64M,,28.28M,9.204M,19.08M,,,19.08M,41.09M,45.42M,,2008-09,0.23,0.00,,,2008-09,0.23,0.00,,,2008-09,81.57M,,2008-09,,
2008-06,397.31M,397.31M,234.10M,163.21M,89.40M,,,0.987M,,,,89.40M,73.81M,,,0.987M,,70.70M,24.65M,46.05M,,,46.05M,45.41M,86.03M,,2008-06,0.57,0.00,,,2008-06,0.56,0.00,,,2008-06,81.32M,,2008-06,,
