,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,877.76M,877.76M,275.43M,,275.43M,187.24M,30.09M,85.07M,302.41M,,65.15M,1.521B,0.00,,100.90M,5.431M,293.30M,,399.64M,,399.64M,1.864B,417.08M,2.281B,24.55M,2.705B,4.226B,,2020-09,134.78M,203.89M,136.98M,340.87M,0.15M,0.15M,15.90M,16.05M,41.84M,41.84M,,,409.70M,1.044B,93.51M,1.138B,151.92M,5.10M,157.02M,86.32M,23.12M,1.419B,1.829B,0.899M,2.778B,778.47M,1.080B,,-81.25M,2.397B,,2020-09,AOR,
2020-06,746.35M,746.35M,270.26M,,270.26M,188.85M,38.80M,97.28M,324.93M,,55.72M,1.397B,,,,,281.85M,,281.85M,,281.85M,1.843B,422.23M,2.265B,129.53M,2.676B,4.074B,,2020-06,137.41M,218.73M,118.68M,337.41M,0.228M,0.228M,16.58M,16.81M,38.49M,38.49M,,,401.31M,1.044B,94.50M,1.139B,150.42M,1.615M,152.03M,83.92M,21.53M,1.411B,1.813B,0.899M,2.712B,772.67M,1.095B,,-129.56M,2.261B,,2020-06,AOR,
2020-03,569.22M,569.22M,327.84M,,327.84M,204.49M,42.02M,94.07M,340.58M,,51.44M,1.289B,,,,,283.28M,,283.28M,,283.28M,1.832B,426.20M,2.258B,113.15M,2.655B,3.944B,,2020-03,157.72M,184.70M,117.72M,302.42M,0.319M,0.319M,16.12M,16.44M,43.56M,43.56M,,,366.89M,999.02M,80.80M,1.080B,148.19M,1.85M,150.04M,82.54M,19.68M,1.347B,1.714B,0.899M,2.717B,766.92M,1.105B,,-150.31M,2.230B,,2020-03,AOR,
2019-12,632.58M,632.58M,298.12M,6.415M,298.19M,182.38M,28.76M,82.32M,293.47M,,37.21M,1.261B,0.00,32.24M,187.30M,493.26M,,24.55M,737.34M,-457.03M,280.32M,1.780B,388.03M,2.168B,104.38M,2.552B,3.814B,,2019-12,138.46M,187.99M,122.22M,310.21M,0.388M,0.388M,15.24M,15.62M,17.63M,17.63M,,,357.88M,848.86M,69.93M,918.79M,146.57M,2.129M,148.70M,87.48M,23.53M,1.193B,1.551B,0.899M,2.615B,760.45M,985.91M,,-127.34M,2.263B,,2019-12,AOR,
2019-09,515.98M,515.98M,317.30M,,317.30M,189.36M,32.72M,81.41M,303.49M,,53.84M,1.191B,,,,,273.33M,,273.33M,,273.33M,1.774B,390.91M,2.165B,84.64M,2.523B,3.714B,,2019-09,147.08M,202.04M,129.42M,331.46M,0.417M,0.417M,13.92M,14.34M,9.823M,9.823M,,,370.67M,848.73M,53.28M,902.01M,162.02M,2.369M,164.39M,72.73M,20.63M,1.180B,1.551B,0.899M,2.556B,754.70M,989.11M,,-159.86M,2.163B,,2019-09,AOR,Restated
2019-06,543.19M,543.19M,326.36M,,326.36M,186.12M,28.48M,86.41M,301.01M,,46.33M,1.217B,,,,,275.02M,,275.02M,,275.02M,1.697B,365.74M,2.063B,85.24M,2.423B,3.640B,,2019-06,160.58M,211.83M,114.23M,326.06M,0.452M,0.452M,12.97M,13.42M,11.86M,11.86M,,,361.79M,848.56M,54.62M,903.17M,140.15M,2.512M,142.66M,76.23M,23.94M,1.166B,1.528B,0.90M,2.490B,749.01M,1.003B,,-124.91M,2.112B,,2019-06,AOR,Restated
2019-03,456.13M,456.13M,333.78M,,333.78M,187.30M,44.78M,66.25M,298.33M,,40.99M,1.129B,,,,,271.92M,,271.92M,,271.92M,1.694B,372.74M,2.067B,83.16M,2.422B,3.551B,,2019-03,160.59M,192.47M,114.40M,306.87M,0.455M,0.455M,13.19M,13.65M,12.39M,12.39M,,,339.25M,848.44M,54.97M,903.40M,130.88M,2.789M,133.67M,76.19M,23.38M,1.157B,1.496B,0.90M,2.452B,743.74M,1.012B,,-130.02M,2.055B,,2019-03,AOR,Restated
2018-12,466.41M,466.41M,313.72M,5.182M,312.19M,178.80M,37.50M,63.70M,280.00M,,33.94M,1.093B,0.00,32.10M,189.74M,469.15M,,24.33M,715.33M,-434.11M,281.22M,1.698B,383.33M,2.081B,18.82M,2.381B,3.474B,,2018-12,143.20M,201.47M,129.34M,330.80M,0.483M,0.483M,0.00,0.483M,8.055M,8.055M,,,364.66M,848.34M,11.62M,859.95M,128.01M,3.027M,131.03M,80.67M,22.59M,1.115B,1.479B,0.901M,2.342B,738.34M,957.45M,,-129.22M,1.995B,,2018-12,AOR,Restated
2018-09,491.77M,491.77M,324.90M,,324.90M,185.76M,37.09M,64.27M,287.13M,,51.45M,1.155B,,,,,276.82M,,276.82M,,276.82M,1.709B,395.50M,2.104B,18.47M,2.400B,3.555B,,2018-09,141.18M,201.27M,129.17M,330.44M,,0.536M,,0.536M,10.27M,10.27M,,,360.21M,848.25M,11.62M,859.86M,131.15M,3.271M,134.42M,85.74M,27.44M,1.134B,1.494B,0.902M,2.277B,732.94M,835.80M,,-114.10M,2.061B,,2018-09,AOR,Restated
2018-06,458.75M,458.75M,329.69M,,329.69M,178.48M,40.84M,64.54M,283.85M,,41.45M,1.114B,,,,,267.83M,,267.83M,,267.83M,1.691B,393.09M,2.084B,18.23M,2.370B,3.483B,,2018-06,150.53M,211.84M,111.04M,322.87M,,0.496M,,0.496M,10.90M,10.90M,,,347.03M,858.66M,11.97M,870.63M,127.77M,3.269M,131.04M,96.09M,22.96M,1.147B,1.494B,0.902M,2.203B,727.86M,817.30M,,-125.78M,1.989B,,2018-06,AOR,Restated
