,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.122B,1.310B,929.39M,380.50M,83.51M,1.576M,35.78M,,-35.78M,10.46M,93.97M,286.53M,,35.78M,-35.78M,7.363M,-35.78M,258.11M,56.98M,201.12M,-1.337M,,,199.79M,199.90M,394.85M,100.96M,293.89M,1.52,-0.01,,1.511,1.51,1.51,-0.01,,1.501,1.5,132.57M,133.27M,0.34
2020-06,1.323B,1.323B,926.06M,396.52M,91.20M,-0.258M,33.95M,,-33.95M,6.16M,97.36M,299.15M,,33.95M,-33.95M,7.109M,-33.95M,272.31M,61.35M,210.96M,-1.041M,,,209.92M,211.16M,405.73M,99.47M,306.26M,1.59,-0.01,,1.5919999999999999,1.58,1.58,-0.01,,1.5819999999999999,1.58,132.55M,133.12M,0.34
2020-03,1.049B,1.049B,847.52M,201.72M,86.43M,0.999M,30.77M,,-30.77M,3.991M,90.42M,111.30M,,30.77M,-30.77M,-8.337M,-30.77M,72.19M,12.19M,60.00M,0.26M,,,60.26M,59.17M,198.44M,95.48M,102.96M,0.45,0.0,,0.4437,0.45,0.45,0.0,,0.4438,0.45,132.57M,133.26M,0.34
2019-12,1.752B,1.186B,893.07M,293.08M,95.80M,12.77M,31.99M,,-30.84M,16.47M,112.28M,180.81M,,31.99M,-30.84M,16.06M,-30.84M,166.03M,23.43M,142.60M,-1.503M,,,141.09M,131.63M,293.69M,95.67M,198.02M,1.08,-0.01,,0.9972,1.07,1.07,-0.01,,0.988,1.06,132.47M,133.72M,0.31
2019-09,1.212B,1.419B,1.018B,400.64M,88.79M,0.234M,32.20M,,-32.20M,8.712M,97.50M,303.14M,,32.20M,-32.20M,0.593M,-32.20M,271.54M,53.47M,218.07M,-2.353M,,,215.71M,217.88M,399.98M,96.25M,303.74M,1.65,-0.02,,1.649,1.63,1.63,-0.02,,1.629,1.62,132.41M,133.38M,0.31
2019-06,1.328B,1.328B,957.18M,370.50M,95.69M,3.451M,33.04M,,-33.04M,2.19M,97.88M,272.62M,,33.04M,-33.04M,5.917M,-33.04M,245.50M,47.60M,197.91M,-0.349M,,,197.56M,195.13M,372.04M,93.50M,278.54M,1.5,-0.01,,1.479,1.49,1.48,-0.01,,1.459,1.48,132.27M,133.35M,0.31
2019-03,996.51M,996.51M,804.84M,191.68M,90.27M,7.297M,32.93M,,-32.93M,4.271M,94.54M,97.14M,,32.93M,-32.93M,10.43M,-32.93M,74.63M,10.69M,63.94M,-0.636M,,,63.30M,57.68M,196.74M,89.18M,107.56M,0.48,0.0,,0.4326,0.48,0.48,0.0,,0.433,0.48,132.04M,133.05M,0.31
2018-12,1.088B,1.088B,812.76M,275.28M,84.38M,6.57M,33.41M,,-32.86M,10.98M,95.36M,179.92M,,33.41M,-32.86M,6.862M,-32.86M,153.92M,29.64M,124.28M,-0.258M,,,124.02M,118.98M,277.12M,89.78M,187.34M,0.94,0.0,,0.8998,0.94,0.93,0.0,,0.8903,0.93,132.06M,133.47M,0.28
2018-09,1.240B,1.240B,897.06M,343.14M,81.61M,2.104M,33.55M,,-33.55M,14.46M,96.06M,247.08M,,33.55M,-33.55M,6.994M,-33.55M,220.53M,40.66M,179.86M,-0.713M,,,179.15M,178.15M,343.46M,89.39M,254.07M,1.36,-0.01,,1.347,1.35,1.34,-0.01,,1.327,1.34,132.39M,133.89M,0.28
2018-06,1.200B,1.200B,876.97M,323.18M,89.04M,2.106M,33.24M,,-33.24M,5.994M,95.04M,228.15M,,33.24M,-33.24M,5.445M,-33.24M,200.35M,40.05M,160.30M,-0.65M,,,159.65M,158.62M,319.22M,85.63M,233.59M,1.21,0.0,,1.197,1.21,1.2,-0.01,,1.187,1.19,132.44M,134.05M,0.28
2018-03,854.47M,854.47M,695.14M,159.33M,78.34M,4.164M,37.77M,,-37.77M,3.963M,82.30M,77.03M,,37.77M,-37.77M,9.235M,-37.77M,48.49M,-4.903M,53.40M,-0.416M,,,52.98M,50.36M,167.70M,81.44M,86.27M,0.4,0.0,,0.3771,0.4,0.4,-0.01,,0.3774,0.39,132.69M,134.36M,0.28
2017-12,977.49M,977.49M,735.97M,241.52M,85.92M,13.20M,140.95M,,-136.51M,19.59M,105.51M,136.00M,,140.95M,-136.51M,14.84M,-136.51M,14.34M,-313.63M,327.97M,-0.423M,,,327.55M,320.05M,233.28M,77.99M,155.29M,2.47,0.0,,2.41,2.47,2.43,0.0,,2.371,2.43,132.52M,134.95M,0.25
2017-09,1.095B,1.095B,790.96M,303.76M,73.61M,1.488M,82.04M,,-82.04M,4.156M,77.77M,225.99M,,82.04M,-82.04M,5.281M,-82.04M,149.23M,39.08M,110.15M,-1.571M,,,108.58M,109.05M,310.91M,79.64M,231.27M,0.83,-0.01,,0.8217,0.82,0.82,-0.01,,0.8119,0.81,132.48M,134.76M,0.25
2017-06,1.031B,1.031B,740.75M,290.02M,83.06M,2.773M,38.46M,,-38.46M,17.77M,100.82M,189.19M,,38.46M,-38.46M,6.663M,-38.46M,157.40M,45.65M,111.75M,8.39M,,,120.14M,109.78M,272.63M,76.78M,195.86M,0.84,0.07,,0.8251,0.91,0.83,0.06,,0.8154,0.89,132.41M,134.74M,0.25
2017-03,787.33M,787.33M,629.11M,158.22M,82.38M,0.369M,34.08M,,-34.08M,5.828M,88.21M,70.01M,,34.08M,-34.08M,4.414M,-34.08M,40.35M,-3.175M,43.52M,1.398M,,,44.92M,43.30M,145.99M,71.56M,74.42M,0.33,0.01,,0.3283,0.34,0.32,0.01,,0.3184,0.33,132.64M,134.97M,0.25
2016-12,872.97M,872.97M,645.20M,227.77M,81.31M,11.35M,33.88M,,-33.08M,-2.304M,79.00M,148.77M,,33.88M,-33.08M,25.65M,-33.08M,141.34M,33.28M,108.06M,4.536M,,,112.60M,99.39M,246.80M,71.58M,175.22M,0.82,0.03,,0.7545,0.85,0.8,0.03,,0.7359,0.83,132.57M,135.36M,0.2
2016-09,1.008B,1.008B,703.93M,304.21M,76.31M,2.713M,33.13M,,-33.13M,3.535M,79.85M,224.36M,,33.13M,-33.13M,3.703M,-33.13M,194.94M,49.80M,145.14M,-3.113M,,,142.02M,143.12M,300.11M,72.05M,228.07M,1.09,-0.02,,1.075,1.07,1.07,-0.02,,1.055,1.05,133.02M,135.82M,0.2
2016-06,956.82M,956.82M,664.64M,292.18M,82.68M,10.46M,33.33M,,-33.33M,6.175M,88.86M,203.33M,,33.33M,-33.33M,10.49M,-33.33M,180.48M,53.24M,127.24M,-2.532M,,,124.71M,119.87M,285.72M,71.91M,213.82M,0.95,-0.02,,0.8947,0.93,0.93,-0.02,,0.8759,0.92,133.42M,136.21M,0.2
2016-03,754.73M,754.73M,590.01M,164.72M,76.47M,-9.091M,33.73M,,-33.73M,14.24M,90.71M,74.01M,,33.73M,-33.73M,-9.785M,-33.73M,30.50M,-11.47M,41.96M,-1.807M,,,40.16M,47.42M,133.63M,69.41M,64.23M,0.31,-0.01,,0.3508,0.3,0.31,-0.01,,0.3501,0.3,133.82M,136.10M,0.2
2015-12,857.28M,857.28M,603.36M,253.93M,79.49M,12.24M,36.66M,,-36.31M,13.64M,93.13M,160.80M,,36.66M,-36.31M,12.84M,-36.31M,137.32M,43.77M,93.56M,-4.671M,,,88.89M,85.22M,232.56M,58.58M,173.98M,0.7,-0.03,,0.6376,0.67,0.69,-0.04,,0.6285,0.65,133.59M,135.55M,0.1
2015-09,1.038B,1.038B,747.17M,291.29M,71.39M,0.351M,37.80M,,-37.80M,8.045M,79.44M,211.86M,,37.80M,-37.80M,-2.467M,-37.80M,171.59M,45.39M,126.20M,-2.397M,,,123.80M,125.94M,279.05M,69.66M,209.39M,0.95,-0.02,,0.9481,0.93,0.93,-0.02,,0.9281,0.91,133.47M,135.56M,0.1
2015-06,895.14M,895.14M,660.69M,234.45M,69.20M,-6.221M,83.65M,,-83.65M,5.255M,74.45M,160.00M,,83.65M,-83.65M,-6.66M,-83.65M,69.69M,19.87M,49.82M,-1.657M,,,48.16M,54.27M,221.72M,68.38M,153.34M,0.37,-0.01,,0.4034,0.36,0.37,-0.01,,0.4029,0.36,133.10M,135.23M,0.1
2015-03,631.29M,631.29M,553.43M,77.86M,66.76M,3.557M,62.48M,,-62.48M,3.90M,70.66M,7.202M,,62.48M,-62.48M,4.536M,-62.48M,-50.74M,-14.08M,-36.67M,-3.011M,,,-39.68M,-39.24M,78.46M,66.72M,11.74M,-0.28,-0.02,,-0.2994,-0.3,-0.28,-0.02,,-0.2994,-0.3,132.66M,132.66M,0.1
2014-12,755.03M,755.03M,585.37M,169.66M,72.48M,3.35M,41.84M,,-40.88M,0.638M,73.12M,96.54M,,41.84M,-40.88M,2.427M,-40.88M,58.09M,19.74M,38.35M,-0.327M,,,38.02M,36.14M,158.97M,59.04M,99.93M,0.29,0.0,,0.2733,0.29,0.29,-0.01,,0.2735,0.28,132.08M,133.69M,0.06
