,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,4.48B,251.00M,4.731B,5.649B,1.858B,7.507B,1.258B,721.00M,3.173B,5.152B,,,,,17.39B,,,,,,17.97B,-9.352B,8.62B,23.34B,15.21B,38.55B,803.00M,3.684B,,51.65B,69.04B,,3.189B,639.00M,117.00M,,3.945B,6.098B,10.04B,,214.00M,214.00M,,10.26B,18.35B,,18.35B,,,8.842B,209.00M,,27.19B,37.45B,,24.04B,26.27B,,9.873B,,,-9.044B,31.39B,,AOR,
2020-06,4.763B,274.00M,5.037B,5.14B,1.842B,6.982B,1.287B,675.00M,3.24B,5.202B,,,,,17.22B,,,,,,17.37B,-9.031B,8.343B,23.08B,15.80B,38.88B,776.00M,3.571B,,51.57B,68.78B,,3.335B,637.00M,165.00M,,4.137B,5.327B,9.464B,,1.495B,1.495B,,10.96B,18.18B,,18.18B,,,8.835B,220.00M,,27.02B,37.98B,,23.89B,25.67B,,9.904B,,,-9.08B,30.58B,,AOR,
2020-03,3.377B,291.00M,3.668B,5.292B,1.97B,7.262B,1.08B,615.00M,2.873B,4.568B,,,,,15.50B,,,,,,16.71B,-8.80B,7.907B,22.93B,16.20B,39.13B,790.00M,3.39B,,51.21B,66.78B,,3.181B,637.00M,165.00M,,3.983B,5.357B,9.34B,,1.468B,1.468B,,10.81B,16.80B,,16.80B,,,8.738B,209.00M,,25.54B,36.35B,,23.73B,25.79B,,9.913B,,,-9.386B,30.22B,,AOR,
2019-12,3.86B,280.00M,4.14B,5.425B,,5.425B,972.00M,560.00M,2.784B,4.316B,1.786B,,,,15.67B,0.00,519.00M,3.702B,11.47B,1.11B,16.80B,-8.761B,8.038B,23.20B,17.02B,40.22B,883.00M,3.079B,,52.22B,67.89B,,3.252B,635.00M,226.00M,212.00M,4.325B,5.06B,9.385B,,1.478B,1.478B,,10.86B,16.66B,755.00M,17.42B,1.546B,1.546B,2.817B,213.00M,3.944B,25.72B,36.59B,,23.85B,25.85B,,10.15B,,,-8.465B,31.09B,,AOR,
2019-09,4.091B,244.00M,4.335B,5.45B,1.942B,7.392B,962.00M,584.00M,2.846B,4.392B,,,,,16.12B,,,,,,16.34B,-8.518B,7.825B,23.05B,17.50B,40.55B,874.00M,3.21B,,52.46B,68.54B,,3.029B,567.00M,67.00M,,3.663B,5.37B,9.033B,,1.458B,1.458B,,10.49B,17.64B,,17.64B,,,8.39B,202.00M,,26.03B,36.52B,,23.77B,25.44B,,9.631B,,,-7.763B,31.82B,,AOR,Restated
2019-06,3.137B,239.00M,3.376B,5.548B,1.919B,7.467B,982.00M,584.00M,2.786B,4.352B,,,,,15.20B,,,,,,16.33B,-8.506B,7.825B,23.33B,18.09B,41.42B,851.00M,3.136B,,53.23B,68.43B,,3.222B,566.00M,83.00M,,3.871B,4.979B,8.85B,,212.00M,212.00M,,9.062B,18.98B,,18.98B,,,8.489B,208.00M,,27.47B,36.53B,,23.66B,25.04B,,9.659B,,,-7.365B,31.69B,,AOR,Restated
2019-03,3.022B,239.00M,3.261B,5.345B,1.718B,7.063B,908.00M,536.00M,2.641B,4.085B,,,,,14.41B,,,,,,15.90B,-8.279B,7.626B,23.21B,18.47B,41.68B,867.00M,3.027B,,53.20B,67.61B,,3.045B,566.00M,277.00M,,3.888B,5.016B,8.904B,,209.00M,209.00M,,9.113B,18.84B,,18.84B,,,8.523B,204.00M,,27.37B,36.48B,,23.46B,24.61B,,9.679B,,,-7.47B,30.92B,,AOR,Restated
2018-12,3.844B,242.00M,4.086B,5.182B,,5.182B,890.00M,499.00M,2.407B,3.796B,1.568B,,,,14.63B,0.00,501.00M,3.555B,10.76B,894.00M,15.71B,-8.143B,7.563B,23.25B,18.94B,42.20B,897.00M,1.885B,,52.54B,67.17B,,2.975B,563.00M,305.00M,166.00M,4.009B,4.796B,8.805B,207.00M,207.00M,207.00M,,9.012B,19.36B,0.00,19.36B,2.056B,2.056B,2.04B,198.00M,3.984B,27.44B,36.45B,,23.51B,24.56B,,9.962B,,,-7.586B,30.52B,,AOR,Restated
2018-09,7.369B,181.00M,7.55B,5.271B,1.582B,6.853B,880.00M,561.00M,2.34B,3.781B,,,,,18.20B,,,,,,15.52B,-8.072B,7.448B,23.42B,19.48B,42.89B,971.00M,2.11B,19.00M,53.44B,71.64B,,2.73B,493.00M,231.00M,,3.454B,5.048B,8.502B,,4.274B,4.274B,,12.78B,19.28B,,19.28B,,,8.679B,193.00M,,27.96B,40.74B,,23.43B,24.14B,,9.858B,,,-7.009B,30.70B,,AOR,Restated
2018-06,3.065B,199.00M,3.264B,5.192B,1.935B,7.127B,887.00M,563.00M,2.264B,3.714B,,,,,14.12B,,,,,,15.31B,-7.877B,7.432B,23.84B,19.95B,43.80B,940.00M,2.005B,121.00M,54.29B,68.42B,,2.503B,492.00M,188.00M,,3.183B,4.921B,8.104B,,847.00M,847.00M,,8.951B,19.82B,,19.82B,,,8.867B,197.00M,,28.69B,37.64B,,23.32B,24.08B,,9.907B,,,-6.913B,30.58B,,AOR,Restated
