,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,10.70B,10.70B,4.493B,6.208B,2.57B,698.00M,508.00M,,127.00M,,-127.00M,,3.776B,2.432B,,127.00M,-127.00M,83.00M,-127.00M,2.388B,230.00M,2.158B,4.00M,2.162B,2.153B,3.023B,508.00M,2.515B,,1.218,0.0023,1.215,1.220,,1.20,0.00,1.197,1.20,,1.772B,1.789B,0.36,,AOR,
2020-09,8.853B,8.853B,3.966B,4.887B,2.302B,580.00M,510.00M,,137.00M,10.00M,-127.00M,,3.392B,1.495B,10.00M,137.00M,-127.00M,53.00M,-127.00M,1.421B,189.00M,1.232B,0.00,1.232B,1.226B,2.366B,808.00M,1.558B,,0.69,0.00,0.6866,0.69,,0.69,0.00,0.6866,0.69,,1.774B,1.788B,0.36,,AOR,
2020-06,7.328B,7.328B,3.263B,4.065B,2.276B,564.00M,553.00M,,134.00M,9.00M,-125.00M,,3.393B,672.00M,9.00M,134.00M,-125.00M,-21.00M,-125.00M,526.00M,-11.00M,537.00M,0.00,537.00M,536.27M,1.485B,825.00M,660.00M,,0.30,0.00,0.2996,0.30,,0.30,0.00,0.2996,0.30,,1.773B,1.785B,0.36,,AOR,
2020-03,7.711B,7.726B,3.281B,4.445B,2.548B,578.00M,561.00M,,139.00M,18.00M,-121.00M,,3.687B,758.00M,18.00M,139.00M,-121.00M,-4.00M,-121.00M,633.00M,89.00M,544.00M,20.00M,564.00M,548.30M,1.60B,828.00M,772.00M,,0.31,0.01,0.3124,0.32,,0.30,0.01,0.3024,0.31,,1.769B,1.781B,0.36,,AOR,
2019-12,8.257B,8.314B,3.434B,4.88B,2.413B,595.00M,483.00M,,164.00M,25.00M,-139.00M,,3.491B,1.389B,25.00M,164.00M,-139.00M,-10.00M,-139.00M,1.24B,191.00M,1.049B,0.00,1.049B,1.047B,2.16B,756.00M,1.404B,,0.5952,0.00,0.5942,0.5952,,0.59,0.00,0.5890,0.59,,1.768B,1.782B,0.32,,AOR,
2019-09,8.076B,8.076B,3.358B,4.718B,2.44B,596.00M,484.00M,,167.00M,24.00M,-143.00M,,3.52B,1.198B,24.00M,167.00M,-143.00M,48.00M,-143.00M,1.103B,143.00M,960.00M,0.00,960.00M,966.09M,2.024B,754.00M,1.27B,,0.54,0.00,0.5434,0.54,,0.53,0.00,0.5334,0.53,,1.772B,1.784B,0.32,,AOR,Restated
2019-06,7.979B,7.979B,3.279B,4.70B,2.434B,577.00M,483.00M,,168.00M,22.00M,-146.00M,,3.494B,1.206B,22.00M,168.00M,-146.00M,42.00M,-146.00M,1.102B,96.00M,1.006B,0.00,1.006B,1.002B,2.021B,751.00M,1.27B,,0.57,0.00,0.5679,0.57,,0.56,0.00,0.5580,0.56,,1.769B,1.781B,0.32,,AOR,Restated
2019-03,7.52B,7.535B,3.16B,4.375B,2.478B,672.00M,486.00M,,171.00M,23.00M,-148.00M,,3.636B,739.00M,23.00M,171.00M,-148.00M,41.00M,-148.00M,632.00M,-40.00M,672.00M,0.00,672.00M,676.38M,1.556B,753.00M,803.00M,,0.38,0.00,0.3825,0.38,,0.38,0.00,0.3825,0.38,,1.763B,1.777B,0.32,,AOR,Restated
2018-12,7.703B,7.765B,3.191B,4.574B,2.359B,562.00M,488.00M,-86.00M,186.00M,34.00M,-152.00M,,3.409B,1.165B,34.00M,186.00M,-152.00M,-66.00M,-152.00M,947.00M,292.00M,655.00M,-1.00M,654.00M,732.47M,1.896B,763.00M,1.133B,,0.3731,-0.0006,0.4171,0.3725,,0.37,-0.0006,0.4137,0.37,,1.761B,1.774B,0.28,,AOR,Restated
2018-09,7.656B,7.656B,3.166B,4.49B,2.377B,574.00M,544.00M,-67.00M,203.00M,22.00M,-181.00M,,3.495B,995.00M,22.00M,203.00M,-181.00M,-96.00M,-181.00M,718.00M,166.00M,552.00M,11.00M,563.00M,611.97M,1.734B,813.00M,921.00M,,0.31,0.01,0.3441,0.32,,0.31,0.01,0.3438,0.32,,1.760B,1.772B,0.28,,AOR,Restated
