,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-09,603.00M,-12.00M,,,-12.00M,255.00M,501.00M,756.00M,756.00M,75.00M,530.00M,-113.00M,166.00M,,,,53.00M,,2.005B,,-263.00M,,-263.00M,24.00M,-70.00M,3.00M,-306.00M,,-1.00M,5.00M,4.00M,,-8.00M,-8.00M,-463.00M,-463.00M,89.00M,-8.00M,-386.00M,,9.675B,1.313B,24.00M,11.01B,,,0.00,-1.00M,-8.00M,,AOR,Restated
2017-06,283.00M,0.00,,,0.00,256.00M,392.00M,648.00M,648.00M,92.00M,379.00M,-86.00M,35.00M,,,,-51.00M,,1.351B,,-255.00M,,-255.00M,238.00M,-13.00M,24.00M,-6.00M,,-2.00M,26.00M,24.00M,,-3.00M,-3.00M,-462.00M,-462.00M,57.00M,0.00,-384.00M,,8.706B,961.00M,8.00M,9.675B,,,,-2.00M,-3.00M,,AOR,Restated
2017-03,419.00M,-1.151B,,,-1.151B,252.00M,522.00M,774.00M,774.00M,171.00M,493.00M,30.00M,-162.00M,,,,-132.00M,,574.00M,,-272.00M,,-272.00M,-5.87B,-15.00M,3.00M,-6.154B,,-2.505B,-1.455B,-3.96B,,-95.00M,-95.00M,-460.00M,-460.00M,129.00M,-13.00M,-4.399B,,18.62B,-9.979B,65.00M,8.706B,,,,-2.505B,-95.00M,,AOR,Restated
2016-12,798.00M,0.00,-1.00M,0.00,85.00M,198.00M,121.00M,319.00M,319.00M,47.00M,1.166B,-61.00M,54.00M,,,,-1.245B,,1.17B,,-319.00M,,-319.00M,-7.00M,1.868B,8.00M,1.55B,,14.93B,-1.085B,13.85B,,0.00,0.00,-386.00M,-386.00M,42.00M,0.00,13.50B,,2.50B,16.22B,-104.00M,18.62B,,,,-1.00M,0.00,,AOR,Restated
2016-09,-329.00M,0.00,4.00M,947.00M,951.00M,200.00M,140.00M,340.00M,340.00M,49.00M,175.00M,34.00M,-3.00M,,,,31.00M,,1.217B,,-312.00M,,-312.00M,-66.00M,-182.00M,6.00M,-554.00M,,-1.00M,-397.00M,-398.00M,,-2.00M,-2.00M,-384.00M,-384.00M,76.00M,-38.00M,-746.00M,,2.578B,-83.00M,5.00M,2.50B,,,,-1.00M,-2.00M,,AOR,Restated
2016-06,615.00M,0.00,0.00,,0.00,202.00M,145.00M,347.00M,347.00M,62.00M,85.00M,-146.00M,-54.00M,,,,-200.00M,,909.00M,,-247.00M,,-247.00M,-7.00M,-1.246B,30.00M,-1.47B,,-3.00M,298.00M,295.00M,,-1.00M,-1.00M,-384.00M,-384.00M,43.00M,-132.00M,-179.00M,,3.334B,-740.00M,-16.00M,2.578B,,,,-3.00M,-1.00M,,AOR,Restated
2016-03,316.00M,-25.00M,477.00M,,452.00M,203.00M,144.00M,347.00M,347.00M,152.00M,-1.261B,-4.00M,-95.00M,,,,-99.00M,,-93.00M,,-243.00M,,-243.00M,25.00M,446.00M,-2.00M,226.00M,,-7.00M,-583.00M,-590.00M,,-519.00M,-519.00M,-385.00M,-385.00M,87.00M,-25.00M,-1.432B,,5.001B,-1.299B,-368.00M,3.334B,,,,-7.00M,-519.00M,,AOR,Restated
2015-12,3.604B,-2.84B,0.00,0.00,-2.858B,223.00M,143.00M,366.00M,366.00M,43.00M,-243.00M,-20.00M,-44.00M,,,,208.00M,,828.00M,,-248.00M,,-248.00M,0.00,1.805B,9.00M,1.566B,,-21.00M,738.00M,717.00M,,-888.00M,-888.00M,-360.00M,-360.00M,51.00M,,-497.00M,,3.132B,1.897B,-28.00M,5.001B,,,0.00,-21.00M,-888.00M,,AOR,Restated
2015-09,563.00M,0.00,0.00,0.00,0.00,232.00M,151.00M,383.00M,383.00M,44.00M,234.00M,-26.00M,-3.00M,,,,-29.00M,,1.195B,,-411.00M,,-411.00M,-231.00M,-570.00M,15.00M,-1.197B,,-3.00M,-501.00M,-504.00M,,-2.00M,-2.00M,-359.00M,-359.00M,50.00M,,-815.00M,,4.048B,-817.00M,-99.00M,3.132B,,,0.00,-3.00M,-2.00M,,AOR,Restated
2015-06,785.00M,-207.00M,0.00,,-207.00M,201.00M,151.00M,352.00M,352.00M,57.00M,71.00M,-35.00M,-82.00M,,,,-117.00M,,941.00M,,-216.00M,,-216.00M,2.286B,-1.843B,15.00M,242.00M,,-23.00M,-47.00M,-70.00M,,-1.00M,-1.00M,-360.00M,-360.00M,57.00M,,-374.00M,,3.226B,809.00M,13.00M,4.048B,,,0.00,-23.00M,-1.00M,,AOR,Restated
2015-03,-529.00M,,0.00,,0.00,215.00M,156.00M,371.00M,371.00M,148.00M,230.00M,-90.00M,-128.00M,,,,-218.00M,,2.00M,,-235.00M,,-235.00M,230.00M,-213.00M,13.00M,-205.00M,,2.475B,-1.471B,1.004B,,-1.346B,-1.346B,-364.00M,-364.00M,156.00M,,-550.00M,,4.063B,-753.00M,-84.00M,3.226B,,,2.485B,-10.00M,-1.346B,,AOR,Restated
2014-12,904.00M,0.00,,,87.00M,229.00M,166.00M,395.00M,395.00M,38.00M,174.00M,-22.00M,-94.00M,,,,-114.00M,,1.238B,,-287.00M,,-287.00M,-490.00M,759.00M,8.00M,-10.00M,,-577.00M,74.00M,-503.00M,,-1.00M,-1.00M,-335.00M,-335.00M,139.00M,0.00,-700.00M,,3.613B,528.00M,-78.00M,4.063B,,,0.00,-577.00M,-1.00M,,AOR,Restated
2014-09,539.00M,0.00,,,0.00,226.00M,129.00M,355.00M,355.00M,40.00M,426.00M,-97.00M,-62.00M,,,,-159.00M,,1.201B,,-277.00M,,-277.00M,-2.822B,2.239B,35.00M,-825.00M,,0.00,397.00M,397.00M,,-1.00M,-1.00M,-331.00M,-331.00M,64.00M,-400.00M,-271.00M,,3.57B,105.00M,-62.00M,3.613B,,,0.00,0.00,-1.00M,,AOR,Restated
2014-06,466.00M,0.00,,,0.00,239.00M,161.00M,400.00M,400.00M,49.00M,194.00M,-158.00M,-51.00M,,,,-209.00M,,900.00M,,-258.00M,,-258.00M,0.00,1.486B,0.00,1.228B,,0.00,-341.00M,-341.00M,,-1.00M,-1.00M,-333.00M,-333.00M,56.00M,,-619.00M,,2.06B,1.509B,1.00M,3.57B,,,0.00,0.00,-1.00M,,AOR,Restated
2014-03,375.00M,,,,,224.00M,174.00M,398.00M,398.00M,119.00M,-548.00M,82.00M,-90.00M,,,,-8.00M,,336.00M,,-255.00M,,-255.00M,0.00,-367.00M,27.00M,-595.00M,,0.00,1.213B,1.213B,,-2.192B,-2.192B,-343.00M,-343.00M,170.00M,,-1.152B,,3.475B,-1.411B,-4.00M,2.06B,,,0.00,0.00,-2.192B,,AOR,Restated
2013-12,589.00M,,,,,228.00M,198.00M,426.00M,426.00M,40.00M,1.845B,-135.00M,88.00M,,,,-1.017B,,1.625B,,-303.00M,,-303.00M,-14.00M,1.155B,2.00M,840.00M,,,-1.438B,-1.732B,,-39.00M,-39.00M,-218.00M,-218.00M,215.00M,-95.00M,-1.869B,,2.882B,596.00M,-3.00M,3.475B,,,,,-39.00M,,AOR,Restated
2013-09,966.00M,,,,,239.00M,197.00M,436.00M,436.00M,45.00M,-1.028B,113.00M,-10.00M,,,,103.00M,,522.00M,,-277.00M,,-277.00M,-566.00M,-1.873B,19.00M,-2.697B,,,374.00M,374.00M,,-351.00M,-351.00M,-220.00M,-220.00M,38.00M,-400.00M,-559.00M,,5.572B,-2.734B,44.00M,2.882B,,,,,-351.00M,,AOR,Restated
2013-06,477.00M,,,,,239.00M,197.00M,436.00M,436.00M,51.00M,-66.00M,-81.00M,-100.00M,,,,-181.00M,,717.00M,,-291.00M,,-291.00M,,327.00M,,36.00M,,,902.00M,902.00M,,-290.00M,-290.00M,-220.00M,-220.00M,73.00M,0.00,465.00M,,4.373B,1.218B,-19.00M,5.572B,,,,,-290.00M,,AOR,Restated
2013-03,544.00M,,,,,222.00M,199.00M,421.00M,421.00M,126.00M,-489.00M,-10.00M,-132.00M,,,,-142.00M,,460.00M,,-274.00M,,-274.00M,,-1.834B,,-2.108B,,,2.248B,2.248B,,-925.00M,-925.00M,-224.00M,-224.00M,69.00M,-5.901B,-4.733B,,10.80B,-6.381B,-48.00M,4.373B,,,,,-925.00M,,AOR,Restated
2012-12,1.053B,,,,,257.56M,330.01M,587.57M,587.57M,74.26M,163.26M,-653.29M,48.47M,,,,-2.083B,,1.503B,,-385.81M,,-385.81M,-24.38M,-815.82M,1.002M,-1.225B,,3.683B,-4.358M,3.679B,,-640.65M,-640.65M,-812.06M,-812.06M,279.59M,-0.151M,2.505B,,7.997B,2.783B,21.77M,10.80B,,,,-11.02B,-640.65M,,AOR,Restated
