,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,-3.655B,,,,846.00M,,1.915B,-374.00M,2.695B,217.00M,-3.999B,-41.00M,4.643B,-192.00M,,,-829.00M,37.00M,852.00M,,2020-09,,,,,-57.00M,-292.00M,,2020-09,341.00M,341.00M,18.00M,0.00,18.00M,1.627B,-7.00M,,-49.00M,301.00M,,2020-09,1.213B,2.074B,,2020-09,,4.956B,-4.615B,0.00,,,,2020-09,
2020-06,-6.716B,7.00M,,-174.00M,-189.00M,,2.186B,-1.525B,6.452B,449.00M,90.00M,111.00M,-290.00M,-132.00M,,,-221.00M,-76.00M,360.00M,,2020-06,,,,,117.00M,-576.00M,,2020-06,0.00,0.00,18.00M,-4.00M,14.00M,-714.00M,-714.00M,,-231.00M,-935.00M,,2020-06,2.364B,1.213B,,2020-06,,,0.00,-4.00M,,,,2020-06,
2020-03,-2.013B,-7.00M,,174.00M,167.00M,,2.242B,-218.00M,1.768B,-532.00M,3.909B,-70.00M,-4.353B,324.00M,,,-190.00M,115.00M,1.339B,,2020-03,,,,,219.00M,-1.53B,,2020-03,,,90.00M,0.00,90.00M,-913.00M,-913.00M,,-196.00M,-1.019B,,2020-03,3.574B,2.364B,,2020-03,,,,0.00,,,,2020-03,
2019-12,-1.036B,-622.00M,,-50.00M,-522.00M,,2.21B,23.00M,1.003B,461.00M,-44.00M,77.00M,852.00M,186.00M,,,-409.00M,279.00M,2.009B,,2019-12,,,,,1.021B,-1.301B,,2019-12,-551.00M,-1.791B,18.00M,0.00,18.00M,-2.624B,-858.00M,,134.00M,-2.499B,,2019-12,5.365B,3.574B,,2019-12,,219.00M,-2.01B,0.00,,,,2019-12,
2019-09,-737.00M,,,,-128.00M,,1.767B,-1.097B,325.00M,260.00M,379.00M,320.00M,-294.00M,237.00M,,,2.122B,-107.00M,2.405B,,2019-09,,,,,-23.13B,-25.02B,,2019-09,15.72B,16.96B,9.973B,0.00,9.973B,1.178B,-588.00M,,-108.00M,26.23B,,2019-09,1.751B,5.365B,,2019-09,,22.80B,-5.841B,0.00,,,,2019-09,Restated
2019-06,635.00M,7.00M,,24.00M,9.00M,,1.031B,37.00M,0.00,59.00M,38.00M,-99.00M,341.00M,-38.00M,,,242.00M,0.00,2.013B,,2019-06,,,,,-20.00M,-1.288B,,2019-06,-108.00M,-108.00M,21.00M,0.00,21.00M,-587.00M,-587.00M,,-52.00M,-726.00M,,2019-06,1.752B,1.751B,,2019-06,,,-108.00M,0.00,,,,2019-06,Restated
2019-03,631.00M,-7.00M,,-24.00M,-31.00M,,973.00M,10.00M,0.00,249.00M,-417.00M,-221.00M,-47.00M,-199.00M,,,-884.00M,0.00,948.00M,,2019-03,,,,,-105.00M,-1.415B,,2019-03,,,16.00M,-237.00M,-221.00M,-591.00M,-591.00M,,-2.00M,-814.00M,,2019-03,3.033B,1.752B,,2019-03,,,,-237.00M,,,,2019-03,Restated
2018-12,706.00M,,,-27.00M,-32.00M,,1.086B,-179.00M,305.00M,66.00M,,,,,,,548.00M,0.00,2.50B,,2018-12,,,,,-162.00M,-1.506B,,2018-12,0.00,0.00,16.00M,-340.00M,-324.00M,-594.00M,-594.00M,,3.00M,-915.00M,,2018-12,2.954B,3.033B,,2018-12,,0.00,0.00,-340.00M,,,,2018-12,Restated
2018-09,1.869B,,,4.00M,-922.00M,,1.023B,379.00M,214.00M,-10.00M,,,,,,,-149.00M,0.00,2.404B,,2018-09,,,,,1.892B,586.00M,,2018-09,0.00,0.00,4.00M,-811.00M,-807.00M,-595.00M,-595.00M,,4.00M,-1.398B,,2018-09,1.362B,2.954B,,2018-09,,0.00,0.00,-811.00M,,,,2018-09,Restated
2018-06,848.00M,,,-20.00M,-30.00M,,947.00M,77.00M,12.00M,134.00M,,,,,,,-232.00M,,1.756B,,2018-06,,,,,-67.00M,-1.315B,,2018-06,0.00,0.00,3.00M,-97.00M,-94.00M,-593.00M,-593.00M,,2.00M,-685.00M,,2018-06,1.606B,1.362B,,2018-06,,0.00,0.00,-97.00M,,,,2018-06,Restated
