,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.381B,1.381B,1.512B,,,1.512B,,,,2.737B,,,405.40M,6.036B,,,,,,,,,2.054B,,,14.09B,,1.383B,17.53B,23.57B,,2.446B,,2.446B,2.110B,4.557B,,1.50M,1.50M,,1.50M,,,,4.558B,4.245B,4.245B,,,,6.80M,3.696B,7.942B,12.50B,,,,,,,,,,11.06B,,AOR,
2020-09,683.00M,683.00M,1.599B,150.10M,152.40M,1.764B,638.00M,221.20M,2.016B,2.875B,,,465.10M,5.787B,,,,,,,,,2.006B,9.887B,4.069B,13.96B,,1.292B,17.25B,23.04B,,2.345B,,2.345B,1.870B,4.216B,,6.30M,6.30M,,6.30M,,,,4.222B,4.658B,4.658B,590.10M,590.10M,592.80M,6.40M,2.598B,8.440B,12.66B,,1.942B,7.200B,4.785B,1.594B,1.50B,,,-1.961B,10.37B,,AOR,
2020-06,859.80M,859.80M,1.574B,133.90M,148.10M,1.719B,635.80M,227.90M,1.890B,2.753B,,,436.90M,5.770B,,,,,,,,,2.024B,9.805B,4.106B,13.91B,,1.279B,17.21B,22.98B,,2.117B,,2.117B,1.755B,3.872B,,706.20M,706.20M,,706.20M,,,,4.578B,4.659B,4.659B,599.70M,599.70M,597.80M,6.10M,2.584B,8.440B,13.02B,,1.942B,6.924B,4.773B,1.640B,1.50B,,,-2.041B,9.960B,,AOR,
2020-03,987.10M,987.10M,1.521B,144.10M,138.00M,1.682B,625.40M,202.40M,1.705B,2.532B,,,491.90M,5.693B,,,,,,,,,2.037B,9.728B,4.150B,13.88B,,1.298B,17.21B,22.90B,,2.029B,,2.029B,1.664B,3.693B,,1.677B,1.677B,,1.677B,,,,5.370B,4.663B,4.663B,727.90M,727.90M,586.10M,5.80M,2.599B,8.576B,13.95B,,1.942B,6.797B,4.497B,2.139B,1.50B,,,-2.143B,8.953B,,AOR,
2019-12,297.70M,297.70M,1.284B,156.70M,126.30M,1.455B,567.00M,162.00M,1.526B,2.255B,395.40M,,53.90M,4.457B,0.00,164.80M,630.30M,3.324B,,172.10M,4.291B,-2.331B,1.960B,9.238B,3.622B,12.86B,,1.321B,16.14B,20.60B,,2.088B,506.30M,2.594B,879.80M,3.474B,69.60M,340.40M,340.40M,141.30M,481.70M,108.90M,358.10M,22.40M,4.406B,3.176B,3.176B,731.20M,731.20M,609.40M,5.90M,2.532B,7.049B,11.45B,,1.942B,6.773B,4.493B,2.185B,1.50B,,,-1.885B,9.136B,,AOR,
2019-09,311.70M,311.70M,1.725B,136.20M,161.80M,1.903B,587.90M,165.40M,1.990B,2.744B,,,370.20M,5.328B,,,,,,,,,1.912B,9.16B,3.653B,12.81B,,1.270B,15.99B,21.32B,,2.070B,,2.070B,1.914B,3.984B,,1.458B,1.458B,,1.458B,,,,5.442B,3.909B,3.909B,729.60M,729.60M,544.10M,5.90M,2.430B,7.612B,13.05B,,1.192B,6.678B,4.653B,2.314B,750.00M,,,-1.945B,8.262B,,AOR,Restated
2019-06,310.70M,310.70M,1.637B,147.80M,159.90M,1.824B,611.30M,183.90M,2.068B,2.863B,,,347.40M,5.345B,,,,,,,,,1.933B,9.244B,3.711B,12.95B,,1.290B,16.18B,21.52B,,2.324B,,2.324B,1.865B,4.188B,,1.465B,1.465B,,1.465B,,,,5.653B,3.909B,3.909B,730.50M,730.50M,575.40M,5.30M,2.422B,7.637B,13.29B,,1.192B,6.550B,4.641B,2.338B,750.00M,,,-1.814B,8.228B,,AOR,Restated
2019-03,281.80M,281.80M,1.718B,137.50M,146.50M,1.882B,612.40M,170.70M,2.008B,2.792B,,,298.40M,5.254B,,,,,,,,,1.927B,9.266B,3.762B,13.03B,,1.251B,16.21B,21.46B,,2.264B,,2.264B,1.718B,3.982B,,1.784B,1.784B,,1.784B,,,,5.766B,3.909B,3.909B,744.40M,744.40M,581.80M,4.20M,2.522B,7.757B,13.52B,,1.192B,6.291B,4.622B,2.354B,750.00M,,,-1.813B,7.932B,,AOR,Restated
2018-12,288.70M,288.70M,1.437B,150.00M,122.70M,1.608B,515.30M,150.80M,1.707B,2.374B,240.50M,,58.90M,4.569B,0.00,168.10M,625.60M,3.019B,,157.80M,3.970B,-2.055B,1.915B,8.957B,3.484B,12.44B,,482.30M,14.84B,19.41B,,2.233B,364.50M,2.598B,853.70M,3.451B,65.50M,378.60M,378.60M,0.00,378.60M,98.60M,98.60M,7.50M,4.002B,3.820B,3.820B,705.30M,705.30M,595.40M,3.70M,2.446B,7.566B,11.57B,,1.192B,6.219B,4.621B,2.371B,750.00M,,,-1.814B,7.836B,,AOR,Restated
2018-09,368.70M,368.70M,2.035B,141.20M,156.50M,2.236B,528.90M,196.80M,1.924B,2.650B,,,300.80M,5.555B,,,,,,,,,1.846B,9.007B,3.547B,12.55B,,492.00M,14.89B,20.45B,,2.320B,,2.320B,1.344B,3.664B,,2.388B,2.388B,,2.388B,,,,6.052B,2.831B,2.831B,423.60M,423.60M,588.40M,2.90M,2.468B,6.311B,12.36B,,1.192B,6.424B,4.620B,2.390B,750.00M,,,-1.751B,8.082B,,AOR,Restated
