,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.408B,4.408B,2.852B,1.556B,870.20M,-21.90M,,,,-50.00M,,870.20M,685.60M,,,-50.00M,-95.50M,-50.00M,540.10M,67.40M,467.70M,,-0.40M,9.30M,467.30M,486.46M,832.60M,147.00M,685.60M,,2.92,,,3.042,2.92,,2.88,,,3.000,2.88,,156.87M,159.28M,0.70,,AOR,
2020-09,3.850B,3.850B,2.474B,1.376B,731.30M,-42.80M,7.60M,52.70M,2.00M,-50.70M,,738.90M,637.40M,2.00M,52.70M,-50.70M,-117.10M,-50.70M,469.60M,78.40M,395.20M,,-0.30M,9.40M,394.90M,430.55M,667.60M,145.30M,522.30M,,2.47,,,2.698,2.47,,2.44,,,2.666,2.44,,156.37M,157.97M,0.70,,AOR,
2020-06,3.147B,3.147B,2.135B,1.013B,713.00M,-27.90M,19.00M,57.30M,2.50M,-54.80M,,732.00M,280.70M,2.50M,57.30M,-54.80M,-114.80M,-54.80M,111.10M,-117.30M,238.70M,,-0.30M,4.70M,238.40M,258.77M,313.10M,144.70M,168.40M,,1.52,,,1.653,1.52,,1.52,,,1.652,1.52,,153.33M,154.15M,0.69,,AOR,
2020-03,3.129B,3.129B,2.106B,1.023B,737.80M,-22.80M,10.70M,59.70M,10.10M,-49.60M,,748.50M,274.60M,10.10M,59.70M,-49.60M,-78.80M,-49.60M,146.20M,12.90M,133.10M,,0.10M,,133.20M,153.99M,347.00M,141.10M,205.90M,,0.89,,,1.028,0.89,,0.88,,,1.017,0.88,,150.33M,151.90M,0.69,,AOR,
2019-12,3.714B,3.714B,2.554B,1.161B,718.40M,-81.00M,5.30M,65.10M,12.50M,-52.60M,,723.70M,436.90M,12.50M,65.10M,-52.60M,-147.50M,-52.60M,236.80M,25.30M,199.10M,,0.00,,199.10M,271.45M,441.70M,139.80M,301.90M,,1.34,,,1.825,1.34,,1.32,,,1.798,1.32,,149.13M,151.34M,0.69,,AOR,
2019-09,3.633B,3.633B,2.394B,1.240B,752.80M,-74.00M,3.30M,72.40M,12.70M,-59.70M,,756.10M,483.40M,12.70M,72.40M,-59.70M,-129.00M,-59.70M,294.70M,59.20M,231.10M,,-0.60M,,230.50M,289.63M,508.00M,140.90M,367.10M,,1.55,,,1.949,1.55,,1.53,,,1.923,1.53,,148.35M,150.62M,0.69,,AOR,Restated
2019-06,3.761B,3.761B,2.462B,1.300B,776.20M,8.70M,6.10M,72.40M,12.10M,-60.30M,,782.30M,517.50M,12.10M,72.40M,-60.30M,-53.50M,-60.30M,403.70M,51.60M,357.40M,,-1.10M,,356.30M,348.71M,617.80M,141.70M,476.10M,,2.41,,,2.359,2.41,,2.37,,,2.320,2.37,,148.10M,150.36M,0.66,,AOR,Restated
2019-03,3.334B,3.334B,2.228B,1.106B,760.60M,-24.80M,18.30M,74.40M,16.60M,-57.80M,,778.90M,326.70M,16.60M,74.40M,-57.80M,-74.10M,-57.80M,194.80M,24.70M,170.40M,,-0.50M,,169.90M,191.55M,407.00M,137.80M,269.20M,,1.15,,,1.296,1.15,,1.13,,,1.274,1.13,,147.86M,149.91M,0.66,,AOR,Restated
2018-12,3.635B,3.635B,2.475B,1.160B,770.20M,-102.20M,11.20M,73.60M,18.60M,-55.00M,,781.40M,378.50M,18.60M,73.60M,-55.00M,-152.50M,-55.00M,171.00M,277.00M,-106.00M,,-0.80M,,-106.80M,-32.19M,370.10M,125.50M,244.60M,,-0.45,,,0.0550,-0.45,,-0.45,,,0.0477,-0.45,,147.74M,149.90M,0.66,,AOR,Restated
2018-09,3.495B,3.495B,2.256B,1.238B,792.90M,-21.80M,6.00M,72.10M,18.70M,-53.40M,,798.90M,439.50M,18.70M,72.10M,-53.40M,-81.20M,-53.40M,304.90M,56.60M,248.30M,,-0.50M,,247.80M,265.55M,506.70M,129.70M,377.00M,,1.67,,,1.790,1.67,,1.65,,,1.768,1.65,,147.96M,150.60M,0.66,,AOR,Restated
