,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,125.50M,-0.187M,,-0.187M,,132.39M,132.39M,11.60M,,14.59M,10.56M,-171.19M,,114.98M,34.36M,,-1.553M,-23.41M,271.04M,-217.45M,33.35M,-184.11M,0.00,,-0.039M,-184.15M,0.505M,,0.505M,,-14.98M,-14.98M,-28.53M,-28.53M,,,-43.00M,274.65M,43.90M,318.55M,,0.505M,0.00,-14.98M,27.18M,17.32M
2020-06,121.70M,0.97M,,0.97M,,130.30M,130.30M,-14.85M,,16.00M,12.14M,27.64M,,39.40M,33.58M,,23.90M,124.53M,390.79M,-175.50M,39.62M,-135.88M,0.00,,0.06M,-135.82M,0.506M,,0.506M,,-0.788M,-0.788M,-28.49M,-28.49M,,,-28.77M,48.45M,226.20M,274.65M,,0.506M,0.00,-0.788M,30.15M,8.098M
2020-03,104.83M,1.472M,,1.472M,,130.10M,130.10M,15.47M,,18.06M,11.41M,33.55M,,-28.77M,-60.03M,,23.07M,-32.18M,249.16M,-166.81M,38.08M,-128.74M,0.00,,0.028M,-128.71M,0.507M,,0.507M,,-78.82M,-78.82M,-28.69M,-28.69M,,,-107.00M,35.00M,13.45M,48.45M,,220.61M,-220.10M,-78.82M,1.173M,21.67M
2019-12,144.68M,3.972M,,3.972M,,128.42M,128.42M,54.97M,,11.17M,10.79M,40.73M,,-164.11M,-21.33M,,-48.53M,-193.24M,160.75M,-131.74M,30.15M,-101.59M,-17.42M,,-0.034M,-119.05M,0.508M,,0.508M,,-54.62M,-54.62M,-27.73M,-27.73M,,,-81.84M,75.13M,-40.13M,35.00M,,0.508M,0.00,-54.62M,37.94M,4.61M
2019-09,118.41M,4.043M,,4.043M,,126.80M,126.80M,-31.96M,,13.85M,10.50M,-10.93M,,5.413M,39.76M,,55.04M,89.28M,330.93M,-167.24M,55.96M,-111.28M,0.311M,,-0.032M,-111.00M,-77.59M,,-77.59M,,-46.28M,-46.28M,-27.81M,-27.81M,,,-151.68M,6.875M,68.26M,75.13M,,256.01M,-333.60M,-46.28M,17.94M,22.06M
2019-06,133.63M,2.79M,,2.79M,,123.99M,123.99M,7.571M,,14.73M,9.746M,-37.60M,,47.31M,31.02M,,22.72M,63.45M,355.92M,-297.47M,34.29M,-263.18M,0.00,,-0.03M,-263.22M,78.58M,,78.58M,,-188.77M,-188.77M,-28.01M,-28.01M,,,-138.19M,52.36M,-45.49M,6.875M,,603.88M,-525.30M,-188.77M,13.63M,5.683M
2019-03,119.60M,2.252M,,2.252M,,119.93M,119.93M,25.03M,,13.57M,8.484M,58.11M,,-54.03M,-54.42M,,12.21M,-38.13M,250.74M,-257.66M,45.51M,-212.15M,-98.54M,,-0.015M,-310.70M,135.52M,,135.52M,,-2.52M,-2.52M,-28.27M,-28.27M,,,104.73M,7.60M,44.76M,52.36M,,1.431B,-1.295B,-2.52M,2.163M,14.36M
2018-12,88.68M,3.666M,,3.666M,,114.09M,114.09M,125.03M,,10.18M,10.18M,43.94M,,49.42M,-10.78M,,-114.00M,-31.41M,310.24M,-319.55M,19.04M,-300.51M,0.00,,-0.01M,-300.52M,68.35M,,68.35M,,-51.85M,-51.85M,-26.21M,-26.21M,,,-9.707M,7.587M,0.013M,7.60M,,797.25M,-728.90M,-51.85M,2.488M,8.422M
2018-09,131.11M,1.982M,,1.982M,,108.80M,108.80M,-34.44M,,11.18M,11.18M,-76.02M,,56.07M,31.34M,,18.53M,29.93M,248.57M,-264.35M,33.51M,-230.85M,0.00,,0.015M,-230.83M,69.73M,,69.73M,,-68.88M,-68.88M,-26.20M,-26.20M,,,-25.34M,15.19M,-7.604M,7.587M,,986.13M,-916.40M,-68.88M,53.57M,12.45M
2018-06,151.65M,3.644M,,3.644M,,107.42M,107.42M,7.584M,,13.96M,13.96M,-118.72M,,60.41M,22.50M,,18.96M,-16.85M,267.42M,-205.64M,30.55M,-175.09M,0.00,,-0.994M,-176.08M,-7.908M,,-7.908M,,-49.08M,-49.08M,-26.24M,-26.24M,,,-83.23M,7.082M,8.109M,15.19M,,734.29M,-742.20M,-49.08M,25.93M,7.258M
2018-03,118.14M,2.815M,,2.815M,,105.58M,105.58M,3.412M,,12.04M,12.04M,19.86M,,13.52M,-49.19M,,35.43M,19.63M,261.62M,-206.11M,27.06M,-179.04M,0.00,,-0.299M,-179.34M,-63.36M,,-63.36M,,-0.099M,-0.099M,-26.34M,-26.34M,,,-89.80M,14.61M,-7.53M,7.082M,,687.04M,-750.40M,-0.099M,1.834M,11.77M
2017-12,385.31M,1.654M,,1.654M,,102.32M,102.32M,-204.96M,,7.338M,27.58M,-52.68M,,10.05M,11.23M,,-53.89M,-85.29M,226.60M,-198.71M,3.033M,-195.68M,0.751M,,-0.247M,-195.17M,0.764M,,0.764M,,-0.048M,-0.048M,-25.24M,-25.24M,,,-24.53M,7.707M,6.905M,14.61M,,607.26M,-606.50M,-0.048M,3.47M,4.144M
2017-09,100.38M,2.323M,,2.323M,,95.96M,95.96M,-6.444M,,7.843M,7.843M,-109.68M,,86.78M,10.96M,,-3.02M,-14.96M,185.10M,-151.56M,1.812M,-149.75M,-137.63M,,-0.177M,-287.55M,146.86M,,146.86M,,-18.74M,-18.74M,-25.24M,-25.24M,,,102.88M,7.274M,0.433M,7.707M,,861.66M,-714.80M,-18.74M,64.60M,10.16M
2017-06,97.87M,1.684M,,1.684M,,93.05M,93.05M,-39.28M,,11.94M,11.94M,-41.61M,,45.65M,12.21M,,-23.69M,-7.443M,157.81M,-77.88M,3.80M,-74.08M,,,0.003M,-74.08M,-14.34M,,-14.34M,,-49.11M,-49.11M,-25.28M,-25.28M,,,-88.72M,12.26M,-4.987M,7.274M,,580.36M,-594.70M,-49.11M,120.64M,4.916M
2017-03,102.70M,1.709M,,1.709M,,92.19M,92.19M,1.928M,,11.17M,11.17M,37.86M,,-32.05M,35.06M,,35.06M,75.94M,285.63M,-98.78M,7.768M,-91.01M,,,-3.467M,-94.47M,-29.64M,,-29.64M,,-130.04M,-130.04M,-25.60M,-25.60M,,,-185.28M,6.377M,5.884M,12.26M,,666.86M,-696.50M,-130.04M,2.082M,9.561M
2016-12,117.56M,3.133M,,3.133M,,91.79M,91.79M,59.57M,,10.45M,10.45M,-2.59M,,-9.754M,-87.42M,,-12.56M,-112.32M,170.18M,-139.52M,13.02M,-126.50M,0.00,,-0.115M,-126.62M,56.36M,,56.36M,,-75.03M,-75.03M,-24.51M,-24.51M,-0.001M,0.512M,-42.67M,5.481M,0.896M,6.377M,,628.26M,-571.90M,-75.03M,24.83M,3.186M
2016-09,109.42M,1.327M,,1.327M,,91.00M,91.00M,-11.51M,,7.258M,7.258M,-42.70M,,36.73M,16.82M,,1.471M,12.32M,209.82M,-147.41M,46.61M,-100.80M,0.00,,-0.01M,-100.81M,-3.79M,,-3.79M,,-92.40M,-92.40M,-24.88M,-24.88M,0.00,6.252M,-114.82M,11.28M,-5.796M,5.481M,,410.48M,-414.27M,-92.40M,69.76M,8.759M
2016-06,105.01M,1.00M,,1.00M,,90.36M,90.36M,-12.90M,,11.94M,11.94M,-48.96M,,-18.80M,11.35M,,30.24M,-26.17M,169.24M,-194.72M,51.22M,-143.50M,,,-0.005M,-143.50M,3.157M,,3.157M,,-0.354M,-0.354M,-24.79M,-24.79M,1.30M,0.233M,-20.45M,5.992M,5.285M,11.28M,,362.96M,-359.80M,-0.354M,45.99M,4.058M
2016-03,100.10M,0.03M,,0.03M,,88.35M,88.35M,15.26M,,10.97M,10.97M,-26.74M,,52.97M,22.15M,,41.80M,90.19M,304.90M,-156.79M,42.33M,-114.46M,,,-0.002M,-114.46M,-64.67M,,-64.67M,,-100.62M,-100.62M,-24.81M,-24.81M,0.042M,0.047M,-190.01M,5.566M,0.426M,5.992M,,313.73M,-378.40M,-100.62M,3.046M,8.797M
2015-12,116.74M,-0.024M,,-0.024M,,88.37M,88.37M,85.82M,,10.22M,10.22M,25.61M,,-16.22M,-62.08M,,-72.10M,-124.79M,176.35M,-163.35M,37.57M,-125.78M,,,-0.001M,-125.78M,25.25M,,25.25M,,-50.64M,-50.64M,-24.07M,-24.07M,0.477M,-1.569M,-50.55M,5.542M,0.024M,5.566M,,534.47M,-509.22M,-50.64M,59.47M,1.955M
2015-09,115.14M,-1.404M,,-1.404M,,86.20M,86.20M,5.888M,,6.313M,6.313M,-6.157M,,14.74M,20.63M,,2.077M,31.29M,243.42M,-180.09M,48.68M,-131.41M,,,0.002M,-131.41M,99.42M,,99.42M,,-201.18M,-201.18M,-24.35M,-24.35M,1.308M,12.75M,-112.06M,5.586M,-0.044M,5.542M,,947.83M,-848.41M,-201.18M,49.02M,11.86M
2015-06,103.42M,0.951M,,0.951M,,83.66M,83.66M,-33.38M,,10.57M,10.57M,-34.07M,,15.37M,9.286M,,42.19M,32.77M,197.99M,-201.52M,43.62M,-157.90M,,,-0.097M,-158.00M,12.11M,,12.11M,,-28.45M,-28.45M,-24.48M,-24.48M,0.13M,0.638M,-40.06M,5.646M,-0.06M,5.586M,,537.87M,-525.76M,-28.45M,53.18M,0.649M
2015-03,91.93M,-0.804M,,-0.804M,,81.38M,81.38M,22.09M,,10.13M,10.13M,22.62M,,-8.37M,5.678M,,30.88M,50.81M,255.54M,-180.16M,38.81M,-141.34M,,,-20.00M,-161.34M,-65.31M,,-65.31M,,-6.859M,-6.859M,-24.47M,-24.47M,1.063M,1.06M,-94.51M,5.961M,-0.315M,5.646M,,439.76M,-505.07M,-6.859M,1.638M,12.79M
2014-12,110.31M,-0.929M,,-0.929M,,78.39M,78.39M,89.66M,,9.211M,9.211M,30.44M,,-5.012M,-71.86M,,-79.79M,-126.22M,160.41M,-208.74M,28.26M,-180.48M,,,0.008M,-180.48M,94.98M,,94.98M,,-50.63M,-50.63M,-23.44M,-23.44M,0.254M,-1.00M,20.16M,5.859M,0.102M,5.961M,,711.31M,-616.33M,-50.63M,56.84M,1.05M
