,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,7.082M,7.082M,900.90M,,900.90M,,328.08M,,,1.236B,,,,,4.765B,-1.720B,3.044B,,,,,141.32M,3.186B,4.422B,503.83M,,,503.83M,341.08M,844.91M,,247.61M,,247.61M,,,,,1.093B,752.42M,,752.42M,545.28M,545.28M,88.37M,1.386B,2.479B,,,,,,,1.943B
2017-12,14.61M,14.61M,920.77M,283.50M,1.204B,20.69M,99.16M,,,1.339B,,47.23M,4.421B,202.73M,4.670B,-1.687B,2.983B,39.76M,73.70M,113.46M,,29.84M,3.127B,4.465B,598.59M,,,598.59M,323.25M,921.84M,,,,,,,,,921.84M,1.086B,,1.086B,541.87M,541.87M,76.71M,1.704B,2.626B,1.671M,3.804B,310.81M,2.277B,,,1.839B
2017-09,7.707M,7.707M,858.72M,,858.72M,,140.16M,,,1.007B,,,,,4.508B,-1.632B,2.876B,55.74M,58.70M,114.44M,,57.10M,3.047B,4.054B,493.58M,,,493.58M,188.17M,681.76M,,,,,,,,,681.76M,1.085B,,1.085B,746.83M,746.83M,68.56M,1.900B,2.582B,,,,,,,1.472B
2017-06,7.274M,7.274M,749.04M,,749.04M,,152.04M,,,908.35M,,,,,4.385B,-1.565B,2.820B,,,,,50.00M,2.870B,3.778B,419.31M,,,419.31M,188.79M,608.09M,,,,,,,,,608.09M,943.20M,,943.20M,753.28M,753.28M,66.09M,1.763B,2.371B,,,,,,,1.408B
2017-03,12.26M,12.26M,707.43M,,707.43M,,173.65M,,,893.34M,,,,,4.331B,-1.500B,2.831B,,,,,46.43M,2.877B,3.770B,369.76M,,,369.76M,216.76M,586.52M,,,,,,,,,586.52M,950.60M,,950.60M,792.56M,792.56M,68.42M,1.812B,2.398B,,,,,,,1.372B
2016-12,6.377M,6.377M,745.29M,189.66M,934.95M,18.58M,107.51M,,,1.067B,,46.83M,4.036B,175.90M,4.259B,-1.440B,2.819B,0.00,2.40M,2.40M,,62.16M,2.883B,3.951B,384.31M,,,384.31M,310.56M,694.87M,,,,,,,,,694.87M,986.30M,,986.30M,790.63M,790.63M,64.86M,1.842B,2.537B,1.671M,3.219B,293.09M,2.100B,,,1.414B
2016-09,5.481M,5.481M,775.02M,,775.02M,,61.90M,,,842.40M,,,,,4.209B,-1.400B,2.809B,,,,,78.85M,2.888B,3.730B,402.91M,,,402.91M,197.93M,600.84M,,,,,,,,,600.84M,943.70M,,943.70M,731.07M,731.07M,69.30M,1.744B,2.345B,,,,,,,1.385B
2016-06,11.28M,11.28M,744.03M,,744.03M,,71.70M,,,827.01M,,,,,4.129B,-1.362B,2.767B,,,,,103.44M,2.870B,3.697B,343.65M,,,343.65M,209.06M,552.72M,,,,,,,,,552.72M,957.60M,,957.60M,742.57M,742.57M,65.05M,1.765B,2.318B,,,,,,,1.379B
2016-03,5.992M,5.992M,690.35M,,690.35M,,118.59M,,,814.93M,,,,,4.079B,-1.339B,2.739B,,,,,92.66M,2.832B,3.647B,381.18M,,,381.18M,199.53M,580.71M,,,,,,,,,580.71M,961.30M,,961.30M,755.48M,755.48M,63.39M,1.780B,2.361B,,,,,,,1.286B
2015-12,5.566M,5.566M,624.29M,106.99M,731.28M,23.19M,97.89M,,,857.92M,,39.03M,3.826B,154.14M,4.019B,-1.318B,2.701B,,,,,70.29M,2.772B,3.630B,340.33M,,,340.33M,192.08M,532.42M,,,,,,,,,532.42M,998.00M,,998.00M,740.22M,740.22M,58.56M,1.797B,2.329B,1.671M,2.886B,268.73M,1.856B,,,1.300B
2015-09,5.542M,5.542M,671.40M,,671.40M,,91.23M,,,768.17M,,,,,3.958B,-1.287B,2.671B,,,,,80.58M,2.751B,3.519B,355.67M,,,355.67M,188.38M,544.05M,,,,,,,,,544.05M,993.40M,,993.40M,673.03M,673.03M,59.60M,1.726B,2.270B,,,,,,,1.249B
2015-06,5.586M,5.586M,665.24M,,665.24M,,115.80M,,,786.63M,,,,,3.881B,-1.255B,2.626B,,,,,72.62M,2.699B,3.485B,341.52M,,,341.52M,185.08M,526.60M,,250.00M,,250.00M,,,,,776.60M,643.20M,,643.20M,667.14M,667.14M,59.20M,1.370B,2.146B,,,,,,,1.339B
2015-03,5.646M,5.646M,631.17M,,631.17M,,148.06M,18.63M,,803.51M,,,,,3.801B,-1.248B,2.553B,,,,,72.62M,2.625B,3.429B,328.11M,,,328.11M,184.22M,512.33M,,250.00M,,250.00M,,,,,762.33M,628.20M,,628.20M,700.52M,700.52M,60.56M,1.389B,2.152B,,,,,,,1.277B
2014-12,5.961M,5.961M,653.80M,,653.80M,27.74M,78.55M,,95.46M,861.50M,,38.98M,3.527B,153.70M,3.720B,-1.237B,2.483B,,,,,34.46M,2.517B,3.378B,325.84M,,,325.84M,195.23M,521.07M,,250.00M,,250.00M,,,,,771.07M,683.54M,,683.54M,659.79M,659.79M,59.56M,1.403B,2.174B,1.671M,2.556B,247.64M,1.601B,,,1.205B
2014-09,5.859M,5.859M,671.30M,,671.30M,,60.52M,,,737.68M,,,,,3.585B,-1.200B,2.385B,,,,,36.13M,2.421B,3.159B,352.64M,,,352.64M,173.86M,526.50M,,250.00M,,250.00M,,13.79M,13.79M,,790.29M,587.07M,,587.07M,556.35M,556.35M,65.38M,1.209B,1.999B,,,,,,,1.160B
2014-06,5.87M,5.87M,667.62M,,667.62M,,65.74M,,,739.22M,,,,,3.489B,-1.172B,2.317B,,,,,35.59M,2.352B,3.091B,338.06M,,,338.06M,174.09M,512.15M,,,,,,2.485M,2.485M,,514.63M,874.03M,,874.03M,560.29M,560.29M,61.29M,1.496B,2.010B,,,,,,,1.081B
2014-03,124.21M,124.21M,635.11M,,635.11M,,82.74M,,,842.07M,,,,,3.399B,-1.163B,2.236B,,,,,37.56M,2.274B,3.116B,371.24M,,,371.24M,189.08M,560.32M,,100.00M,,100.00M,,2.485M,2.485M,,662.80M,752.21M,,752.21M,572.68M,572.68M,59.91M,1.385B,2.048B,,,,,,,1.068B
2013-12,5.831M,5.831M,568.52M,,568.52M,26.25M,64.19M,0.00,15.42M,680.20M,,37.83M,3.078B,144.44M,3.260B,-1.148B,2.112B,,,,,27.00M,2.139B,2.819B,305.46M,,,305.46M,154.35M,459.81M,,250.00M,,250.00M,,2.485M,2.485M,,712.30M,458.42M,,458.42M,577.96M,577.96M,58.27M,1.095B,1.807B,1.671M,2.275B,226.60M,1.491B,,,1.012B
2013-09,5.968M,5.968M,584.91M,,584.91M,,57.15M,,,648.03M,,,,,3.150B,-1.113B,2.037B,,,,,27.02M,2.064B,2.712B,304.80M,,,304.80M,134.79M,439.59M,,250.00M,,250.00M,,0.75M,0.75M,,690.34M,437.47M,,437.47M,547.42M,547.42M,56.72M,1.042B,1.732B,,,,,,,980.48M
2013-06,5.923M,5.923M,579.64M,,579.64M,,66.00M,,,651.56M,,,,,3.054B,-1.077B,1.976B,,,,,28.53M,2.005B,2.656B,364.20M,,,364.20M,134.16M,498.36M,,200.00M,,200.00M,,0.75M,0.75M,,699.11M,474.13M,,474.13M,528.15M,528.15M,52.69M,1.055B,1.754B,,,,,,,902.24M
2013-03,5.747M,5.747M,529.33M,,529.33M,,80.12M,,,615.20M,,,,,2.983B,-1.041B,1.941B,,,,,29.50M,1.971B,2.586B,374.97M,,,374.97M,151.50M,526.47M,,200.00M,,200.00M,,0.75M,0.75M,,727.22M,393.29M,,393.29M,536.02M,536.02M,53.82M,983.13M,1.710B,,,,,,,875.77M
2012-12,5.589M,5.589M,466.01M,,466.01M,23.06M,50.11M,,9.761M,554.53M,,36.48M,2.732B,135.97M,2.905B,-1.019B,1.885B,,,,,24.64M,1.910B,2.465B,266.72M,,,266.72M,135.29M,402.01M,,100.00M,,100.00M,,0.75M,0.75M,,502.76M,585.35M,,585.35M,531.62M,531.62M,53.05M,1.170B,1.673B,1.671M,1.985B,207.07M,1.402B,,,791.86M
2012-09,5.659M,5.659M,504.25M,,504.25M,,53.35M,,,563.26M,,,,,2.862B,-1.014B,1.848B,,,,,26.63M,1.875B,2.438B,328.76M,,,328.76M,61.60M,390.36M,,100.00M,,100.00M,,,,,548.68M,544.90M,,544.90M,516.72M,516.72M,46.85M,1.108B,1.657B,,,,,,,781.19M
2012-06,5.887M,5.887M,472.08M,,472.08M,,62.46M,,,540.42M,,,,,2.777B,-981.32M,1.796B,,,,,29.06M,1.825B,2.365B,298.59M,,,298.59M,68.09M,366.68M,,100.00M,,100.00M,,,,,524.36M,579.46M,,579.46M,498.46M,498.46M,49.72M,1.128B,1.652B,,,,,,,713.27M
2012-03,5.713M,5.713M,447.71M,,447.71M,,82.67M,,,536.09M,,,,,2.713B,-952.68M,1.761B,,,,,26.26M,1.787B,2.323B,301.64M,,,301.64M,88.21M,389.85M,,100.00M,,100.00M,,,,,543.42M,602.12M,,602.12M,500.04M,500.04M,46.99M,1.149B,1.693B,,,,,,,630.30M
2011-12,5.45M,5.45M,411.48M,,411.48M,20.93M,46.38M,5.136M,24.16M,513.54M,,29.25M,2.497B,132.20M,2.658B,-931.27M,1.727B,,,,,26.92M,1.754B,2.267B,251.62M,,,251.62M,136.89M,388.52M,,50.00M,,50.00M,,0.00,0.00,,438.52M,699.18M,,699.18M,516.72M,516.72M,45.38M,1.261B,1.700B,1.671M,1.758B,192.47M,1.385B,,,567.54M
2011-09,7.747M,7.747M,424.63M,,424.63M,,45.01M,,,477.39M,,,,,2.568B,-911.28M,1.656B,,,,,28.88M,1.685B,2.163B,275.67M,,,275.67M,70.82M,346.50M,,50.00M,,50.00M,,22.36M,22.36M,,487.22M,718.03M,,718.03M,413.48M,413.48M,46.29M,1.178B,1.665B,,,,,,,497.63M
2011-06,11.15M,11.15M,440.76M,,440.76M,,56.25M,,,508.15M,,,,,2.480B,-886.62M,1.593B,,,,,19.46M,1.613B,2.121B,270.96M,,,270.96M,71.71M,342.67M,,15.00M,,15.00M,,22.36M,22.36M,,446.13M,649.29M,,649.29M,384.55M,384.55M,42.54M,1.076B,1.523B,,,,,,,598.34M
2011-03,5.393M,5.393M,402.92M,,402.92M,,67.25M,,,475.57M,,,,,2.403B,-857.43M,1.545B,,,,,19.68M,1.565B,2.040B,249.73M,,,249.73M,62.74M,312.47M,,49.00M,,49.00M,,15.58M,15.58M,,424.98M,649.25M,,649.25M,366.46M,366.46M,40.42M,1.056B,1.481B,,,,,,,559.27M
2010-12,7.651M,7.651M,351.19M,,351.19M,17.34M,54.32M,,32.15M,462.64M,126.21M,29.25M,2.183B,,2.338B,-858.85M,1.479B,,,,,19.53M,1.499B,1.962B,192.10M,,,192.10M,108.98M,301.08M,,200.00M,,200.00M,,8.865M,8.865M,,509.95M,454.21M,,454.21M,385.00M,385.00M,39.48M,878.69M,1.389B,1.671M,1.564B,180.99M,1.173B,,,573.02M
2010-09,68.56M,68.56M,371.12M,,371.12M,,46.58M,,,486.26M,,,,,2.277B,-827.06M,1.450B,,,,,19.71M,1.470B,1.956B,218.70M,,,218.70M,95.40M,314.11M,,200.00M,,200.00M,,11.11M,11.11M,,525.22M,449.16M,,449.16M,346.06M,346.06M,41.12M,836.34M,1.362B,,,,,,,594.46M
2010-06,7.714M,7.714M,363.67M,,363.67M,,52.19M,,,423.57M,,,,,2.242B,-784.82M,1.458B,,,,,19.71M,1.477B,1.901B,196.73M,,,196.73M,120.00M,316.73M,,200.00M,,200.00M,,11.12M,11.12M,,527.85M,417.10M,,417.10M,346.87M,346.87M,38.06M,802.04M,1.330B,,,,,,,571.06M
2010-03,7.787M,7.787M,341.66M,,341.66M,,70.47M,,,419.91M,,,,,2.199B,-749.40M,1.449B,,,,,19.76M,1.469B,1.889B,180.08M,,,180.08M,71.15M,251.24M,,200.00M,,200.00M,23.02M,34.17M,11.15M,,485.41M,341.00M,,341.00M,354.14M,354.14M,36.07M,731.21M,1.217B,,,,,,,672.52M
2009-12,7.843M,7.843M,310.34M,,310.34M,17.27M,48.57M,,8.439M,392.46M,125.02M,25.41M,2.043B,,2.193B,-748.28M,1.445B,,,,,19.78M,1.464B,1.857B,191.35M,,,191.35M,67.37M,258.71M,,,,,,10.50M,10.50M,,269.22M,565.00M,,565.00M,343.26M,343.26M,35.58M,943.84M,1.213B,1.671M,1.424B,176.01M,957.65M,,,643.85M
2009-09,4.711M,4.711M,340.33M,,340.33M,,45.46M,,11.40M,401.90M,,,,,2.181B,-745.34M,1.436B,,,,,20.28M,1.456B,1.858B,180.71M,,,180.71M,57.18M,237.89M,,,,,,13.86M,13.86M,16.79M,268.53M,625.80M,,625.80M,325.91M,325.91M,30.20M,981.91M,1.250B,,,,,,,607.65M
2009-06,3.57M,3.57M,308.31M,,308.31M,,56.33M,,18.02M,386.23M,,,,,2.165B,-750.70M,1.415B,,,,,20.10M,1.435B,1.821B,173.12M,,,173.12M,85.93M,259.05M,,61.50M,,61.50M,,10.05M,10.05M,19.41M,350.01M,586.70M,,586.70M,275.96M,275.96M,31.08M,893.74M,1.244B,,,,,,,577.14M
2009-03,3.576M,3.576M,278.54M,,278.54M,,77.39M,,13.18M,372.70M,,,,,2.186B,-794.96M,1.391B,,,,,17.93M,1.409B,1.781B,157.61M,,,157.61M,75.93M,233.54M,,65.00M,,65.00M,,10.02M,10.02M,18.60M,327.16M,564.00M,,564.00M,308.38M,308.38M,30.64M,903.02M,1.230B,,,,,,,551.20M
2008-12,2.373M,2.373M,280.61M,,280.61M,18.21M,68.06M,,27.02M,396.29M,122.75M,25.41M,2.022B,,2.170B,-783.36M,1.387B,,,,,10.64M,1.397B,1.793B,196.06M,,,196.06M,83.25M,279.30M,,118.50M,,118.50M,,10.08M,10.08M,,407.89M,515.00M,,515.00M,311.06M,311.06M,30.49M,856.55M,1.264B,1.671M,1.343B,170.93M,985.48M,,-1.186M,529.01M
2008-09,2.45M,2.45M,379.37M,,379.37M,,41.25M,,15.78M,438.86M,,,,,2.109B,-755.33M,1.354B,,,,,11.25M,1.365B,1.804B,182.81M,,,182.81M,62.15M,244.96M,,147.00M,,147.00M,,24.49M,24.49M,19.68M,436.13M,545.20M,,545.20M,306.63M,306.63M,32.97M,884.81M,1.321B,,,,,,,482.90M
2008-06,1.26M,1.26M,382.12M,,382.12M,,57.03M,,25.94M,466.35M,,,,,2.125B,-742.99M,1.382B,,,,,11.07M,1.393B,1.860B,188.32M,,,188.32M,66.23M,254.55M,,209.00M,,209.00M,,19.94M,19.94M,19.34M,502.82M,615.70M,,615.70M,279.65M,279.65M,35.39M,930.74M,1.434B,,,,,,,426.26M
2008-03,16.22M,16.22M,340.42M,,340.42M,,81.80M,,33.21M,471.66M,,,,,2.103B,-727.68M,1.376B,,,,,10.89M,1.386B,1.858B,189.16M,20.04M,-20.04M,189.16M,64.84M,254.00M,,164.00M,,164.00M,,20.04M,20.04M,18.77M,456.81M,701.20M,,701.20M,292.47M,292.47M,36.39M,1.030B,1.487B,,,,,,,371.20M
2007-12,14.96M,14.96M,330.20M,,330.20M,15.44M,69.61M,,58.68M,488.89M,114.36M,24.28M,1.942B,,2.081B,-722.17M,1.359B,,,,,15.13M,1.374B,1.863B,189.99M,,,189.99M,80.38M,270.36M,,234.00M,,234.00M,,20.07M,20.07M,,524.43M,679.10M,,679.10M,281.56M,281.56M,34.45M,995.12M,1.520B,1.671M,1.193B,170.54M,1.021B,,-0.993M,343.20M
2007-09,4.113M,4.113M,359.22M,,359.22M,,48.20M,,,411.53M,,,,,2.115B,-715.23M,1.400B,,,,,14.94M,1.415B,1.826B,202.97M,21.80M,-21.80M,202.97M,58.41M,261.38M,,234.00M,,234.00M,,21.80M,21.80M,18.52M,535.70M,623.20M,,623.20M,273.58M,273.58M,34.41M,931.18M,1.467B,,,,,,,359.28M
2007-06,6.174M,6.174M,351.00M,,351.00M,,66.06M,,,423.24M,,,,,2.064B,-670.28M,1.394B,,,,,14.76M,1.409B,1.832B,180.07M,14.40M,-14.40M,180.07M,68.66M,248.73M,,234.00M,,234.00M,,14.40M,14.40M,18.08M,515.20M,469.50M,,469.50M,257.97M,257.97M,32.70M,760.17M,1.275B,,,,,,,556.50M
2007-03,9.484M,9.484M,329.75M,,329.75M,,90.19M,,,429.42M,,,,,1.961B,-632.32M,1.329B,,,,,15.05M,1.344B,1.773B,175.16M,35.75M,-35.75M,175.16M,62.00M,237.16M,,164.00M,,164.00M,,35.75M,35.75M,80.41M,517.32M,285.00M,,285.00M,249.30M,249.30M,33.25M,567.55M,1.085B,,,,,,,688.51M
2006-12,7.371M,7.371M,346.25M,11.82M,358.08M,13.92M,83.95M,,7.929M,471.24M,,,,,1.884B,-600.77M,1.284B,,,,,15.26M,1.299B,1.770B,170.67M,,,170.67M,50.31M,220.98M,,214.00M,,214.00M,,23.70M,23.70M,20.04M,478.73M,182.40M,,182.40M,294.53M,294.53M,54.66M,531.59M,1.010B,1.671M,1.036B,177.06M,454.66M,,-0.148M,759.74M
2006-09,18.08M,18.08M,343.47M,,343.47M,,77.75M,,,439.30M,,,,,1.857B,-600.60M,1.256B,,,,,15.41M,1.272B,1.711B,177.25M,6.034M,-6.034M,177.25M,61.38M,238.63M,,214.00M,,214.00M,,6.034M,6.034M,19.63M,478.30M,166.00M,,166.00M,305.30M,305.30M,58.10M,529.40M,1.008B,,,,,,,703.11M
2006-06,9.21M,9.21M,325.30M,,325.30M,,85.68M,,,420.19M,,,,,1.679B,-571.84M,1.107B,,,,,17.20M,1.124B,1.545B,176.99M,7.166M,-7.166M,176.99M,52.24M,229.24M,,40.00M,,40.00M,,7.166M,7.166M,13.19M,289.59M,177.00M,,177.00M,300.85M,300.85M,55.19M,533.04M,822.63M,,,,,,,721.89M
2006-03,8.821M,8.821M,307.31M,,307.31M,,108.64M,,,424.77M,,,,,1.632B,-552.84M,1.079B,,,,,19.42M,1.098B,1.523B,167.93M,30.34M,-30.34M,167.93M,56.86M,224.80M,,47.40M,,47.40M,,30.34M,30.34M,-34.63M,267.91M,47.40M,,47.40M,295.19M,295.19M,51.93M,394.52M,662.43M,,900.26M,,,,,860.47M
2005-12,7.412M,7.412M,343.50M,,343.50M,11.14M,76.43M,,36.21M,474.69M,,,,,1.592B,-537.50M,1.054B,,,,,20.12M,1.074B,1.549B,162.75M,,,162.75M,70.20M,232.95M,,,,,,27.49M,27.49M,15.65M,276.09M,124.00M,,124.00M,285.93M,285.93M,45.83M,455.76M,731.85M,1.671M,863.59M,182.68M,230.91M,,0.00,817.02M
2005-09,3.738M,3.738M,329.97M,6.58M,336.55M,,92.61M,,,432.90M,,,,,1.558B,-523.77M,1.034B,,,,,23.00M,1.057B,1.490B,195.16M,39.29M,-39.29M,195.16M,65.32M,260.47M,,75.70M,,75.70M,,39.29M,39.29M,-57.67M,317.80M,75.70M,,75.70M,263.21M,263.21M,44.45M,383.36M,701.16M,,807.52M,,,,,788.90M
2005-06,4.757M,4.757M,311.80M,6.58M,318.38M,,103.51M,,,426.65M,,,,,1.507B,-489.43M,1.018B,,,,,20.90M,1.039B,1.466B,139.55M,54.58M,-54.58M,139.55M,53.78M,193.33M,,67.30M,,67.30M,,54.58M,54.58M,-49.59M,265.63M,67.30M,,67.30M,253.50M,253.50M,43.28M,364.08M,629.71M,,796.36M,,,,,835.84M
2005-03,1.952M,1.952M,300.11M,19.42M,319.53M,,122.93M,,,444.41M,,,,,1.471B,-460.40M,1.010B,,,,,23.85M,1.034B,1.479B,161.73M,37.85M,-37.85M,161.73M,54.00M,215.73M,,68.00M,,68.00M,,37.85M,37.85M,-50.21M,271.37M,68.00M,,68.00M,297.40M,297.40M,41.58M,406.98M,678.35M,,,,,,,800.41M
2004-12,34.72M,34.72M,,,308.56M,9.692M,,,121.95M,474.92M,,,,,1.450B,-438.64M,1.011B,,,,,16.70M,1.028B,1.503B,190.90M,25.41M,,216.31M,,216.31M,,,,,,,,102.79M,319.10M,,,,282.24M,282.24M,40.66M,322.90M,642.00M,0.836M,694.23M,197.45M,31.57M,,,861.00M
2004-09,41.82M,41.82M,309.20M,,309.20M,,57.76M,,,408.78M,,,,,1.379B,-410.75M,968.41M,,,,,28.60M,997.01M,1.406B,139.60M,34.33M,-34.33M,139.60M,73.99M,213.58M,50.00M,50.00M,0.00,50.00M,,34.33M,34.33M,6.544M,304.46M,,,,256.41M,256.41M,6.923M,263.34M,567.80M,0.418M,681.74M,195.35M,39.52M,,,837.99M
2004-06,41.69M,41.69M,276.02M,,276.02M,,70.85M,,,388.56M,,,,,1.367B,-401.73M,965.08M,,,,,37.66M,1.003B,1.391B,127.51M,31.92M,-31.92M,127.51M,65.65M,193.16M,104.98M,104.98M,21.60M,126.58M,,31.92M,31.92M,9.224M,360.89M,,,,239.97M,239.97M,6.564M,246.53M,607.42M,,,,,,,783.88M
2004-03,35.81M,35.81M,268.50M,,268.50M,,95.89M,,,400.20M,,,,,1.327B,-411.08M,915.68M,,,,,38.53M,954.21M,1.354B,143.15M,30.83M,-30.83M,143.15M,55.12M,198.28M,104.96M,104.96M,39.86M,144.82M,,30.83M,30.83M,9.012M,382.94M,,,,227.62M,227.62M,5.925M,233.55M,616.49M,0.00,588.24M,189.20M,39.52M,,,737.92M
2003-12,58.11M,58.11M,,,256.03M,8.64M,,,106.20M,428.99M,,,,,1.346B,-460.56M,884.96M,,,,,42.05M,927.01M,1.356B,158.89M,23.50M,,182.38M,,182.38M,,171.78M,,171.78M,,,,80.59M,434.75M,,,,213.99M,213.99M,4.255M,218.25M,653.00M,0.418M,555.26M,186.97M,39.52M,,,703.00M
