,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.473B,2.473B,2.197B,275.18M,85.98M,85.98M,,,13.70M,11.90M,,-11.90M,,99.68M,175.50M,,11.90M,-11.90M,,-11.90M,163.61M,38.11M,125.50M,125.50M,125.50M,307.90M,132.39M,175.50M,1.19,,1.19,1.19,1.18,,1.18,1.18,105.65M,106.80M,0.27
2020-06,2.146B,2.146B,1.873B,272.25M,83.50M,83.50M,,,13.57M,12.82M,,-12.82M,,97.07M,175.18M,,12.82M,-12.82M,,-12.82M,162.36M,40.67M,121.70M,121.70M,121.70M,305.48M,130.30M,175.18M,1.15,,1.15,1.15,1.14,,1.14,1.14,105.50M,106.58M,0.27
2020-03,2.281B,2.281B,2.027B,253.61M,85.56M,85.56M,,,13.31M,12.04M,,-12.04M,,98.87M,154.74M,,12.04M,-12.04M,,-12.04M,142.70M,37.87M,104.83M,104.83M,104.83M,284.84M,130.10M,154.74M,0.99,,0.99,0.99,0.98,,0.98,0.98,105.98M,106.95M,0.27
2019-12,2.450B,2.450B,2.138B,312.37M,92.95M,92.95M,,,14.34M,14.53M,,-12.78M,,107.29M,205.08M,,14.53M,-12.78M,,-12.78M,192.30M,47.62M,144.68M,144.68M,144.68M,335.25M,128.42M,206.83M,1.3619999999999999,,1.3619999999999999,1.3619999999999999,1.35,,1.35,1.35,106.49M,107.52M,0.26
2019-09,2.364B,2.364B,2.080B,283.80M,101.67M,101.67M,,,14.27M,12.36M,,-12.36M,,115.94M,167.86M,,12.36M,-12.36M,,-12.36M,155.50M,37.10M,118.41M,118.41M,118.41M,294.67M,126.80M,167.86M,1.11,,1.11,1.11,1.1,,1.1,1.1,106.74M,107.69M,0.26
2019-06,2.262B,2.262B,1.948B,313.79M,107.13M,107.13M,,,13.56M,14.76M,,-14.76M,,120.70M,193.09M,,14.76M,-14.76M,,-14.76M,178.33M,44.70M,133.63M,133.63M,133.63M,317.09M,123.99M,193.09M,1.24,,1.24,1.24,1.23,,1.23,1.23,107.39M,108.37M,0.26
2019-03,2.090B,2.090B,1.826B,263.18M,82.23M,82.23M,,,13.16M,13.03M,,-13.03M,,95.39M,167.80M,,13.03M,-13.03M,,-13.03M,154.76M,35.16M,119.60M,119.60M,119.60M,287.72M,119.93M,167.80M,1.1,,1.1,1.1,1.09,,1.09,1.09,108.73M,109.66M,0.26
2018-12,2.318B,2.318B,2.095B,222.60M,85.80M,85.80M,,,14.06M,11.46M,,-11.23M,,99.86M,122.74M,,11.46M,-11.23M,,-11.23M,111.50M,22.82M,88.68M,88.68M,88.68M,237.05M,114.09M,122.96M,0.82,,0.82,0.82,0.8,,0.8,0.8,109.05M,109.94M,0.24
2018-09,2.210B,2.210B,1.927B,283.02M,95.13M,95.13M,,,13.20M,9.961M,,-9.961M,,108.33M,174.69M,,9.961M,-9.961M,,-9.961M,164.73M,33.62M,131.11M,131.11M,131.11M,283.49M,108.80M,174.69M,1.2,,1.2,1.2,1.19,,1.19,1.19,109.25M,110.24M,0.24
2018-06,2.139B,2.139B,1.838B,301.13M,74.08M,74.08M,,,12.23M,9.855M,,-9.855M,,86.32M,214.81M,,9.855M,-9.855M,,-9.855M,204.96M,53.30M,151.65M,151.65M,151.65M,322.24M,107.42M,214.81M,1.39,,1.39,1.39,1.37,,1.37,1.37,109.45M,110.68M,0.24
