,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.505B,384.00M,1.889B,1.404B,,1.404B,474.00M,100.00M,374.00M,,747.00M,5.885B,416.00M,4.134B,30.42B,-8.135B,22.29B,1.059B,614.00M,1.673B,787.00M,1.26B,336.00M,2.039B,28.38B,34.27B,,1.103B,242.00M,1.345B,1.461B,2.806B,,1.841B,1.841B,611.00M,611.00M,519.00M,5.777B,19.50B,19.50B,926.00M,926.00M,,2.069B,867.00M,3.119B,24.42B,30.19B,,8.00M,-998.00M,7.48B,1.858B,,,-2.628B,2.004B,,AOR,
2020-06,1.417B,422.00M,1.839B,1.414B,,1.414B,504.00M,92.00M,364.00M,,880.00M,5.966B,411.00M,4.123B,31.46B,-8.623B,22.84B,1.059B,566.00M,1.625B,802.00M,1.28B,204.00M,1.853B,28.60B,34.57B,,1.207B,244.00M,1.451B,1.43B,2.881B,,2.041B,2.041B,,,526.00M,5.448B,19.33B,19.33B,1.166B,1.166B,,2.18B,875.00M,3.103B,24.48B,29.92B,,8.00M,-665.00M,7.67B,1.858B,,,-2.693B,2.462B,,AOR,
2020-03,1.544B,328.00M,1.872B,1.446B,,1.446B,461.00M,106.00M,426.00M,,843.00M,5.751B,418.00M,3.777B,31.17B,-8.597B,22.57B,1.059B,459.00M,1.518B,938.00M,1.30B,197.00M,1.868B,28.39B,34.14B,,1.069B,287.00M,1.356B,1.415B,2.771B,2.223B,2.223B,2.223B,,,438.00M,5.432B,18.87B,18.87B,1.105B,1.105B,,2.178B,873.00M,3.148B,23.99B,29.42B,,8.00M,-583.00M,7.664B,1.858B,,,-2.692B,2.539B,,AOR,
2019-12,1.029B,400.00M,1.429B,1.479B,,1.479B,487.00M,80.00M,336.00M,,802.00M,5.231B,447.00M,5.249B,31.08B,-8.505B,22.57B,1.059B,469.00M,1.528B,966.00M,1.351B,156.00M,1.842B,28.42B,33.65B,,1.311B,253.00M,1.564B,1.222B,2.786B,,1.868B,1.868B,,,442.00M,5.096B,18.30B,18.30B,1.213B,1.213B,,2.233B,888.00M,2.917B,23.32B,28.42B,,8.00M,-692.00M,7.776B,1.867B,,,-2.229B,2.996B,,AOR,
2019-09,1.145B,334.00M,1.479B,1.503B,,1.503B,495.00M,72.00M,455.00M,,856.00M,5.47B,442.00M,4.862B,30.45B,-8.599B,21.85B,1.059B,462.00M,1.521B,1.209B,1.37B,135.00M,1.865B,27.95B,33.42B,,1.237B,230.00M,1.467B,1.187B,2.654B,,1.882B,1.882B,,,455.00M,4.991B,17.88B,17.88B,1.198B,1.198B,,2.246B,886.00M,3.083B,23.05B,28.04B,,8.00M,-614.00M,7.948B,1.867B,,,-2.335B,3.14B,,AOR,Restated
2019-06,1.169B,410.00M,1.579B,1.538B,,1.538B,496.00M,98.00M,438.00M,,811.00M,5.517B,453.00M,4.728B,30.00B,-8.44B,21.56B,1.059B,460.00M,1.519B,1.086B,1.388B,122.00M,2.041B,27.72B,33.24B,,1.234B,212.00M,1.446B,1.091B,2.537B,,1.087B,1.087B,,,418.00M,4.042B,18.67B,18.67B,1.233B,1.233B,,2.26B,896.00M,2.931B,23.73B,27.77B,,8.00M,-824.00M,8.038B,1.867B,,,-2.147B,3.208B,,AOR,Restated
2019-03,1.426B,378.00M,1.804B,1.564B,,1.564B,579.00M,111.00M,519.00M,,703.00M,5.855B,450.00M,4.207B,29.50B,-8.273B,21.23B,1.059B,467.00M,1.526B,1.147B,1.406B,108.00M,2.201B,27.62B,33.47B,,1.224B,271.00M,1.495B,1.179B,2.674B,,1.265B,1.265B,,,418.00M,4.357B,18.44B,18.44B,1.302B,1.302B,,2.415B,890.00M,2.828B,23.46B,27.82B,,8.00M,-839.00M,8.039B,1.867B,,,-2.107B,3.234B,,AOR,Restated
2018-12,1.166B,313.00M,1.479B,1.595B,,1.595B,577.00M,130.00M,370.00M,,807.00M,5.015B,449.00M,3.932B,29.62B,-8.227B,21.40B,1.059B,436.00M,1.495B,1.114B,1.423B,97.00M,1.981B,27.51B,32.52B,,1.329B,250.00M,1.579B,1.153B,2.732B,,1.659B,1.659B,,,8.00M,4.399B,17.64B,17.64B,1.28B,1.28B,,2.396B,879.00M,2.723B,22.52B,26.92B,,8.00M,-1.005B,8.154B,1.878B,,,-2.071B,3.208B,,AOR,Restated
2018-09,1.187B,401.00M,1.588B,1.51B,,1.51B,562.00M,97.00M,441.00M,,706.00M,5.015B,470.00M,3.616B,29.14B,-8.033B,21.11B,1.059B,400.00M,1.459B,1.277B,1.441B,88.00M,2.101B,27.47B,32.49B,,1.299B,,1.299B,1.423B,2.722B,,1.308B,1.308B,,,17.00M,4.047B,18.09B,18.09B,1.214B,1.214B,,2.404B,879.00M,2.552B,22.73B,26.78B,,8.00M,-1.133B,8.328B,1.878B,,,-2.02B,3.305B,,AOR,Restated
2018-06,1.14B,856.00M,1.996B,1.423B,,1.423B,583.00M,116.00M,379.00M,,682.00M,5.287B,480.00M,3.875B,28.62B,-7.905B,20.72B,1.059B,341.00M,1.40B,1.327B,1.458B,83.00M,2.323B,27.31B,32.60B,,1.506B,,1.506B,1.236B,2.742B,,1.235B,1.235B,,,17.00M,3.994B,18.36B,18.36B,1.165B,1.165B,,2.348B,863.00M,2.562B,22.95B,26.94B,,8.00M,-1.234B,8.402B,1.879B,,,-1.988B,3.309B,,AOR,Restated
