,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.904B,2.904B,1.482B,1.421B,,20.45M,171.42M,196.73M,127.86M,-68.87M,65.78M,638.78M,782.48M,127.86M,196.73M,-68.87M,-38.46M,-68.87M,675.14M,149.44M,525.70M,,,,4.58M,1.436B,563.69M,871.87M,,2020-09,,2.520,2.60,,2020-09,,2.511,2.59,200.22M,201.12M,0.93,,2020-09,AOR,
2020-06,2.413B,2.413B,1.334B,1.079B,,21.60M,158.65M,204.66M,284.82M,80.17M,70.17M,632.58M,446.09M,284.82M,204.66M,80.17M,-72.02M,80.17M,454.23M,89.12M,365.11M,,,,4.58M,1.222B,562.62M,658.88M,,2020-06,,1.713,1.80,,2020-06,,1.704,1.79,200.18M,200.89M,0.93,,2020-06,AOR,
2020-03,2.427B,2.427B,1.366B,1.061B,,30.86M,170.29M,190.14M,-216.85M,-407.00M,86.00M,656.01M,404.85M,-216.85M,190.14M,-407.00M,54.25M,-407.00M,52.10M,-71.19M,123.29M,,,,4.58M,810.84M,568.60M,242.24M,,2020-03,,0.4772,0.59,,2020-03,,0.4779,0.59,199.79M,200.90M,0.93,,2020-03,AOR,
2019-12,2.462B,2.462B,1.571B,890.86M,,34.88M,156.03M,187.94M,141.25M,-46.69M,104.72M,640.78M,250.08M,141.25M,187.94M,-46.69M,-57.04M,-46.69M,146.35M,-243.26M,389.60M,,,,4.58M,881.93M,547.64M,334.29M,,2019-12,,1.802,1.93,,2019-12,,1.793,1.92,199.15M,200.94M,0.93,,2019-12,AOR,
2019-09,3.141B,3.141B,1.771B,1.370B,,-164.92M,165.73M,186.64M,82.30M,-104.34M,106.59M,651.54M,718.02M,82.30M,186.64M,-104.34M,-215.01M,-104.34M,398.66M,29.20M,369.46M,,,,4.219M,1.151B,565.87M,585.30M,,2019-09,,2.608,1.84,,2019-09,,2.582,1.82,198.93M,200.49M,0.91,,2019-09,AOR,Restated
2019-06,2.666B,2.666B,1.706B,960.19M,,20.75M,163.41M,184.30M,96.22M,-88.08M,78.10M,605.00M,355.19M,96.22M,184.30M,-88.08M,-25.12M,-88.08M,241.99M,1.458M,240.53M,,,,4.109M,964.88M,538.58M,426.29M,,2019-06,,1.113,1.22,,2019-06,,1.114,1.22,193.02M,194.24M,0.91,,2019-06,AOR,Restated
2019-03,2.610B,2.610B,1.651B,958.26M,,-35.76M,158.58M,183.54M,228.15M,44.60M,85.17M,601.02M,357.23M,228.15M,183.54M,44.60M,-100.42M,44.60M,301.42M,42.77M,258.65M,,,,4.109M,1.015B,530.22M,484.96M,,2019-03,,1.502,1.34,,2019-03,,1.480,1.32,189.58M,192.23M,0.91,,2019-03,AOR,Restated
2018-12,2.512B,2.512B,1.822B,690.23M,,-198.00M,156.27M,179.98M,-201.22M,-381.20M,180.31M,683.92M,6.307M,-201.22M,179.98M,-381.20M,-204.32M,-381.20M,-579.21M,-516.89M,-62.32M,,,,3.577M,123.98M,523.21M,-399.23M,,2018-12,,0.4294,-0.36,,2018-12,,0.4195,-0.36,183.10M,185.44M,0.91,,2018-12,AOR,Restated
2018-09,3.104B,3.104B,2.061B,1.044B,,-122.86M,161.92M,180.07M,177.08M,-2.986M,130.93M,617.47M,426.25M,177.08M,180.07M,-2.986M,-166.45M,-2.986M,256.81M,-283.01M,539.82M,,,,3.439M,926.61M,489.74M,436.88M,,2018-09,,3.456,2.96,,2018-09,,3.408,2.92,181.00M,183.66M,0.89,,2018-09,AOR,Restated
2018-06,2.669B,2.669B,1.758B,910.47M,,-37.27M,158.55M,177.65M,71.13M,-106.51M,240.90M,749.93M,160.54M,71.13M,177.65M,-106.51M,-85.76M,-106.51M,-31.74M,-280.60M,248.86M,,,,3.439M,648.34M,502.43M,145.91M,,2018-06,,1.510,1.36,,2018-06,,1.489,1.34,180.82M,182.98M,0.89,,2018-06,AOR,Restated
2018-03,2.724B,2.724B,1.666B,1.058B,,-44.58M,165.22M,169.66M,16.87M,-152.79M,137.35M,649.63M,408.59M,16.87M,169.66M,-152.79M,-75.94M,-152.79M,179.86M,43.66M,136.20M,,,,3.439M,874.70M,525.18M,349.52M,,2018-03,,0.9168,0.73,,2018-03,,0.9161,0.73,180.71M,181.43M,0.89,,2018-03,AOR,Restated
2017-12,2.624B,2.624B,1.323B,1.301B,,-525.28M,148.47M,170.54M,93.22M,-77.32M,23.04M,509.15M,791.71M,93.22M,170.54M,-77.32M,-559.98M,-77.32M,154.41M,630.12M,-475.71M,,,,3.403M,841.97M,517.01M,324.96M,,2017-12,,-0.9121,-2.66,,2017-12,,-0.9250,-2.66,180.31M,181.65M,0.89,,2017-12,AOR,Restated
2017-09,3.244B,3.244B,1.856B,1.388B,,24.34M,159.47M,166.90M,58.33M,-108.57M,114.83M,629.04M,759.00M,58.33M,166.90M,-108.57M,-6.997M,-108.57M,643.44M,241.80M,401.64M,,,,3.446M,1.329B,518.89M,810.34M,,2017-09,,2.135,2.22,,2017-09,,2.126,2.21,179.56M,180.46M,0.87,,2017-09,AOR,Restated
2017-06,2.619B,2.619B,1.839B,779.28M,,22.38M,153.26M,162.85M,80.10M,-82.76M,106.85M,610.44M,168.84M,80.10M,162.85M,-82.76M,-9.826M,-82.76M,76.26M,-337.11M,413.37M,,,,3.446M,750.41M,511.30M,239.11M,,2017-06,,2.205,2.28,,2017-06,,2.196,2.27,179.48M,180.23M,0.87,,2017-06,AOR,Restated
2017-03,2.588B,2.588B,1.877B,711.91M,,35.28M,156.35M,162.05M,56.55M,-105.50M,29.07M,532.69M,179.22M,56.55M,162.05M,-105.50M,20.09M,-105.50M,93.81M,7.763M,86.05M,,,,3.446M,787.23M,531.37M,255.86M,,2017-03,,0.2796,0.46,,2017-03,,0.2801,0.46,179.34M,179.84M,0.87,,2017-03,AOR,Restated
2016-12,2.649B,2.649B,4.560B,-1.911B,,19.32M,144.40M,164.55M,28.46M,-136.08M,135.52M,616.77M,-2.528B,28.46M,164.55M,-136.08M,-67.83M,-136.08M,-2.732B,-966.14M,-1.766B,,,,3.529M,-1.993B,574.42M,-2.567B,,2016-12,,-9.950,-9.88,,2016-12,,-9.950,-9.88,179.13M,179.13M,0.87,,2016-12,AOR,Restated
2016-09,3.125B,3.125B,1.745B,1.380B,,15.45M,149.08M,167.20M,37.53M,-129.66M,118.38M,607.85M,772.06M,37.53M,167.20M,-129.66M,8.711M,-129.66M,651.11M,257.91M,393.20M,,,,5.034M,1.354B,536.12M,818.30M,,2016-09,,2.118,2.17,,2016-09,,2.108,2.16,179.02M,179.99M,0.85,,2016-09,AOR,Restated
2016-06,2.463B,2.463B,1.437B,1.025B,,13.86M,149.25M,170.50M,46.38M,-124.12M,97.98M,582.90M,442.26M,46.38M,170.50M,-124.12M,5.483M,-124.12M,323.62M,-248.97M,572.59M,,,,5.276M,1.007B,512.50M,494.12M,,2016-06,,3.123,3.17,,2016-06,,3.114,3.16,178.81M,179.50M,0.85,,2016-06,AOR,Restated
2016-03,2.610B,2.610B,1.558B,1.052B,,18.93M,149.78M,164.13M,32.75M,-131.38M,69.79M,553.84M,498.22M,32.75M,164.13M,-131.38M,8.345M,-131.38M,375.19M,139.94M,235.24M,,,,5.276M,1.040B,500.25M,539.32M,,2016-03,,1.224,1.29,,2016-03,,1.214,1.28,178.58M,178.98M,0.85,,2016-03,AOR,Restated
2015-12,2.509B,2.509B,2.227B,281.83M,,168.10M,147.39M,159.37M,40.17M,-119.20M,212.69M,690.17M,-408.34M,40.17M,159.37M,-119.20M,106.88M,-119.20M,-420.67M,-525.52M,104.85M,,,,5.276M,243.25M,504.55M,-261.29M,,2015-12,,-0.0054,0.56,,2015-12,,-0.0054,0.56,178.38M,178.38M,0.85,,2015-12,AOR,Restated
2015-09,3.371B,3.371B,3.752B,-380.99M,,14.13M,158.13M,164.06M,39.05M,-125.01M,91.05M,584.02M,-965.02M,39.05M,164.06M,-125.01M,4.124M,-125.01M,-1.086B,-367.66M,-718.23M,,,,4.794M,-379.04M,542.80M,-921.84M,,2015-09,,-4.092,-4.04,,2015-09,,-4.092,-4.04,179.15M,179.15M,0.83,,2015-09,AOR,Restated
2015-06,2.713B,2.713B,1.768B,945.60M,,11.97M,156.38M,159.82M,39.70M,-120.11M,71.48M,568.22M,377.38M,39.70M,159.82M,-120.11M,-3.769M,-120.11M,253.50M,99.78M,153.72M,,,,4.879M,957.20M,543.88M,413.32M,,2015-06,,0.7896,0.83,,2015-06,,0.7897,0.83,179.52M,180.12M,0.83,,2015-06,AOR,Restated
2015-03,2.920B,2.920B,1.807B,1.113B,,11.74M,157.52M,160.22M,68.13M,-92.09M,80.36M,569.86M,542.77M,68.13M,160.22M,-92.09M,2.718M,-92.09M,453.40M,150.47M,302.93M,,,,4.879M,1.140B,526.01M,613.62M,,2015-03,,1.616,1.66,,2015-03,,1.607,1.65,179.66M,180.48M,0.83,,2015-03,AOR,Restated
2014-12,2.831B,2.831B,1.983B,847.88M,,18.15M,137.67M,160.35M,38.65M,-121.70M,64.44M,528.20M,319.67M,38.65M,160.35M,-121.70M,9.158M,-121.70M,207.13M,82.12M,125.01M,,,,4.88M,909.82M,542.34M,367.48M,,2014-12,,0.6092,0.67,,2014-12,,0.5997,0.66,180.25M,181.59M,0.83,,2014-12,AOR,Restated
2014-09,3.458B,3.458B,2.401B,1.057B,,16.74M,159.74M,155.82M,49.55M,-106.27M,72.00M,563.82M,492.86M,49.55M,155.82M,-106.27M,10.09M,-106.27M,396.68M,161.76M,234.92M,,,,4.879M,1.096B,543.58M,552.50M,,2014-09,,1.219,1.28,,2014-09,,1.210,1.27,179.61M,180.53M,0.83,,2014-09,AOR,Restated
2014-06,2.997B,2.997B,2.005B,991.56M,,14.79M,152.74M,155.81M,24.24M,-131.57M,52.61M,537.09M,454.48M,24.24M,155.81M,-131.57M,0.113M,-131.57M,323.02M,128.74M,194.28M,,,,4.898M,1.004B,525.53M,478.84M,,2014-06,,1.010,1.06,,2014-06,,1.001,1.05,179.35M,180.05M,0.83,,2014-06,AOR,Restated
2014-03,3.209B,3.209B,1.916B,1.293B,,15.13M,154.47M,155.53M,35.25M,-120.28M,69.79M,552.99M,739.88M,35.25M,155.53M,-120.28M,3.425M,-120.28M,623.02M,216.97M,406.05M,,,,4.879M,1.295B,516.44M,778.55M,,2014-03,,2.185,2.24,,2014-03,,2.185,2.24,178.80M,179.06M,0.83,,2014-03,AOR,Restated
2013-12,2.692B,2.692B,1.940B,752.34M,,62.95M,147.42M,156.05M,97.02M,-59.02M,85.44M,570.36M,181.98M,97.02M,156.05M,-59.02M,40.18M,-59.02M,163.13M,11.78M,151.35M,,,,4.423M,858.27M,539.09M,319.18M,,2013-12,,0.4925,0.82,,2013-12,,0.4932,0.82,178.33M,178.72M,0.83,,2013-12,AOR,Restated
2013-09,3.352B,3.352B,2.406B,945.55M,,17.68M,156.95M,151.05M,23.43M,-127.62M,74.56M,556.66M,388.89M,23.43M,151.05M,-127.62M,7.462M,-127.62M,268.74M,24.55M,244.18M,,,,4.332M,943.82M,524.04M,419.79M,,2013-09,,1.260,1.35,,2013-09,,1.250,1.34,178.28M,178.65M,0.83,,2013-09,AOR,Restated
2013-06,2.738B,2.738B,1.886B,852.20M,,16.25M,144.89M,148.98M,40.54M,-108.44M,63.28M,505.68M,346.51M,40.54M,148.98M,-108.44M,3.092M,-108.44M,241.17M,73.11M,168.06M,,,,4.332M,866.16M,476.02M,390.14M,,2013-06,,0.8564,0.92,,2013-06,,0.8566,0.92,178.20M,178.61M,0.83,,2013-06,AOR,Restated
2013-03,2.609B,2.609B,1.698B,910.44M,,12.75M,151.10M,147.96M,38.31M,-109.66M,64.42M,516.39M,394.04M,38.31M,147.96M,-109.66M,-0.872M,-109.66M,283.52M,116.54M,166.98M,,,,5.582M,904.41M,472.93M,431.48M,,2013-03,,0.8634,0.91,,2013-03,,0.8535,0.90,178.03M,178.41M,0.83,,2013-03,AOR,Restated
2012-12,2.436B,2.436B,1.600B,835.76M,,21.77M,132.97M,145.00M,33.01M,-111.99M,70.71M,511.56M,324.20M,33.01M,145.00M,-111.99M,10.35M,-111.99M,222.56M,-79.28M,301.85M,,,,5.582M,845.55M,477.98M,367.56M,,2012-12,,1.580,1.66,,2012-12,,1.581,1.66,177.75M,178.04M,0.83,,2012-12,AOR,Restated
2012-09,2.964B,2.964B,1.761B,1.203B,,18.40M,149.05M,147.80M,24.49M,-123.31M,81.27M,512.06M,690.85M,24.49M,147.80M,-123.31M,7.628M,-123.31M,575.17M,232.50M,342.67M,,,,5.582M,1.184B,461.00M,722.97M,,2012-09,,1.838,1.90,,2012-09,,1.828,1.89,177.52M,177.98M,0.83,,2012-09,AOR,Restated
2012-06,2.519B,2.519B,1.613B,905.44M,,28.28M,138.11M,139.13M,29.28M,-109.85M,149.59M,562.46M,342.98M,29.28M,139.13M,-109.85M,15.25M,-109.85M,248.38M,-122.20M,370.58M,,,,5.582M,770.17M,382.65M,387.52M,,2012-06,,1.956,2.06,,2012-06,,1.956,2.06,177.17M,177.57M,0.83,,2012-06,AOR,Restated
2012-03,2.384B,2.384B,1.965B,418.81M,,24.31M,137.17M,137.35M,40.99M,-96.36M,58.28M,475.67M,-56.86M,40.99M,137.35M,-96.36M,6.317M,-96.36M,-146.90M,-0.162M,-146.74M,,,,4.943M,440.46M,450.01M,-9.548M,,2012-03,,-0.9973,-0.86,,2012-03,,-0.9969,-0.86,176.87M,177.39M,0.83,,2012-03,AOR,Restated
2011-12,2.489B,2.489B,3.779B,-1.290B,,65.24M,129.53M,131.54M,33.09M,-98.45M,,-1.633B,342.70M,33.09M,131.54M,-98.45M,5.974M,-98.45M,250.22M,90.19M,160.03M,,,,5.887M,811.48M,429.72M,381.76M,,2011-12,,0.6331,0.87,,2011-12,,0.6343,0.87,176.15M,177.07M,0.83,,2011-12,AOR,Restated
2011-09,3.396B,3.396B,1.390B,2.006B,260.32M,7.379M,152.04M,127.59M,33.24M,-94.35M,,1.405B,600.91M,33.24M,127.59M,-94.35M,7.379M,-94.35M,513.94M,-119.13M,633.07M,,,,5.015M,1.105B,463.70M,641.53M,,2011-09,,3.523,3.55,,2011-09,,3.503,3.53,176.95M,177.72M,0.83,,2011-09,AOR,Restated
2011-06,2.803B,2.803B,1.078B,1.726B,61.10M,3.791M,129.22M,126.90M,35.92M,-90.98M,,1.167B,558.74M,35.92M,126.90M,-90.98M,3.791M,-90.98M,471.55M,150.95M,320.60M,,,,5.015M,1.028B,429.62M,598.45M,,2011-06,,1.756,1.77,,2011-06,,1.746,1.76,177.81M,178.93M,0.83,,2011-06,AOR,Restated
2011-03,2.541B,2.541B,934.30M,1.607B,55.26M,21.54M,125.23M,136.13M,26.75M,-109.39M,,1.101B,505.78M,26.75M,136.13M,-109.39M,21.54M,-109.39M,417.93M,164.25M,253.68M,,,,5.015M,976.47M,422.41M,554.06M,,2011-03,,1.317,1.39,,2011-03,,1.307,1.38,178.83M,180.08M,0.83,,2011-03,AOR,Restated
2010-12,2.533B,2.533B,927.59M,1.606B,54.31M,1.552M,133.70M,173.97M,63.59M,-110.38M,,1.227B,378.97M,63.59M,173.97M,-110.38M,1.552M,-110.38M,314.32M,81.01M,233.31M,,,,5.015M,934.07M,445.79M,488.28M,,2010-12,,1.274,1.28,,2010-12,,1.274,1.28,180.14M,181.51M,0.83,,2010-12,AOR,Restated
2010-09,3.332B,3.332B,1.298B,2.034B,53.38M,2.13M,138.22M,127.13M,38.70M,-88.42M,,1.265B,768.83M,38.70M,127.13M,-88.42M,2.13M,-88.42M,682.54M,184.64M,497.90M,,,,5.015M,1.237B,427.76M,809.66M,,2010-09,,2.642,2.65,,2010-09,,2.612,2.62,185.96M,187.78M,0.83,,2010-09,AOR,Restated
2010-06,2.863B,2.863B,1.112B,1.751B,52.47M,11.57M,126.97M,137.86M,34.96M,-102.90M,,1.135B,615.52M,34.96M,137.86M,-102.90M,11.57M,-102.90M,524.19M,203.91M,320.28M,,,,5.017M,1.070B,408.35M,662.05M,,2010-06,,1.633,1.67,,2010-06,,1.613,1.65,188.78M,190.72M,0.83,,2010-06,AOR,Restated
2010-03,2.759B,2.759B,1.096B,1.663B,51.58M,-15.32M,135.41M,171.20M,48.21M,-122.99M,,1.159B,504.81M,48.21M,171.20M,-122.99M,-15.32M,-122.99M,366.50M,147.68M,218.81M,,,,5.015M,961.13M,423.43M,537.70M,,2010-03,,1.179,1.13,,2010-03,,1.168,1.12,189.20M,191.28M,0.75,,2010-03,AOR,Restated
2009-12,2.499B,2.499B,805.72M,1.693B,50.94M,10.79M,118.21M,187.19M,-2.785M,-189.97M,,1.182B,510.84M,-2.785M,187.19M,-189.97M,10.79M,-189.97M,417.38M,98.64M,318.74M,,,,4.965M,987.31M,382.75M,604.57M,,2009-12,,1.616,1.66,,2009-12,,1.597,1.64,188.96M,191.20M,0.75,,2009-12,AOR,Restated
