,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,43.86M,1.240B,,1.240B,771.37M,122.67M,1.347B,1.065B,232.80M,,,4.063B,1.420B,3.477B,,62.66B,-23.85B,38.81B,377.17M,377.17M,6.787B,316.54M,296.10M,52.01B,56.07B,,2020-09,2.872B,,440.22M,3.518B,,,2.448B,,2.448B,408.76M,628.75M,63.26M,221.34M,6.876B,6.886B,19.61B,,19.61B,4.870B,4.870B,2.535B,,219.41M,695.87M,38.39B,2020-09,37.70M,9.699B,6.536B,5.075B,,-390.42M,10.81B,,2020-09,AOR,
2020-06,55.51M,935.47M,,935.47M,593.07M,119.70M,1.177B,1.036B,243.02M,,,3.547B,1.437B,2.144B,,60.64B,-23.53B,37.11B,377.17M,377.17M,6.487B,317.01M,312.48M,49.82B,53.37B,,2020-06,1.509B,,277.92M,1.986B,,,3.151B,,3.151B,408.25M,702.32M,62.82M,216.21M,6.116B,6.815B,18.28B,,18.28B,4.742B,4.742B,2.627B,,219.41M,663.78M,36.79B,2020-06,37.70M,9.365B,6.524B,5.077B,,-388.60M,10.46B,,2020-06,AOR,
2020-03,283.49M,1.464B,,1.464B,593.76M,112.37M,1.076B,998.72M,268.20M,,,3.974B,1.453B,2.469B,,60.00B,-23.42B,36.58B,377.17M,377.17M,5.778B,316.70M,339.13M,48.58B,52.56B,,2020-03,1.502B,,189.21M,1.881B,,,3.172B,,3.172B,408.80M,701.52M,64.34M,201.51M,6.018B,6.749B,18.23B,,18.23B,4.590B,4.590B,2.689B,,219.38M,646.90M,36.28B,2020-03,37.70M,9.190B,6.511B,5.081B,,-398.99M,10.26B,,2020-03,AOR,
2019-12,34.24M,425.72M,,425.72M,588.10M,219.87M,1.209B,970.46M,283.64M,,,3.046B,1.690B,2.823B,,59.33B,-23.32B,36.01B,377.17M,377.17M,6.404B,304.35M,288.30M,48.68B,51.72B,,2019-12,1.500B,,233.46M,1.927B,,,2.742B,,2.742B,409.17M,683.32M,76.46M,201.78M,5.620B,6.693B,17.08B,,17.08B,4.608B,4.608B,2.798B,,219.41M,852.75M,35.84B,2019-12,37.70M,9.258B,6.564B,5.154B,,-446.92M,10.26B,,2019-12,AOR,
2019-09,70.40M,955.83M,,955.83M,724.78M,132.55M,1.338B,935.55M,258.70M,,,3.662B,1.482B,2.871B,,57.59B,-22.70B,34.90B,377.17M,377.17M,6.129B,307.23M,296.62M,46.84B,50.51B,,2019-09,1.329B,,251.82M,1.771B,,,2.438B,,2.438B,409.09M,642.43M,117.58M,194.12M,5.103B,6.596B,16.94B,,16.94B,4.759B,4.759B,2.488B,,219.41M,783.33M,35.33B,2019-09,37.70M,9.058B,6.553B,5.159B,,-419.77M,10.07B,,2019-09,AOR,Restated
2019-06,61.20M,635.91M,,635.91M,646.06M,130.48M,1.235B,917.72M,267.30M,,,3.284B,1.525B,2.679B,,56.74B,-22.42B,34.31B,377.17M,377.17M,7.069B,307.57M,333.06M,47.28B,50.57B,,2019-06,1.413B,,216.06M,1.822B,,,1.785B,,1.785B,409.53M,664.63M,189.27M,195.75M,4.523B,7.307B,17.20B,,17.20B,4.600B,4.600B,2.556B,,219.43M,754.41M,36.25B,2019-06,2.70M,8.873B,6.540B,5.188B,,-430.40M,9.798B,,2019-06,AOR,Restated
2019-03,118.38M,983.50M,,983.50M,582.06M,158.29M,1.075B,893.41M,205.32M,,,3.408B,1.540B,3.290B,,55.60B,-22.20B,33.40B,377.17M,377.17M,6.878B,300.85M,330.74M,46.20B,49.61B,,2019-03,1.406B,,210.16M,1.789B,,,2.092B,,2.092B,409.43M,713.75M,239.66M,203.66M,4.861B,7.105B,17.17B,,17.17B,4.463B,4.463B,2.607B,,219.43M,634.21M,35.77B,2019-03,2.616M,8.810B,5.920B,5.211B,,-551.15M,8.970B,,2019-03,AOR,Restated
2018-12,56.69M,480.98M,,480.98M,551.17M,167.72M,1.114B,870.15M,234.33M,,,2.958B,1.780B,2.889B,,55.00B,-22.28B,32.72B,377.17M,377.17M,6.920B,294.09M,262.99M,45.32B,48.28B,,2018-12,1.496B,,254.24M,1.943B,,,2.592B,,2.592B,411.50M,712.03M,248.13M,134.44M,5.444B,6.870B,15.52B,,15.52B,4.320B,4.320B,2.616B,,219.40M,1.006B,33.99B,2018-12,2.616M,8.721B,5.951B,5.274B,,-557.17M,8.844B,,2018-12,AOR,Restated
2018-09,64.79M,987.98M,,987.98M,774.04M,166.22M,1.367B,880.69M,248.11M,,,3.695B,2.207B,2.833B,,53.89B,-22.06B,31.83B,377.17M,377.17M,7.445B,260.75M,133.56M,44.78B,48.47B,,2018-09,1.392B,,258.48M,1.829B,,2.682B,2.682B,1.466M,2.683B,409.15M,996.52M,500.42M,184.26M,5.751B,7.063B,15.78B,20.89M,15.80B,4.641B,4.641B,2.579B,,197.77M,450.75M,34.31B,2018-09,2.548M,8.954B,5.442B,5.353B,,-632.13M,8.413B,,2018-09,AOR,Restated
2018-06,55.20M,812.79M,,812.79M,648.20M,150.08M,1.258B,926.65M,249.64M,,,3.534B,2.215B,2.560B,,53.06B,-21.82B,31.24B,377.17M,377.17M,7.217B,257.16M,166.67M,44.09B,47.62B,,2018-06,1.459B,,206.87M,1.852B,,3.001B,3.001B,1.442M,3.002B,404.88M,1.148B,710.11M,167.93M,6.232B,6.905B,14.86B,21.26M,14.88B,4.650B,4.650B,2.739B,,197.77M,466.19M,33.37B,2018-06,2.548M,8.578B,5.429B,5.374B,,-613.64M,8.022B,,2018-06,AOR,Restated
