,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,81.20M,0.00,0.00,77.10M,77.10M,,,-25.00M,,,,,30.10M,218.30M,-107.00M,,-107.00M,-36.20M,,,-143.20M,-94.10M,6.40M,-87.70M,,0.00,0.00,-1.50M,-1.50M,1.90M,2.00M,-85.30M,128.30M,-10.20M,-1.30M,116.80M,,1.119B,-1.220B,0.00
2020-07,55.20M,0.00,0.00,70.60M,70.60M,,,23.10M,,,,,-36.10M,112.80M,-45.10M,,-45.10M,-6.70M,,,-51.80M,-17.10M,-3.00M,-20.10M,,0.00,0.00,0.00,0.00,1.50M,0.00,-18.60M,80.80M,42.40M,5.10M,128.30M,,224.40M,-231.50M,0.00
2020-04,11.50M,0.00,0.00,68.80M,68.80M,,,14.70M,,,,,-69.20M,25.80M,-89.30M,,-89.30M,-1.80M,,,-91.10M,109.80M,10.80M,120.60M,,-47.80M,-47.80M,-1.50M,-1.50M,5.70M,-5.40M,71.60M,77.40M,6.30M,-2.90M,80.80M,,1.628B,-1.507B,-47.80M
2020-01,90.50M,,,70.60M,70.60M,,,19.20M,,,,,-50.60M,129.70M,-69.00M,,-69.00M,-9.40M,,,-78.40M,-29.10M,-20.80M,-49.90M,,,,,,-13.20M,-0.10M,-63.20M,89.50M,-11.90M,-0.20M,77.40M,,234.00M,-283.90M,
2019-10,121.00M,0.00,0.00,70.60M,70.60M,,,1.60M,,,,,-18.00M,199.90M,-84.80M,,-84.80M,-0.10M,,,-84.90M,-161.00M,173.50M,12.50M,,-150.00M,-150.00M,-1.50M,-1.50M,0.10M,-0.20M,-139.10M,113.20M,-24.10M,0.40M,89.50M,,1.085B,-721.00M,-150.00M
2019-07,120.20M,0.00,0.00,70.70M,70.70M,,,8.20M,,,,,-2.40M,196.70M,-75.40M,,-75.40M,-8.30M,,,-83.70M,-50.00M,-65.60M,-115.60M,,0.00,0.00,0.00,0.00,12.00M,0.00,-103.60M,104.90M,9.40M,-1.10M,113.20M,,-265.40M,-202.00M,0.00
2019-04,122.30M,-19.00M,-19.00M,70.70M,70.70M,,,7.20M,,,,,33.60M,214.80M,-52.70M,,-52.70M,-0.80M,,,-53.50M,-215.00M,9.90M,-205.10M,,0.00,0.00,-1.50M,-1.50M,4.70M,0.00,-201.90M,146.90M,-40.60M,-1.40M,104.90M,,172.90M,-378.00M,0.00
2019-01,103.20M,,,68.80M,68.80M,,,-16.90M,,,,,-53.30M,101.80M,-79.20M,,-79.20M,-50.00M,,,-129.20M,-299.00M,407.50M,108.50M,,-6.10M,-6.10M,,,-9.00M,-0.20M,93.20M,80.20M,65.80M,0.90M,146.90M,,669.30M,-560.80M,-6.10M
2018-10,100.70M,0.00,0.00,70.50M,70.50M,,5.10M,-254.70M,,,,,260.70M,236.60M,-43.40M,,-43.40M,-3.10M,,,-46.50M,-266.00M,-7.40M,-273.40M,,0.00,0.00,-1.40M,-1.40M,11.60M,-0.10M,-263.30M,155.60M,-73.20M,-2.20M,80.20M,,667.60M,-941.00M,0.00
2018-07,100.80M,0.00,0.00,69.00M,69.00M,,0.00,18.90M,,,,,46.50M,235.20M,-52.30M,,-52.30M,-0.10M,,,-52.40M,-194.00M,4.60M,-189.40M,,0.00,0.00,0.00,0.00,0.70M,0.10M,-188.60M,164.90M,-5.80M,-3.50M,155.60M,,131.60M,-321.00M,0.00
