,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,681.60M,681.60M,257.60M,424.00M,,264.20M,25.50M,34.20M,0.00,6.70M,-6.70M,,323.90M,100.10M,6.70M,-6.70M,0.30M,-6.70M,93.70M,12.50M,81.20M,,,,,81.20M,81.03M,177.50M,77.10M,100.40M,1.6540000000000001,,,,1.65,1.6540000000000001,1.64,,,,1.6369999999999998,1.64,49.10M,49.60M,0.0
2020-07,578.20M,578.20M,217.40M,360.80M,232.80M,232.80M,21.80M,34.20M,0.00,5.70M,-5.70M,,288.80M,72.00M,5.70M,-5.70M,0.10M,-5.70M,66.40M,11.20M,55.20M,,,,,55.20M,53.12M,142.70M,70.60M,72.10M,1.13,,,,1.088,1.13,1.12,,,,1.078,1.12,49.10M,49.50M,0.03
2020-04,524.90M,524.90M,201.40M,323.50M,,237.20M,23.80M,33.90M,0.00,12.80M,-12.80M,,294.90M,28.60M,12.80M,-12.80M,-6.80M,-12.80M,9.00M,-2.50M,11.50M,,,,,11.50M,13.24M,90.60M,68.80M,21.80M,0.23,,,,0.2653,0.23,0.23,,,,0.265,0.23,49.20M,49.60M,0.0
2020-01,646.20M,646.20M,219.70M,426.50M,,258.30M,22.20M,34.90M,,11.60M,-11.60M,,315.40M,111.10M,11.60M,-11.60M,-2.10M,-11.60M,97.40M,6.90M,90.50M,,,,,90.50M,91.80M,179.60M,70.60M,109.00M,1.84,,,,1.8659999999999999,1.84,1.82,,,,1.8459999999999999,1.82,49.10M,49.70M,0.03
2019-10,691.60M,691.60M,236.60M,455.00M,,249.60M,23.30M,35.10M,-0.40M,14.70M,-14.70M,,308.00M,147.00M,14.70M,-14.70M,-3.80M,-14.70M,128.50M,7.50M,121.00M,,,,,121.00M,124.48M,213.80M,70.60M,143.20M,2.464,,,,2.535,2.464,2.42,,,,2.49,2.42,49.40M,50.00M,0.0
2019-07,679.40M,679.40M,228.70M,450.70M,249.80M,249.80M,21.50M,37.20M,0.00,16.70M,-16.70M,,308.50M,142.20M,16.70M,-16.70M,1.50M,-16.70M,127.00M,6.90M,120.10M,,,,,120.10M,119.06M,214.40M,70.70M,143.70M,2.43,,,,2.4090000000000003,2.43,2.4,,,,2.379,2.4,49.50M,50.10M,0.03
2019-04,654.30M,654.30M,221.70M,432.60M,,246.80M,21.00M,36.90M,19.00M,18.50M,-18.50M,,304.70M,127.90M,18.50M,-18.50M,18.70M,-18.50M,128.10M,5.70M,122.40M,,,,,122.40M,104.64M,217.30M,70.70M,146.60M,2.48,,,,2.12,2.48,2.45,,,,2.095,2.45,49.40M,50.00M,0.0
2019-01,628.10M,628.10M,209.60M,418.50M,,250.00M,21.00M,36.60M,,18.20M,-18.20M,,307.60M,110.90M,18.20M,-18.20M,1.10M,-18.20M,93.80M,-9.40M,103.20M,,,,,103.20M,102.84M,180.80M,68.80M,112.00M,2.09,,,,2.083,2.09,2.07,,,,2.063,2.07,49.30M,49.90M,0.03
2018-10,651.50M,651.50M,221.40M,430.10M,,248.60M,22.60M,36.20M,0.00,22.80M,-22.80M,,307.40M,122.70M,22.80M,-22.80M,12.80M,-22.80M,112.70M,12.00M,100.70M,,,,,100.70M,100.70M,206.00M,70.50M,135.50M,2.045,,,,2.045,2.045,2.02,,,,2.02,2.02,49.40M,50.00M,0.0
2018-07,660.00M,660.00M,233.20M,426.80M,251.00M,251.00M,22.50M,37.70M,0.00,22.80M,-22.80M,,311.20M,115.60M,22.80M,-22.80M,-2.40M,-22.80M,90.40M,-10.40M,100.80M,,,,,100.80M,102.77M,182.20M,69.00M,113.20M,2.05,,,,2.09,2.05,2.03,,,,2.07,2.03,49.10M,49.70M,0.03
