,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,115.90M,,115.90M,435.40M,435.40M,151.00M,12.40M,407.00M,,570.40M,152.50M,,,1.274B,0.0,19.90M,356.10M,1.765B,260.20M,333.90M,2.735B,-1.193B,1.542B,2.447B,1.289B,3.736B,80.10M,104.80M,5.463B,6.738B,176.00M,,176.00M,,176.00M,,59.40M,349.90M,409.30M,33.30M,442.60M,266.80M,1.004B,1.384B,236.80M,1.621B,25.80M,25.80M,,99.80M,0.20M,,1.908B,2.913B,5.30M,3.262B,1.647B,617.30M,,-472.00M,3.825B
2020-07,,127.40M,,127.40M,450.50M,450.50M,156.10M,13.40M,425.40M,,594.90M,148.50M,,,1.321B,,,,,2.661B,,2.661B,-1.164B,1.497B,2.445B,1.312B,3.756B,80.10M,94.00M,5.427B,6.748B,180.20M,,180.20M,,180.20M,,52.70M,499.90M,552.60M,32.30M,584.90M,255.20M,1.129B,1.328B,236.60M,1.564B,28.50M,28.50M,,104.30M,0.20M,,1.859B,2.988B,5.30M,3.181B,1.637B,618.00M,,-444.70M,3.760B
2020-04,79.80M,79.80M,,79.80M,368.80M,368.80M,141.10M,13.00M,414.10M,,568.20M,149.40M,,,1.166B,,,,,2.565B,,2.565B,-1.113B,1.452B,2.40B,1.338B,3.738B,77.00M,77.50M,5.344B,6.51B,128.70M,,128.70M,,128.70M,,54.60M,499.90M,554.50M,31.50M,586.00M,224.30M,1.025B,1.345B,232.70M,1.578B,26.80M,26.80M,,94.00M,0.20M,,1.857B,2.882B,5.30M,3.127B,1.626B,618.60M,,-512.80M,3.627B
2020-01,76.80M,76.80M,,76.80M,408.00M,408.00M,133.30M,12.50M,380.70M,,526.50M,138.60M,,,1.150B,,,,,2.531B,,2.531B,-1.098B,1.432B,2.446B,1.374B,3.820B,75.90M,69.90M,5.399B,6.548B,141.70M,,141.70M,,141.70M,,43.00M,500.00M,543.00M,31.50M,574.50M,259.80M,1.068B,1.234B,241.20M,1.475B,27.60M,27.60M,,70.40M,0.20M,,1.749B,2.818B,5.30M,3.115B,1.612B,571.20M,,-430.40M,3.731B
2019-10,,89.00M,,89.00M,435.30M,435.30M,131.40M,13.30M,362.20M,,506.90M,132.20M,,,1.163B,0.0,19.90M,330.90M,1.582B,,260.80M,2.194B,-1.062B,1.132B,2.429B,1.405B,3.834B,78.00M,66.80M,5.111B,6.274B,150.10M,,150.10M,,150.10M,,63.70M,500.00M,563.70M,0.00,563.70M,292.10M,1.111B,1.263B,0.00,1.263B,28.00M,28.00M,,119.90M,0.20M,,1.535B,2.646B,5.30M,3.026B,1.615B,571.20M,,-447.10M,3.628B
2019-07,,112.70M,,112.70M,404.70M,404.70M,127.10M,13.40M,361.60M,,502.10M,131.30M,,,1.151B,,,,,,,2.087B,-1.022B,1.065B,2.391B,1.439B,3.83B,63.10M,63.50M,5.022B,6.173B,141.50M,,141.50M,,141.50M,,65.00M,325.00M,390.00M,,390.00M,268.40M,889.40M,1.423B,,1.423B,31.50M,31.50M,,89.00M,0.20M,,1.668B,2.557B,5.30M,2.905B,1.608B,421.20M,,-481.80M,3.615B
2019-04,,104.60M,,104.60M,396.20M,396.20M,122.60M,12.30M,358.20M,,493.10M,142.70M,,,1.137B,,,,,,,2.038B,-1.006B,1.033B,2.438B,1.474B,3.913B,60.10M,61.40M,5.067B,6.203B,129.20M,,129.20M,,129.20M,400.00M,54.70M,-0.10M,454.60M,,454.60M,274.10M,940.90M,1.472B,,1.472B,33.30M,33.30M,,89.90M,0.20M,,1.720B,2.661B,5.30M,2.787B,1.588B,421.20M,,-416.60M,3.542B
2019-01,,146.60M,,146.60M,389.70M,389.70M,119.90M,12.60M,353.70M,,486.20M,170.50M,,,1.193B,,,,,,,2.009B,-985.50M,1.024B,2.449B,1.514B,3.963B,55.20M,63.20M,5.106B,6.299B,129.60M,,129.60M,,129.60M,,45.60M,399.90M,445.50M,,445.50M,287.60M,938.60M,1.687B,,1.687B,34.60M,34.60M,,88.20M,0.20M,,1.934B,2.873B,5.30M,2.664B,1.575B,421.20M,,-398.00M,3.425B
2018-10,,77.70M,,77.70M,374.70M,374.70M,112.50M,12.60M,343.70M,,468.80M,169.70M,,,1.091B,0.0,18.30M,305.00M,1.421B,,186.30M,1.930B,-954.30M,976.00M,2.392B,1.521B,3.913B,58.40M,74.10M,5.022B,6.113B,146.40M,,146.40M,,146.40M,,37.10M,,37.10M,,37.10M,259.00M,536.50M,1.986B,,1.986B,31.00M,31.00M,,110.30M,0.20M,,2.268B,2.805B,5.30M,2.576B,1.572B,415.10M,,-430.70M,3.308B
2018-07,,155.60M,,155.60M,375.60M,375.60M,115.30M,12.70M,351.60M,,479.60M,178.00M,,,1.189B,,,,,,,1.902B,-934.20M,967.40M,2.421B,1.559B,3.980B,45.70M,74.90M,5.068B,6.257B,120.80M,,120.80M,,120.80M,,45.30M,,45.30M,,45.30M,207.10M,461.40M,2.249B,,2.249B,37.20M,37.20M,,111.80M,0.10M,,2.569B,3.030B,5.30M,2.470B,1.551B,415.10M,,-385.60M,3.226B
