,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,427.50M,,427.50M,1.203B,1.203B,488.91M,168.14M,298.92M,838.54M,135.52M,,,2.605B,0.00,59.51M,549.62M,1.732B,2.341B,-1.461B,879.62M,3.967B,1.066B,5.033B,,468.66M,6.381B,8.986B,,2020-09,899.81M,540.84M,1.452B,,,90.50M,,90.50M,,90.50M,,,,,1.766B,,3.047B,,3.047B,304.69M,,304.69M,,3.973B,5.740B,,2020-09,258.89M,6.144B,,-232.72M,-232.72M,3.246B,,2020-09,AOR,
2020-06,649.03M,,649.03M,1.143B,1.143B,510.60M,177.10M,312.20M,885.97M,121.86M,,,2.799B,0.00,57.86M,541.86M,1.687B,2.287B,-1.428B,858.27M,3.920B,1.085B,5.005B,,451.73M,6.315B,9.114B,,2020-06,912.59M,483.75M,1.432B,,,505.00M,,505.00M,,505.00M,,,,,2.114B,,3.001B,,3.001B,319.40M,,319.40M,,3.911B,6.025B,,2020-06,258.77M,6.144B,,-263.63M,-263.63M,3.090B,,2020-06,AOR,
2020-03,508.91M,,508.91M,1.222B,1.222B,486.87M,172.17M,300.72M,852.08M,122.86M,,,2.706B,0.00,54.58M,522.16M,1.663B,2.239B,-1.397B,841.81M,3.861B,1.096B,4.957B,,439.48M,6.238B,8.944B,,2020-03,947.01M,455.83M,1.419B,,,,,500.00M,,500.00M,,,,,2.094B,,2.963B,,2.963B,338.59M,,338.59M,,3.869B,5.964B,,2020-03,258.74M,6.144B,,-311.58M,-311.58M,2.981B,,2020-03,AOR,
2019-12,397.25M,,397.25M,1.217B,1.217B,467.91M,162.67M,280.05M,806.14M,127.85M,,,2.548B,0.00,56.58M,527.19M,1.648B,2.232B,-1.390B,842.32M,3.783B,1.055B,4.838B,,440.37M,6.121B,8.669B,,2019-12,983.29M,274.22M,1.310B,43.02M,,84.70M,,84.70M,41.84M,126.54M,44.00M,44.00M,,,1.915B,6.098M,2.986B,121.30M,3.107B,322.04M,9.121M,409.53M,30.51M,3.722B,5.637B,,2019-12,258.55M,6.091B,,-216.03M,-216.03M,3.033B,,2019-12,AOR,
2019-09,340.53M,,340.53M,1.269B,1.269B,470.09M,169.64M,289.78M,816.56M,159.75M,,,2.586B,0.00,48.94M,512.98M,1.635B,2.197B,-1.377B,820.58M,3.760B,1.080B,4.841B,,422.17M,6.083B,8.669B,,2019-09,952.71M,440.21M,1.417B,,,182.70M,,182.70M,,182.70M,,,,,1.825B,,2.909B,,2.909B,333.89M,,333.89M,,3.826B,5.652B,,2019-09,258.43M,5.971B,,-257.19M,-257.19M,3.018B,,2019-09,AOR,Restated
2019-06,321.33M,,321.33M,1.289B,1.289B,486.16M,174.20M,300.47M,849.27M,163.90M,,,2.623B,0.00,50.05M,513.63M,1.616B,2.180B,-1.365B,815.00M,3.796B,1.129B,4.925B,,412.86M,6.153B,8.776B,,2019-06,960.43M,431.42M,1.413B,,,357.70M,,357.70M,,357.70M,,,,,1.955B,,2.946B,,2.946B,336.99M,,336.99M,,3.866B,5.821B,,2019-06,258.32M,5.948B,,-208.11M,-208.11M,2.955B,,2019-06,AOR,Restated
2019-03,243.01M,,243.01M,1.272B,1.272B,474.20M,177.54M,288.99M,828.30M,141.89M,,,2.529B,0.00,49.83M,518.24M,1.590B,2.158B,-1.360B,797.68M,3.777B,1.149B,4.926B,,404.35M,6.128B,8.658B,,2019-03,952.16M,436.63M,1.403B,,,344.90M,1.355M,346.26M,,346.26M,,,,20.58M,1.947B,,2.941B,,2.941B,349.43M,,349.43M,,3.874B,5.820B,,2019-03,258.21M,5.948B,,-190.95M,-190.95M,2.837B,,2019-03,AOR,Restated
2018-12,396.22M,,396.22M,1.232B,1.232B,439.62M,154.88M,265.72M,748.80M,126.88M,,,2.504B,0.00,53.62M,529.98M,1.555B,2.139B,-1.332B,806.50M,3.677B,1.134B,4.812B,,243.94M,5.862B,8.366B,,2018-12,969.53M,297.31M,1.315B,42.50M,,220.32M,,220.32M,0.00,220.32M,36.46M,36.46M,,,1.995B,7.575M,2.944B,0.00,2.944B,339.32M,9.382M,430.04M,31.46M,3.602B,5.597B,,2018-12,257.82M,5.948B,,-243.10M,-243.10M,2.769B,,2018-12,AOR,Restated
2018-09,209.28M,,209.28M,1.284B,1.284B,409.22M,177.57M,330.15M,803.98M,162.02M,,,2.459B,0.00,54.06M,523.62M,1.550B,2.128B,-1.321B,806.74M,3.720B,1.196B,4.915B,,280.54M,6.003B,8.462B,,2018-09,948.64M,411.58M,1.377B,,,298.60M,0.059M,298.66M,,298.66M,,,,,1.890B,,2.982B,,2.982B,330.89M,,330.89M,,3.824B,5.714B,,2018-09,257.78M,5.830B,,-193.32M,-193.32M,2.748B,,2018-09,AOR,Restated
2018-06,242.81M,,242.81M,1.281B,1.281B,392.77M,172.96M,307.85M,764.05M,159.60M,,,2.448B,0.00,54.03M,520.40M,1.528B,2.102B,-1.297B,805.01M,3.715B,1.229B,4.944B,,276.46M,6.025B,8.473B,,2018-06,938.42M,395.76M,1.346B,,,283.30M,1.33M,284.63M,,284.63M,,,,,1.814B,,2.975B,,2.975B,336.15M,,336.15M,,3.819B,5.633B,,2018-06,257.39M,5.682B,,-179.78M,-179.78M,2.841B,,2018-06,AOR,Restated
