,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.657B,3.657B,892.00M,,1.412B,2.608B,,1.285B,,3.893B,,,341.00M,9.303B,,,,,,,29.82B,,,,,,,,3.023B,32.84B,42.14B,,2.708B,0.00,324.00M,,3.032B,,3.032B,351.00M,,34.00M,,34.00M,,,,,3.417B,3.705B,9.677B,,9.677B,4.408B,4.408B,,,,8.494B,,2.269B,20.06B,23.48B,,159.00M,-11.68B,26.04B,3.758B,,-583.00M,10.17B,,AOR,
2020-09,2.403B,2.403B,893.00M,,1.357B,2.974B,163.00M,755.00M,,3.892B,,,419.00M,8.071B,,,,,,,29.91B,,,,,,,,3.117B,33.03B,41.10B,,2.533B,0.00,119.00M,,2.652B,,2.652B,397.00M,,47.00M,,47.00M,,,,,3.096B,3.693B,9.983B,,9.983B,4.325B,4.325B,,,,8.326B,,2.44B,20.44B,23.54B,,158.00M,-12.39B,25.93B,3.739B,,-728.00M,9.236B,,AOR,
2020-06,1.465B,1.465B,717.00M,,1.363B,2.921B,110.00M,779.00M,,3.81B,,,517.00M,7.155B,,,,,,,29.94B,,,,,,,,3.139B,33.08B,40.23B,,2.471B,0.00,47.00M,,2.518B,,2.518B,298.00M,,90.00M,,90.00M,,,,,2.906B,3.767B,9.824B,,9.824B,4.18B,4.18B,,,,8.201B,,2.398B,20.17B,23.08B,,158.00M,-12.72B,25.90B,3.739B,,-652.00M,8.954B,,AOR,
2020-03,1.602B,1.602B,515.00M,,1.106B,2.929B,106.00M,819.00M,,3.854B,,,795.00M,7.357B,,,,,,,29.90B,,,,,,,,2.963B,32.86B,40.22B,,2.465B,0.00,128.00M,,2.593B,,2.593B,305.00M,,245.00M,,245.00M,,,,,3.143B,3.758B,9.829B,,9.829B,4.087B,4.087B,,,,8.108B,,2.439B,20.11B,23.26B,,158.00M,-12.77B,25.88B,3.739B,,-668.00M,8.855B,,AOR,
2019-12,2.02B,2.02B,741.00M,,1.167B,3.11B,124.00M,839.00M,,4.073B,,,655.00M,7.915B,8.435B,17.63B,,4.265B,73.36B,-43.77B,29.58B,,402.00M,402.00M,303.00M,,735.00M,,1.87B,32.89B,40.81B,,1.654B,73.00M,198.00M,100.00M,2.025B,630.00M,2.655B,436.00M,5.00M,5.00M,44.00M,49.00M,,,,,3.209B,3.63B,9.821B,204.00M,10.02B,4.465B,4.465B,,1.318B,,8.15B,,714.00M,20.15B,23.36B,,158.00M,-12.28B,25.83B,3.734B,,-676.00M,9.298B,,AOR,
2019-09,2.247B,2.247B,731.00M,,994.00M,3.213B,79.00M,1.142B,,4.434B,,,672.00M,8.347B,,,,,,,29.33B,,,,,,,,3.266B,32.60B,40.94B,,2.755B,73.00M,61.00M,,2.889B,,2.889B,488.00M,,4.00M,,4.00M,,,,,3.381B,3.558B,9.915B,,9.915B,4.245B,4.245B,,,,8.098B,,2.302B,20.02B,23.40B,,158.00M,-12.29B,25.88B,3.735B,,-570.00M,9.444B,,AOR,Restated
2019-06,2.623B,2.623B,725.00M,,970.00M,3.281B,156.00M,940.00M,,4.377B,,,760.00M,8.73B,,,,,,,28.84B,,,,,,,,3.515B,32.36B,41.09B,,2.721B,73.00M,63.00M,,2.857B,,2.857B,425.00M,,4.00M,,4.00M,,,,,3.286B,3.617B,9.912B,,9.912B,4.055B,4.055B,,,,8.108B,,2.399B,19.98B,23.27B,,158.00M,-12.08B,25.95B,3.734B,,-582.00M,9.709B,,AOR,Restated
2019-03,2.833B,2.833B,781.00M,,1.191B,3.242B,137.00M,1.082B,,4.461B,,,560.00M,9.045B,,,,,,,28.50B,,,,,,,,3.517B,32.01B,41.06B,,2.599B,73.00M,150.00M,,2.822B,,2.822B,422.00M,,3.00M,,3.00M,,,,,3.247B,3.632B,9.902B,,9.902B,4.067B,4.067B,,,,8.058B,,2.37B,19.97B,23.22B,,158.00M,-12.01B,25.96B,3.734B,,-594.00M,9.783B,,AOR,Restated
2018-12,4.217B,4.217B,829.00M,,1.322B,2.985B,192.00M,1.326B,,4.503B,,,422.00M,10.46B,8.051B,17.00B,,3.006B,71.10B,-43.10B,28.01B,,398.00M,398.00M,316.00M,,956.00M,,2.072B,31.75B,42.22B,,1.661B,73.00M,274.00M,143.00M,2.151B,634.00M,2.785B,449.00M,17.00M,17.00M,0.00,17.00M,,,,,3.329B,3.609B,11.12B,0.00,11.12B,4.262B,4.262B,,1.174B,,8.094B,,826.00M,21.00B,24.32B,,158.00M,-12.04B,26.01B,3.727B,,-605.00M,9.798B,,AOR,Restated
2018-09,4.556B,4.556B,1.064B,,1.29B,3.177B,174.00M,696.00M,,4.047B,,,402.00M,10.92B,,,,,,,23.01B,,,,,,,,3.815B,26.83B,37.75B,,2.396B,73.00M,645.00M,,3.114B,,3.114B,460.00M,,4.00M,,4.00M,,,,273.00M,3.851B,3.564B,11.12B,,11.12B,3.839B,3.839B,,,,3.477B,,1.918B,20.44B,24.30B,,158.00M,-12.53B,26.60B,3.726B,,-532.00M,9.977B,,AOR,Restated
