,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.596B,1.596B,662.60M,933.20M,14.20M,190.10M,204.30M,,,,,,,204.30M,728.90M,191.60M,920.50M,221.90M,698.60M,,-55.40M,643.20M,502.18M,778.60M,49.70M,728.90M,2.75,,,,2.129,2.75,2.73,,,,2.115,2.73,227.00M,229.40M,0.9
2020-06,1.415B,1.415B,650.60M,764.80M,13.40M,197.70M,211.10M,,,,,,,211.10M,553.70M,415.10M,968.80M,240.30M,728.50M,,-125.50M,603.00M,292.35M,601.90M,48.20M,553.70M,2.58,,,,1.214,2.58,2.55,,,,1.196,2.55,227.40M,229.50M,0.9
2020-03,1.463B,1.463B,548.00M,914.60M,24.90M,182.50M,207.40M,,,,,,,207.40M,707.20M,-500.30M,206.90M,40.30M,166.60M,,176.50M,343.10M,733.44M,753.30M,46.10M,707.20M,1.43,,,,3.097,1.43,1.41,,,,3.0580000000000003,1.41,234.10M,236.80M,0.9
2019-12,1.469B,1.469B,633.00M,835.70M,38.30M,217.10M,255.40M,,,,,,,255.40M,580.30M,170.00M,750.30M,156.40M,593.90M,,-48.60M,545.30M,416.28M,639.40M,59.10M,580.30M,2.27,,,,1.719,2.27,2.24,,,,1.6969999999999998,2.24,234.20M,237.40M,0.76
2019-09,1.427B,1.427B,568.80M,857.90M,17.10M,181.70M,198.80M,,,,,,,198.80M,659.10M,43.00M,702.10M,157.00M,545.10M,,0.80M,545.90M,511.99M,704.80M,45.70M,659.10M,2.26,,,,2.116,2.26,2.23,,,,2.088,2.23,234.90M,238.20M,0.76
2019-06,1.395B,1.395B,581.00M,814.20M,19.80M,179.30M,199.10M,,,,,,,199.10M,615.10M,124.50M,739.60M,183.70M,555.90M,,-28.40M,527.50M,433.80M,659.20M,44.10M,615.10M,2.18,,,,1.7830000000000001,2.18,2.15,,,,1.758,2.15,235.90M,239.20M,0.76
2019-03,1.327B,1.327B,602.10M,725.20M,21.60M,171.10M,192.70M,,,,,,,192.70M,532.50M,202.80M,735.30M,181.30M,554.00M,,-41.40M,512.60M,360.49M,574.40M,41.90M,532.50M,2.11,,,,1.4669999999999999,2.11,2.09,,,,1.455,2.09,236.60M,239.60M,0.76
2018-12,1.305B,1.305B,564.80M,740.20M,35.80M,177.30M,213.10M,,,,,,,213.10M,527.10M,-136.70M,390.40M,118.40M,272.00M,,79.90M,351.90M,456.55M,571.70M,44.60M,527.10M,1.43,,,,1.867,1.43,1.41,,,,1.841,1.41,239.50M,243.00M,0.7
2018-09,1.395B,1.395B,563.60M,831.00M,20.20M,170.20M,190.40M,,,,,,,190.40M,640.60M,124.90M,765.50M,183.90M,581.60M,,1.40M,583.00M,488.15M,680.80M,40.20M,640.60M,2.34,,,,1.949,2.34,2.3,,,,1.9169999999999998,2.3,242.80M,247.50M,0.7
2018-06,1.345B,1.345B,564.70M,780.30M,19.00M,166.60M,185.60M,,,,,,,185.60M,594.70M,34.10M,628.80M,169.20M,459.60M,,-10.70M,448.90M,422.22M,632.50M,37.80M,594.70M,1.81,,,,1.7,1.81,1.77,,,,1.662,1.77,242.20M,247.40M,0.7
2018-03,1.328B,1.328B,553.80M,774.20M,24.60M,165.80M,190.40M,,,,,,,190.40M,583.80M,16.10M,599.90M,144.40M,455.50M,,-1.80M,453.70M,442.16M,620.70M,36.90M,583.80M,1.81,,,,1.7630000000000001,1.81,1.77,,,,1.724,1.77,244.30M,249.80M,0.7
2017-12,1.298B,1.298B,552.00M,745.60M,34.00M,180.60M,214.60M,,,,0.00,,,214.60M,531.00M,102.00M,633.00M,246.40M,386.60M,,-39.50M,347.10M,285.23M,567.70M,36.70M,531.00M,1.4,,,,1.145,1.4,1.37,,,,1.12,1.37,242.70M,247.50M,0.57
