,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.228B,,2.228B,714.80M,714.80M,2.943B,,,,,821.10M,,821.10M,,821.10M,665.70M,,665.70M,5.473B,231.70M,7.192B,10.13B,186.90M,,66.70M,253.60M,,253.60M,,,,,,253.60M,,175.30M,175.30M,583.30M,,1.340B,653.70M,2.752B,3.006B,45.30M,6.471B,654.60M,-42.70M,7.128B
2020-06,2.058B,,2.058B,655.70M,655.70M,2.714B,,,,,816.90M,,816.90M,,816.90M,665.70M,,665.70M,5.062B,219.40M,6.764B,9.477B,194.30M,,259.30M,453.60M,,453.60M,,,,,,453.60M,,166.40M,166.40M,384.70M,,1.090B,631.80M,2.273B,2.727B,45.40M,6.103B,654.60M,-52.20M,6.751B
2020-03,1.562B,,1.562B,585.30M,585.30M,2.148B,,,,,812.80M,,812.80M,,812.80M,665.70M,,665.70M,4.756B,255.10M,6.489B,8.637B,198.50M,,58.30M,256.80M,,256.80M,,,,,,256.80M,,172.60M,172.60M,215.40M,,971.00M,587.10M,1.946B,2.203B,45.60M,5.783B,654.60M,-49.10M,6.434B
2019-12,1.782B,,1.782B,646.60M,646.60M,2.428B,0.0,36.10M,466.10M,1.157B,110.80M,157.30M,1.928B,-1.142B,785.20M,665.70M,,665.70M,5.217B,234.40M,6.902B,9.330B,214.50M,,31.80M,246.30M,,246.30M,,,,,,246.30M,,146.30M,146.30M,112.10M,,1.121B,602.60M,1.982B,2.228B,47.00M,6.444B,654.60M,-43.00M,7.102B
2019-09,2.213B,,2.213B,620.60M,620.60M,2.834B,,,,,790.10M,,790.10M,,790.10M,665.70M,,665.70M,4.853B,254.90M,6.564B,9.398B,203.30M,,49.20M,252.50M,,252.50M,,,,,,252.50M,,146.40M,146.40M,534.00M,,1.103B,522.20M,2.306B,2.558B,46.90M,6.187B,654.60M,-48.70M,6.840B
2019-06,1.802B,,1.802B,619.80M,619.80M,2.422B,,,,,792.10M,,792.10M,,792.10M,665.70M,,665.70M,4.779B,253.70M,6.490B,8.912B,193.00M,,52.40M,245.40M,,245.40M,,,,,,245.40M,,154.90M,154.90M,374.10M,,1.012B,546.50M,2.088B,2.333B,47.10M,5.916B,654.60M,-38.50M,6.579B
2019-03,1.657B,,1.657B,604.60M,604.60M,2.262B,,,,,794.40M,,794.40M,,794.40M,665.70M,,665.70M,4.483B,253.80M,6.197B,8.459B,210.00M,,197.50M,407.50M,,407.50M,,,,,,407.50M,,161.90M,161.90M,196.80M,,886.70M,495.00M,1.740B,2.148B,47.30M,5.651B,654.50M,-41.60M,6.311B
2018-12,1.425B,,1.425B,549.60M,549.60M,1.975B,0.0,40.10M,454.50M,1.044B,,137.00M,1.675B,-1.014B,661.30M,665.70M,,665.70M,4.134B,253.70M,5.714B,7.689B,228.50M,,54.20M,282.70M,,282.70M,,,,,,282.70M,,0.00,0.00,123.30M,,740.30M,418.70M,1.282B,1.565B,47.60M,5.464B,654.60M,-42.00M,6.124B
2018-09,2.091B,,2.091B,583.10M,583.10M,2.674B,,,,,,,,,657.00M,665.70M,,665.70M,4.332B,202.00M,5.857B,8.531B,249.90M,,80.30M,330.20M,,330.20M,,,,,,330.20M,,,,511.60M,,860.60M,367.70M,1.740B,2.070B,48.50M,5.788B,654.50M,-31.00M,6.460B
2018-06,1.484B,,1.484B,564.40M,564.40M,2.049B,,,,,,,,,655.20M,665.70M,,665.70M,4.316B,196.00M,5.833B,7.882B,220.00M,,56.40M,276.40M,,276.40M,,,,,,276.40M,,,,349.60M,,739.20M,402.40M,1.491B,1.768B,48.60M,5.435B,654.60M,-23.70M,6.115B
2018-03,1.681B,,1.681B,593.60M,593.60M,2.275B,,,,,,,,,650.20M,665.70M,,665.70M,3.606B,177.50M,5.099B,7.374B,241.30M,,159.80M,401.10M,,401.10M,,,,,,401.10M,,,,187.10M,,546.50M,337.70M,1.071B,1.472B,48.70M,5.205B,654.60M,-6.40M,5.902B
2017-12,1.903B,,1.903B,565.30M,565.30M,2.468B,0.0,40.10M,442.50M,993.30M,,121.00M,1.597B,-944.90M,652.00M,665.70M,,665.70M,3.526B,224.00M,5.067B,7.535B,216.20M,,68.30M,284.50M,,284.50M,,,,,,284.50M,,,,108.50M,,992.80M,325.20M,1.426B,1.711B,49.00M,4.933B,846.10M,-3.60M,5.824B
2017-09,1.869B,,1.869B,507.90M,507.90M,2.377B,,,,,,,,,635.00M,665.70M,,665.70M,3.441B,260.20M,5.002B,7.380B,193.50M,,16.80M,210.30M,,210.30M,,,,,,210.30M,,,,453.80M,,953.80M,233.70M,1.641B,1.852B,48.40M,4.728B,751.90M,-0.50M,5.528B
2017-06,1.542B,,1.542B,488.70M,488.70M,2.031B,,,,,,,,,624.30M,665.70M,,665.70M,2.938B,274.00M,4.502B,6.533B,185.80M,,16.00M,201.80M,,201.80M,,,,,,201.80M,,,,306.30M,,627.60M,228.30M,1.162B,1.364B,48.10M,4.478B,654.50M,-11.60M,5.169B
