,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.782B,2.924B,1.972B,952.35M,363.28M,363.28M,,0.00,,73.66M,-159.73M,,520.17M,432.17M,73.66M,-159.73M,10.89M,-159.73M,283.33M,65.79M,217.54M,0.00,-58.87M,158.67M,158.67M,356.99M,,2020-09,1.31,0.00,1.31,,2020-09,1.28,0.00,1.28,,2020-09,,2020-09,AOR,
2020-06,2.758B,2.880B,1.985B,895.42M,316.21M,316.21M,,-16.25M,,81.38M,-81.38M,,473.58M,421.83M,81.38M,-81.38M,-2.365M,-81.38M,338.08M,83.21M,254.87M,0.00,-53.27M,201.60M,213.86M,419.46M,,2020-06,1.65,0.00,1.65,,2020-06,1.62,0.00,1.62,,2020-06,,2020-06,AOR,
2020-03,2.713B,2.841B,1.975B,865.79M,263.58M,263.58M,,0.00,,88.60M,-91.55M,,418.26M,447.53M,88.60M,-91.55M,13.49M,-91.55M,369.48M,91.56M,277.92M,9.98M,-48.30M,239.59M,229.61M,458.08M,,2020-03,1.84,0.08,1.92,,2020-03,1.81,0.08,1.89,,2020-03,,2020-03,AOR,
2019-12,2.788B,2.899B,2.001B,897.96M,278.42M,278.42M,,0.00,,92.05M,-92.05M,,436.89M,461.07M,92.05M,-92.05M,13.01M,-92.05M,382.02M,81.69M,300.33M,2.629M,-58.09M,244.87M,242.24M,474.07M,,2019-12,1.871,0.0203,1.89,,2019-12,1.856,0.0201,1.88,,2019-12,,2019-12,AOR,
2019-09,2.777B,2.904B,1.991B,912.91M,298.74M,298.74M,,-83.86M,,88.59M,-109.83M,,454.65M,458.26M,88.59M,-109.83M,-74.64M,-109.83M,273.78M,65.25M,208.53M,-6.843M,-58.42M,143.27M,214.01M,362.37M,,2019-09,1.00,-0.05,0.95,,2019-09,0.99,-0.05,0.95,,2019-09,,2019-09,AOR,Restated
2019-06,2.724B,2.843B,1.958B,884.95M,275.34M,275.34M,,0.00,,131.67M,-143.83M,,427.58M,457.37M,131.67M,-143.83M,10.16M,-143.83M,323.70M,75.94M,247.76M,79.39M,-53.61M,273.55M,194.16M,455.37M,,2019-06,1.17,0.47,1.64,,2019-06,1.16,0.47,1.64,,2019-06,,2019-06,AOR,Restated
2019-03,2.630B,2.743B,1.965B,778.18M,250.81M,250.81M,,-41.04M,,131.52M,-131.52M,,399.34M,378.84M,131.52M,-131.52M,-31.39M,-131.52M,215.93M,56.75M,159.18M,30.30M,-40.20M,149.29M,149.23M,347.45M,,2019-03,0.72,0.18,0.90,,2019-03,0.72,0.18,0.90,,2019-03,,2019-03,AOR,Restated
2018-12,2.730B,2.821B,2.027B,794.06M,268.53M,268.53M,0.00,28.15M,0.00,128.30M,-128.30M,,423.69M,370.37M,128.30M,-128.30M,17.05M,-128.30M,259.11M,51.75M,207.37M,-309.21M,-47.93M,-149.77M,136.91M,387.41M,,2018-12,0.97,-1.87,-0.90,,2018-12,0.96,-1.87,-0.90,,2018-12,,2018-12,AOR,Restated
2018-09,2.671B,2.847B,2.064B,783.56M,336.30M,336.30M,6.093M,-7.599M,0.80M,125.93M,-125.93M,,483.10M,300.46M,125.93M,-125.93M,-7.416M,-125.93M,167.12M,52.05M,115.07M,-211.74M,-40.13M,-136.80M,80.18M,293.04M,,2018-09,0.44,-1.26,-0.82,,2018-09,0.44,-1.26,-0.82,,2018-09,,2018-09,AOR,Restated
2018-06,2.718B,2.887B,2.069B,817.86M,264.09M,264.09M,11.24M,19.61M,-2.10M,119.69M,-119.69M,,409.07M,408.79M,119.69M,-119.69M,31.40M,-119.69M,320.49M,83.87M,236.63M,69.70M,-39.05M,267.28M,183.11M,440.19M,,2018-06,1.16,0.40,1.56,,2018-06,1.15,0.38,1.53,,2018-06,,2018-06,AOR,Restated
2018-03,2.591B,2.849B,2.036B,813.86M,266.53M,266.53M,,0.00,-6.00M,113.52M,-113.52M,,403.33M,410.53M,113.52M,-113.52M,4.737M,-113.52M,301.75M,70.74M,231.02M,-5.786M,-46.54M,178.69M,184.47M,415.27M,,2018-03,1.07,-0.07,1.00,,2018-03,1.05,-0.07,0.98,,2018-03,,2018-03,AOR,Restated
2017-12,2.615B,2.781B,1.942B,839.23M,265.42M,265.42M,280.07M,-281.57M,-5.652M,109.00M,-109.00M,,404.14M,435.09M,109.00M,-109.00M,-279.26M,-109.00M,46.82M,-150.27M,197.09M,143.59M,-37.28M,303.40M,328.75M,155.82M,,2017-12,0.86,0.80,1.66,,2017-12,0.85,0.79,1.64,,2017-12,,2017-12,AOR,Restated
2017-09,2.562B,2.765B,1.952B,813.46M,272.91M,272.91M,0.00,0.00,-2.685M,109.31M,-109.31M,,412.86M,400.60M,109.31M,-109.31M,-1.912M,-109.31M,289.38M,90.55M,198.84M,-370.87M,-42.44M,-214.48M,156.40M,398.69M,,2017-09,0.81,-1.95,-1.14,,2017-09,0.80,-1.95,-1.14,,2017-09,,2017-09,AOR,Restated
2017-06,2.495B,2.699B,1.895B,804.74M,262.80M,262.80M,,-10.50M,-0.606M,107.93M,-107.93M,,402.22M,402.52M,107.93M,-107.93M,-6.525M,-107.93M,288.06M,101.92M,186.14M,-24.52M,-34.62M,127.00M,158.30M,395.99M,,2017-06,0.79,-0.13,0.66,,2017-06,0.78,-0.13,0.65,,2017-06,,2017-06,AOR,Restated
2017-03,2.423B,2.631B,1.852B,779.21M,262.90M,262.90M,15.17M,493.73M,1.91M,104.40M,-104.40M,,397.69M,381.52M,104.40M,-104.40M,498.40M,-104.40M,775.52M,281.66M,493.85M,6.433M,-52.59M,447.70M,126.85M,879.91M,,2017-03,2.29,0.04,2.33,,2017-03,2.26,0.03,2.29,,2017-03,,2017-03,AOR,Restated
2016-12,2.471B,2.699B,1.883B,816.64M,285.10M,285.10M,0.00,-43.41M,1.821M,103.93M,-103.93M,,418.01M,398.63M,103.93M,-103.93M,-35.03M,-103.93M,259.67M,83.17M,176.50M,11.77M,-30.54M,157.73M,175.46M,363.60M,,2016-12,0.74,0.07,0.81,,2016-12,0.73,0.07,0.80,,2016-12,,2016-12,AOR,Restated
2016-09,3.516B,3.731B,2.698B,1.033B,406.89M,406.89M,,374.37M,3.773M,104.58M,-104.58M,,592.40M,440.54M,104.58M,-104.58M,380.49M,-104.58M,716.45M,104.30M,612.15M,,-40.82M,571.33M,251.46M,821.03M,,2016-09,2.80,,2.80,,2016-09,2.76,,2.76,,2016-09,,2016-09,AOR,Restated
2016-06,3.483B,3.718B,2.671B,1.047B,386.90M,386.90M,,-146.21M,3.566M,102.89M,-102.89M,,570.84M,475.78M,102.89M,-102.89M,-143.50M,-102.89M,229.39M,134.89M,94.50M,,-41.12M,53.38M,141.11M,332.28M,,2016-06,0.26,,0.26,,2016-06,0.26,,0.26,,2016-06,,2016-06,AOR,Restated
2016-03,3.369B,3.581B,2.582B,998.80M,386.43M,386.43M,,-77.00M,2.517M,102.88M,-102.88M,,558.30M,440.50M,102.88M,-102.88M,-72.64M,-102.88M,264.98M,126.82M,138.16M,,-40.72M,97.43M,143.63M,367.86M,,2016-03,0.48,,0.48,,2016-03,0.47,,0.47,,2016-03,,2016-03,AOR,Restated
2015-12,-537.53M,-266.00M,-453.64M,187.64M,-12.13M,-12.13M,,-0.001M,2.743M,103.26M,-103.26M,,-20.17M,207.81M,103.26M,-103.26M,7.005M,-103.26M,111.56M,23.62M,87.94M,,-40.47M,-6.00M,47.47M,214.82M,,2015-12,-0.03,,-0.03,,2015-12,-0.03,,-0.03,,2015-12,,2015-12,AOR,Restated
2015-09,3.341B,3.526B,2.501B,1.025B,353.49M,353.49M,,0.00,2.511M,103.48M,-103.48M,,518.06M,506.58M,103.48M,-103.48M,5.267M,-103.48M,408.37M,147.06M,261.31M,,-45.44M,215.87M,215.87M,511.85M,,2015-09,1.02,,1.02,,2015-09,1.00,,1.00,,2015-09,,2015-09,AOR,Restated
2015-06,3.230B,3.435B,2.446B,988.54M,347.96M,347.96M,,-4.065M,2.159M,104.25M,-152.32M,,508.96M,479.58M,104.25M,-152.32M,3.279M,-152.32M,330.54M,122.76M,207.78M,,-37.30M,170.48M,173.03M,434.79M,,2015-06,0.80,,0.80,,2015-06,0.78,,0.78,,2015-06,,2015-06,AOR,Restated
2015-03,3.122B,3.288B,2.363B,925.35M,341.80M,341.80M,,-495.00M,1.827M,97.39M,-97.39M,,497.42M,427.94M,97.39M,-97.39M,-492.62M,-97.39M,-162.08M,-85.93M,-76.15M,,-34.47M,-110.62M,186.38M,-64.69M,,2015-03,-0.52,,-0.52,,2015-03,-0.52,,-0.52,,2015-03,,2015-03,AOR,Restated
2014-12,3.150B,3.328B,2.366B,961.56M,355.99M,355.99M,,,4.773M,97.95M,-97.95M,0.00,514.01M,447.54M,97.95M,-97.95M,4.771M,-97.95M,354.36M,103.98M,250.39M,,-42.37M,208.02M,208.02M,452.31M,,2014-12,0.98,0.00,0.98,,2014-12,0.96,0.00,0.96,,2014-12,,2014-12,AOR,Restated
2014-09,3.091B,3.252B,2.327B,925.29M,322.82M,322.82M,,,3.961M,99.88M,-99.88M,17.00M,492.98M,432.31M,99.88M,-99.88M,3.979M,-99.88M,336.41M,116.63M,219.78M,,-35.66M,184.12M,184.12M,436.29M,,2014-09,0.87,,0.87,,2014-09,0.85,,0.85,,2014-09,,2014-09,AOR,Restated
2014-06,2.987B,3.172B,2.247B,925.95M,298.64M,298.64M,,0.00,3.208M,106.13M,-203.68M,,447.75M,478.20M,106.13M,-203.68M,7.788M,-203.68M,282.31M,100.89M,181.42M,,-33.74M,147.68M,147.68M,388.44M,,2014-06,0.70,,0.70,,2014-06,0.68,,0.68,,2014-06,,2014-06,AOR,Restated
2014-03,2.902B,3.043B,2.180B,863.00M,284.06M,284.06M,,,2.511M,106.34M,-106.34M,,429.15M,433.85M,106.34M,-106.34M,9.07M,-106.34M,336.59M,124.85M,211.74M,,-28.45M,183.29M,183.29M,442.92M,,2014-03,0.87,,0.87,,2014-03,0.85,,0.85,,2014-03,,2014-03,AOR,Restated
2013-12,2.919B,3.063B,2.128B,935.38M,318.83M,318.83M,,0.00,1.216M,107.61M,-107.61M,0.00,459.52M,475.86M,107.61M,-107.61M,11.77M,-107.61M,380.02M,135.75M,244.27M,0.00,-32.00M,212.28M,212.28M,487.63M,,2013-12,1.01,0.00,1.01,,2013-12,0.99,0.00,0.99,,2013-12,,2013-12,AOR,Restated
2013-09,2.874B,3.000B,2.095B,904.25M,305.14M,305.14M,,0.00,1.498M,108.42M,-108.42M,97.00M,536.40M,367.85M,108.42M,-108.42M,11.34M,-108.42M,270.77M,100.93M,169.84M,0.00,-33.21M,136.63M,136.63M,379.19M,,2013-09,0.65,0.00,0.65,,2013-09,0.64,0.00,0.64,,2013-09,,2013-09,AOR,Restated
2013-06,2.759B,2.872B,2.014B,857.35M,268.11M,268.11M,,56.98M,1.26M,108.10M,-108.10M,,399.96M,457.39M,108.10M,-108.10M,63.25M,-108.10M,412.55M,129.19M,283.36M,0.00,-28.98M,254.38M,215.24M,520.65M,,2013-06,1.21,0.00,1.21,,2013-06,1.18,0.00,1.18,,2013-06,,2013-06,AOR,Restated
2013-03,2.742B,2.830B,1.961B,868.69M,284.41M,284.41M,,,0.878M,105.82M,-105.82M,300.00M,711.20M,157.49M,105.82M,-105.82M,9.965M,-105.82M,61.64M,15.14M,46.50M,13.24M,-29.57M,30.16M,16.93M,167.46M,,2013-03,0.08,0.06,0.14,,2013-03,0.08,0.06,0.14,,2013-03,,2013-03,AOR,Restated
2012-12,2.366B,2.478B,1.707B,770.39M,273.77M,273.77M,,0.00,0.805M,95.97M,-106.93M,6.545M,390.40M,379.99M,95.97M,-106.93M,9.102M,-106.93M,282.16M,97.90M,184.26M,-0.46M,-27.96M,155.84M,156.30M,378.13M,,2012-12,0.775,-0.005,0.77,,2012-12,0.755,-0.005,0.755,,2012-12,,2012-12,AOR,Restated
2012-09,1.859B,1.946B,1.327B,618.52M,197.91M,197.91M,,0.00,1.39M,70.49M,-70.49M,1.292M,280.69M,337.82M,70.49M,-70.49M,3.883M,-70.49M,271.21M,98.65M,172.56M,-0.013M,-27.83M,144.72M,144.73M,341.70M,,2012-09,0.76,0.00,0.76,,2012-09,0.75,0.00,0.75,,2012-09,,2012-09,AOR,Restated
2012-06,1.814B,1.913B,1.299B,613.68M,212.79M,212.79M,,0.00,1.038M,60.71M,-60.71M,78.00M,369.04M,244.64M,60.71M,-60.71M,3.458M,-60.71M,187.39M,67.74M,119.65M,0.352M,-24.67M,95.34M,94.98M,248.10M,,2012-06,0.505,0.00,0.505,,2012-06,0.495,0.00,0.495,,2012-06,,2012-06,AOR,Restated
2012-03,1.765B,1.850B,1.249B,600.14M,205.40M,205.40M,,,1.106M,61.38M,-61.38M,,281.89M,318.25M,61.38M,-61.38M,3.671M,-61.38M,260.54M,95.56M,164.98M,-0.101M,-24.76M,140.12M,140.22M,321.92M,,2012-03,0.75,-0.005,0.745,,2012-03,0.73,-0.005,0.73,,2012-03,,2012-03,AOR,Restated
