,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2005-12,19.30M,118.31M,137.61M,67.26M,,67.26M,204.87M,,378.44M,,378.44M,316.83M,8.746B,11.50B,14.77B,,,,,,,638.90M,638.90M,638.90M,,,638.90M,509.84M,509.84M,1.011B,1.011B,7.440B,91.76M,,9.052B,11.34B,104.88M,2.622B,508.71M,71.46M,269.08M,3.433B
2005-09,5.601M,39.20M,44.80M,66.08M,,66.08M,110.88M,28.21M,378.44M,,378.44M,344.62M,8.710B,9.967B,14.66B,,,,,,,504.34M,504.34M,504.34M,,,504.34M,690.40M,690.40M,1.050B,1.050B,7.342B,90.26M,,9.173B,11.30B,108.88M,2.703B,526.88M,279.11M,300.00M,3.360B
2005-06,11.67M,34.61M,46.28M,66.54M,,66.54M,112.82M,28.71M,378.44M,,378.44M,342.38M,8.783B,10.04B,14.65B,,,,,,,484.58M,484.58M,484.58M,,,484.58M,692.96M,692.96M,1.072B,1.072B,7.241B,92.98M,,9.099B,11.20B,108.88M,2.596B,526.71M,227.36M,451.22M,3.455B
2005-03,8.90M,16.30M,25.20M,76.70M,,76.70M,101.90M,29.10M,378.40M,,378.40M,339.50M,8.644B,9.690B,14.17B,,,,,,,376.40M,376.40M,376.40M,,,376.40M,692.00M,692.00M,1.010B,1.010B,7.151B,92.40M,,8.946B,10.88B,108.80M,2.568B,485.50M,213.30M,332.70M,3.282B
2004-12,10.65M,88.21M,98.86M,73.41M,,73.41M,172.27M,29.50M,378.44M,,378.44M,304.98M,8.667B,9.665B,14.25B,,,,,,,342.95M,342.95M,342.95M,,,342.95M,696.62M,696.62M,993.54M,993.54M,7.064B,93.07M,,8.847B,10.83B,108.78M,2.463B,484.89M,42.26M,405.92M,3.420B
2004-09,4.13M,39.84M,43.97M,81.05M,,81.05M,125.01M,29.21M,378.44M,,378.44M,407.30M,8.443B,9.548B,13.89B,156.58M,993.60M,1.150B,1.150B,,,268.64M,268.64M,268.64M,,,1.419B,543.89M,543.89M,,,6.866B,93.81M,,7.504B,10.55B,113.78M,2.586B,505.38M,261.58M,400.12M,3.344B
2004-06,5.142M,32.30M,37.45M,86.25M,,86.25M,123.70M,29.66M,378.44M,,378.44M,405.88M,8.202B,9.160B,13.43B,156.58M,865.82M,1.022B,1.022B,,,154.33M,154.33M,154.33M,,,1.177B,538.94M,538.94M,,,6.763B,96.76M,,7.399B,10.28B,113.78M,2.475B,504.81M,180.37M,240.16M,3.154B
2004-03,19.97M,70.32M,90.29M,69.85M,,69.85M,160.14M,29.93M,378.44M,,378.44M,410.01M,8.631B,9.619B,13.84B,154.64M,995.28M,1.150B,1.150B,,,223.31M,223.31M,223.31M,,,1.373B,546.70M,546.70M,,,6.646B,96.82M,,7.290B,10.44B,113.78M,2.372B,503.45M,89.28M,500.05M,3.400B
2003-12,12.70M,51.60M,64.30M,85.40M,,85.40M,149.70M,29.80M,378.40M,,378.40M,294.10M,8.212B,9.201B,13.47B,,,,,,,182.40M,182.40M,182.40M,,,182.40M,700.00M,700.00M,905.10M,905.10M,6.637B,96.60M,,8.338B,10.23B,113.80M,2.273B,501.00M,41.20M,393.10M,3.240B
2003-09,10.50M,39.54M,50.04M,80.01M,,80.01M,130.05M,31.72M,378.44M,,378.44M,409.11M,8.067B,9.076B,13.22B,,911.29M,911.29M,911.29M,,,170.94M,170.94M,170.94M,,,1.082B,697.70M,697.70M,,,6.519B,97.48M,,7.314B,10.04B,118.78M,2.341B,521.74M,214.06M,405.69M,3.173B
2003-06,7.669M,126.35M,134.02M,69.95M,,69.95M,203.97M,32.80M,378.44M,,378.44M,409.30M,7.979B,9.014B,13.10B,,924.67M,924.67M,924.67M,,,133.46M,133.46M,133.46M,,,1.058B,554.25M,554.25M,,,6.307B,97.28M,144.44M,6.958B,9.770B,118.78M,2.246B,521.20M,155.13M,451.74M,3.183B
2003-03,12.20M,125.40M,137.60M,68.14M,,68.14M,205.73M,32.88M,378.44M,,378.44M,403.23M,7.596B,8.612B,12.62B,,804.83M,804.83M,804.83M,,,214.41M,214.41M,214.41M,,,1.019B,553.50M,553.50M,,,6.169B,95.76M,144.43M,6.818B,9.530B,118.78M,2.147B,520.74M,97.43M,252.94M,2.942B
2002-12,7.181M,72.81M,79.99M,70.42M,,70.42M,150.41M,33.43M,378.44M,,378.44M,401.23M,7.292B,8.309B,12.36B,,,,,,,201.48M,201.48M,201.48M,,,201.48M,551.56M,551.56M,720.18M,720.18M,6.131B,95.24M,144.43M,7.498B,9.365B,126.80M,2.317B,554.77M,323.61M,176.62M,2.851B
2002-09,4.622M,32.19M,36.82M,73.25M,,73.25M,110.07M,33.85M,378.44M,,378.44M,394.47M,7.110B,8.131B,12.17B,,705.95M,705.95M,705.95M,,,178.19M,178.19M,178.19M,,,884.14M,552.13M,552.13M,,,5.931B,94.91M,144.42M,6.578B,9.264B,126.80M,2.224B,554.16M,313.38M,168.70M,2.760B
2002-06,3.068M,24.81M,27.88M,74.98M,,74.98M,102.85M,34.31M,378.44M,,378.44M,388.65M,6.777B,7.771B,12.09B,,613.35M,613.35M,613.35M,,,182.64M,182.64M,182.64M,,,795.99M,540.75M,540.75M,,,5.831B,94.71M,144.42M,6.467B,9.383B,126.80M,2.117B,553.97M,265.35M,32.18M,2.564B
2002-03,4.525M,30.62M,35.14M,74.87M,,74.87M,110.01M,35.04M,378.44M,,378.44M,380.92M,6.679B,7.654B,12.28B,,577.22M,577.22M,577.22M,,,241.87M,241.87M,241.87M,,,819.09M,535.43M,535.43M,,,5.752B,93.55M,144.41M,6.381B,9.661B,126.80M,2.065B,553.70M,185.70M,-81.00M,2.479B
2001-12,3.714M,134.16M,137.87M,67.55M,,67.55M,205.42M,36.14M,378.44M,,378.44M,266.98M,6.661B,10.17B,12.43B,,,,,,,204.04M,204.04M,204.04M,,,204.04M,536.15M,536.15M,580.29M,580.29M,5.772B,93.62M,144.56M,6.982B,9.786B,126.80M,1.979B,552.63M,148.90M,-12.31M,2.497B
2001-09,9.543M,153.38M,162.93M,75.68M,,75.68M,238.61M,36.73M,381.45M,,381.45M,381.87M,6.594B,7.582B,12.19B,,632.12M,632.12M,632.12M,,,338.81M,338.81M,338.81M,,,970.93M,358.70M,358.70M,,,5.607B,92.35M,106.40M,6.058B,9.546B,126.80M,1.931B,553.03M,98.86M,23.36M,2.535B
2001-06,5.07M,107.38M,112.45M,79.05M,,79.05M,191.51M,37.35M,384.47M,,384.47M,378.24M,6.262B,7.247B,12.50B,,516.70M,516.70M,516.70M,,,300.39M,300.39M,300.39M,,,817.09M,363.58M,363.58M,,,5.542B,92.74M,145.08M,5.999B,9.987B,126.80M,1.839B,539.53M,56.15M,-77.22M,2.372B
2001-03,5.852M,206.68M,212.54M,78.67M,,78.67M,291.21M,38.10M,387.49M,,387.49M,377.51M,6.378B,7.377B,12.80B,,518.56M,518.56M,518.56M,,,302.10M,302.10M,302.10M,,,820.67M,364.06M,364.06M,,,5.490B,92.06M,193.42M,5.946B,10.24B,147.80M,2.305B,627.53M,657.71M,-59.03M,2.364B
2000-12,,,,,,,,,,,,,,,12.96B,,,,,,,,,,,,,,,,,,,,,10.76B,,,,,,2.202B
2000-09,12.17M,83.12M,95.28M,69.57M,,69.57M,164.85M,39.42M,393.53M,,393.53M,370.84M,5.897B,6.898B,12.86B,,384.71M,384.71M,384.71M,,,308.97M,308.97M,308.97M,,,693.68M,371.88M,371.88M,,,5.359B,90.22M,193.38M,5.821B,10.56B,147.80M,2.145B,623.34M,624.94M,-182.87M,2.108B
2000-06,16.95M,92.54M,109.49M,60.86M,,60.86M,170.35M,40.46M,396.55M,,396.55M,347.56M,5.793B,6.777B,12.61B,,356.86M,356.86M,356.86M,,,341.16M,341.16M,341.16M,,,698.02M,371.62M,371.62M,,,5.289B,90.06M,193.36M,5.751B,10.41B,147.80M,2.059B,623.13M,607.21M,-209.32M,2.013B
2000-03,10.47M,67.10M,77.58M,48.87M,,48.87M,126.45M,37.88M,399.56M,,399.56M,344.91M,5.901B,6.894B,12.84B,,362.10M,362.10M,362.10M,,,406.55M,406.55M,406.55M,,,768.65M,371.59M,371.59M,,,5.227B,92.19M,193.34M,5.691B,10.62B,147.80M,1.987B,622.94M,569.68M,-157.41M,2.031B
1999-12,14.44M,100.19M,114.63M,53.46M,,53.46M,168.09M,38.76M,402.58M,,402.58M,339.21M,5.809B,6.796B,12.13B,,309.27M,309.27M,309.27M,,,418.39M,418.39M,418.39M,,,727.66M,371.56M,371.56M,,,5.167B,85.34M,193.32M,5.624B,9.945B,147.80M,1.910B,622.32M,513.05M,-174.22M,1.993B
1999-09,,,,,,,,39.84M,,405.60M,405.60M,334.71M,,6.896B,11.38B,,,,,,,402.48M,402.48M,402.48M,,,402.48M,371.52M,371.52M,,,208.01M,89.12M,193.31M,668.66M,9.179B,147.80M,1.876B,612.50M,524.41M,,2.010B
1999-06,,,,,,,,40.39M,,408.62M,408.62M,330.62M,,6.897B,11.30B,,,,,,,398.20M,398.20M,398.20M,,,398.20M,371.49M,371.49M,,,203.70M,90.63M,193.29M,665.82M,9.047B,147.80M,1.815B,612.18M,470.09M,,2.060B
1999-03,,,,,,,,38.90M,,411.64M,411.64M,359.62M,,7.121B,11.31B,,,,,,,412.95M,412.95M,412.95M,,,412.95M,376.74M,376.74M,,,202.68M,87.46M,193.28M,666.88M,8.982B,147.80M,1.779B,611.84M,461.51M,,2.135B
1998-12,4.92M,75.84M,80.76M,130.28M,,130.28M,211.04M,39.08M,414.66M,,414.66M,357.80M,5.854B,7.087B,11.25B,,511.31M,511.31M,511.31M,,,355.39M,355.39M,355.39M,,,866.70M,383.42M,383.42M,,,4.872B,85.92M,,5.341B,8.990B,147.80M,1.708B,610.92M,351.63M,144.50M,2.260B
1998-09,,,,,,,,37.84M,,417.68M,417.68M,333.41M,,7.620B,11.28B,,,,,,,348.04M,348.04M,348.04M,,,348.04M,394.02M,394.02M,,,193.02M,86.76M,294.18M,673.80M,8.454B,147.80M,1.819B,610.19M,226.42M,,2.529B
1998-06,,,,,,,,49.08M,,518.08M,518.08M,330.61M,,7.607B,11.32B,,,,,,,418.28M,418.28M,418.28M,,,418.28M,394.22M,394.22M,,,191.44M,83.51M,291.16M,669.17M,8.545B,147.80M,1.824B,610.09M,227.18M,,2.487B
1998-03,,,,,,,,49.00M,,521.82M,521.82M,310.27M,,8.229B,11.83B,,,,,,,435.37M,435.37M,435.37M,,,435.37M,393.97M,393.97M,,,194.97M,84.12M,193.21M,673.06M,9.201B,147.97M,1.766B,614.24M,231.69M,,2.440B
