,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,88.62M,16.72B,16.80B,,396.38M,396.38M,17.20B,,441.59M,,441.59M,532.38M,16.72B,18.22B,23.18B,,1.217B,1.217B,1.217B,,360.16M,5.00M,365.16M,365.16M,,,1.582B,1.131B,1.131B,,,,67.06M,,1.198B,17.36B,124.22M,4.956B,508.94M,708.66M,940.20M,5.820B
2017-12,118.56M,17.10B,17.21B,,391.78M,391.78M,17.61B,108.00M,441.59M,,441.59M,529.53M,17.10B,18.60B,23.47B,,1.312B,1.312B,1.312B,,323.69M,4.375M,328.07M,328.07M,,,1.640B,1.132B,1.132B,,,,61.43M,,1.194B,17.24B,124.22M,4.806B,508.48M,631.76M,1.424B,6.231B
2017-09,88.46M,16.72B,16.81B,,389.08M,389.08M,17.20B,,441.59M,,441.59M,523.32M,16.72B,18.23B,22.99B,,2.069B,2.069B,2.069B,,305.25M,3.75M,309.00M,309.00M,,,2.378B,1.131B,1.131B,,,,61.54M,,1.192B,17.83B,127.22M,4.240B,508.39M,746.80M,1.039B,5.168B
2017-06,97.65M,16.41B,16.51B,,380.03M,380.03M,16.89B,,441.59M,,441.59M,516.06M,16.41B,17.89B,22.58B,,2.010B,2.010B,2.010B,,303.15M,3.125M,306.27M,306.27M,,,2.316B,1.132B,1.132B,,,,69.11M,,1.201B,17.52B,127.22M,4.113B,500.12M,671.24M,984.56M,5.053B
2017-03,61.75M,16.00B,16.06B,,370.31M,370.31M,16.43B,,441.59M,,441.59M,510.57M,16.00B,17.46B,22.09B,,1.864B,1.864B,1.864B,,324.52M,2.50M,327.02M,327.02M,,,2.191B,1.133B,1.133B,,,,70.02M,,1.203B,17.34B,127.22M,3.995B,491.77M,591.69M,722.86M,4.745B
2016-12,76.16M,15.32B,15.39B,,384.45M,384.45M,15.78B,97.00M,441.59M,,441.59M,507.98M,15.32B,16.79B,21.44B,,1.744B,1.744B,1.744B,,262.60M,1.875M,264.48M,264.48M,,,2.008B,1.133B,1.133B,,,,64.02M,,1.197B,16.87B,127.22M,3.891B,490.42M,519.15M,577.57M,4.567B
2016-09,104.90M,15.90B,16.01B,,361.28M,361.28M,16.37B,,441.59M,,441.59M,499.08M,15.90B,17.35B,22.08B,,2.024B,2.024B,2.024B,,265.64M,1.25M,266.89M,266.89M,,,2.291B,1.134B,1.134B,,,,63.20M,,1.197B,16.99B,130.22M,3.934B,496.07M,616.76M,1.143B,5.086B
2016-06,49.68M,15.49B,15.54B,,358.69M,358.69M,15.90B,,441.59M,,441.59M,501.56M,15.49B,16.94B,21.57B,,1.887B,1.887B,1.887B,,285.39M,0.625M,286.01M,286.01M,,,2.173B,1.134B,1.134B,,,,72.65M,,1.207B,16.70B,130.22M,3.818B,489.73M,549.01M,989.16M,4.878B
2016-03,12.76M,14.60B,14.62B,,349.65M,349.65M,14.97B,,441.59M,,441.59M,496.84M,14.61B,16.06B,20.62B,,1.665B,1.665B,1.665B,,,557.16M,557.16M,557.16M,,,2.222B,743.95M,743.95M,,,,71.54M,,815.49M,16.23B,130.22M,3.715B,482.67M,471.80M,535.48M,4.392B
2015-12,61.38M,13.81B,13.87B,,344.55M,344.55M,14.22B,83.00M,441.59M,,441.59M,492.46M,13.81B,15.27B,19.85B,,1.451B,1.451B,1.451B,249.75M,240.38M,0.00,490.13M,490.13M,,,1.941B,743.73M,743.73M,,,,67.02M,,810.75M,15.80B,130.22M,3.614B,482.28M,403.27M,231.95M,4.056B
2015-09,59.48M,14.14B,14.20B,,676.16M,676.16M,14.88B,,441.59M,,441.59M,486.04M,14.15B,15.57B,20.12B,,1.589B,1.589B,1.589B,249.37M,368.87M,,618.24M,618.24M,,,2.207B,743.50M,743.50M,,,,70.33M,,813.83M,15.84B,134.22M,3.686B,488.32M,525.44M,499.83M,4.283B
2015-06,62.85M,14.15B,14.21B,,627.66M,627.66M,14.84B,,441.59M,,441.59M,479.95M,14.15B,15.56B,20.02B,,1.565B,1.565B,1.565B,,,636.86M,636.86M,636.86M,,,2.202B,743.30M,743.30M,,,,76.98M,,820.28M,15.71B,134.22M,3.569B,476.79M,428.99M,555.32M,4.306B
2015-03,3.086M,14.99B,14.99B,,565.96M,565.96M,15.56B,,441.59M,,441.59M,474.72M,14.99B,16.39B,20.70B,,1.919B,1.919B,1.919B,,258.92M,,258.92M,258.92M,,,2.178B,992.50M,992.50M,,,,74.73M,,1.067B,15.81B,134.22M,3.472B,462.95M,351.23M,1.166B,4.884B
2014-12,66.02M,14.51B,14.57B,,327.86M,327.86M,14.90B,54.00M,441.59M,,441.59M,472.11M,14.51B,15.92B,20.27B,,1.786B,1.786B,1.786B,,238.40M,,238.40M,238.40M,,,2.024B,992.13M,992.13M,,,,71.70M,,1.064B,15.57B,134.22M,3.377B,457.61M,268.66M,997.45M,4.697B
