,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.196B,1.196B,,72.38M,72.38M,,-0.634M,21.67M,-21.67M,3.012M,74.76M,21.67M,-21.67M,0.292M,-21.67M,231.54M,42.59M,188.94M,0.00,,,,188.94M,189.46M,,253.21M,1.78,0.0,,,1.785,1.78,1.76,0.0,,,1.765,1.76,106.15M,107.05M,0.1875
2020-06,1.181B,1.181B,,70.20M,70.20M,,,22.81M,-22.81M,2.516M,72.71M,22.81M,-22.81M,0.404M,-22.81M,212.24M,39.19M,173.05M,0.00,,,,173.05M,173.05M,,235.05M,1.63,0.0,,,1.63,1.63,1.62,0.0,,,1.62,1.62,106.44M,107.13M,0.1875
2020-03,1.133B,1.133B,,61.76M,61.76M,,-3.275M,20.81M,-20.81M,13.55M,72.03M,20.81M,-20.81M,0.325M,-20.81M,202.92M,37.38M,165.54M,0.00,,,,165.54M,168.21M,,223.73M,1.54,0.0,,,1.565,1.54,1.52,0.0,,,1.544,1.52,107.29M,109.13M,0.1875
2019-12,1.137B,1.137B,,62.21M,62.21M,,-2.858M,20.50M,-20.50M,13.34M,72.70M,20.50M,-20.50M,0.241M,-20.50M,227.09M,40.03M,187.06M,0.00,,,,187.06M,189.42M,,247.59M,1.73,0.0,,,1.7519999999999998,1.73,1.69,0.0,,,1.712,1.69,108.11M,110.75M,0.1725
2019-09,1.141B,1.141B,,72.10M,72.10M,,,21.09M,-21.09M,2.472M,74.58M,21.09M,-21.09M,0.438M,-21.09M,247.33M,45.51M,201.82M,0.00,,,,201.82M,201.82M,,268.42M,1.85,0.0,,,1.85,1.85,1.82,0.0,,,1.82,1.82,108.81M,110.91M,0.1725
2019-06,1.130B,1.130B,,,,,,21.43M,-21.43M,79.04M,79.04M,21.43M,-21.43M,0.398M,-21.43M,228.76M,42.15M,186.61M,-0.043M,,,,186.57M,186.61M,,250.19M,1.7,0.0,,,1.7,1.7,1.67,0.0,,,1.67,1.67,109.65M,111.59M,0.1725
2019-03,1.119B,1.119B,,59.98M,59.98M,,0.00,21.28M,-21.28M,12.82M,72.79M,21.28M,-21.28M,0.241M,-21.28M,228.10M,42.71M,185.39M,-0.049M,,,,185.34M,185.39M,,249.38M,1.68,0.0,,,1.68,1.68,1.65,0.0,,,1.65,1.65,110.30M,112.33M,0.1725
2018-12,1.065B,1.065B,,58.80M,58.80M,,0.00,23.61M,-23.61M,11.29M,70.08M,23.61M,-23.61M,0.033M,-23.61M,203.64M,38.93M,164.71M,0.011M,,,,164.72M,164.71M,,227.24M,1.48,0.0,,,1.48,1.48,1.45,0.0,,,1.45,1.45,111.39M,113.64M,0.16
2018-09,1.084B,1.084B,,66.22M,66.22M,,,22.43M,-22.43M,7.835M,74.06M,22.43M,-22.43M,0.393M,-22.43M,220.33M,41.63M,178.70M,0.024M,,,,178.72M,178.70M,,242.76M,1.59,0.0,,,1.59,1.59,1.55,0.0,,,1.55,1.55,112.59M,114.97M,0.16
2018-06,1.085B,1.085B,,65.77M,65.77M,,,22.41M,-22.41M,2.847M,68.62M,22.41M,-22.41M,0.416M,-22.41M,226.86M,42.47M,184.39M,0.032M,,,,184.42M,184.39M,,249.28M,1.63,0.0,,,1.63,1.63,1.59,0.0,,,1.59,1.59,113.35M,115.65M,0.16
2018-03,1.070B,1.070B,,57.73M,57.73M,,,21.62M,-21.62M,9.095M,66.82M,21.62M,-21.62M,0.295M,-21.62M,212.84M,39.13M,173.71M,-0.111M,,,,173.60M,173.71M,,234.46M,1.52,0.0,,,1.52,1.52,1.49,0.0,,,1.49,1.49,114.18M,116.75M,0.16
2017-12,1.057B,1.057B,,60.34M,60.34M,,,21.71M,-21.71M,9.126M,69.47M,21.71M,-21.71M,0.002M,-21.71M,216.37M,-811.00M,1.027B,-0.03M,,,,1.027B,1.027B,,238.08M,8.93,0.0,,,8.93,8.93,8.71,0.0,,,8.71,8.71,115.05M,117.99M,0.15
2017-09,1.046B,1.046B,,60.69M,60.69M,,,20.97M,-20.97M,2.33M,63.02M,20.97M,-20.97M,0.331M,-20.97M,220.61M,67.26M,153.35M,-0.012M,,,,153.33M,153.35M,,241.58M,1.32,0.0,,,1.32,1.32,1.29,0.0,,,1.29,1.29,115.92M,118.44M,0.15
2017-06,1.029B,1.029B,,59.76M,59.76M,,,21.16M,-21.16M,2.665M,62.43M,21.16M,-21.16M,0.393M,-21.16M,201.93M,61.56M,140.36M,-0.09M,,,,140.27M,140.36M,,223.08M,1.2,0.0,,,1.2,1.2,1.18,0.0,,,1.18,1.18,116.65M,119.10M,0.15
2017-03,1.024B,1.024B,,54.13M,54.13M,,,20.70M,-20.70M,8.21M,62.34M,20.70M,-20.70M,0.416M,-20.70M,191.74M,54.56M,137.18M,-3.637M,,,,133.54M,137.18M,,212.44M,1.16,-0.03,,,1.16,1.13,1.14,-0.03,,,1.14,1.11,117.77M,120.43M,0.15
2016-12,975.34M,975.34M,,50.87M,50.87M,,,20.48M,-20.48M,8.114M,58.98M,20.48M,-20.48M,0.412M,-20.48M,175.98M,51.17M,124.81M,10.64M,,,,135.45M,124.81M,,196.47M,1.05,0.09,,,1.05,1.14,1.03,0.09,,,1.03,1.12,118.57M,121.41M,0.14
2016-09,989.77M,989.77M,,55.85M,55.85M,,,20.38M,-20.38M,1.955M,57.80M,20.38M,-20.38M,0.16M,-20.38M,201.46M,59.55M,141.91M,9.959M,,,,151.87M,141.91M,,221.84M,1.19,0.08,,,1.19,1.27,1.16,0.08,,,1.16,1.25,119.48M,121.91M,0.14
2016-06,991.88M,991.88M,,55.47M,55.47M,,,23.11M,-23.11M,2.379M,57.85M,23.11M,-23.11M,0.382M,-23.11M,199.34M,60.05M,139.29M,-0.865M,,,,138.43M,139.29M,,222.45M,1.16,-0.01,,,1.16,1.15,1.13,-0.01,,,1.13,1.13,120.48M,122.75M,0.14
