,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,,,,,,,309.31M,-8.645M,,-8.645M,,-14.37M,-7.117M,-31.80M,17.50M,-169.52M,-152.02M,9.812M,-129.92M,-120.11M,-19.96M,-19.96M,,-16.94M,-309.03M,114.03M,-31.52M,-2.411M,80.10M,9.812M,400.00M,-382.50M,-129.92M
2020-06,,,,,,,425.75M,-10.83M,,-10.83M,,-637.75M,0.005M,-648.98M,297.50M,1.156M,298.66M,0.717M,0.00,0.717M,-19.95M,-19.95M,,-26.11M,253.31M,90.37M,30.07M,-6.412M,114.03M,0.717M,300.00M,-2.50M,0.00
2020-03,,,,,,,343.55M,-9.316M,,-9.316M,,-298.73M,0.013M,-311.68M,-1.875M,158.76M,156.89M,16.81M,-166.73M,-149.92M,-18.59M,-18.59M,,-19.65M,-31.27M,75.93M,0.608M,13.83M,90.37M,16.81M,,-1.875M,-166.73M
2019-12,,,,,,,333.70M,-12.15M,,-12.15M,,-221.99M,0.00,-240.74M,-1.875M,64.80M,62.92M,25.59M,-125.10M,-99.51M,-18.70M,-18.70M,,-25.80M,-81.08M,66.68M,11.87M,-2.613M,75.93M,25.59M,0.00,-1.875M,-125.10M
2019-09,,,,,,,343.54M,-8.395M,,-8.395M,,-195.41M,0.017M,-212.21M,-1.875M,-24.76M,-26.64M,17.98M,-104.37M,-86.40M,-18.84M,-18.84M,,-21.41M,-153.29M,89.32M,-21.96M,-0.685M,66.68M,17.98M,0.00,-1.875M,-104.37M
2019-06,,,,,,,263.35M,-14.64M,,-14.64M,,-30.96M,0.015M,-50.59M,-1.875M,-37.55M,-39.42M,28.01M,-119.20M,-91.20M,-18.96M,-18.96M,,-37.08M,-186.66M,67.34M,26.10M,-4.124M,89.32M,28.01M,0.00,-1.875M,-119.20M
2019-03,,,,,,,423.28M,-7.015M,,-7.015M,,-293.36M,,-305.76M,-1.25M,-14.10M,-15.34M,11.59M,-110.90M,-99.30M,-17.70M,-17.70M,,-37.14M,-169.48M,121.03M,-51.96M,-1.726M,67.34M,11.59M,,-1.25M,-110.90M
2018-12,,,,,,,340.36M,-17.78M,-0.017M,-17.79M,,215.66M,,193.62M,-304.64M,-15.52M,-320.16M,1.026M,-123.44M,-122.41M,-17.94M,-17.94M,,-39.60M,-500.11M,77.44M,33.87M,9.716M,121.03M,1.026M,0.00,-304.64M,-123.44M
2018-09,,,,,,,320.77M,-8.581M,0.00,-8.581M,,-666.00M,,-680.61M,548.75M,-57.41M,491.34M,13.71M,-91.72M,-78.01M,-18.08M,-18.08M,,-35.70M,359.56M,82.23M,-0.279M,-4.512M,77.44M,13.71M,550.00M,-1.25M,-91.72M
2018-06,,,,,,,234.13M,-6.769M,0.017M,-6.752M,,-83.19M,,-95.36M,-21.25M,13.75M,-7.501M,7.783M,-96.64M,-88.85M,-18.21M,-18.21M,,-33.06M,-147.62M,88.62M,-8.857M,2.472M,82.23M,7.783M,,-21.25M,-96.64M
