,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,193.20M,,,-258.10M,,,,112.70M,42.70M,,,4.10M,40.50M,3.80M,,37.50M,-27.90M,19.10M,43.30M,116.30M,,,2007-12,-170.90M,773.00M,602.10M,,,-31.50M,570.60M,2007-12,,,-99.20M,1.20M,-0.10M,1.10M,,,,,,-10.90M,-144.00M,,2007-12,637.50M,745.60M,,2007-12,1.20M,,,76.20M,21.30M,,2007-12,,
2007-09,119.60M,,,21.30M,,,,41.90M,35.40M,,,,-113.80M,-31.30M,,-10.50M,,-29.30M,29.90M,-155.00M,2.30M,,2007-09,-130.30M,3.70M,-126.60M,,,2.90M,-123.70M,2007-09,,,114.30M,0.30M,-61.10M,-60.80M,,,,,,22.10M,40.20M,,2007-09,-18.00M,108.10M,,2007-09,0.30M,,,12.40M,30.70M,,2007-09,,
2007-06,48.60M,,,4.50M,,,,77.40M,2.90M,,,-4.40M,52.90M,1.90M,,23.90M,-39.90M,-52.00M,31.30M,18.10M,-2.30M,,2007-06,-138.20M,66.20M,-72.00M,,,-0.80M,-72.80M,2007-06,,,70.50M,7.20M,-90.50M,-83.30M,,,,,,-7.40M,-56.20M,,2007-06,15.80M,125.30M,,2007-06,7.20M,,,60.90M,26.40M,,2007-06,,
2007-03,63.90M,,,-12.10M,,,,78.00M,10.20M,,,4.40M,28.60M,,,-19.40M,39.90M,-4.30M,-21.60M,23.20M,,,2007-03,-102.60M,57.90M,-44.70M,,,-0.40M,-45.10M,2007-03,,,-126.30M,25.40M,-145.10M,-119.70M,,,,,,4.60M,-278.20M,,2007-03,-155.70M,110.30M,,2007-03,25.40M,,,2.20M,36.30M,,2007-03,,
2006-12,193.10M,,,-141.60M,,,,76.30M,176.90M,,,-76.80M,-14.90M,3.80M,,40.20M,25.20M,10.70M,-215.40M,-150.40M,-19.20M,,2006-12,-397.40M,197.60M,-199.80M,263.60M,,-13.70M,98.30M,2006-12,,,131.30M,1.40M,0.00,1.40M,,,,,,-120.70M,-21.20M,,2006-12,135.40M,266.00M,,2006-12,1.40M,,,1.00M,36.40M,,2006-12,,
2006-09,78.80M,,,-37.90M,,,,75.30M,14.90M,,,24.00M,-65.40M,-23.10M,,0.50M,-1.30M,54.40M,-22.70M,-57.60M,24.40M,,2006-09,,6.60M,6.60M,-100.70M,,17.10M,-77.00M,2006-09,,,22.00M,35.40M,-105.10M,-69.70M,,,,,,15.60M,-66.00M,,2006-09,-21.10M,119.90M,,2006-09,35.40M,,,28.70M,34.80M,,2006-09,,
2006-06,45.40M,,,-59.60M,,,,74.70M,63.90M,,,67.80M,114.70M,-10.30M,,-15.80M,-26.30M,73.90M,-147.30M,-11.10M,-14.70M,,2006-06,79.10M,28.00M,107.10M,-162.90M,,58.30M,2.50M,2006-06,,,-125.00M,4.00M,,4.00M,,,,,,76.20M,-78.40M,,2006-06,90.50M,141.00M,,2006-06,4.00M,,,42.90M,33.80M,,2006-06,,
2006-03,-1.60M,,,67.70M,,,,79.10M,-0.10M,,,,3.60M,57.80M,,-90.60M,,-73.90M,,-103.10M,14.70M,,2006-03,-79.10M,564.80M,485.70M,,,-43.70M,442.00M,2006-03,,,-540.00M,8.80M,,8.80M,,,,,,-88.60M,-653.50M,,2006-03,-154.80M,50.50M,,2006-03,8.80M,,,17.70M,55.80M,,2006-03,,
2005-12,-63.90M,,,157.00M,,,,94.70M,-114.10M,,,,-74.80M,-27.20M,,73.40M,42.30M,-21.30M,23.90M,16.30M,-34.80M,,2005-12,-164.80M,2.10M,-162.70M,,-60.00M,95.60M,-127.10M,2005-12,,,169.40M,5.30M,,5.30M,,,,,,-58.40M,85.70M,,2005-12,13.80M,216.00M,,2005-12,5.30M,,,58.00M,38.60M,,2005-12,,
2005-09,112.50M,,,170.30M,,,,95.70M,-10.50M,,,-103.40M,-48.90M,-38.30M,,10.80M,27.30M,-67.50M,-6.50M,-123.10M,,,2005-09,-362.80M,80.60M,-282.20M,259.70M,60.00M,0.10M,37.60M,2005-09,,,-264.40M,11.80M,,11.80M,,,,,,3.40M,-279.70M,,2005-09,-100.60M,140.00M,,2005-09,11.80M,,,7.20M,54.20M,,2005-09,,
2005-06,-58.70M,,,67.10M,,,,94.60M,-28.70M,,,103.40M,61.80M,-6.20M,,-3.00M,-53.70M,24.40M,-3.60M,19.70M,-24.30M,,2005-06,116.40M,40.90M,157.30M,-259.70M,,1.70M,-100.70M,2005-06,,,82.80M,4.30M,,4.30M,,,,,,10.30M,67.00M,,2005-06,139.40M,240.60M,,2005-06,4.30M,,,7.90M,42.10M,,2005-06,,
2005-03,2.40M,,,19.90M,,,,95.40M,2.30M,,,,17.90M,44.50M,,13.30M,,-24.40M,,51.30M,24.30M,,2005-03,-116.40M,,-116.40M,,,-9.40M,-125.80M,2005-03,,,-123.90M,7.90M,,7.90M,,,,,,-24.60M,-171.00M,,2005-03,-101.20M,101.20M,,2005-03,7.90M,,,9.60M,47.10M,,2005-03,,
2004-12,42.70M,,,60.00M,,,,95.70M,-58.00M,,,,-30.00M,-15.60M,,63.30M,-82.40M,61.60M,34.20M,31.10M,,,2004-12,-200.40M,37.70M,-162.70M,,,-25.40M,-188.10M,2004-12,,,98.80M,5.90M,,5.90M,,,,,,-35.30M,39.10M,,2004-12,65.60M,264.60M,,2004-12,5.90M,,,17.40M,45.10M,,2004-12,,
2004-09,81.80M,,,3.00M,,,,129.20M,21.10M,,,,-33.90M,,,-12.30M,-38.50M,-42.00M,-0.40M,-127.10M,,,2004-09,-140.80M,1.00M,-139.80M,,,-12.90M,-152.70M,2004-09,,,25.70M,58.50M,,58.50M,,,,,,5.90M,61.90M,,2004-09,17.20M,136.10M,,2004-09,58.50M,,,-6.80M,45.50M,,2004-09,,
2004-06,-13.10M,,,76.70M,,,,58.30M,19.30M,,,,26.80M,-33.40M,,-2.10M,16.70M,-34.90M,1.50M,-25.40M,,,2004-06,-160.00M,3.60M,-156.40M,,,-5.30M,-161.70M,2004-06,,,45.80M,43.00M,,43.00M,,,,,,-28.80M,32.20M,,2004-06,-13.70M,118.90M,,2004-06,43.00M,,,3.20M,43.70M,,2004-06,,
2004-03,34.10M,,,-8.30M,,,,99.20M,13.10M,,,,-76.30M,33.40M,,-14.40M,,22.10M,,-35.20M,,,2004-03,-132.20M,,-132.20M,,,-7.40M,-139.60M,2004-03,,,-10.70M,7.70M,,7.70M,,,,,,20.60M,-10.10M,,2004-03,-46.80M,194.00M,,2004-03,7.70M,,,19.40M,42.40M,,2004-03,,
2003-12,48.59M,,,23.92M,,,,91.57M,22.18M,,,,111.23M,11.44M,,19.44M,,1.262M,-66.95M,76.43M,,,2003-12,-206.00M,266.08M,60.09M,,,16.60M,76.69M,2003-12,,,-148.86M,6.373M,,6.373M,,,,,,-20.86M,-190.95M,,2003-12,148.44M,240.80M,,2003-12,6.373M,,,-11.91M,50.20M,,2003-12,,
2003-09,103.23M,,,-18.03M,,,,97.18M,4.952M,,,,-189.17M,-40.79M,,20.70M,,-1.362M,0.564M,-210.05M,,,2003-09,-153.16M,12.20M,-140.96M,,,14.27M,-126.69M,2003-09,,,-188.08M,364.92M,,364.92M,,,,,,30.39M,179.69M,,2003-09,30.29M,92.41M,,2003-09,364.92M,,,2.589M,51.86M,,2003-09,,
2003-06,32.15M,,,-39.31M,,,,88.87M,20.04M,,,,72.07M,16.14M,,-87.14M,-55.33M,,6.587M,-47.67M,,,2003-06,-193.32M,244.22M,50.90M,,,17.81M,68.70M,2003-06,,,-91.50M,6.151M,,6.151M,,,,,,-12.80M,-121.28M,,2003-06,1.501M,67.24M,,2003-06,6.151M,,,24.71M,56.68M,,2003-06,,
2003-03,-0.478M,,,13.32M,,,,98.48M,10.83M,,,,-80.33M,,,44.79M,55.33M,,24.70M,44.49M,,,2003-03,-284.72M,,-284.72M,,,-9.679M,-294.40M,2003-03,,,178.95M,6.854M,,6.854M,,,,,,-32.13M,130.64M,,2003-03,2.876M,65.74M,,2003-03,6.854M,,,3.517M,40.17M,,2003-03,,
2002-12,46.09M,,,17.90M,,,,81.94M,29.23M,,,,35.35M,-5.683M,,73.79M,8.633M,-25.92M,-49.28M,36.89M,,,2002-12,-197.31M,6.635M,-190.67M,,,-5.392M,-196.07M,2002-12,,,-82.29M,155.26M,0.00,155.26M,,,,,,-4.847M,22.39M,,2002-12,6.936M,62.86M,,2002-12,155.26M,,,23.50M,59.58M,,2002-12,,
2002-09,44.73M,,,16.57M,,,,59.97M,-9.924M,,,,-1.751M,-15.89M,,-38.67M,-8.633M,25.92M,25.91M,-13.11M,,,2002-09,-2.55M,21.01M,18.46M,,,2.606M,21.06M,2002-09,,,-19.65M,16.70M,-56.39M,-39.69M,,,,,,-13.33M,-118.04M,,2002-09,1.258M,55.92M,,2002-09,16.70M,,,2.619M,29.35M,,2002-09,,
2002-06,6.315M,,,27.05M,,,,105.15M,12.92M,,,,-34.06M,15.89M,,36.73M,-29.56M,,-9.913M,-20.91M,,,2002-06,-301.80M,,-301.80M,,,1.484M,-300.32M,2002-06,,,272.45M,14.43M,,14.43M,,,,,,-64.97M,176.87M,,2002-06,7.072M,73.40M,,2002-06,14.43M,,,2.812M,60.27M,,2002-06,,
2002-03,9.743M,,,13.02M,,,,86.60M,-19.02M,,,,7.878M,,,-33.86M,29.56M,,52.05M,55.63M,,,2002-03,-155.09M,,-155.09M,,,-2.191M,-157.28M,2002-03,,,-37.30M,14.28M,,14.28M,,,,,,58.88M,-8.986M,,2002-03,-20.29M,47.59M,,2002-03,14.28M,,,1.716M,34.94M,,2002-03,,
2001-12,53.39M,,,14.85M,,,,99.09M,-0.655M,,,,-87.92M,-15.76M,,-14.54M,19.73M,4.049M,-11.58M,-106.02M,,,2001-12,-82.73M,-2.60M,-85.33M,,,-14.87M,-100.20M,2001-12,,,-99.22M,277.15M,,277.15M,,,,,,8.70M,146.90M,,2001-12,-3.753M,68.40M,,2001-12,277.15M,,,14.22M,37.46M,,2001-12,,
2001-09,62.28M,,,45.30M,,,,63.62M,-5.562M,,,,57.12M,,,48.27M,-19.73M,-18.89M,23.32M,90.08M,,,2001-09,-269.35M,3.996M,-265.36M,,,-19.27M,-284.62M,2001-09,,,64.35M,11.40M,,11.40M,,,,,,-3.631M,32.61M,,2001-09,3.706M,92.54M,,2001-09,11.40M,,,3.403M,47.55M,,2001-09,,
2001-06,23.30M,,,-18.49M,,,,94.66M,-3.454M,,,,91.96M,-28.24M,,-23.78M,,-38.84M,-36.01M,-34.92M,,,2001-06,-170.70M,98.17M,-72.52M,,,3.727M,-68.80M,2001-06,,,51.48M,,,,,,,,,-30.35M,-18.36M,,2001-06,-26.06M,88.84M,,2001-06,,,,47.39M,53.90M,,2001-06,,
2001-03,33.38M,,,-6.673M,,,,98.00M,-10.43M,,,,11.84M,28.24M,,-62.77M,,32.14M,36.01M,45.46M,,,2001-03,-190.28M,8.365M,-181.92M,,,-20.72M,-202.64M,2001-03,,,54.67M,,,,,,,,,-5.794M,9.383M,,2001-03,-33.52M,114.89M,,2001-03,,,,5.881M,41.46M,,2001-03,,
2000-12,60.82M,,,-36.32M,,,,100.40M,-2.184M,,,,-138.75M,9.333M,,112.28M,-4.104M,24.84M,-54.70M,-51.09M,,,2000-12,-289.46M,42.15M,-247.30M,,,-17.66M,-264.96M,2000-12,,,325.47M,0.252M,,0.252M,,,,,,-15.58M,270.49M,,2000-12,77.15M,148.42M,,2000-12,0.252M,,,55.60M,52.53M,,2000-12,,
2000-09,259.54M,,,-327.63M,,,,90.79M,122.05M,,,,-23.25M,-31.91M,,2.104M,4.104M,-6.472M,72.17M,16.74M,,,2000-09,-122.67M,54.36M,-68.31M,,,-8.582M,-76.89M,2000-09,,,-5.796M,0.238M,,0.238M,,,,,,-0.145M,-45.19M,,2000-09,39.40M,71.27M,,2000-09,0.238M,,,31.22M,34.44M,,2000-09,,
2000-06,42.28M,,,-47.78M,,,,87.66M,15.26M,,,,-2.301M,-19.61M,,15.30M,,-19.94M,-57.82M,-84.38M,,,2000-06,-136.68M,3.94M,-132.74M,,,0.142M,-132.60M,2000-06,,,144.63M,0.065M,,0.065M,,,,,,-1.278M,103.93M,,2000-06,-15.63M,31.87M,,2000-06,0.065M,,,26.98M,50.96M,,2000-06,,
2000-03,19.32M,,,26.99M,,,,88.03M,-20.08M,,,,16.49M,23.98M,,-23.87M,,14.51M,40.35M,71.46M,,,2000-03,-517.66M,11.05M,-506.61M,,,-25.74M,-532.35M,2000-03,,,333.52M,0.514M,,0.514M,,,,,,-14.08M,280.46M,,2000-03,-66.17M,47.50M,,2000-03,0.514M,,,3.092M,25.80M,,2000-03,,
1999-12,44.78M,,,-17.84M,,,,69.82M,-1.958M,,,0.10M,-12.24M,-2.217M,,12.75M,,-15.47M,-21.40M,-38.57M,,,1999-12,-165.17M,21.74M,-143.43M,,,-23.55M,-166.98M,1999-12,,,192.72M,7.791M,,7.791M,,,,,,-5.931M,155.19M,,1999-12,44.54M,113.67M,,1999-12,7.791M,,,51.35M,36.31M,,1999-12,,
1999-09,71.50M,,,-13.10M,,,,85.70M,-5.80M,,,-0.10M,-23.80M,-18.60M,,32.50M,,19.10M,15.60M,24.80M,,,1999-09,-129.60M,24.50M,-105.10M,,,-9.80M,-114.90M,1999-09,,,23.20M,7.80M,,7.80M,,,,,,-0.20M,-8.40M,,1999-09,39.70M,69.00M,,1999-09,7.80M,,,60.40M,62.10M,,1999-09,,
1999-06,38.60M,,,-32.00M,,,,80.00M,-6.70M,,,-0.10M,13.00M,3.60M,,-17.70M,,-22.90M,-22.20M,-46.20M,,,1999-06,-93.00M,47.20M,-45.80M,,,-12.00M,-57.80M,1999-06,,,25.90M,12.40M,,12.40M,,,,,,0.20M,-0.60M,,1999-06,-24.80M,29.40M,,1999-06,12.40M,,,24.80M,-0.20M,,1999-06,,
1999-03,41.70M,,,0.30M,,,,86.50M,-1.80M,,,0.10M,13.70M,21.70M,,-40.70M,,26.80M,21.90M,43.40M,,,1999-03,-90.80M,,-90.80M,,,-13.90M,-104.70M,1999-03,,,-13.00M,8.50M,,8.50M,,,,,,0.20M,-43.10M,,1999-03,22.40M,54.20M,,1999-03,8.50M,,,4.60M,32.00M,,1999-03,,
1998-12,25.20M,,,6.90M,,,,,-5.00M,,,-247.50M,-16.40M,-15.20M,,40.00M,,-5.00M,-16.50M,-13.10M,,,1998-12,-130.60M,16.70M,-113.90M,,,-39.60M,-153.50M,1998-12,,,110.20M,15.50M,,15.50M,,,,,,-17.60M,85.00M,,1998-12,22.50M,31.80M,,1998-12,15.50M,,,27.50M,33.70M,,1998-12,,
1998-09,48.40M,,,9.40M,,,,,-11.90M,,,80.20M,10.00M,-17.00M,,6.90M,,1.60M,27.90M,29.40M,,,1998-09,-84.10M,-4.00M,-88.10M,,,6.40M,-81.70M,1998-09,,,-65.60M,7.70M,,7.70M,,,,,,,-96.00M,,1998-09,-22.20M,9.50M,,1998-09,7.70M,,,12.00M,30.60M,,1998-09,,
1998-06,-5.80M,,,-14.50M,,,,,2.60M,,,83.60M,9.40M,-5.80M,,-11.20M,,15.80M,-35.10M,-26.90M,,,1998-06,-95.60M,4.00M,-91.60M,,,-8.60M,-100.20M,1998-06,,,65.40M,7.80M,,7.80M,,,,,,0.40M,30.70M,,1998-06,-30.50M,31.70M,,1998-06,7.80M,,,33.50M,29.90M,,1998-06,,
