,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,149.71M,149.71M,35.41M,114.30M,7.477M,7.477M,8.151M,,0.01M,-5.803M,,,,131.29M,141.11M,-26.81M,,,,0.01M,,8.956M,3.493M,5.463M,,,5.463M,5.457M,-18.66M,8.151M,-26.81M,,0.0509,0.00,,0.0509,0.0509,,0.0506,0.00,,0.0505,0.0506,,108.85M,109.47M,,,AOR,
2002-09,149.93M,149.93M,37.09M,112.84M,7.027M,7.027M,7.735M,,0.122M,-5.724M,,,,130.68M,139.72M,-26.88M,,,,0.122M,,10.48M,4.088M,6.396M,,,6.396M,6.322M,-19.14M,7.735M,-26.88M,,0.0676,0.00,,0.0668,0.0676,,0.0675,0.00,,0.0667,0.0675,,94.74M,94.80M,,,AOR,
2002-06,139.67M,139.67M,33.23M,106.44M,7.16M,7.16M,7.741M,,0.07M,-5.709M,,,,123.70M,132.90M,-26.45M,,,,0.07M,,7.149M,2.788M,4.361M,,,4.361M,4.318M,-18.71M,7.741M,-26.45M,,0.0457,0.00,,0.0452,0.0457,,0.0457,0.00,,0.0452,0.0457,,94.73M,94.79M,,,AOR,
2002-03,127.15M,127.15M,30.16M,96.99M,6.572M,6.572M,7.454M,,0.083M,-5.445M,,,,115.30M,123.88M,-26.89M,,,,0.083M,,3.676M,1.434M,2.242M,,,2.242M,2.191M,-19.44M,7.454M,-26.89M,,0.0237,0.00,,0.0232,0.0237,,0.0237,0.00,,0.0231,0.0237,,94.69M,94.75M,,,AOR,
2001-12,124.40M,124.40M,,,,-1.618M,,,-0.456M,,,,,89.40M,110.98M,108.90M,,,,-0.456M,,6.80M,2.652M,4.148M,,,4.148M,4.426M,116.46M,7.562M,108.90M,,0.0439,0.00,,0.0468,0.0439,,0.0439,0.00,,0.0468,0.0439,,94.69M,94.72M,,,AOR,Restated
2001-09,128.96M,128.96M,31.75M,97.21M,6.554M,6.554M,7.517M,,0.267M,-5.20M,,,,114.21M,123.08M,-25.87M,,,,0.267M,,5.999M,2.34M,3.659M,,,3.659M,3.496M,11.26M,37.14M,-25.87M,,0.0386,0.00,,0.0369,0.0386,,0.0386,0.00,,0.0369,0.0386,,94.69M,94.71M,,,AOR,
2001-06,128.60M,128.60M,31.39M,97.21M,6.449M,6.449M,7.521M,,-0.643M,-5.204M,,,,15.87M,24.63M,72.58M,,,,-0.643M,,5.077M,1.98M,3.097M,,,3.097M,3.489M,80.10M,-7.521M,72.58M,,0.0325,0.00,,0.0367,0.0325,,0.0325,0.00,,0.0367,0.0325,,94.55M,94.55M,,,AOR,
2001-03,120.27M,120.27M,29.55M,90.72M,6.125M,6.125M,7.288M,,-1.638M,-5.233M,,,,15.27M,23.45M,67.27M,,,,-1.638M,,1.641M,0.64M,1.001M,,,1.001M,2.000M,74.56M,-7.288M,67.27M,,0.0106,0.00,,0.0211,0.0106,,0.0106,0.00,,0.0211,0.0106,,94.55M,94.55M,,,AOR,
2000-12,120.48M,120.48M,31.40M,89.08M,6.602M,6.602M,7.011M,,-0.058M,-4.66M,,,,376.04M,384.99M,-295.92M,,,,-0.058M,,4.099M,1.599M,2.50M,,,2.50M,2.535M,-248.85M,47.06M,-295.92M,,0.0262,0.00,,0.0265,0.0262,,0.0259,0.00,,0.0263,0.0259,,95.11M,95.11M,,,AOR,Restated
2000-09,122.38M,122.38M,30.67M,91.72M,6.437M,6.437M,6.936M,,0.05M,-4.725M,,,,15.86M,24.50M,67.21M,,,,0.05M,,7.037M,2.744M,4.293M,,,4.293M,4.262M,74.15M,-33.12M,67.21M,,0.0457,0.00,,0.0454,0.0457,,0.0457,0.00,,0.0454,0.0457,,94.55M,94.55M,,,AOR,
2000-06,120.14M,120.14M,29.45M,90.70M,6.569M,6.569M,6.635M,,0.08M,-4.778M,,,,104.88M,113.31M,-22.61M,,,,0.08M,,7.502M,2.926M,4.576M,,,4.576M,4.527M,-15.97M,6.635M,-22.61M,,0.0483,0.00,,0.0478,0.0483,,0.0483,0.00,,0.0478,0.0483,,94.69M,94.69M,,,AOR,
2000-03,112.80M,112.80M,29.72M,83.08M,6.115M,6.115M,6.455M,,0.009M,-4.626M,,,,102.04M,109.98M,-26.91M,,,,0.009M,,3.815M,1.488M,2.327M,,,2.327M,2.322M,-20.46M,6.455M,-26.91M,,0.0246,0.00,,0.0245,0.0246,,0.0246,0.00,,0.0245,0.0246,,94.69M,94.73M,,,AOR,
1999-12,112.32M,112.32M,26.71M,85.61M,5.674M,5.674M,6.361M,,0.728M,-4.408M,,,,340.23M,347.86M,-262.24M,,,,0.728M,,5.792M,2.343M,3.449M,,,3.449M,3.012M,-218.02M,44.23M,-262.24M,,0.0358,0.00,,0.0312,0.0358,,0.0358,0.00,,0.0312,0.0358,,95.11M,95.16M,,,AOR,Restated
1999-09,108.53M,108.53M,25.26M,83.27M,5.834M,5.834M,6.317M,,0.035M,-4.387M,,,,12.41M,20.18M,63.09M,,,,0.035M,,6.805M,2.586M,4.219M,,,4.219M,4.197M,69.41M,-6.317M,63.09M,,0.0448,0.00,,0.0446,0.0448,,0.0448,0.00,,0.0446,0.0448,,94.54M,94.61M,,,,
1999-06,106.20M,106.20M,23.26M,82.94M,6.065M,6.065M,6.303M,,0.004M,-4.478M,,,,11.48M,19.37M,63.57M,,,,0.004M,,6.878M,2.614M,4.264M,,,4.264M,4.262M,69.87M,-6.303M,63.57M,,0.0448,0.00,,0.0448,0.0448,,0.0448,0.00,,0.0448,0.0448,,94.54M,94.57M,,,,
1999-03,99.35M,99.35M,22.89M,76.46M,5.609M,5.609M,6.314M,,-0.245M,-4.426M,,,,10.76M,18.26M,58.20M,,,,-0.245M,,3.982M,1.513M,2.469M,,,2.469M,2.621M,64.51M,-6.314M,58.20M,,0.0264,0.00,,0.0280,0.0264,,0.0264,0.00,,0.0280,0.0264,,94.54M,94.57M,,,,
1998-12,99.50M,99.48M,-20.90M,120.37M,,253.82M,6.336M,,0.574M,-4.594M,,,,53.17M,308.73M,-188.36M,,,,0.574M,,3.598M,1.367M,2.211M,,,2.231M,1.875M,-150.92M,37.44M,-188.36M,,0.0236,0.00,,0.0198,0.0236,,0.0232,0.00,,0.0195,0.0232,,95.11M,95.16M,,,AOR,Restated
1998-09,99.27M,99.27M,23.94M,75.32M,5.835M,5.835M,5.734M,,-0.087M,-4.365M,,,,10.48M,17.69M,57.64M,,,,-0.087M,,5.519M,2.097M,3.422M,,,3.422M,3.476M,63.37M,-5.734M,57.64M,,0.0360,0.00,,0.0366,0.0360,,0.0360,0.00,,0.0366,0.0360,,94.54M,94.64M,,,,
1998-06,95.64M,95.64M,24.18M,71.46M,5.614M,5.614M,5.152M,,-0.085M,-4.094M,,,,10.62M,17.29M,54.18M,,,,-0.085M,,5.733M,2.179M,3.554M,,,3.554M,3.607M,59.33M,-5.152M,54.18M,,0.0378,0.00,,0.0384,0.0378,,0.0378,0.00,,0.0384,0.0378,,94.54M,94.74M,,,,
1998-03,88.69M,88.69M,23.88M,64.82M,5.527M,5.527M,4.665M,,-0.091M,-3.747M,,,,10.35M,16.79M,48.02M,,,,-0.091M,,3.085M,1.172M,1.913M,,,1.913M,1.969M,52.69M,-4.665M,48.02M,,0.0202,0.00,,0.0208,0.0202,,0.0202,0.00,,0.0208,0.0202,,94.52M,94.69M,,,,
1997-12,82.44M,82.44M,44.75M,37.70M,,-144.20M,4.673M,,0.573M,-3.468M,,,,,150.65M,-112.96M,,,,0.573M,,3.391M,1.253M,2.138M,,,2.138M,1.777M,-83.28M,29.67M,-112.96M,,0.0227,0.00,,0.0189,0.0227,,0.0224,0.00,,0.0186,0.0224,,94.98M,95.43M,,,AOR,
1997-09,88.30M,88.30M,15.40M,72.90M,,58.30M,4.40M,,-0.10M,-3.60M,,,,,59.10M,13.80M,,,,-0.10M,,5.50M,2.10M,3.40M,,,3.40M,3.462M,18.20M,-4.383M,13.80M,,0.0352,0.00,,0.0358,0.0352,,0.0352,0.00,,0.0358,0.0352,,96.67M,96.67M,,,,
1997-06,84.49M,84.49M,23.09M,61.40M,5.044M,5.044M,4.126M,,-0.079M,-3.582M,,,,10.04M,15.62M,45.78M,,,,-0.079M,,5.128M,1.975M,3.153M,,,3.153M,3.202M,49.90M,-4.126M,45.78M,,0.0334,0.00,,0.0339,0.0334,,0.0334,0.00,,0.0339,0.0334,,94.49M,94.49M,,,,
1997-03,73.59M,73.59M,20.94M,52.65M,4.381M,4.381M,3.991M,,-0.072M,-3.313M,,,,9.558M,14.62M,38.04M,,,,-0.072M,,2.274M,0.875M,1.399M,,,1.399M,1.443M,42.03M,-3.991M,38.04M,,0.0149,0.00,,0.0154,0.0149,,0.0149,0.00,,0.0154,0.0149,,94.62M,94.62M,,,,
1996-12,72.61M,72.61M,76.76M,-4.15M,,-154.58M,4.191M,,0.437M,-3.267M,,,,,112.73M,-116.88M,,,,0.437M,,2.71M,1.066M,1.644M,,,1.644M,1.379M,-88.89M,27.99M,-116.88M,,0.0175,0.00,,0.0147,0.0175,,0.0175,0.00,,0.0147,0.0175,,93.95M,94.78M,,,AOR,
1996-09,77.30M,77.30M,6.00M,71.30M,,59.30M,4.20M,,-0.10M,-3.30M,,,,,60.20M,11.10M,,,,-0.10M,,3.50M,1.30M,2.20M,,,2.20M,2.263M,15.30M,-4.117M,11.10M,,0.0229,0.00,,0.0235,0.0229,,0.0229,0.00,,0.0235,0.0229,,96.24M,96.24M,,,,
1996-06,74.86M,74.86M,24.73M,50.14M,4.586M,4.586M,4.011M,,-0.094M,-3.207M,,,,9.916M,15.31M,34.83M,,,,-0.094M,,2.65M,1.007M,1.643M,,,1.643M,1.701M,38.84M,-4.011M,34.83M,,0.0176,0.00,,0.0182,0.0176,,0.0176,0.00,,0.0182,0.0176,,94.92M,94.92M,,,,
1996-03,68.26M,68.26M,22.85M,45.41M,4.403M,4.403M,3.772M,,-0.09M,-3.086M,,,,9.127M,14.22M,31.19M,,,,-0.09M,,1.06M,0.403M,0.657M,,,0.657M,0.7128M,34.96M,-3.772M,31.19M,,0.0070,0.00,,0.0076,0.0070,,0.0070,0.00,,0.0076,0.0070,,94.92M,94.92M,,,,
1995-12,67.10M,67.10M,13.10M,54.00M,,46.50M,3.70M,,0.00,-2.90M,,,,,47.30M,6.70M,,,,0.00,,0.20M,0.10M,0.10M,,,0.10M,0.10M,10.40M,-3.70M,6.70M,,0.0018,0.00,,0.0018,0.0018,,0.0018,0.00,,0.0018,0.0018,,90.13M,90.13M,,,,
1995-09,62.90M,62.90M,10.80M,52.10M,,43.90M,3.50M,,-0.10M,-2.60M,,,,,44.80M,7.30M,,,,-0.10M,,1.50M,0.60M,0.90M,,,0.90M,0.96M,10.80M,-3.50M,7.30M,,0.0097,0.00,,0.0103,0.0097,,0.0097,0.00,,0.0103,0.0097,,93.05M,93.05M,,,,
1995-06,60.40M,60.40M,12.70M,47.70M,,38.30M,3.20M,,-0.10M,-2.50M,,,,,39.00M,8.70M,,,,-0.10M,,3.20M,1.20M,2.00M,,,2.00M,2.062M,11.90M,-3.20M,8.70M,,0.0211,0.00,,0.0218,0.0211,,0.0211,0.00,,0.0218,0.0211,,94.78M,94.78M,,,,
1995-03,57.70M,57.70M,12.20M,45.50M,,36.80M,3.20M,,-0.10M,-2.40M,,,,,37.60M,7.90M,,,,-0.10M,,2.90M,1.10M,1.80M,,,1.80M,1.862M,11.10M,-3.20M,7.90M,,0.0185,0.00,,0.0191,0.0185,,0.0185,0.00,,0.0191,0.0185,,97.49M,97.49M,,,,
1994-12,59.50M,59.50M,20.20M,39.30M,,29.50M,3.10M,,0.30M,-2.30M,,,,,30.30M,9.00M,,,,0.30M,,4.40M,1.90M,2.50M,,,2.50M,2.32M,12.10M,-3.10M,9.00M,,0.0264,0.00,,0.0245,0.0264,,0.0255,0.00,,0.0237,0.0255,,94.78M,97.97M,,,,
1994-09,63.10M,63.10M,11.60M,51.50M,,40.70M,3.00M,,-0.20M,-2.40M,,,,,41.30M,10.20M,,,,-0.20M,,4.80M,1.80M,3.00M,,,3.00M,3.125M,13.20M,-3.00M,10.20M,,0.0317,0.00,,0.0330,0.0317,,0.0317,0.00,,0.0330,0.0317,,94.78M,94.78M,,,,
1994-06,66.00M,66.00M,12.00M,54.00M,,42.50M,2.90M,,-0.10M,-2.50M,,,,,42.90M,11.10M,,,,-0.10M,,5.60M,2.10M,3.50M,,,3.50M,3.562M,14.00M,-2.90M,11.10M,,0.0369,0.00,,0.0376,0.0369,,0.0369,0.00,,0.0376,0.0369,,94.78M,94.78M,,,,
1994-03,55.00M,55.00M,5.70M,49.30M,,42.20M,2.80M,,-0.10M,-2.40M,,,,,42.60M,6.70M,,,,-0.10M,,1.60M,0.60M,1.00M,,,1.00M,1.062M,9.50M,-2.80M,6.70M,,0.0106,0.00,,0.0112,0.0106,,0.0106,0.00,,0.0112,0.0106,,94.78M,94.78M,,,,
1993-12,55.10M,55.10M,19.90M,35.20M,,28.70M,2.70M,,0.10M,-2.20M,,,,,29.20M,6.00M,,,,0.10M,,1.40M,0.50M,0.90M,,,0.90M,0.8357M,8.70M,-2.70M,6.00M,,0.0088,0.00,,0.0081,0.0088,,0.0088,0.00,,0.0081,0.0088,,97.72M,97.72M,,,,
1993-09,54.00M,54.00M,9.80M,44.20M,,35.20M,2.60M,,-0.10M,-1.90M,,,,,35.90M,8.30M,,,,-0.10M,,4.10M,1.50M,2.60M,,,2.60M,2.663M,10.90M,-2.60M,8.30M,,0.0281,0.00,,0.0288,0.0281,,0.0281,0.00,,0.0288,0.0281,,92.41M,92.41M,,,,
1993-06,50.10M,50.10M,11.00M,39.10M,,30.00M,2.50M,,-0.10M,-1.90M,,,,,30.60M,8.50M,,,,-0.10M,,4.50M,1.70M,2.80M,,,2.80M,2.862M,11.00M,-2.50M,8.50M,,0.0290,0.00,,0.0297,0.0290,,0.0290,0.00,,0.0297,0.0290,,96.50M,96.50M,,,,
1993-03,46.10M,46.10M,28.10M,18.00M,,10.10M,2.30M,,,-1.80M,,,,,10.60M,7.40M,,,,,,3.20M,1.20M,2.00M,,,2.00M,2.00M,9.70M,-2.30M,7.40M,,0.0211,0.00,,0.0211,0.0211,,0.0211,0.00,,0.0211,0.0211,,94.78M,94.78M,,,,
1992-12,46.90M,46.90M,10.60M,36.30M,,28.80M,2.40M,,0.00,-2.10M,,,,,29.10M,7.20M,,,,0.00,,2.70M,1.00M,1.70M,,0.00,1.70M,1.70M,9.60M,-2.40M,7.20M,,0.0176,0.00,0.00,0.0176,0.0176,,0.0176,0.00,0.0000,0.0176,0.0176,,96.50M,96.50M,,,,
1992-09,47.90M,47.90M,10.70M,37.20M,,28.80M,2.20M,,,-1.70M,,,,,29.30M,7.90M,,,,,,4.20M,1.60M,2.60M,,,2.60M,2.60M,10.10M,-2.20M,7.90M,,0.0273,0.00,,0.0273,0.0273,,0.0273,0.00,,0.0273,0.0273,,95.39M,95.39M,,,,
1992-06,46.10M,46.10M,11.10M,35.00M,,27.00M,2.10M,,-0.10M,-1.60M,,,,,27.50M,7.50M,,,,-0.10M,,4.20M,1.60M,2.60M,,,2.60M,2.662M,9.60M,-2.10M,7.50M,,0.0273,0.00,,0.0279,0.0273,,0.0273,0.00,,0.0279,0.0273,,95.39M,95.39M,,,,
1992-03,42.90M,42.90M,10.00M,32.90M,,26.10M,1.90M,,-0.10M,-1.40M,,,,,26.60M,6.30M,,,,-0.10M,,3.10M,1.20M,1.90M,,-0.70M,1.20M,1.961M,8.20M,-1.90M,6.30M,,0.0202,-0.0079,0.00,0.0209,0.0123,,0.0202,-0.0079,-0.0072,0.0209,0.0123,,97.49M,97.49M,,,,
1991-12,40.40M,40.40M,,,,,,,,,,,,,,-92.60M,,,,,,,,1.30M,0.00,,1.30M,1.30M,-92.60M,,-92.60M,,0.0137,0.00,,0.0137,0.0137,,0.0137,0.00,,0.0137,0.0137,,95.19M,95.19M,,,,
1991-09,41.40M,41.40M,,,,,,,,,,,,,,41.40M,,,,,,,,2.20M,,,2.20M,2.20M,41.40M,,41.40M,,0.0273,0.0026,,0.0273,0.0299,,0.0273,0.0026,,0.0273,0.0299,,73.59M,73.59M,,,,
1991-06,37.10M,37.10M,,,,,,,,,,,,,,37.10M,,,,,,,,1.40M,-3.10M,,-1.70M,1.40M,37.10M,,37.10M,,0.0185,-0.0404,,0.0185,-0.0220,,0.0185,-0.0404,,0.0185,-0.0220,,77.34M,77.34M,,,,
1991-03,37.00M,37.00M,,,,,,,,,,,,,,37.00M,,,,,,,,1.40M,-3.00M,,-1.60M,1.40M,37.00M,,37.00M,,0.0185,-0.0396,,0.0185,-0.0211,,0.0185,-0.0396,,0.0185,-0.0211,,75.82M,75.82M,,,,
1990-12,33.70M,33.70M,,,,,,,,,,,,,,33.70M,,,,,,,,1.20M,,,1.20M,1.20M,33.70M,,33.70M,,0.0149,0.00,,0.0149,0.0149,,0.0149,0.00,,0.0149,0.0149,,80.14M,80.14M,,,,
1990-09,33.70M,33.70M,,,,,,,,,,,,,,33.70M,,,,,,,,1.20M,,,1.20M,1.20M,33.70M,,33.70M,,0.0158,0.00,,0.0158,0.0158,,0.0158,0.00,,0.0158,0.0158,,75.82M,75.82M,,,,
1990-06,33.70M,33.70M,,,,,,,,,,,,,,33.70M,,,,,,,,1.20M,,,1.20M,1.20M,33.70M,,33.70M,,0.0158,0.00,,0.0158,0.0158,,0.0158,0.00,,0.0158,0.0158,,75.82M,75.82M,,,,
1990-03,33.70M,33.70M,,,,,,,,,,,,,,33.70M,,,,,,,,1.20M,,,1.20M,1.20M,33.70M,,33.70M,,0.0158,0.00,,0.0158,0.0158,,0.0158,0.00,,0.0158,0.0158,,75.82M,75.82M,,,,
