,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,398.00M,,-628.00M,,-628.00M,,,,,,,,,-191.00M,-8.00M,,138.00M,,,296.00M,-209.00M,-630.00M,,,,,-2.946B,-256.00M,-3.081B,0.00,,0.00,,0.00,0.00,,,,-77.00M,-77.00M,-1.00M,2.183B,2.105B,4.201B,-1.606B,2.595B,,0.00,0.00,0.00
2020-06,-94.00M,,647.00M,,647.00M,,,,,,,,,212.00M,72.00M,,-46.00M,,,603.00M,-249.00M,516.00M,,,,,-2.736B,-1.53B,-4.106B,50.00M,,50.00M,,0.00,0.00,,,,-77.00M,-77.00M,-1.00M,1.617B,1.589B,6.202B,-2.001B,4.201B,,859.00M,-809.00M,0.00
2020-03,52.00M,,24.00M,,24.00M,,,,,,,,,46.00M,-97.00M,,-335.00M,,,-653.00M,333.00M,455.00M,,,,,-1.902B,3.35B,742.00M,199.00M,,199.00M,,-225.00M,-225.00M,,,,-79.00M,-79.00M,-9.00M,2.556B,2.442B,2.563B,3.639B,6.202B,,499.00M,-300.00M,-225.00M
2019-12,432.00M,,119.00M,,119.00M,,,,,,,,,149.00M,-25.00M,,121.00M,,,354.00M,-529.00M,171.00M,,,,,-2.202B,-611.00M,-3.214B,23.00M,,23.00M,,-100.00M,-100.00M,,,,-76.00M,-76.00M,0.00,2.82B,2.667B,2.939B,-376.00M,2.563B,,306.00M,-283.00M,-100.00M
2019-09,-162.00M,,11.00M,,11.00M,,,,,,,,,208.00M,113.00M,,-101.00M,,,-31.00M,-352.00M,-295.00M,,,,,-1.123B,-291.00M,-2.226B,345.00M,,345.00M,,-150.00M,-150.00M,,,,-74.00M,-74.00M,4.00M,2.021B,2.146B,3.314B,-375.00M,2.939B,,495.00M,-150.00M,-150.00M
2019-06,364.00M,,118.00M,,118.00M,,,,,,,,,-86.00M,54.00M,,-100.00M,,,-158.00M,-1.627B,-1.231B,,,,,1.784B,294.00M,1.074B,50.00M,,50.00M,,-150.00M,-150.00M,,,,-76.00M,-76.00M,2.00M,2.052B,1.878B,1.593B,1.721B,3.314B,,50.00M,0.00,-150.00M
2019-03,252.00M,,362.00M,,362.00M,,,,,,,,,123.00M,-37.00M,,-40.00M,,,-299.00M,-2.068B,-1.331B,,,,,-709.00M,426.00M,-1.133B,0.00,,0.00,,-150.00M,-150.00M,,,,-77.00M,-77.00M,-26.00M,1.965B,1.712B,2.345B,-752.00M,1.593B,,0.00,0.00,-150.00M
2018-12,399.00M,,-192.00M,,-192.00M,,,,,,,,,0.00,22.00M,,-106.00M,,,292.00M,702.00M,909.00M,,,,0.00,-1.571B,664.00M,-1.575B,37.00M,,37.00M,,-625.00M,-625.00M,,,,-72.00M,-72.00M,1.00M,2.21B,1.551B,1.46B,885.00M,2.345B,,37.00M,0.00,-625.00M
2018-09,490.00M,,56.00M,,56.00M,,,,,,,,,-13.00M,-18.00M,,205.00M,,,-238.00M,-131.00M,402.00M,,,,-6.00M,-851.00M,-631.00M,-1.867B,0.00,,0.00,,-175.00M,-175.00M,,,,-72.00M,-72.00M,1.00M,1.396B,1.15B,1.775B,-315.00M,1.46B,,0.00,0.00,-175.00M
2018-06,385.00M,,7.00M,,7.00M,,,,,,,,,20.00M,-7.00M,,-73.00M,,,777.00M,80.00M,492.00M,,,,-1.416B,-435.00M,573.00M,-1.778B,1.00M,,1.00M,,-100.00M,-100.00M,,,,-73.00M,-73.00M,1.00M,975.00M,804.00M,2.257B,-482.00M,1.775B,,51.00M,-50.00M,-100.00M
2018-03,367.00M,,-12.00M,,-12.00M,,,,,,,,,73.00M,-84.00M,,27.00M,,,-113.00M,-288.00M,140.00M,,,,,-257.00M,-64.00M,-595.00M,584.00M,,584.00M,,0.00,0.00,,,,-72.00M,-72.00M,-9.00M,581.00M,1.084B,1.628B,629.00M,2.257B,,1.094B,-510.00M,0.00
2017-12,815.00M,,65.00M,,65.00M,,,,,,,,,4.00M,-26.00M,,-1.139B,,,48.00M,-1.61B,179.00M,,,,0.00,-474.00M,-566.00M,-1.404B,17.00M,,17.00M,,-125.00M,-125.00M,,,,-64.00M,-64.00M,8.00M,1.052B,888.00M,1.965B,-337.00M,1.628B,,17.00M,0.00,-125.00M
2017-09,418.00M,,56.00M,,56.00M,,,,,,,,,11.00M,-5.00M,,67.00M,,,172.00M,-78.00M,407.00M,,,,0.00,-494.00M,73.00M,-780.00M,0.00,,0.00,,-200.00M,-200.00M,,,,-66.00M,-66.00M,5.00M,621.00M,360.00M,1.978B,-13.00M,1.965B,,0.00,0.00,-200.00M
2017-06,411.00M,,10.00M,,10.00M,,,,,,,,,114.00M,100.00M,,26.00M,,,-79.00M,-442.00M,93.00M,,,,0.00,-498.00M,-1.00M,-505.00M,45.00M,,45.00M,-29.00M,-200.00M,-229.00M,,,,-67.00M,-67.00M,33.00M,685.00M,467.00M,1.923B,55.00M,1.978B,-29.00M,45.00M,0.00,-200.00M
2017-03,435.00M,,39.00M,,39.00M,,,,,,,,,-52.00M,-35.00M,,40.00M,,,-13.00M,-313.00M,109.00M,,,,,-1.357B,-48.00M,-1.499B,0.00,,0.00,29.00M,-200.00M,-171.00M,,,,-65.00M,-65.00M,,827.00M,591.00M,2.722B,-799.00M,1.923B,29.00M,0.00,0.00,-200.00M
2016-12,190.00M,,218.00M,,218.00M,,,,,,,,,-104.00M,-75.00M,,23.00M,,,502.00M,288.00M,592.00M,,,,,-939.00M,-675.00M,-2.054B,-179.00M,,-179.00M,,-204.00M,-204.00M,,,,-58.00M,-58.00M,35.00M,1.146B,740.00M,3.444B,-722.00M,2.722B,,480.00M,,-204.00M
2016-09,466.00M,,-38.00M,,-38.00M,,,,,,,,,72.00M,15.00M,,202.00M,,,71.00M,-356.00M,144.00M,,,,,-801.00M,-432.00M,-1.372B,0.00,,0.00,,-200.00M,-200.00M,,,,-58.00M,-58.00M,2.00M,815.00M,559.00M,4.113B,-669.00M,3.444B,,0.00,,-200.00M
2016-06,325.00M,,45.00M,,45.00M,,,,,,,,,199.00M,31.00M,,-145.00M,,,-61.00M,-331.00M,238.00M,,,,,-555.00M,1.336B,467.00M,0.00,,0.00,,-275.00M,-275.00M,,,,-62.00M,-62.00M,-1.00M,569.00M,231.00M,3.177B,936.00M,4.113B,,0.00,,-275.00M
2016-03,211.00M,,114.00M,,114.00M,,,,,,,,,65.00M,-25.00M,,-38.00M,,,-286.00M,-92.00M,298.00M,,,,,-559.00M,80.00M,-707.00M,,,,,-200.00M,-200.00M,,,,-60.00M,-60.00M,-10.00M,710.00M,440.00M,3.146B,31.00M,3.177B,,,,-200.00M
2015-12,283.00M,,140.00M,,140.00M,,,,,,,,,-57.00M,7.00M,,75.00M,,,3.00M,390.00M,756.00M,,,,0.00,-779.00M,-316.00M,-2.076B,47.00M,,47.00M,,-200.00M,-200.00M,,,,-51.00M,-51.00M,3.00M,895.00M,694.00M,3.772B,-626.00M,3.146B,,47.00M,0.00,-200.00M
2015-09,227.00M,,-27.00M,,-27.00M,,,,,,,,,-24.00M,32.00M,,158.00M,,,-241.00M,729.00M,905.00M,,,,75.00M,-780.00M,692.00M,-13.00M,0.00,,0.00,,-200.00M,-200.00M,,,,-51.00M,-51.00M,0.00,804.00M,553.00M,2.327B,1.445B,3.772B,,0.00,0.00,-200.00M
2015-06,344.00M,,-10.00M,,-10.00M,,,,,,,,,35.00M,37.00M,,-144.00M,,,164.00M,-83.00M,286.00M,,,,,-621.00M,-478.00M,-1.099B,-250.00M,,-250.00M,,-150.00M,-150.00M,,,,-50.00M,-50.00M,32.00M,71.00M,-347.00M,3.487B,-1.16B,2.327B,,0.00,-250.00M,-150.00M
