,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-12,3.254B,3.254B,,,,,129.00M,-209.00M,,,129.00M,-209.00M,18.00M,-209.00M,196.00M,6.00M,190.00M,,,,,190.00M,190.00M,,325.00M,0.8395,,,0.8395,0.8395,0.82,,,0.82,0.82,227.60M,227.63M,0.29
2016-09,3.525B,3.525B,,,,,66.00M,-66.00M,,,66.00M,-66.00M,18.00M,-66.00M,612.00M,145.00M,467.00M,,,,,467.00M,467.00M,,678.00M,2.02,,,2.02,2.02,2.0,,,2.0,2.0,231.04M,233.66M,0.25
2016-06,3.307B,3.307B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,414.00M,89.00M,325.00M,,,,,325.00M,325.00M,,482.00M,1.37,,,1.37,1.37,1.35,,,1.35,1.35,236.46M,239.90M,0.25
2016-03,3.243B,3.243B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,235.00M,24.00M,211.00M,,,,,211.00M,211.00M,,303.00M,0.87,,,0.87,0.87,0.83,,,0.83,0.83,241.68M,245.10M,0.25
2015-12,3.172B,3.172B,,,,,68.00M,-141.00M,,,68.00M,-141.00M,19.00M,-141.00M,352.00M,69.00M,283.00M,,,,,283.00M,283.00M,,420.00M,1.161,0.0,,1.161,1.161,1.137,0.0,,1.137,1.14,246.01M,249.90M,0.25
2015-09,3.716B,3.716B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,268.00M,41.00M,227.00M,,,,,227.00M,227.00M,,335.00M,0.91,,,0.91,0.91,0.87,,,0.87,0.87,249.23M,253.21M,0.4
2015-06,3.381B,3.381B,,,,,69.00M,-69.00M,,,69.00M,-69.00M,18.00M,-69.00M,449.00M,105.00M,344.00M,,,,,344.00M,344.00M,,518.00M,1.37,,,1.37,1.37,1.35,,,1.35,1.35,251.85M,255.14M,0.2
2015-03,3.304B,3.304B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,362.00M,62.00M,300.00M,,,,,300.00M,300.00M,,430.00M,1.17,,,1.17,1.17,1.15,,,1.15,1.15,255.50M,260.56M,0.2
2014-12,3.685B,3.685B,,,,,66.00M,-134.00M,,,66.00M,-134.00M,19.00M,-134.00M,433.00M,85.00M,348.00M,,,,,349.00M,348.00M,,499.00M,1.3530000000000002,0.0039,,1.3530000000000002,1.3559999999999999,1.319,0.0038,,1.319,1.32,258.15M,264.05M,0.16
2014-09,3.411B,3.411B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,601.00M,162.00M,439.00M,,,,,439.00M,439.00M,,668.00M,1.69,,,1.69,1.69,1.65,,,1.65,1.65,260.37M,266.79M,0.16
2014-06,3.282B,3.282B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,537.00M,139.00M,398.00M,,,,,398.00M,398.00M,,604.00M,1.52,,,1.52,1.52,1.48,,,1.48,1.48,262.27M,268.94M,0.16
2014-03,3.176B,3.176B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,19.00M,-67.00M,427.00M,98.00M,329.00M,,,,,329.00M,329.00M,,494.00M,1.25,,,1.25,1.25,1.21,,,1.21,1.21,262.74M,272.12M,0.16
2013-12,3.122B,3.122B,,,,,69.00M,-133.00M,,,69.00M,-133.00M,18.00M,-133.00M,466.00M,115.00M,351.00M,,,,,351.00M,351.00M,,535.00M,1.335,,,1.335,1.335,1.29,0.0,,1.29,1.29,262.42M,272.73M,0.12
2013-09,3.009B,3.009B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,19.00M,-67.00M,442.00M,105.00M,337.00M,,,,,337.00M,337.00M,,509.00M,1.28,,,1.28,1.28,1.23,,,1.23,1.23,263.55M,273.69M,0.12
2013-06,2.999B,2.999B,,,,,65.00M,-65.00M,,,65.00M,-65.00M,19.00M,-65.00M,418.00M,101.00M,317.00M,,,,,317.00M,317.00M,,483.00M,1.19,,,1.19,1.19,1.15,,,1.15,1.15,266.37M,275.66M,0.12
2013-03,2.839B,2.839B,,,,,64.00M,-64.00M,,,64.00M,-64.00M,19.00M,-64.00M,305.00M,66.00M,239.00M,,,,,239.00M,239.00M,,369.00M,0.89,,,0.89,0.89,0.86,,,0.86,0.86,270.27M,278.59M,0.12
2012-12,2.973B,2.973B,,,,,70.00M,-126.00M,,,70.00M,-126.00M,18.00M,-126.00M,400.00M,79.00M,321.00M,0.00,,,,321.00M,321.00M,,470.00M,1.179,0.0,,1.179,1.179,1.14,0.0,,1.14,1.14,273.62M,281.09M,0.0
2012-09,2.954B,2.954B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,418.00M,18.00M,400.00M,28.00M,,,,428.00M,400.00M,,486.00M,1.44,0.1,,1.44,1.54,1.41,0.1,,1.41,1.51,277.88M,284.65M,0.08
2012-06,2.898B,2.898B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,442.00M,121.00M,321.00M,0.00,,,,321.00M,321.00M,,510.00M,1.14,0.0,,1.14,1.14,1.09,0.0,,1.09,1.09,282.09M,289.96M,0.08
2012-03,2.71B,2.71B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,19.00M,-68.00M,308.00M,64.00M,244.00M,-1.00M,,,,243.00M,244.00M,,376.00M,0.84,0.0,,0.84,0.84,0.82,0.0,,0.82,0.82,289.06M,295.91M,0.08
2011-12,2.568B,2.568B,-2.398B,,-975.00M,,71.00M,-118.00M,,-975.00M,71.00M,-118.00M,-287.00M,-118.00M,-489.00M,60.00M,-549.00M,0.00,,,,-549.00M,-549.00M,,-418.00M,-1.76,0.0,,-1.76,-1.76,-1.76,0.0,,-1.76,-1.76,297.79M,304.33M,0.08
2011-09,2.547B,2.547B,1.024B,,1.024B,,79.00M,-79.00M,,1.024B,79.00M,-79.00M,117.00M,-79.00M,155.00M,-6.00M,161.00M,-8.00M,,,,153.00M,161.00M,,234.00M,0.53,-0.03,,0.53,0.5,0.5,-0.03,,0.5,0.47,304.78M,312.00M,0.05
2011-06,2.807B,2.807B,674.00M,,674.00M,,72.00M,-72.00M,,674.00M,72.00M,-72.00M,122.00M,-72.00M,409.00M,105.00M,304.00M,0.00,,,,304.00M,304.00M,,481.00M,0.98,0.0,,0.98,0.98,0.95,0.0,,0.95,0.95,311.39M,319.92M,0.05
2011-03,2.718B,2.718B,,,,,72.00M,-72.00M,,,72.00M,-72.00M,120.00M,-72.00M,429.00M,115.00M,314.00M,0.00,,,,314.00M,314.00M,,501.00M,1.0,0.0,,1.0,1.0,0.97,0.0,,0.97,0.97,315.01M,322.86M,0.05
2010-12,2.67B,2.67B,,,,,79.00M,-113.00M,,,79.00M,-113.00M,-262.00M,-113.00M,153.00M,36.00M,117.00M,0.00,,,-1.00M,117.00M,117.00M,,232.00M,0.36,0.0,,0.36,0.36,0.36,0.0,,0.36,0.36,316.43M,324.31M,0.05
2010-09,2.613B,2.613B,,,,,74.00M,-74.00M,,,74.00M,-74.00M,112.00M,-74.00M,303.00M,55.00M,248.00M,-2.00M,,,,246.00M,248.00M,,377.00M,0.79,-0.01,,0.79,0.78,0.76,-0.01,,0.76,0.75,316.73M,325.68M,0.01
2010-06,2.605B,2.605B,,,,,69.00M,-69.00M,,,69.00M,-69.00M,117.00M,-69.00M,330.00M,78.00M,252.00M,3.00M,,,149.00M,255.00M,252.00M,,399.00M,0.34,0.01,,0.34,0.35,0.32,0.01,,0.32,0.33,304.48M,314.61M,0.01
2010-03,2.527B,2.527B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,108.00M,-68.00M,348.00M,93.00M,255.00M,28.00M,,,18.00M,283.00M,255.00M,,416.00M,0.79,0.09,,0.79,0.88,0.76,0.09,,0.76,0.85,302.22M,312.09M,0.01
2009-12,2.403B,2.403B,,,,-128.00M,68.00M,-68.00M,,-128.00M,68.00M,-68.00M,112.00M,-68.00M,133.00M,35.00M,98.00M,4.00M,,,19.00M,102.00M,192.32M,,201.00M,0.34,0.02,,0.6521,0.36,0.34,0.02,,0.6425,0.36,302.17M,311.79M,0.01
2009-09,2.082B,2.082B,,,,1.00M,68.00M,-68.00M,,1.00M,68.00M,-68.00M,102.00M,-68.00M,62.00M,-19.00M,81.00M,72.00M,,,16.00M,153.00M,80.35M,-19.00M,130.00M,0.21,0.24,,0.2078,0.45,0.21,0.23,,0.2079,0.44,301.80M,310.04M,0.01
2009-06,1.883B,1.883B,,,,1.00M,61.00M,-61.00M,,1.00M,61.00M,-61.00M,104.00M,-61.00M,-53.00M,-46.00M,-7.00M,-154.00M,,,,-161.00M,-7.65M,-18.00M,8.00M,-0.03,-0.59,,-0.0325,-0.62,-0.03,-0.59,,-0.0325,-0.62,260.09M,262.41M,0.01
2009-03,2.132B,2.132B,,,,-604.00M,,0.00,,-604.00M,,0.00,86.00M,0.00,-663.00M,-76.00M,-587.00M,8.00M,,,,-579.00M,-52.24M,-19.00M,-663.00M,-2.3,0.03,,-0.2075,-2.27,-2.3,0.03,,-0.2256,-2.27,255.56M,257.79M,0.01
2008-12,2.153B,2.153B,,,,-206.00M,72.00M,-72.00M,,-206.00M,72.00M,-72.00M,99.00M,-72.00M,-792.00M,-289.00M,-503.00M,-2.00M,,,,-505.00M,-372.17M,-19.00M,-720.00M,-1.95,-0.01,,-1.4380000000000002,-1.96,-1.95,-0.01,,-1.442,-1.96,255.42M,257.68M,0.625
2008-09,2.27B,2.27B,,,,0.00,69.00M,-69.00M,,0.00,69.00M,-69.00M,122.00M,-69.00M,121.00M,-8.00M,129.00M,19.00M,,,,148.00M,129.00M,-19.00M,190.00M,0.51,0.07,,0.51,0.58,0.51,0.07,,0.51,0.58,255.87M,257.65M,0.415
2008-06,2.493B,2.493B,,,,-175.00M,65.00M,-65.00M,,-175.00M,65.00M,-65.00M,146.00M,-65.00M,180.00M,68.00M,112.00M,13.00M,,,,125.00M,220.89M,-19.00M,245.00M,0.43,0.05,,0.8524,0.48,0.43,0.05,,0.8494,0.48,257.79M,259.62M,0.415
2008-03,2.594B,2.594B,,,,0.00,76.00M,-76.00M,,0.00,76.00M,-76.00M,146.00M,-76.00M,418.00M,125.00M,293.00M,-4.00M,,,,289.00M,293.00M,-19.00M,494.00M,1.13,-0.02,,1.13,1.11,1.12,-0.02,,1.12,1.1,260.95M,262.76M,0.415
2007-12,2.582B,2.582B,,,,0.00,80.00M,-80.00M,,0.00,80.00M,-80.00M,172.00M,-80.00M,343.00M,103.00M,240.00M,-127.00M,,,,113.00M,240.00M,-18.00M,423.00M,0.91,-0.47,,0.91,0.44,0.89,-0.47,,0.89,0.43,266.41M,269.33M,0.0
2007-09,2.601B,2.601B,,,,0.00,69.00M,-69.00M,,0.00,69.00M,-69.00M,169.00M,-69.00M,448.00M,125.00M,323.00M,7.00M,,,,330.00M,323.00M,-35.00M,517.00M,1.2,0.02,,1.2,1.22,1.19,0.02,,1.19,1.21,269.40M,272.49M,0.395
2007-06,2.671B,2.671B,,,,0.00,73.00M,-73.00M,,0.00,73.00M,-73.00M,181.00M,-73.00M,525.00M,155.00M,370.00M,6.00M,,,,376.00M,370.00M,,598.00M,1.37,0.02,,1.37,1.39,1.35,0.02,,1.35,1.37,270.57M,274.40M,0.395
2007-03,2.628B,2.628B,,,,,605.00M,-605.00M,61.00M,61.00M,605.00M,-605.00M,1.053B,-605.00M,558.00M,170.00M,388.00M,8.00M,,,,396.00M,388.00M,,1.163B,1.41,0.03,,1.41,1.44,1.39,0.03,,1.39,1.42,275.00M,278.87M,0.79
2006-12,2.557B,2.557B,,,,,,,,,,,-2.023B,,498.00M,137.00M,361.00M,,,,,382.00M,361.00M,17.00M,498.00M,1.31,0.08,,1.31,1.39,1.29,0.08,,1.29,1.37,275.94M,279.46M,0.38
2006-09,2.487B,2.487B,,,,,,,1.299B,1.299B,,,953.00M,,460.00M,96.00M,364.00M,,,,,364.00M,364.00M,14.00M,460.00M,1.31,0.0,,1.31,1.31,1.29,0.0,,1.29,1.29,277.86M,282.17M,0.38
2006-06,2.496B,2.496B,,,,,,,95.00M,95.00M,,,979.00M,,505.00M,156.00M,349.00M,,,,,349.00M,349.00M,35.00M,505.00M,1.25,0.0,,1.25,1.25,1.23,0.0,,1.23,1.23,279.20M,283.74M,0.38
2006-03,1.422B,1.422B,,,,,,,22.00M,22.00M,,,667.00M,,315.00M,94.00M,221.00M,,,,,221.00M,221.00M,-5.00M,315.00M,1.27,0.0,,1.27,1.27,1.24,0.0,,1.24,1.24,174.02M,178.23M,0.0
2005-12,1.387B,1.387B,,,,,22.00M,-22.00M,,,22.00M,-22.00M,6.045B,-22.00M,296.00M,71.00M,225.00M,,,,,225.00M,225.00M,-1.00M,318.00M,1.3,0.0,,1.3,1.3,1.28,0.0,,1.28,1.28,172.81M,175.82M,0.38
2005-09,1.395B,1.395B,,,,,,,21.00M,21.00M,,,637.00M,,303.00M,74.00M,229.00M,,,,,229.00M,229.00M,-6.00M,303.00M,1.33,0.0,,1.33,1.33,1.3,0.0,,1.3,1.3,172.18M,176.15M,0.365
2005-06,1.375B,1.375B,,,,,,,22.00M,22.00M,,,607.00M,,238.00M,40.00M,198.00M,,,,,198.00M,198.00M,-6.00M,238.00M,1.15,0.0,,1.15,1.15,1.13,0.0,,1.13,1.13,172.17M,175.22M,0.365
2005-03,1.313B,1.313B,,212.00M,212.00M,-2.00M,22.00M,-22.00M,-214.00M,-4.00M,22.00M,-22.00M,572.00M,-22.00M,238.00M,59.00M,179.00M,,,,,179.00M,180.50M,14.00M,260.00M,1.03,0.0,,1.0390000000000001,1.03,1.01,0.0,,1.018,1.01,173.79M,177.23M,0.365
2004-12,1.347B,1.347B,,193.10M,193.10M,-134.47M,28.57M,-28.57M,-327.57M,-268.94M,28.57M,-28.57M,6.748B,-28.57M,249.07M,59.20M,189.87M,,0.00,,0.013M,189.87M,292.38M,113.74M,277.64M,1.09,0.0,0.0,1.679,1.09,1.08,0.0,-0.0006,1.6580000000000001,1.07,173.93M,177.26M,0.365
2004-09,1.406B,1.406B,,264.60M,264.60M,105.81M,24.42M,-24.42M,-158.79M,211.62M,24.42M,-24.42M,588.85M,-24.42M,318.39M,118.71M,199.68M,,0.00,,0.014M,199.68M,133.32M,64.59M,342.80M,1.14,0.0,0.0,0.7611,1.14,1.12,0.0,0.0,0.7478,1.12,175.14M,178.27M,0.35
2004-06,1.359B,1.359B,,252.30M,252.30M,,24.66M,-24.66M,-252.30M,0.00,24.66M,-24.66M,587.86M,-24.66M,259.58M,72.57M,187.00M,,0.00,,0.014M,187.00M,187.00M,13.25M,284.24M,1.05,0.0,0.0,1.05,1.05,1.04,0.0,0.0,1.04,1.04,178.08M,179.80M,0.35
2004-03,1.259B,1.259B,,,,,,,22.81M,22.81M,,,526.03M,,208.63M,53.67M,154.96M,,-24.50M,,,130.46M,154.96M,-0.425M,208.63M,0.87,-0.14,0.0,0.87,0.73,0.86,-0.14,-0.1371,0.86,0.72,178.71M,181.19M,0.35
2003-12,1.703B,1.703B,,,,,,,,,,,7.086B,,645.75M,196.20M,449.55M,,-255.22M,,,194.33M,449.55M,-1.269M,645.75M,2.54,-1.44,-0.0,2.54,1.1,2.5,-1.44,-1.4409999999999998,2.5,1.08,176.26M,180.19M,0.685
2003-09,1.269B,1.269B,,,,,,,26.62M,26.62M,,,516.00M,,178.69M,45.38M,133.31M,,0.00,,,133.31M,133.31M,15.20M,178.69M,0.75,0.0,0.0,0.75,0.75,0.74,0.0,0.0,0.74,0.74,177.75M,180.15M,0.335
2003-06,1.213B,1.213B,,,,,,,22.97M,22.97M,,,489.64M,,187.68M,44.98M,142.70M,,0.00,,,142.70M,142.70M,-26.34M,187.68M,0.81,0.0,0.0,0.81,0.81,0.8,0.0,0.0,0.8,0.8,176.18M,178.38M,0.335
2003-03,1.099B,1.099B,,,,,23.34M,-23.34M,,,23.34M,-23.34M,467.82M,-23.34M,35.45M,-6.14M,41.59M,,0.00,,,41.59M,41.59M,24.71M,58.78M,0.23,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.23,0.23,180.82M,180.82M,0.335
2002-12,1.224B,1.224B,,,,,23.47M,-23.47M,,,23.47M,-23.47M,2.849B,-23.47M,59.20M,-2.376M,63.20M,,0.00,,,63.20M,63.20M,-30.91M,82.66M,0.12,0.0,0.0,0.12,0.12,0.11,0.0,0.0,0.11,0.11,189.30M,189.30M,0.32
2002-09,1.141B,1.141B,,212.80M,212.80M,2.10M,23.69M,-23.69M,-210.70M,4.20M,23.69M,-23.69M,468.74M,-23.69M,-226.35M,-100.88M,-125.46M,,0.00,,,-125.46M,-126.72M,101.28M,-202.66M,-0.69,0.0,0.0,-0.6969,-0.69,-0.69,0.0,0.0,-0.6968,-0.69,181.83M,184.50M,0.32
2002-06,1.157B,1.157B,,,,,24.65M,-24.65M,,,24.65M,-24.65M,1.080B,-24.65M,0.00,-1.615M,48.55M,,,,,48.55M,48.55M,17.73M,24.65M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,185.89M,188.53M,0.32
2002-03,1.126B,1.126B,,,,,24.81M,-24.81M,,,24.81M,-24.81M,1.049B,-24.81M,0.00,9.911M,85.60M,,,,,85.60M,85.60M,18.50M,24.81M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,186.85M,190.01M,0.32
2001-12,1.471B,1.471B,,,,,24.97M,-24.97M,,,24.97M,-24.97M,1.164B,-24.97M,0.00,6.819M,124.64M,,-0.034M,,,124.61M,124.64M,38.89M,24.97M,0.58,0.08,0.0,0.58,0.66,0.58,0.08,-0.0001,0.58,0.66,189.16M,189.16M,0.0
2001-09,1.609B,1.609B,,,,,29.56M,-29.56M,,,29.56M,-29.56M,1.169B,-29.56M,0.00,30.59M,119.05M,,,,,119.05M,119.05M,44.91M,29.56M,0.63,0.0,,0.63,0.63,0.61,0.0,,0.61,0.61,189.73M,194.79M,0.305
2001-06,1.599B,1.599B,,252.10M,252.10M,-5.90M,32.04M,-32.04M,-258.00M,-11.80M,32.04M,-32.04M,493.94M,-32.04M,203.71M,50.72M,152.99M,,-11.27M,-0.015M,,141.74M,157.44M,42.41M,235.75M,0.76,0.0,0.0,0.7838,0.76,0.74,0.0,-0.0604,0.7631,0.74,186.49M,191.54M,0.305
2001-03,1.699B,1.699B,,248.90M,248.90M,-1.00M,34.45M,-34.45M,-249.90M,-2.00M,34.45M,-34.45M,518.07M,-34.45M,221.06M,56.58M,164.50M,,-4.297M,-0.02M,,160.20M,165.25M,72.81M,255.50M,0.85,0.0,0.0,0.8539,0.85,0.83,0.0,-0.0228,0.8339,0.83,188.48M,193.02M,0.305
2000-12,1.769B,1.769B,,,,,33.41M,-33.41M,,,33.41M,-33.41M,3.330B,-33.41M,-647.97M,39.37M,112.85M,,,,,112.85M,112.85M,71.19M,-614.56M,0.59,0.0,,0.59,0.59,0.59,0.0,,0.59,0.59,191.17M,191.17M,0.305
2000-09,1.716B,1.716B,,268.10M,268.10M,-53.50M,34.41M,-34.41M,-321.60M,-107.00M,34.41M,-34.41M,586.17M,-34.41M,190.36M,51.75M,138.62M,,,-0.02M,,138.62M,177.58M,35.14M,224.77M,0.73,0.0,,0.9351,0.73,0.71,0.0,,0.9095,0.71,189.90M,195.25M,0.29
2000-06,1.693B,1.693B,,,,,35.38M,-35.38M,,,35.38M,-35.38M,1.212B,-35.38M,0.00,62.78M,163.61M,,,0.238M,,163.61M,163.61M,82.66M,35.38M,0.86,0.0,,0.86,0.86,0.84,0.0,,0.84,0.84,190.66M,194.04M,0.29
2000-03,1.669B,1.669B,,,,,36.34M,-36.34M,,,36.34M,-36.34M,568.48M,-36.34M,230.98M,60.99M,170.45M,,0.00,-0.228M,,170.22M,170.22M,48.02M,267.32M,0.88,0.0,0.0,0.88,0.88,0.87,0.0,0.0,0.87,0.87,193.43M,195.66M,0.29
1999-12,1.808B,1.808B,,,,,34.69M,-34.69M,,,34.69M,-34.69M,513.40M,-34.69M,-19.42M,-54.05M,34.67M,,,,,34.62M,34.62M,53.47M,15.27M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,193.32M,195.14M,0.29
1999-09,1.642B,1.642B,,,,,33.27M,-33.27M,,,33.27M,-33.27M,526.27M,-33.27M,183.19M,50.87M,132.32M,,,0.00,,132.32M,132.32M,44.81M,216.46M,0.67,0.0,,0.67,0.67,0.66,0.0,,0.66,0.66,197.49M,200.48M,0.275
1999-06,1.678B,1.678B,,,,,32.63M,-32.63M,,,32.63M,-32.63M,543.17M,-32.63M,201.71M,53.36M,148.35M,,,0.00,,148.35M,148.35M,27.50M,234.34M,0.74,0.0,,0.74,0.74,0.73,0.0,,0.73,0.73,200.47M,203.22M,0.275
1999-03,1.675B,1.675B,,,,,33.10M,-33.10M,,,33.10M,-33.10M,524.83M,-33.10M,204.48M,59.42M,145.10M,,,0.00,,145.06M,145.06M,41.39M,237.59M,0.72,0.0,,0.72,0.72,0.71,0.0,,0.71,0.71,201.48M,204.31M,0.275
1998-12,1.714B,1.714B,,,,,33.45M,-33.45M,,,33.45M,-33.45M,-1.499B,-33.45M,697.40M,45.62M,125.58M,,,,,125.58M,125.58M,7.408M,730.85M,0.62,0.0,,0.62,0.62,0.62,0.0,,0.62,0.62,202.48M,202.55M,0.275
1998-09,1.418B,1.418B,,,,,32.50M,-32.50M,,,32.50M,-32.50M,1.031B,-32.50M,0.00,33.60M,113.40M,,,,,113.40M,113.40M,37.10M,32.50M,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,198.95M,202.50M,0.26
