,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,1.483B,1.483B,695.00M,788.00M,387.00M,102.00M,,19.00M,1.00M,-18.00M,,489.00M,299.00M,1.00M,19.00M,-18.00M,2.00M,-18.00M,283.00M,61.00M,222.00M,,,222.00M,222.00M,378.00M,76.00M,302.00M,0.72,,,0.72,0.72,0.71,,,0.71,0.71,309.00M,312.00M,0.18
2020-07,1.261B,1.261B,592.00M,669.00M,347.00M,92.00M,,19.00M,1.00M,-18.00M,,439.00M,230.00M,1.00M,19.00M,-18.00M,7.00M,-18.00M,219.00M,20.00M,199.00M,,,199.00M,199.00M,315.00M,77.00M,238.00M,0.64,,,0.64,0.64,0.64,,,0.64,0.64,309.00M,312.00M,0.18
2020-04,1.238B,1.238B,581.00M,657.00M,358.00M,197.00M,,20.00M,3.00M,-17.00M,,555.00M,102.00M,3.00M,20.00M,-17.00M,36.00M,-17.00M,121.00M,20.00M,101.00M,,,101.00M,101.00M,217.00M,76.00M,141.00M,0.33,,,0.33,0.33,0.32,,,0.32,0.32,309.00M,312.00M,0.18
2020-01,1.357B,1.357B,634.00M,723.00M,404.00M,104.00M,,20.00M,3.00M,-17.00M,,508.00M,215.00M,3.00M,20.00M,-17.00M,21.00M,-17.00M,219.00M,22.00M,197.00M,,,197.00M,197.00M,318.00M,79.00M,239.00M,0.64,,,0.64,0.64,0.63,,,0.63,0.63,310.00M,313.00M,0.18
2019-10,1.367B,1.367B,630.00M,737.00M,385.00M,102.00M,,21.00M,6.00M,-15.00M,,487.00M,250.00M,6.00M,21.00M,-15.00M,-4.00M,-15.00M,231.00M,37.00M,194.00M,,,194.00M,194.00M,328.00M,76.00M,252.00M,0.63,,,0.63,0.63,0.62,,,0.62,0.62,308.00M,312.00M,0.16399999999999998
2019-07,1.274B,1.274B,582.00M,692.00M,366.00M,101.00M,,18.00M,10.00M,-8.00M,,467.00M,225.00M,10.00M,18.00M,-8.00M,5.00M,-8.00M,222.00M,31.00M,191.00M,,,191.00M,191.00M,295.00M,55.00M,240.00M,0.61,,,0.61,0.61,0.6,,,0.6,0.6,312.00M,316.00M,0.16399999999999998
2019-04,1.238B,1.238B,569.00M,669.00M,354.00M,99.00M,,17.00M,10.00M,-7.00M,,453.00M,216.00M,10.00M,17.00M,-7.00M,9.00M,-7.00M,218.00M,36.00M,182.00M,,,182.00M,182.00M,288.00M,53.00M,235.00M,0.57,,,0.57,0.57,0.57,,,0.57,0.57,317.00M,321.00M,0.16399999999999998
2019-01,1.284B,1.284B,577.00M,707.00M,355.00M,102.00M,,18.00M,10.00M,-8.00M,,457.00M,250.00M,10.00M,18.00M,-8.00M,6.00M,-8.00M,248.00M,-256.00M,504.00M,,,504.00M,504.00M,320.00M,54.00M,266.00M,1.58,,,1.58,1.58,1.57,,,1.57,1.57,318.00M,322.00M,0.16399999999999998
2018-10,1.294B,1.294B,586.00M,708.00M,360.00M,104.00M,,18.00M,10.00M,-8.00M,,464.00M,244.00M,10.00M,18.00M,-8.00M,8.00M,-8.00M,244.00M,49.00M,195.00M,,,195.00M,195.00M,318.00M,56.00M,262.00M,0.61,,,0.61,0.61,0.61,,,0.61,0.61,318.00M,322.00M,0.149
2018-07,1.203B,1.203B,544.00M,659.00M,341.00M,97.00M,,18.00M,9.00M,-9.00M,,438.00M,221.00M,9.00M,18.00M,-9.00M,30.00M,-9.00M,242.00M,6.00M,236.00M,,,236.00M,236.00M,313.00M,53.00M,260.00M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,320.00M,324.00M,0.149
