,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-10,1.441B,,1.441B,1.038B,,1.038B,303.00M,,417.00M,,720.00M,,,216.00M,3.415B,0.0,58.00M,1.055B,761.00M,,1.874B,-1.029B,845.00M,3.602B,831.00M,4.433B,158.00M,,776.00M,6.212B,9.627B,354.00M,,354.00M,285.00M,639.00M,,,75.00M,75.00M,386.00M,386.00M,,1.467B,2.284B,2.284B,,,389.00M,,614.00M,3.287B,4.754B,3.00M,81.00M,5.311B,,-522.00M,4.873B
2020-07,1.358B,,1.358B,930.00M,,930.00M,310.00M,,436.00M,,746.00M,,,211.00M,3.245B,,,,,,,,846.00M,3.606B,876.00M,4.482B,148.00M,,825.00M,6.301B,9.546B,311.00M,,311.00M,260.00M,571.00M,,,40.00M,40.00M,397.00M,397.00M,,1.314B,2.283B,2.283B,,,355.00M,,613.00M,3.251B,4.565B,3.00M,130.00M,5.324B,,-476.00M,4.981B
2020-04,1.324B,,1.324B,886.00M,,886.00M,332.00M,,418.00M,,750.00M,,,211.00M,3.171B,,,,,,,,836.00M,3.582B,921.00M,4.503B,141.00M,,804.00M,6.284B,9.455B,333.00M,,333.00M,233.00M,566.00M,,,700.00M,700.00M,399.00M,399.00M,,1.945B,1.788B,1.788B,,,340.00M,,614.00M,2.742B,4.687B,3.00M,15.00M,5.288B,,-538.00M,4.768B
2020-01,1.226B,,1.226B,966.00M,,966.00M,283.00M,,423.00M,,706.00M,,,204.00M,3.102B,,,,,,,,844.00M,3.589B,1.059B,4.648B,118.00M,,789.00M,6.399B,9.501B,329.00M,,329.00M,256.00M,585.00M,,,675.00M,675.00M,379.00M,379.00M,,1.892B,1.787B,1.787B,,,354.00M,,620.00M,2.761B,4.653B,3.00M,73.00M,5.293B,,-521.00M,4.848B
2019-10,1.382B,,1.382B,930.00M,,930.00M,263.00M,,416.00M,,679.00M,,,198.00M,3.189B,0.0,57.00M,1.012B,706.00M,,1.775B,-925.00M,850.00M,3.593B,1.107B,4.70B,102.00M,,611.00M,6.263B,9.452B,354.00M,,354.00M,440.00M,794.00M,,,616.00M,616.00M,336.00M,336.00M,,2.08B,1.791B,1.791B,,,360.00M,,473.00M,2.624B,4.704B,3.00M,-18.00M,5.277B,,-514.00M,4.748B
2019-07,1.765B,,1.765B,856.00M,,856.00M,251.00M,,409.00M,,660.00M,,,176.00M,3.457B,,,,,,,,839.00M,3.107B,511.00M,3.618B,99.00M,,612.00M,5.168B,8.625B,316.00M,,316.00M,188.00M,504.00M,,,504.00M,504.00M,344.00M,344.00M,,1.622B,1.294B,1.294B,,,225.00M,0.00,737.00M,2.256B,3.878B,3.00M,-122.00M,5.27B,,-404.00M,4.747B
2019-04,2.155B,,2.155B,819.00M,,819.00M,256.00M,,401.00M,,657.00M,,,181.00M,3.812B,,,,,,,,827.00M,3.112B,538.00M,3.65B,96.00M,,637.00M,5.21B,9.022B,314.00M,,314.00M,165.00M,479.00M,,,,,347.00M,347.00M,,1.118B,1.798B,1.798B,,,229.00M,0.00,752.00M,2.779B,3.897B,3.00M,178.00M,5.343B,1.00M,-398.00M,5.125B
2019-01,2.057B,,2.057B,833.00M,,833.00M,257.00M,,396.00M,,653.00M,,,169.00M,3.712B,,,,,,,,829.00M,3.133B,566.00M,3.699B,77.00M,,635.00M,5.24B,8.952B,315.00M,,315.00M,197.00M,512.00M,,,,,346.00M,346.00M,,1.095B,1.798B,1.798B,,,238.00M,0.00,785.00M,2.821B,3.916B,3.00M,90.00M,5.324B,,-381.00M,5.036B
2018-10,2.247B,,2.247B,776.00M,,776.00M,252.00M,,386.00M,,638.00M,,,187.00M,3.848B,0.0,55.00M,952.00M,653.00M,,1.66B,-838.00M,822.00M,2.973B,491.00M,3.464B,68.00M,,339.00M,4.693B,8.541B,340.00M,,340.00M,203.00M,543.00M,,,,,324.00M,324.00M,,1.171B,1.799B,1.799B,,,239.00M,4.00M,761.00M,2.799B,3.97B,3.00M,-336.00M,5.308B,,-408.00M,4.567B
2018-07,2.131B,,2.131B,733.00M,,733.00M,242.00M,,381.00M,,623.00M,,,180.00M,3.667B,,,,,,,,801.00M,2.933B,515.00M,3.448B,70.00M,,363.00M,4.682B,8.349B,273.00M,,273.00M,162.00M,435.00M,,,,,328.00M,328.00M,,1.014B,1.799B,1.799B,,,218.00M,4.00M,750.00M,2.767B,3.781B,3.00M,-416.00M,5.312B,,-335.00M,4.564B
