,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,648.60M,648.60M,224.65M,423.95M,81.30M,114.39M,0.876M,-2.272M,-2.534M,0.266M,196.84M,227.11M,-2.534M,-2.272M,-2.534M,222.30M,28.68M,193.63M,,,193.63M,195.61M,264.31M,37.20M,227.11M,0.69,,,0.697,0.69,0.68,,,0.6869,0.68,280.85M,285.88M,0.42
2017-12,622.64M,622.64M,212.96M,409.68M,85.32M,115.90M,0.995M,-7.373M,-3.121M,-0.959M,201.26M,208.42M,-3.121M,-7.373M,-3.121M,197.93M,272.94M,-75.02M,,,-75.02M,-70.59M,244.23M,35.81M,208.42M,-0.27,,,-0.2543,-0.27,-0.27,,,-0.2543,-0.27,281.56M,281.56M,0.36
2017-09,575.68M,575.68M,201.84M,373.83M,73.68M,108.60M,1.752M,-5.475M,-4.214M,-0.844M,183.19M,190.64M,-4.214M,-5.475M,-4.214M,180.95M,26.42M,154.53M,,,154.53M,159.21M,227.40M,36.75M,190.64M,0.55,,,0.5666,0.55,0.54,,,0.5563,0.54,282.17M,286.44M,0.36
2017-06,602.00M,602.00M,208.34M,393.67M,75.13M,114.01M,2.05M,-1.174M,-11.32M,1.924M,193.11M,200.55M,-11.32M,6.344M,-11.32M,195.58M,32.27M,163.31M,,,163.31M,164.29M,237.86M,38.19M,199.67M,0.58,,,0.5835,0.58,0.57,,,0.5734,0.57,282.54M,287.27M,0.33
2017-03,581.22M,581.22M,214.31M,366.90M,73.99M,113.16M,2.348M,-1.45M,-3.884M,1.704M,191.20M,175.70M,-3.884M,-1.45M,-3.884M,170.37M,30.16M,140.21M,,,140.21M,141.41M,216.18M,40.47M,175.70M,0.5,,,0.5042,0.5,0.49,,,0.4941,0.49,282.90M,287.88M,0.33
2016-12,551.00M,551.00M,210.82M,340.18M,71.54M,114.06M,2.348M,-1.247M,-0.636M,1.909M,189.86M,150.32M,-0.636M,-1.247M,-0.636M,148.44M,17.96M,130.48M,,,130.48M,131.57M,192.46M,42.14M,150.32M,0.46,,,0.4639,0.46,0.45,,,0.4538,0.45,283.29M,288.11M,0.33
2016-09,561.40M,561.40M,215.66M,345.73M,70.85M,112.75M,2.443M,-16.10M,-6.87M,-28.48M,157.56M,188.17M,-6.87M,-16.10M,-6.87M,165.20M,27.59M,137.61M,,,137.61M,151.02M,231.66M,43.48M,188.17M,0.49,,,0.5373,0.49,0.48,,,0.5265,0.48,283.63M,288.57M,0.33
2016-06,566.13M,566.13M,219.10M,347.03M,71.48M,113.49M,2.538M,-32.18M,-7.389M,4.962M,192.47M,154.55M,-7.389M,-31.22M,-7.389M,115.95M,23.61M,92.34M,,,92.34M,117.97M,-7.815M,46.41M,-54.23M,0.32,,,0.4101,0.32,0.32,,,0.4087,0.32,284.36M,288.97M,0.3
2016-03,555.25M,555.25M,236.41M,318.84M,71.78M,119.18M,2.538M,-3.058M,-6.373M,-55.42M,138.08M,180.77M,-6.373M,-3.058M,-6.373M,171.34M,31.52M,139.81M,,,139.81M,142.31M,227.85M,47.09M,180.77M,0.49,,,0.4987,0.49,0.48,,,0.4886,0.48,285.85M,289.78M,0.3
2015-12,510.83M,510.83M,218.66M,292.17M,73.64M,113.10M,3.538M,-12.60M,-9.593M,-0.247M,190.03M,102.14M,-9.593M,-12.60M,-9.593M,79.94M,12.47M,67.47M,,,67.47M,78.11M,151.22M,49.08M,102.14M,0.24,,,0.2773,0.24,0.23,,,0.2666,0.23,285.53M,290.52M,0.3
2015-09,562.51M,562.51M,276.16M,286.35M,72.00M,121.39M,3.591M,-164.82M,-6.402M,0.315M,197.29M,89.06M,-6.402M,-164.82M,-6.402M,-82.17M,-10.02M,-72.14M,,,-72.14M,72.57M,191.11M,102.05M,89.06M,-0.25,,,0.2585,-0.25,-0.25,,,0.2585,-0.25,284.59M,284.59M,0.3
2015-06,582.52M,582.52M,278.82M,303.70M,72.53M,121.55M,3.618M,-13.35M,-11.94M,-2.296M,195.41M,108.30M,-11.94M,27.09M,-11.94M,123.45M,24.79M,98.66M,,,98.66M,109.33M,200.93M,92.64M,108.30M,0.35,,,0.3875,0.35,0.34,,,0.3768,0.34,284.20M,289.92M,0.28
2015-03,577.26M,577.26M,262.00M,315.27M,75.77M,123.91M,3.977M,-8.346M,-5.534M,-2.184M,201.47M,113.80M,-5.534M,-8.346M,-5.534M,99.92M,20.48M,79.43M,,,79.43M,86.07M,185.24M,71.44M,113.80M,0.28,,,0.3034,0.28,0.28,,,0.303,0.28,283.42M,288.84M,0.28
2014-12,566.81M,566.81M,252.73M,314.08M,79.78M,135.94M,4.155M,-157.39M,-7.599M,0.885M,220.76M,93.31M,-7.599M,-157.39M,-7.599M,-71.68M,0.359M,-72.03M,,,-72.03M,30.27M,164.94M,71.62M,93.31M,-0.25,,,0.1115,-0.25,-0.25,,,0.1115,-0.25,282.99M,282.99M,0.28
2014-09,580.28M,580.28M,241.45M,338.82M,79.99M,140.36M,4.327M,-11.61M,-6.477M,1.574M,226.25M,112.57M,-6.477M,-11.61M,-6.477M,94.48M,-5.499M,99.98M,,,99.98M,107.53M,176.26M,63.69M,112.57M,0.35,,,0.3766,0.35,0.35,,,0.3761,0.35,284.09M,289.43M,0.28
2014-06,642.47M,642.47M,273.51M,368.96M,83.15M,143.80M,4.423M,-12.24M,-22.31M,8.795M,240.17M,128.79M,-22.31M,1.126M,-22.31M,107.61M,22.81M,84.79M,,,84.79M,94.44M,193.18M,64.39M,128.79M,0.3,0.0,,0.334,0.3,0.29,0.0,,0.3234,0.29,283.43M,289.07M,0.26
