,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-06,565.96M,565.96M,225.01M,340.95M,54.32M,123.54M,4.988M,0.576M,1.838M,17.59M,200.44M,140.51M,1.838M,0.576M,1.838M,142.92M,84.47M,58.46M,,,58.46M,58.08M,190.89M,50.38M,140.51M,0.19,0.0,,0.1888,0.19,0.19,0.0,,0.1888,0.19,302.19M,307.96M,0.2
2010-03,508.88M,508.88M,200.18M,308.70M,66.04M,116.75M,1.799M,0.625M,0.644M,173.00M,357.59M,-48.89M,0.644M,0.625M,0.644M,-47.62M,-13.71M,-33.90M,,,-33.90M,-34.35M,-8.076M,40.81M,-48.89M,-0.11,0.0,,-0.1115,-0.11,-0.11,0.0,,-0.1115,-0.11,304.52M,304.52M,0.2
2009-12,473.52M,473.52M,181.73M,291.79M,59.81M,118.02M,1.846M,-2.063M,3.63M,0.921M,180.60M,111.19M,3.63M,-2.063M,3.63M,112.76M,54.12M,58.64M,,,58.64M,59.98M,151.02M,39.83M,111.19M,0.19,0.0,,0.1944,0.19,0.19,0.0,,0.1943,0.19,305.32M,310.09M,0.2
2009-09,449.25M,449.25M,197.62M,251.63M,59.24M,116.34M,1.844M,-6.73M,1.901M,-22.63M,154.80M,96.83M,1.901M,-6.73M,1.901M,92.00M,50.05M,41.95M,,,41.95M,46.33M,133.32M,36.50M,96.83M,0.14,0.0,,0.1543,0.14,0.13,0.0,,0.144,0.13,306.28M,312.16M,0.2
2009-06,394.47M,394.47M,203.93M,190.54M,21.47M,116.06M,,0.535M,0.983M,25.94M,169.48M,21.05M,0.983M,0.535M,0.983M,22.57M,14.47M,8.098M,,,8.098M,7.750M,77.56M,56.51M,21.05M,0.02,0.0,,0.0189,0.02,0.02,0.0,,0.0189,0.02,305.44M,305.44M,0.2
2009-03,339.66M,339.66M,171.96M,167.70M,52.44M,120.97M,,-10.96M,-0.228M,0.285M,173.70M,-5.998M,-0.228M,-10.96M,-0.228M,-17.18M,9.244M,-26.43M,,,-26.43M,-19.30M,45.24M,51.24M,-5.998M,-0.09,0.0,,-0.0666,-0.09,-0.09,0.0,,-0.0666,-0.09,304.42M,304.42M,0.2
2008-12,410.68M,410.68M,211.59M,199.08M,73.71M,148.18M,,-57.37M,7.385M,0.667M,222.56M,-23.47M,7.385M,-57.37M,7.385M,-73.46M,-34.67M,-38.78M,,,-38.78M,-1.496M,27.42M,50.89M,-23.47M,-0.12,0.0,,-0.0008,-0.12,-0.12,0.0,,-0.0008,-0.12,312.72M,312.72M,0.2
2008-09,501.20M,501.20M,209.65M,291.55M,47.60M,138.92M,,-11.45M,,7.343M,193.86M,97.69M,,-11.45M,,102.69M,35.12M,67.57M,,,67.57M,75.10M,144.47M,46.78M,97.69M,0.21,0.0,,0.2335,0.21,0.21,0.0,,0.2333,0.21,320.55M,323.82M,0.2
2008-06,501.27M,501.27M,200.86M,300.41M,60.48M,145.05M,,,,,205.53M,94.88M,,,,100.71M,34.66M,66.05M,,,66.05M,66.05M,145.61M,50.73M,94.88M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,320.55M,322.38M,0.1875
2008-03,487.41M,487.41M,202.61M,284.80M,60.45M,143.29M,,,,,203.74M,81.06M,,,,92.67M,31.64M,61.03M,,,61.03M,61.03M,127.41M,46.35M,81.06M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,320.55M,322.48M,0.1875
