,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,169.51M,,0.063M,,0.063M,24.20M,24.20M,-1.103M,,35.73M,,-2.594M,-44.80M,-5.986M,,-16.67M,4.159M,,,-63.30M,162.51M,-12.73M,0.004M,-12.72M,0.025M,18.34M,,5.642M,,,,,-26.22M,-26.22M,-128.15M,-128.15M,2.632M,,-151.73M,1.585B,16.42M,1.602B,,,,-26.22M,29.12M,8.438M
2020-06,207.30M,,0.557M,,11.91M,36.38M,36.38M,14.39M,,23.29M,,39.20M,-34.82M,-34.56M,,32.79M,-25.77M,,-57.78M,-120.14M,212.33M,-15.68M,0.124M,-15.56M,-68.77M,9.891M,0.002M,-74.44M,0.00,,0.00,,-82.30M,-82.30M,-128.06M,-128.06M,19.22M,0.00,-191.13M,1.639B,-53.24M,1.585B,,,0.00,-82.30M,13.26M,8.625M
2020-03,161.19M,,0.145M,,0.145M,24.14M,24.14M,-3.161M,,23.40M,,3.265M,-23.93M,3.308M,,27.00M,-4.71M,,-0.857M,0.808M,209.79M,-17.07M,0.097M,-16.97M,-0.12M,15.66M,-0.05M,-1.483M,0.00,,0.00,,-157.00M,-157.00M,-129.07M,-129.07M,-3.76M,0.00,-289.84M,1.720B,-81.53M,1.639B,,,0.00,-157.00M,21.26M,8.438M
2019-12,146.05M,,0.113M,,0.113M,24.09M,24.09M,-2.684M,,24.07M,,16.22M,26.72M,12.00M,,-64.37M,-3.377M,,58.63M,29.61M,237.46M,-13.67M,0.128M,-13.54M,-0.516M,35.15M,-0.033M,21.06M,0.00,,0.00,,-98.01M,-98.01M,-129.81M,-129.81M,2.307M,-8.00M,-233.52M,1.695B,25.00M,1.720B,,,0.00,-98.01M,31.54M,8.625M
2019-09,140.16M,,0.376M,,0.376M,23.92M,23.92M,0.453M,,24.67M,,-10.26M,-10.30M,10.58M,,14.12M,-52.44M,,,-38.05M,141.27M,-20.63M,0.043M,-20.59M,0.516M,42.92M,-0.035M,22.81M,,,,,-103.50M,-103.50M,-130.22M,-130.22M,7.482M,,-226.24M,1.757B,-62.15M,1.695B,,,,-103.50M,32.16M,8.438M
2019-06,367.56M,,0.643M,,0.64M,25.57M,25.57M,26.12M,,22.00M,,-41.43M,56.78M,26.38M,,-232.33M,-11.88M,,-1.953M,-163.00M,237.47M,-30.65M,0.306M,-30.35M,1.676M,100.26M,-0.06M,71.52M,0.00,,0.00,,-102.10M,-102.10M,-125.34M,-125.34M,21.24M,0.00,-206.21M,1.655B,102.78M,1.757B,,,0.00,-102.10M,23.72M,8.625M
2019-03,130.61M,,0.428M,,0.428M,27.18M,27.18M,-3.955M,,22.82M,,-0.371M,-14.32M,6.123M,,32.97M,3.561M,,1.893M,30.22M,206.94M,-21.26M,0.032M,-21.22M,-0.77M,311.47M,-0.54M,288.93M,0.00,,0.00,,-116.99M,-116.99M,-125.57M,-125.57M,-4.439M,-1.052M,-248.05M,1.407B,247.82M,1.655B,,,0.00,-116.99M,13.44M,8.438M
2018-12,131.89M,,2.275M,,2.275M,26.80M,26.80M,-5.174M,,21.66M,,0.753M,43.40M,-3.505M,,0.05M,6.038M,,0.06M,46.04M,224.25M,-12.60M,0.001M,-12.60M,-0.156M,411.83M,,399.08M,-500.00M,,-500.00M,,-207.56M,-207.56M,-126.81M,-126.81M,19.01M,0.00,-815.36M,1.599B,-192.03M,1.407B,,,-500.00M,-207.56M,49.96M,14.88M
2018-09,197.42M,,0.621M,,0.621M,31.19M,31.19M,-3.032M,,20.50M,,-0.117M,-23.60M,7.002M,,-10.17M,-12.62M,,,-39.40M,207.18M,-18.32M,0.001M,-18.32M,-3.699M,119.39M,,97.38M,,,,,-112.50M,-112.50M,-127.86M,-127.86M,-0.92M,-8.00M,-249.28M,1.543B,55.29M,1.599B,,,,-112.50M,10.99M,8.438M
2018-06,194.17M,,0.423M,,1.315M,35.21M,35.21M,21.46M,-0.85M,19.75M,,78.64M,40.48M,-9.45M,,-156.05M,0.665M,,0.00,-124.35M,146.66M,-12.12M,0.062M,-12.06M,0.00,10.81M,,-1.247M,0.00,,0.00,,-128.02M,-128.02M,-117.32M,-117.32M,13.82M,,-231.52M,1.630B,-86.11M,1.543B,,,0.00,-128.02M,171.82M,14.88M
