,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-08,8.176B,,8.176B,376.00M,,376.00M,349.00M,367.00M,,9.268B,,,,38.30B,,38.30B,,38.30B,807.00M,1.186B,1.993B,,,1.252B,41.55B,50.82B,691.00M,,691.00M,1.199B,1.89B,,,5.995B,5.995B,150.00M,6.145B,2.15B,2.15B,-1.00M,10.18B,18.92B,1.281B,20.20B,,,,,,934.00M,21.13B,31.32B,369.00M,18.30B,10.68B,8.404B,-1.439B,19.50B
2020-05,6.881B,,6.881B,604.00M,,604.00M,362.00M,374.00M,1.00M,8.222B,,,,38.55B,,38.55B,,38.55B,790.00M,1.168B,1.958B,,,1.086B,41.60B,49.82B,1.809B,,1.809B,1.343B,3.152B,,,5.935B,5.935B,153.00M,6.088B,2.618B,2.618B,,11.86B,14.87B,1.292B,16.16B,,,,,,958.00M,17.12B,28.98B,367.00M,21.16B,9.683B,8.404B,-1.962B,20.84B
2020-02,1.354B,,1.354B,405.00M,,405.00M,440.00M,687.00M,-1.00M,2.885B,,,,39.49B,,39.49B,,39.49B,2.176B,1.173B,3.349B,,,1.216B,44.06B,46.94B,904.00M,,904.00M,1.754B,2.658B,,,3.20B,3.20B,168.00M,3.368B,4.69B,4.69B,,10.72B,9.738B,1.312B,11.05B,,,,,,887.00M,11.94B,22.65B,366.00M,25.53B,8.829B,8.404B,-2.028B,24.29B
2019-11,518.00M,,518.00M,444.00M,,444.00M,427.00M,671.00M,-1.00M,2.059B,,,50.45B,3.843B,2.492B,56.78B,-18.65B,38.13B,2.912B,1.174B,4.086B,,,783.00M,43.00B,45.06B,756.00M,,756.00M,1.809B,2.565B,,231.00M,1.596B,1.827B,,1.827B,4.735B,4.735B,,9.127B,9.675B,,9.675B,,,,,,891.00M,10.57B,19.69B,365.00M,26.65B,8.807B,8.394B,-2.066B,25.36B
2019-08,1.153B,,1.153B,441.00M,,441.00M,482.00M,635.00M,1.00M,2.712B,,,,,,,,36.47B,2.886B,1.166B,4.052B,,,771.00M,41.29B,44.00B,695.00M,,695.00M,1.718B,2.413B,,,,1.845B,,1.845B,4.674B,4.674B,,8.932B,8.893B,,8.893B,,,,,,881.00M,9.774B,18.71B,365.00M,26.58B,8.798B,8.261B,-2.183B,25.30B
2019-05,1.202B,,1.202B,405.00M,,405.00M,501.00M,727.00M,,2.835B,,,,,,,,36.81B,2.907B,1.172B,4.079B,,,785.00M,41.68B,44.51B,792.00M,,792.00M,1.675B,2.467B,,,,2.094B,,2.094B,5.815B,5.815B,1.00M,10.38B,9.08B,,9.08B,,,,,,947.00M,10.03B,20.40B,365.00M,25.14B,8.785B,8.104B,-2.076B,24.11B
2019-02,649.00M,,649.00M,406.00M,,406.00M,444.00M,603.00M,-1.00M,2.101B,,,,,,,,37.00B,2.943B,1.181B,4.124B,,,700.00M,41.83B,43.93B,798.00M,,798.00M,1.637B,2.435B,,768.00M,1.684B,2.452B,,2.452B,4.755B,4.755B,,9.642B,9.134B,,9.134B,,,,,,912.00M,10.05B,19.69B,365.00M,25.03B,8.776B,8.063B,-1.869B,24.24B
2018-11,982.00M,,982.00M,358.00M,,358.00M,450.00M,436.00M,-1.00M,2.225B,,,46.96B,3.661B,2.004B,52.62B,-17.29B,35.34B,2.925B,1.176B,4.101B,,,738.00M,40.18B,42.40B,730.00M,,730.00M,1.654B,2.384B,,621.00M,1.805B,2.426B,,2.426B,4.395B,4.395B,-1.00M,9.204B,7.897B,,7.897B,,,,,,857.00M,8.754B,17.96B,365.00M,25.07B,8.756B,7.795B,-1.949B,24.44B
2018-08,526.00M,,526.00M,366.00M,,366.00M,405.00M,458.00M,,1.755B,,,,,,,,35.18B,2.949B,1.182B,4.131B,,,689.00M,40.00B,41.75B,666.00M,,666.00M,1.616B,2.282B,,,,1.32B,,1.32B,4.418B,4.418B,,8.02B,8.297B,,8.297B,,,,,,782.00M,9.079B,17.10B,365.00M,24.92B,8.741B,7.533B,-1.84B,24.65B
2018-05,1.053B,,1.053B,342.00M,,342.00M,402.00M,481.00M,,2.278B,,,,,,,,35.23B,2.95B,1.183B,4.133B,,,546.00M,39.91B,42.18B,745.00M,,745.00M,1.571B,2.316B,,,,1.685B,,1.685B,5.308B,5.308B,-1.00M,9.308B,8.172B,,8.172B,,,,,,771.00M,8.943B,18.25B,365.00M,23.56B,8.721B,6.862B,-1.855B,23.93B
