,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.152B,,2.152B,863.10M,863.10M,3.015B,0.00,37.20M,457.50M,1.306B,117.60M,169.20M,2.088B,-1.275B,813.00M,665.70M,,665.70M,5.946B,219.20M,7.644B,10.66B,,187.70M,,85.00M,272.70M,,272.70M,,,,,,272.70M,,154.10M,154.10M,133.60M,,1.562B,829.90M,2.679B,2.952B,,45.60M,7.030B,654.60M,-23.00M,7.707B,,AOR,
2020-09,2.228B,,2.228B,714.80M,714.80M,2.943B,,,,,821.10M,,821.10M,,821.10M,665.70M,,665.70M,5.473B,231.70M,7.192B,10.13B,,186.90M,,66.70M,253.60M,,253.60M,,,,,,253.60M,,175.30M,175.30M,583.30M,,1.340B,653.70M,2.752B,3.006B,,45.30M,6.471B,654.60M,-42.70M,7.128B,,AOR,
2020-06,2.058B,,2.058B,655.70M,655.70M,2.714B,,,,,816.90M,,816.90M,,816.90M,665.70M,,665.70M,5.062B,219.40M,6.764B,9.477B,,194.30M,,259.30M,453.60M,,453.60M,,,,,,453.60M,,166.40M,166.40M,384.70M,,1.090B,631.80M,2.273B,2.727B,,45.40M,6.103B,654.60M,-52.20M,6.751B,,AOR,
2020-03,1.562B,,1.562B,585.30M,585.30M,2.148B,,,,,812.80M,,812.80M,,812.80M,665.70M,,665.70M,4.756B,255.10M,6.489B,8.637B,,198.50M,,58.30M,256.80M,,256.80M,,,,,,256.80M,,172.60M,172.60M,215.40M,,971.00M,587.10M,1.946B,2.203B,,45.60M,5.783B,654.60M,-49.10M,6.434B,,AOR,
2019-12,1.782B,,1.782B,646.60M,646.60M,2.428B,0.00,36.10M,466.10M,1.157B,110.80M,157.30M,1.928B,-1.142B,785.20M,665.70M,,665.70M,5.217B,234.40M,6.902B,9.330B,,214.50M,,31.80M,246.30M,,246.30M,,,,,,246.30M,,146.30M,146.30M,112.10M,,1.121B,602.60M,1.982B,2.228B,,47.00M,6.444B,654.60M,-43.00M,7.102B,,AOR,Restated
2019-09,2.213B,,2.213B,620.60M,620.60M,2.834B,,,,,790.10M,,790.10M,,790.10M,665.70M,,665.70M,4.853B,254.90M,6.564B,9.398B,,203.30M,,49.20M,252.50M,,252.50M,,,,,,252.50M,,146.40M,146.40M,534.00M,,1.103B,522.20M,2.306B,2.558B,,46.90M,6.187B,654.60M,-48.70M,6.840B,,AOR,Restated
2019-06,1.802B,,1.802B,619.80M,619.80M,2.422B,,,,,792.10M,,792.10M,,792.10M,665.70M,,665.70M,4.779B,253.70M,6.490B,8.912B,,193.00M,,52.40M,245.40M,,245.40M,,,,,,245.40M,,154.90M,154.90M,374.10M,,1.012B,546.50M,2.088B,2.333B,,47.10M,5.916B,654.60M,-38.50M,6.579B,,AOR,Restated
2019-03,1.657B,,1.657B,604.60M,604.60M,2.262B,,,,,794.40M,,794.40M,,794.40M,665.70M,,665.70M,4.483B,253.80M,6.197B,8.459B,,210.00M,,197.50M,407.50M,,407.50M,,,,,,407.50M,,161.90M,161.90M,196.80M,,886.70M,495.00M,1.740B,2.148B,,47.30M,5.651B,654.50M,-41.60M,6.311B,,AOR,Restated
2018-12,1.425B,,1.425B,549.60M,549.60M,1.975B,0.00,40.10M,454.50M,1.044B,,137.00M,1.675B,-1.014B,661.30M,665.70M,,665.70M,4.134B,253.70M,5.714B,7.689B,,228.50M,,54.20M,282.70M,,282.70M,,,,,,282.70M,,0.00,0.00,123.30M,,740.30M,418.70M,1.282B,1.565B,,47.60M,5.464B,654.60M,-42.00M,6.124B,,AOR,Restated
2018-09,2.091B,,2.091B,583.10M,583.10M,2.674B,,,,,,,,,657.00M,665.70M,,665.70M,4.332B,202.00M,5.857B,8.531B,,249.90M,,80.30M,330.20M,,330.20M,,,,,,330.20M,,,,511.60M,,860.60M,367.70M,1.740B,2.070B,,48.50M,5.788B,654.50M,-31.00M,6.460B,,AOR,Restated
