,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,929.60M,-686.10M,-686.10M,45.60M,,45.60M,45.60M,,81.70M,,81.70M,,,,,-368.80M,-368.80M,2.00M,,-59.20M,-59.20M,,35.30M,40.70M,16.80M,,,,,,-43.40M,-43.40M,-210.10M,-210.10M,-72.30M,258.80M,-67.00M,,2.306B,-48.20M,-1.50M,2.256B,,,,,-43.40M,,AOR,
2020-09,698.60M,-479.40M,-479.40M,49.70M,,49.70M,49.70M,,52.90M,,52.90M,,,,,-45.60M,-45.60M,276.20M,,-50.10M,-50.10M,,-9.10M,3.70M,-55.50M,,,,,,-131.40M,-131.40M,-210.00M,-210.00M,22.20M,211.00M,-108.20M,,2.183B,112.50M,10.80M,2.306B,,,,,-131.40M,,AOR,
2020-06,728.50M,-358.80M,-358.80M,48.20M,,48.20M,48.20M,,53.30M,,53.30M,,,,,381.80M,381.80M,853.00M,,-59.30M,-59.30M,,28.40M,5.70M,-25.20M,,,,,,-135.80M,-135.80M,-210.50M,-210.50M,15.90M,11.60M,-318.80M,,1.680B,509.00M,-6.20M,2.183B,,,,,-135.80M,,AOR,
2020-03,166.60M,393.00M,393.00M,46.10M,,46.10M,46.10M,,58.30M,,58.30M,,,,,123.70M,123.70M,787.70M,,-46.00M,-46.00M,,73.20M,0.40M,27.60M,,,,,,-891.30M,-891.30M,-215.20M,-215.20M,38.10M,76.10M,-992.30M,,1.858B,-177.00M,-1.20M,1.680B,,,,,-891.30M,,AOR,
2019-12,593.90M,-387.30M,-387.30M,59.10M,,59.10M,59.10M,,70.50M,,70.50M,,,,,-314.20M,-314.20M,22.00M,,-55.70M,-55.70M,,-195.40M,3.30M,-247.80M,,,,,,-129.80M,-129.80M,-183.50M,-183.50M,-33.00M,136.60M,-209.70M,,2.294B,-435.50M,-0.30M,1.858B,,,,,-129.80M,,AOR,Restated
2019-09,545.10M,-258.20M,-258.20M,45.70M,,45.70M,45.70M,,45.40M,,45.40M,,,,,173.90M,173.90M,551.90M,,-54.40M,-54.40M,,4.90M,1.90M,-47.60M,,,,,,-173.20M,-173.20M,-182.60M,-182.60M,37.50M,196.80M,-121.50M,,1.913B,382.80M,-1.80M,2.294B,,,,,-173.20M,,AOR,Restated
2019-06,555.90M,-303.30M,-303.30M,44.10M,,44.10M,44.10M,,47.20M,,47.20M,,,,,26.20M,26.20M,370.10M,,-46.80M,-46.80M,,49.30M,2.20M,4.70M,,,,,,-171.80M,-171.80M,-183.20M,-183.20M,35.20M,124.30M,-195.50M,,1.734B,179.30M,0.30M,1.913B,,,,,-171.80M,,AOR,Restated
2019-03,554.00M,-284.40M,-284.40M,41.90M,,41.90M,41.90M,,43.50M,,43.50M,,,,,223.70M,223.70M,578.70M,,-47.70M,-47.70M,,14.50M,-0.60M,-33.80M,,,,,,-231.00M,-231.00M,-184.60M,-184.60M,43.60M,66.00M,-306.00M,,1.495B,238.90M,-0.70M,1.734B,,,,,-231.00M,,AOR,Restated
2018-12,272.00M,81.90M,81.90M,44.60M,,44.60M,44.60M,,61.80M,,61.80M,,,,,111.60M,-326.80M,133.50M,,-47.00M,-47.00M,,2.20M,-0.30M,-45.10M,,,,,,-547.40M,-547.40M,-172.00M,-172.00M,-41.20M,-15.80M,-776.40M,,2.196B,-688.00M,-13.00M,1.495B,,,,,-547.40M,,AOR,Restated
2018-09,581.60M,-272.70M,-272.70M,40.20M,,40.20M,40.20M,,44.50M,,44.50M,,,,,-274.90M,163.50M,557.10M,,-42.90M,-42.90M,,75.00M,81.50M,113.60M,,,,,,-92.70M,-92.70M,-173.60M,-173.60M,23.20M,168.20M,-74.90M,,1.596B,595.80M,4.20M,2.196B,,,,,-92.70M,,AOR,Restated
2018-06,459.60M,-221.30M,-221.30M,37.80M,,37.80M,37.80M,,45.20M,,45.20M,,,,,87.00M,87.00M,408.30M,,-41.90M,-41.90M,,-387.70M,5.40M,-424.20M,,,,,,-159.00M,-159.00M,-173.90M,-173.90M,46.60M,140.20M,-146.10M,,1.766B,-162.00M,-7.90M,1.596B,,,,,-159.00M,,AOR,Restated
2018-03,455.50M,-204.90M,-204.90M,36.90M,,36.90M,36.90M,,45.60M,,45.60M,,,,,187.90M,187.90M,521.00M,,-36.70M,-36.70M,,-484.90M,1.80M,-519.80M,,,,,,-291.30M,-291.30M,-174.80M,-174.80M,46.20M,177.80M,-242.10M,,2.006B,-240.90M,1.30M,1.766B,,,,,-291.30M,,AOR,Restated
2017-12,386.60M,-386.40M,-386.40M,36.70M,,36.70M,36.70M,,41.40M,,41.40M,,,,,-422.20M,-201.60M,-123.30M,,-57.00M,-57.00M,,21.70M,-1.10M,-36.40M,,,,,,-1.40M,-1.40M,-142.30M,-142.30M,58.30M,276.30M,190.90M,,1.976B,31.20M,-1.60M,2.006B,,,,,-1.40M,,AOR,Restated
2017-09,404.20M,-425.10M,-425.10M,35.00M,,35.00M,35.00M,,36.40M,,36.40M,,,,,163.10M,163.10M,213.60M,,-46.50M,-46.50M,,-14.60M,-1.10M,-62.20M,,,,,,-9.80M,-9.80M,-140.40M,-140.40M,68.40M,287.60M,205.80M,,1.616B,357.20M,3.10M,1.976B,,,,,-9.80M,,AOR,Restated
2017-06,390.00M,-428.10M,-428.10M,36.30M,,36.30M,36.30M,,37.40M,,37.40M,,,,,-84.90M,-84.90M,-49.30M,,-35.70M,-35.70M,,148.80M,-4.90M,108.20M,,,,,,-140.80M,-140.80M,-139.50M,-139.50M,32.50M,166.60M,-81.20M,,1.631B,-22.30M,7.20M,1.616B,,,,,-140.80M,,AOR,Restated
2017-03,400.40M,-628.30M,-628.30M,35.60M,,35.60M,35.60M,,36.80M,,36.80M,,,,,344.00M,344.00M,188.50M,,-46.90M,-46.90M,,76.60M,-0.30M,29.40M,,,,,,-306.10M,-306.10M,-140.90M,-140.90M,41.90M,551.10M,146.00M,,1.270B,363.90M,-3.40M,1.631B,,,,,-306.10M,,AOR,Restated
2016-12,366.80M,-217.40M,-217.40M,33.40M,,33.40M,33.40M,,43.70M,,43.70M,,,,,-452.90M,-324.20M,-97.70M,,-35.80M,-35.80M,,116.80M,-85.10M,-4.10M,,,,,,-151.20M,-151.20M,-134.20M,-134.20M,37.50M,116.80M,-131.10M,,1.487B,-232.90M,16.10M,1.270B,,,,,-151.20M,,AOR,Restated
2016-09,362.70M,-378.10M,-378.10M,34.00M,,34.00M,34.00M,,42.30M,,42.30M,,,,,221.50M,221.50M,282.40M,,-33.30M,-33.30M,,-14.10M,-4.30M,-51.70M,,,,,,-281.70M,-281.70M,-135.00M,-135.00M,29.40M,258.20M,-129.10M,,1.383B,101.60M,3.10M,1.487B,,,,,-281.70M,,AOR,Restated
