,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,4.881B,-2.00M,-2.00M,476.00M,,476.00M,476.00M,-1.308B,,520.00M,2.589B,-198.00M,-15.69B,-26.57B,-42.46B,-32.64B,,,,,-112.74B,-487.00M,54.98B,-6.093B,-137.00M,-6.23B,,-114.00M,-114.00M,0.00,0.00,0.00,-1.983B,-30.00M,-12.40B,289.35B,9.941B,1.719B,301.01B,0.00,10.15B,-16.25B,-114.00M
2020-06,3.533B,-62.00M,-62.00M,880.00M,,448.00M,448.00M,-457.00M,,534.00M,2.625B,-8.709B,21.63B,-28.55B,-15.63B,-3.006B,,,,,10.33B,-367.00M,-88.35B,-1.057B,-12.12B,-13.18B,,-286.00M,-286.00M,0.00,0.00,0.00,-1.833B,106.00M,129.13B,250.39B,37.78B,1.179B,289.35B,0.00,11.98B,-13.03B,-286.00M
2020-03,4.01B,-315.00M,-315.00M,,,432.00M,432.00M,-229.00M,,543.00M,1.354B,-588.00M,-21.02B,29.62B,8.005B,19.04B,,,,,13.36B,-1.619B,-90.41B,10.88B,5.904B,16.79B,,-6.362B,-6.362B,1.098B,-1.072B,26.00M,-2.083B,-679.00M,161.15B,161.56B,89.78B,-949.00M,250.39B,1.098B,18.73B,-7.843B,-7.434B
2019-12,6.994B,-101.00M,-101.00M,-1.29B,,439.00M,439.00M,646.00M,,479.00M,1.907B,20.42B,-11.73B,38.46B,47.15B,59.10B,,,,,-28.07B,-786.00M,-43.28B,-681.00M,-6.489B,-7.17B,,-7.748B,-7.748B,0.00,-205.00M,-205.00M,-1.848B,96.00M,-11.87B,157.09B,3.958B,508.00M,161.56B,0.00,7.271B,-7.952B,-7.953B
2019-09,5.777B,-1.00M,2.071B,438.00M,,438.00M,438.00M,295.00M,,510.00M,-3.392B,1.81B,-1.792B,-12.81B,-12.79B,-5.702B,,,,,2.634B,-861.00M,-30.13B,3.662B,3.438B,7.10B,,-7.626B,-7.626B,1.28B,-2.363B,-1.083B,-464.00M,39.00M,22.83B,171.39B,-13.01B,-1.293B,157.09B,1.28B,12.66B,-8.994B,-9.989B
2019-06,7.348B,-109.00M,-109.00M,852.00M,,434.00M,434.00M,731.00M,,481.00M,1.383B,-5.517B,-1.59B,-11.19B,-18.30B,-6.725B,,,,,-2.451B,-660.00M,-2.451B,-1.779B,13.24B,11.46B,,-6.507B,-6.507B,2.363B,0.00,2.363B,-1.696B,53.00M,7.923B,171.62B,-1.253B,1.024B,171.39B,2.363B,17.78B,-19.56B,-6.507B
2019-03,7.311B,-6.00M,-6.00M,,,418.00M,418.00M,763.00M,,504.00M,7.63B,-346.00M,3.995B,-6.543B,-2.894B,15.10B,,,,,3.879B,-667.00M,-4.767B,424.00M,-6.181B,-5.757B,,-6.263B,-6.263B,0.00,0.00,0.00,-1.926B,-886.00M,-15.51B,177.40B,-5.174B,-607.00M,171.62B,0.00,14.72B,-14.29B,-6.263B
2018-12,7.278B,-78.00M,-78.00M,-1.539B,,524.00M,524.00M,196.00M,,406.00M,-6.256B,-5.256B,-1.728B,-10.33B,-17.31B,-13.92B,,,,,6.843B,-236.00M,-24.32B,-4.824B,-8.847B,-13.67B,,-5.231B,-5.231B,0.00,0.00,0.00,-1.745B,-7.00M,30.56B,184.86B,-7.683B,229.00M,177.40B,0.00,3.405B,-8.229B,-5.231B
2018-09,7.167B,-73.00M,-73.00M,784.00M,-269.00M,515.00M,515.00M,1.063B,,446.00M,-812.00M,17.87B,4.267B,-12.05B,10.08B,19.61B,,,,,-9.96B,-2.00M,-26.28B,10.89B,-11.59B,-693.00M,,-5.04B,-5.04B,844.00M,-1.699B,-855.00M,-1.905B,-111.00M,21.04B,171.20B,14.37B,-710.00M,184.86B,844.00M,18.45B,-7.553B,-6.739B
2018-06,6.784B,-1.00M,-1.00M,379.00M,134.00M,513.00M,513.00M,978.00M,,462.00M,1.226B,1.213B,-1.852B,-17.10B,-17.74B,-6.518B,,,,,-13.95B,-943.00M,1.98B,-2.195B,2.549B,354.00M,,-4.965B,-4.965B,1.322B,-2.813B,-1.491B,-1.571B,191.00M,-27.08B,204.24B,-31.62B,-1.419B,171.20B,1.322B,21.49B,-23.69B,-7.778B
