,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,20.34B,20.34B,1.238B,10.92B,12.15B,,,,12.15B,0.00,10.13B,4.546B,-335.00M,4.881B,,441.00M,4.881B,4.881B,476.00M,5.903B,0.51,,,0.51,0.51,0.51,,,0.51,0.51,8.733B,8.778B,0.18
2020-06,22.33B,22.33B,1.303B,9.924B,11.23B,,,,11.23B,0.00,10.85B,3.799B,266.00M,3.533B,,249.00M,3.533B,3.533B,448.00M,5.491B,0.38,,,0.38,0.38,0.37,,,0.37,0.37,8.740B,8.768B,0.18
2020-03,22.77B,22.77B,1.215B,10.18B,11.40B,,,,11.40B,0.00,12.13B,4.531B,521.00M,4.01B,,469.00M,4.01B,4.01B,432.00M,8.499B,0.4,,,0.4,0.4,0.4,,,0.4,0.4,8.816B,8.863B,0.18
2019-12,22.35B,22.35B,1.219B,9.898B,11.12B,,,,11.12B,0.00,12.14B,8.169B,1.175B,6.994B,,246.00M,6.994B,6.994B,439.00M,12.96B,0.75,,,0.75,0.75,0.74,,,0.74,0.74,9.013B,9.074B,0.18
2019-09,22.81B,22.81B,1.136B,11.98B,13.12B,,,,13.12B,0.00,12.19B,6.859B,1.082B,5.777B,,505.00M,5.777B,5.777B,438.00M,12.59B,0.57,,,0.57,0.57,0.56,,,0.56,0.56,9.304B,9.353B,0.18
2019-06,23.08B,23.08B,1.237B,9.982B,11.22B,,,,11.22B,0.00,12.19B,8.959B,1.611B,7.348B,,239.00M,7.348B,7.348B,434.00M,14.99B,0.75,,,0.75,0.75,0.74,,,0.74,0.74,9.523B,9.560B,0.15
2019-03,23.00B,23.00B,1.104B,10.16B,11.26B,,,,11.26B,0.00,12.38B,8.767B,1.456B,7.311B,,442.00M,7.311B,7.311B,418.00M,14.56B,0.71,,,0.71,0.71,0.7,,,0.7,0.7,9.726B,9.787B,0.15
2018-12,22.68B,22.68B,1.221B,9.78B,11.00B,,,,11.00B,0.00,12.50B,8.698B,1.42B,7.278B,,239.00M,7.278B,7.278B,524.00M,14.03B,0.71,,,0.71,0.71,0.7,,,0.7,0.7,9.854B,9.994B,0.15
2018-09,22.72B,22.72B,1.108B,9.878B,10.99B,,,,10.99B,0.00,12.06B,8.994B,1.827B,7.167B,,466.00M,7.167B,7.167B,515.00M,13.90B,0.67,,,0.67,0.67,0.66,,,0.66,0.66,10.03B,10.17B,0.15
2018-06,22.55B,22.55B,1.101B,10.13B,11.23B,,,,11.23B,0.00,11.83B,8.498B,1.714B,6.784B,,318.00M,6.784B,6.784B,513.00M,13.04B,0.64,,,0.64,0.64,0.63,,,0.63,0.63,10.18B,10.31B,0.12
2018-03,23.07B,23.07B,1.101B,10.75B,11.85B,,,,11.85B,0.00,11.77B,8.394B,1.476B,6.918B,,428.00M,6.918B,6.918B,511.00M,12.22B,0.63,,,0.63,0.63,0.62,,,0.62,0.62,10.32B,10.47B,0.12
2017-12,20.21B,20.21B,3.552B,7.042B,10.59B,,,,10.59B,0.00,12.03B,6.161B,3.796B,2.365B,,286.00M,2.365B,2.365B,515.00M,9.193B,0.2,,,0.2,0.2,0.2,,,0.2,0.2,10.47B,10.62B,0.12
2017-09,21.84B,21.84B,461.00M,11.04B,11.50B,,,,11.50B,0.00,11.16B,7.611B,2.187B,5.424B,,465.00M,5.424B,5.424B,523.00M,11.11B,0.49,,,0.49,0.49,0.46,,,0.46,0.46,10.20B,10.75B,0.12
2017-06,22.83B,22.83B,442.00M,11.63B,12.07B,,,,12.07B,0.00,10.99B,8.121B,3.015B,5.106B,,361.00M,5.106B,5.106B,531.00M,11.28B,0.47,,,0.47,0.47,0.44,,,0.44,0.44,10.01B,10.83B,0.075
2017-03,22.25B,22.25B,332.00M,11.87B,12.20B,,,,12.20B,0.00,11.06B,7.32B,1.983B,5.337B,,502.00M,5.337B,5.337B,534.00M,9.972B,0.48,,,0.48,0.48,0.45,,,0.45,0.45,10.10B,10.92B,0.075
2016-12,19.99B,19.99B,460.00M,11.43B,11.89B,,,,11.89B,-490.00M,10.29B,5.923B,1.311B,4.612B,,361.00M,4.612B,4.612B,549.00M,8.496B,0.43,,,0.43,0.43,0.4,,,0.4,0.4,10.20B,11.05B,0.075
2016-09,21.64B,21.64B,410.00M,10.91B,11.32B,181.00M,,,11.50B,51.00M,10.20B,7.304B,2.349B,4.955B,,503.00M,4.955B,4.955B,564.00M,9.713B,0.43,,,0.43,0.43,0.41,,,0.41,0.41,10.25B,11.00B,0.075
2016-06,21.29B,21.29B,414.00M,10.93B,11.35B,186.00M,,,11.53B,249.00M,10.12B,6.817B,2.034B,4.783B,,361.00M,4.783B,4.783B,562.00M,9.273B,0.43,,,0.43,0.43,0.41,,,0.41,0.41,10.33B,11.06B,0.05
2016-03,20.79B,20.79B,419.00M,12.29B,12.71B,187.00M,,,12.90B,190.00M,10.48B,4.977B,1.505B,3.472B,,457.00M,3.472B,3.472B,566.00M,7.50B,0.29,,,0.29,0.29,0.28,,,0.28,0.28,10.37B,11.10B,0.05
2015-12,19.49B,19.49B,481.00M,11.11B,11.59B,202.00M,,,11.80B,270.00M,9.756B,4.847B,1.511B,3.336B,,330.00M,3.336B,3.336B,583.00M,7.744B,0.29,,,0.29,0.29,0.28,,,0.28,0.28,10.40B,11.15B,0.05
2015-09,20.99B,20.99B,445.00M,11.09B,11.53B,207.00M,,,11.74B,437.00M,9.90B,6.247B,1.628B,4.619B,,441.00M,4.619B,4.619B,595.00M,8.743B,0.4,,,0.4,0.4,0.38,,,0.38,0.38,10.44B,11.20B,0.05
2015-06,21.96B,21.96B,445.00M,11.28B,11.72B,212.00M,,,11.94B,168.00M,10.46B,7.218B,2.084B,5.134B,,330.00M,5.134B,5.134B,603.00M,9.862B,0.46,,,0.46,0.46,0.43,,,0.43,0.43,10.49B,11.24B,0.05
2015-03,20.91B,20.91B,440.00M,13.21B,13.65B,213.00M,,,13.87B,268.00M,9.411B,4.322B,1.225B,3.097B,,382.00M,3.097B,3.097B,608.00M,6.834B,0.26,,,0.26,0.26,0.25,,,0.25,0.25,10.52B,11.27B,0.05
2014-12,21.52B,21.52B,491.00M,11.81B,12.30B,228.00M,,,12.53B,290.00M,10.46B,5.418B,1.681B,3.737B,,312.00M,3.737B,3.737B,642.00M,7.936B,0.26,,,0.26,0.26,0.25,,,0.25,0.25,10.52B,10.57B,0.05
2014-09,21.20B,21.20B,446.00M,17.27B,17.71B,234.00M,,,17.95B,432.00M,10.22B,431.00M,663.00M,-232.00M,,238.00M,-232.00M,-232.00M,625.00M,3.07B,-0.04,,,-0.04,-0.04,-0.04,,,-0.04,-0.04,10.52B,10.52B,0.05
2014-06,21.39B,21.39B,450.00M,15.62B,16.07B,235.00M,,,16.30B,382.00M,10.01B,2.795B,504.00M,2.291B,,256.00M,2.291B,2.291B,626.00M,5.723B,0.19,,,0.19,0.19,0.19,,,0.19,0.19,10.52B,11.27B,0.01
2014-03,21.78B,21.78B,442.00M,19.34B,19.78B,239.00M,,,20.02B,377.00M,10.08B,-681.00M,-405.00M,-276.00M,,238.00M,-276.00M,-276.00M,629.00M,2.169B,-0.05,,,-0.05,-0.05,-0.05,,,-0.05,-0.05,10.56B,10.56B,0.01
2013-12,21.01B,21.01B,457.00M,14.10B,14.56B,266.00M,,,14.83B,390.00M,10.79B,3.845B,406.00M,3.439B,,256.00M,3.439B,3.439B,662.00M,6.771B,0.3,,,0.3,0.3,0.29,,,0.29,0.29,10.63B,11.39B,0.01
2013-09,20.35B,20.35B,511.00M,13.27B,13.78B,270.00M,,,14.05B,356.00M,10.27B,4.845B,2.348B,2.497B,,279.00M,2.497B,2.497B,658.00M,7.961B,0.21,,,0.21,0.21,0.2,,,0.2,0.2,10.72B,11.48B,0.01
2013-06,22.05B,22.05B,437.00M,12.97B,13.41B,274.00M,,,13.68B,457.00M,10.55B,5.498B,1.486B,4.012B,,441.00M,4.012B,4.012B,676.00M,8.774B,0.33,,,0.33,0.33,0.32,,,0.32,0.32,10.78B,11.52B,0.01
2013-03,22.63B,22.63B,429.00M,16.44B,16.87B,276.00M,,,17.15B,59.00M,10.66B,1.984B,501.00M,1.483B,,373.00M,1.483B,1.483B,687.00M,5.421B,0.1,,,0.1,0.1,0.1,,,0.1,0.1,10.80B,11.15B,0.01
2012-12,17.96B,17.96B,480.00M,14.87B,15.35B,309.00M,,,15.66B,223.00M,10.32B,-1.904B,-2.636B,732.00M,,365.00M,732.00M,732.00M,736.00M,1.743B,0.03,,,0.03,0.03,0.03,,,0.03,0.03,10.78B,10.88B,0.01
2012-09,20.19B,20.19B,479.00M,14.16B,14.64B,315.00M,,,14.95B,333.00M,9.938B,1.11B,770.00M,340.00M,,373.00M,340.00M,340.00M,752.00M,5.148B,-0.0031,,,-0.0031,-0.0031,-0.0031,,,-0.0031,-0.0031,10.78B,10.78B,0.01
2012-06,21.60B,21.60B,449.00M,13.69B,14.14B,321.00M,,,14.46B,394.00M,9.548B,3.147B,684.00M,2.463B,,365.00M,2.463B,2.463B,763.00M,7.591B,0.19,,,0.19,0.19,0.19,,,0.19,0.19,10.78B,11.56B,0.01
2012-03,21.51B,21.51B,465.00M,15.82B,16.29B,319.00M,,,16.60B,712.00M,10.85B,719.00M,66.00M,653.00M,,325.00M,653.00M,653.00M,787.00M,5.334B,0.03,,,0.03,0.03,0.03,,,0.03,0.03,10.65B,10.76B,0.01
2011-12,17.31B,17.31B,523.00M,16.58B,17.10B,365.00M,,-682.00M,16.79B,-3.24B,10.70B,2.432B,441.00M,1.991B,,407.00M,1.991B,2.549B,845.00M,7.144B,0.16,,,0.2143,0.16,0.16,,,0.212,0.16,10.28B,10.73B,0.01
2011-09,28.54B,28.54B,556.00M,13.35B,13.91B,377.00M,616.00M,-176.00M,14.11B,2.183B,10.49B,7.433B,1.201B,6.232B,,343.00M,6.232B,6.380B,871.00M,12.80B,0.58,0.0,,0.5946,0.58,0.56,0.0,,0.5741,0.56,10.12B,10.46B,0.01
2011-06,12.07B,12.07B,560.00M,16.55B,17.11B,382.00M,,-2.807B,14.68B,899.00M,11.25B,-12.88B,-4.049B,-8.826B,,301.00M,-8.826B,-6.902B,877.00M,-7.073B,-0.9,0.0,,-0.7094,-0.9,-0.9,0.0,,-0.7094,-0.9,10.09B,10.09B,0.01
2011-03,25.49B,25.49B,564.00M,16.69B,17.26B,385.00M,,-290.00M,17.35B,546.00M,12.18B,2.78B,731.00M,2.049B,,310.00M,2.049B,2.263B,892.00M,8.523B,0.17,0.0,,0.1912,0.17,0.17,0.0,,0.191,0.17,10.08B,10.18B,0.01
2010-12,20.04B,20.04B,484.00M,14.89B,15.37B,420.00M,,-1.52B,14.27B,-95.00M,12.44B,-3.595B,-2.351B,-1.244B,,321.00M,-1.244B,-256.00M,950.00M,2.256B,-0.16,,,-0.0616,-0.16,-0.16,,,-0.0616,-0.16,10.04B,10.04B,0.01
2010-09,26.47B,26.47B,497.00M,13.05B,13.55B,426.00M,,-10.94B,3.031B,883.00M,12.44B,-5.912B,1.387B,-7.299B,,348.00M,-7.299B,-185.40M,964.00M,-138.00M,-0.77,0.0,,-0.057,-0.77,-0.77,0.0,,-0.057,-0.77,9.976B,9.976B,0.01
2010-06,26.51B,26.51B,495.00M,13.37B,13.87B,439.00M,,-634.00M,13.67B,37.00M,12.90B,3.795B,672.00M,3.123B,,340.00M,3.123B,3.645B,986.00M,10.01B,0.28,0.0,,0.3324,0.28,0.27,0.0,,0.322,0.27,9.957B,10.03B,0.01
2010-03,31.94B,31.94B,487.00M,14.02B,14.51B,446.00M,,-1.122B,13.83B,734.00M,13.75B,4.389B,1.207B,3.182B,,348.00M,3.182B,3.995B,1.012B,10.52B,0.28,0.0,,0.3686,0.28,0.28,0.0,,0.3613,0.28,9.177B,10.01B,0.01
2009-12,20.78B,20.78B,443.00M,12.27B,12.71B,432.00M,,-1.175B,11.97B,1.039B,11.56B,-1.419B,-1.225B,-194.00M,,5.002B,-194.00M,569.75M,1.013B,4.667B,-0.68,0.0,,-0.5916,-0.68,-0.68,0.0,,-0.5916,-0.68,8.644B,8.644B,0.01
2009-09,26.27B,26.27B,470.00M,12.33B,12.80B,510.00M,,-1.391B,11.92B,1.554B,11.42B,-1.976B,-975.00M,-1.001B,,1.24B,-1.001B,-96.85M,1.096B,5.124B,-0.26,0.0,,-0.1553,-0.26,-0.26,0.0,,-0.1553,-0.26,8.634B,8.634B,0.01
2009-06,27.86B,27.86B,499.00M,12.80B,13.30B,516.00M,,-1.855B,11.96B,2.796B,11.63B,2.379B,-845.00M,3.224B,,805.00M,3.224B,4.430B,1.107B,10.34B,0.33,0.0,,0.4965,0.33,0.33,0.0,,0.4959,0.33,7.242B,7.270B,0.01
2009-03,34.93B,34.93B,521.00M,13.04B,13.56B,520.00M,,-1.136B,12.95B,6.699B,12.50B,5.376B,1.129B,4.247B,,1.433B,4.247B,5.144B,1.098B,15.04B,0.44,0.0,,0.5809,0.44,0.44,0.0,,0.5804,0.44,6.371B,6.393B,0.01
2008-12,17.93B,17.93B,555.00M,7.638B,8.193B,477.00M,,-1.769B,6.901B,1.124B,13.11B,-3.802B,-2.013B,-1.789B,,603.00M,-1.789B,-639.15M,888.00M,4.694B,-0.55,0.0,,-0.3182,-0.55,-0.55,0.0,,-0.3182,-0.55,4.960B,4.960B,0.32
2008-09,20.86B,20.86B,605.00M,8.554B,9.159B,464.00M,,-1.169B,8.454B,0.00,11.64B,1.511B,334.00M,1.177B,,473.00M,1.177B,2.088B,862.00M,12.06B,0.15,0.0,,0.3504,0.15,0.15,0.0,,0.3502,0.15,4.544B,4.548B,0.64
2008-06,20.32B,20.32B,571.00M,4.42B,4.991B,,,-212.00M,4.779B,127.00M,10.62B,4.921B,1.511B,3.41B,,186.00M,3.41B,3.557B,795.00M,14.33B,0.73,0.0,,0.7631,0.73,0.72,0.0,,0.753,0.72,4.436B,4.457B,0.64
2008-03,17.00B,17.00B,637.00M,4.726B,5.363B,,,-170.00M,5.193B,-504.00M,9.991B,1.798B,588.00M,1.21B,,190.00M,1.21B,1.324B,774.00M,13.67B,0.23,0.0,,0.2558,0.23,0.23,0.0,,0.2556,0.23,4.428B,4.461B,0.64
2007-12,9.122B,9.122B,712.00M,13.55B,14.26B,,,-140.00M,14.12B,-289.00M,9.172B,-915.00M,-1.183B,268.00M,,53.00M,268.00M,359.00M,799.00M,13.39B,0.02,0.0,,0.0406,0.02,0.02,0.0,,0.0406,0.02,4.422B,4.422B,0.64
2007-09,16.10B,16.10B,552.00M,4.169B,4.721B,,,-84.00M,4.637B,7.00M,8.615B,5.356B,1.658B,3.698B,,43.00M,3.698B,3.756B,710.00M,18.77B,0.83,0.0,,0.8431,0.83,0.82,0.0,,0.833,0.82,4.421B,4.476B,0.64
2007-06,19.62B,19.62B,537.00M,4.737B,5.274B,,,-75.00M,5.199B,2.00M,8.389B,8.66B,2.899B,5.761B,,40.00M,5.761B,5.811B,671.00M,21.50B,1.29,0.0,,1.301,1.29,1.28,0.0,,1.291,1.28,4.419B,4.477B,0.56
