,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,32.92B,306.09B,,306.09B,61.68B,,61.68B,738.82B,10.90B,68.95B,,68.95B,959.61B,19.60B,,940.01B,839.90B,2.000T,2.738T,175.96B,175.96B,,17.86B,17.86B,17.86B,384.59B,255.72B,,255.72B,1.703T,41.73B,,2.085T,2.470T,109.38B,160.45B,,23.43B,,,-978.00M,268.85B
2020-06,33.92B,295.42B,,295.42B,55.39B,,55.39B,847.17B,10.79B,68.95B,,68.95B,1.006T,19.39B,,986.94B,698.33B,1.895T,2.742T,175.30B,175.30B,,18.00B,18.00B,18.00B,372.32B,261.64B,,261.64B,1.719T,42.51B,,2.104T,2.476T,109.22B,157.58B,,23.43B,,,-1.162B,265.64B
2020-03,30.05B,262.67B,,262.67B,69.24B,,69.24B,691.53B,10.79B,68.95B,,68.95B,1.059T,15.77B,,1.043T,669.18B,1.928T,2.620T,183.03B,183.03B,,30.12B,30.12B,30.12B,383.19B,256.71B,,256.71B,1.583T,54.66B,,1.972T,2.355T,109.17B,155.87B,,23.43B,,,-120.00M,264.92B
2019-12,30.15B,168.67B,,168.67B,55.94B,,55.94B,539.69B,10.56B,68.95B,,68.95B,992.58B,9.416B,,983.17B,702.02B,1.894T,2.434T,182.80B,182.80B,,24.20B,24.20B,24.20B,372.11B,240.86B,,240.86B,1.435T,38.23B,,1.797T,2.169T,115.12B,156.32B,,23.40B,,,-6.633B,264.81B
2019-09,26.94B,164.65B,,164.65B,52.56B,,52.56B,533.93B,10.49B,68.95B,,68.95B,982.72B,9.433B,,973.29B,708.28B,1.892T,2.426T,172.29B,172.29B,,30.68B,30.68B,30.68B,405.04B,243.40B,,243.40B,1.393T,38.02B,,1.753T,2.158T,122.82B,151.18B,,23.61B,,,-5.617B,268.39B
2019-06,29.41B,180.09B,,180.09B,53.33B,,53.33B,526.40B,10.43B,68.95B,,68.95B,969.22B,9.527B,,959.69B,698.06B,1.869T,2.396T,168.66B,168.66B,,27.24B,27.24B,27.24B,390.85B,238.01B,,238.01B,1.375T,38.38B,,1.734T,2.124T,131.31B,147.58B,,24.69B,,,-7.477B,271.41B
2019-03,28.08B,181.10B,,181.10B,53.50B,,53.50B,544.01B,10.25B,68.95B,,68.95B,951.91B,9.577B,,942.34B,679.74B,1.833T,2.377T,173.68B,173.68B,,14.01B,14.01B,14.01B,376.14B,233.93B,,233.93B,1.379T,36.34B,,1.734T,2.110T,135.16B,141.89B,,22.33B,,,-10.04B,267.01B
2018-12,29.06B,184.90B,,184.90B,65.81B,,65.81B,555.57B,9.906B,68.95B,,68.95B,957.26B,9.601B,,947.66B,656.10B,1.799T,2.355T,165.03B,165.03B,,20.19B,20.19B,20.19B,372.20B,229.39B,,229.39B,1.381T,37.89B,,1.717T,2.089T,141.22B,136.31B,,22.33B,,,-12.21B,265.32B
2018-09,27.44B,192.72B,,192.72B,56.96B,,56.96B,543.54B,9.68B,68.95B,,68.95B,935.38B,9.734B,,925.64B,665.22B,1.795T,2.339T,170.14B,170.14B,,29.04B,29.04B,29.04B,370.77B,234.10B,,234.10B,1.346T,36.19B,,1.706T,2.077T,146.25B,130.75B,,22.33B,,,-14.84B,262.16B
2018-06,29.36B,179.41B,,179.41B,57.81B,,57.81B,508.92B,9.537B,68.95B,,68.95B,942.34B,10.05B,,932.28B,641.69B,1.783T,2.292T,152.01B,152.01B,,40.62B,40.62B,40.62B,370.54B,226.60B,,226.60B,1.310T,33.60B,,1.657T,2.027T,152.00B,125.55B,,23.18B,,,-13.33B,264.22B
2018-03,26.25B,212.31B,,212.31B,58.13B,,58.13B,562.94B,9.399B,68.95B,,68.95B,943.30B,10.26B,,933.04B,625.31B,1.766T,2.328T,150.62B,150.62B,,38.07B,38.07B,38.07B,367.22B,232.26B,,232.26B,1.329T,33.90B,,1.695T,2.062T,158.20B,120.30B,,24.67B,,,-12.28B,266.22B
2017-12,29.48B,168.59B,,168.59B,61.62B,,61.62B,480.72B,9.247B,68.95B,,68.95B,948.18B,10.39B,,937.79B,649.49B,1.801T,2.281T,152.12B,152.12B,,32.67B,32.67B,32.67B,361.65B,227.40B,,227.40B,1.310T,34.30B,,1.652T,2.014T,160.41B,113.82B,,22.32B,,,-7.082B,267.15B
2017-09,30.82B,181.87B,,181.87B,55.86B,,55.86B,493.33B,8.971B,68.97B,4.865B,73.83B,940.36B,10.69B,,929.67B,649.53B,1.791T,2.284T,157.67B,157.67B,,32.68B,32.68B,32.68B,380.14B,228.67B,,228.67B,1.284T,31.78B,,1.631T,2.011T,165.14B,113.49B,,22.32B,,,-6.168B,272.46B
