,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,374.93M,22.14M,397.07M,494.43M,494.43M,134.53M,20.18M,172.24M,326.95M,,73.22M,1.292B,,,,,556.48M,,556.48M,,556.48M,431.08M,255.17M,686.25M,144.89M,1.388B,2.679B,60.36M,60.44M,120.80M,10.26M,131.06M,150.00M,,,150.00M,26.74M,176.74M,211.35M,211.35M,,157.02M,722.19M,1.421B,62.47M,1.484B,,,65.00M,92.92M,1.999B,2.721B,1.614M,6.890B,1.983B,8.789B,,-126.68M,-41.58M
2020-06,339.04M,16.72M,355.76M,496.28M,496.28M,139.45M,15.88M,188.68M,344.01M,,73.39M,1.269B,,,,,547.79M,,547.79M,,547.79M,427.49M,248.99M,676.48M,154.60M,1.379B,2.648B,50.32M,87.84M,138.17M,10.11M,148.28M,150.00M,,,150.00M,26.86M,176.86M,213.40M,213.40M,,125.45M,697.32M,1.546B,63.83M,1.610B,,,62.50M,113.63M,2.143B,2.840B,1.613M,6.763B,1.959B,8.789B,,-126.89M,-191.74M
2020-03,390.06M,3.81M,393.87M,522.21M,522.21M,128.02M,19.36M,196.63M,344.01M,,67.69M,1.328B,,,,,530.08M,,530.08M,,530.08M,423.79M,243.39M,667.18M,141.48M,1.339B,2.667B,61.06M,46.88M,107.93M,11.02M,118.95M,50.00M,,,50.00M,28.00M,78.00M,218.21M,218.21M,,113.24M,551.05M,1.846B,63.61M,1.910B,,,55.08M,94.04M,2.453B,3.005B,1.613M,6.640B,1.948B,8.789B,,-138.42M,-338.00M
2019-12,335.72M,1.429M,337.14M,587.73M,587.73M,126.85M,15.46M,178.24M,320.55M,,67.06M,1.312B,0.0,37.04M,355.42M,537.21M,93.36M,57.98M,1.081B,-570.32M,510.70M,356.13M,240.20M,596.33M,137.53M,1.245B,2.557B,49.00M,45.97M,94.97M,11.96M,106.93M,100.00M,0.366M,,100.37M,27.12M,127.49M,176.36M,176.36M,,137.08M,591.33M,1.581B,66.88M,1.648B,,,59.16M,80.60M,2.182B,2.773B,1.61M,6.587B,1.927B,8.613B,,-119.47M,-216.28M
2019-09,404.65M,0.00,404.65M,504.86M,504.86M,126.33M,20.70M,221.76M,368.79M,,65.60M,1.344B,,,,,466.61M,,466.61M,,466.61M,353.94M,237.61M,591.55M,159.20M,1.217B,2.561B,64.80M,49.58M,114.38M,29.49M,143.87M,100.00M,0.058M,,100.06M,23.94M,123.99M,197.40M,197.40M,,98.84M,597.15M,1.256B,61.37M,1.317B,,,55.39M,82.39M,1.849B,2.446B,1.609M,6.387B,1.898B,8.051B,,-119.58M,115.50M
2019-06,588.00M,87.78M,675.77M,518.52M,518.52M,120.60M,17.28M,213.67M,351.55M,,74.56M,1.620B,,,,,459.94M,,459.94M,,459.94M,355.89M,244.09M,599.98M,142.60M,1.203B,2.823B,67.40M,38.52M,105.91M,21.46M,127.37M,100.00M,0.295M,,100.30M,25.11M,125.40M,220.71M,220.71M,,101.75M,611.70M,1.048B,66.71M,1.115B,,,55.82M,90.75M,1.655B,2.267B,1.608M,6.249B,1.884B,7.463B,,-115.10M,556.24M
2019-03,684.97M,482.29M,1.167B,508.28M,508.28M,119.10M,18.31M,195.89M,333.31M,,68.94M,2.078B,,,,,450.64M,,450.64M,,450.64M,356.63M,243.42M,600.05M,121.24M,1.172B,3.250B,72.37M,19.85M,92.22M,36.67M,128.89M,100.00M,0.263M,,100.26M,26.93M,127.19M,222.26M,222.26M,,93.37M,603.28M,1.048B,67.79M,1.116B,,,56.38M,75.04M,1.679B,2.282B,1.608M,6.104B,1.872B,6.902B,,-108.64M,967.74M
2018-12,796.28M,938.94M,1.735B,568.32M,568.32M,111.64M,15.55M,164.38M,291.57M,,68.05M,2.663B,0.0,36.55M,299.10M,494.30M,,41.91M,871.87M,-528.78M,343.08M,355.61M,246.90M,602.52M,118.66M,1.064B,3.727B,68.17M,22.94M,91.11M,12.30M,103.41M,,0.178M,,0.178M,0.00,0.178M,164.96M,164.96M,,115.83M,448.93M,1.148B,0.00,1.148B,,,55.85M,76.35M,1.711B,2.160B,1.605M,5.995B,1.835B,6.146B,,-117.97M,1.567B
2018-09,689.37M,1.395B,2.084B,489.19M,489.19M,112.59M,18.84M,182.19M,313.61M,,83.70M,2.971B,,,,,338.47M,,338.47M,,338.47M,357.87M,252.83M,610.70M,123.11M,1.072B,4.043B,65.81M,59.30M,125.11M,12.19M,137.31M,0.00,0.284M,,0.284M,,0.284M,186.48M,186.48M,,84.19M,448.12M,1.148B,,1.148B,,,63.70M,77.13M,1.719B,2.167B,1.604M,5.810B,1.815B,5.625B,,-125.79M,1.876B
2018-06,742.20M,1.506B,2.248B,492.83M,492.83M,107.69M,16.46M,175.45M,299.60M,,83.09M,3.124B,,,,,335.71M,,335.71M,,335.71M,357.51M,218.18M,575.68M,122.35M,1.034B,4.158B,71.19M,64.42M,135.62M,12.50M,148.11M,0.00,0.499M,,0.499M,,0.499M,203.72M,203.72M,,85.86M,474.92M,1.148B,,1.148B,,,67.63M,74.88M,1.708B,2.183B,1.603M,5.669B,1.799B,5.361B,,-132.90M,1.975B
2018-03,716.52M,1.835B,2.552B,502.97M,502.97M,104.71M,18.88M,176.02M,299.61M,,84.12M,3.439B,,,,,349.32M,,349.32M,,349.32M,362.33M,231.73M,594.06M,107.50M,1.051B,4.489B,70.64M,100.26M,170.90M,12.63M,183.53M,0.00,0.354M,,0.354M,,0.354M,214.98M,214.98M,,103.69M,534.35M,1.248B,,1.248B,,,67.53M,67.96M,1.840B,2.375B,1.602M,5.513B,1.779B,5.091B,,-88.63M,2.115B
2017-12,642.32M,2.751B,3.394B,533.82M,533.82M,99.03M,15.32M,155.94M,270.29M,,72.31M,4.270B,0.0,37.52M,294.22M,484.48M,,22.14M,838.36M,-489.08M,349.28M,359.82M,228.40M,588.21M,116.73M,1.054B,5.324B,64.54M,73.01M,137.54M,13.03M,150.57M,100.00M,0.273M,,100.27M,,100.27M,166.84M,166.84M,,119.45M,606.16M,1.898B,,1.898B,,,67.33M,62.62M,2.484B,3.091B,1.598M,5.405B,1.745B,4.808B,,-110.07M,2.234B
2017-09,603.81M,2.651B,3.255B,456.33M,456.33M,99.83M,20.20M,177.82M,297.85M,,69.38M,4.079B,,,,,342.83M,,342.83M,,342.83M,359.38M,224.06M,583.43M,158.20M,1.084B,5.163B,66.75M,24.36M,91.11M,12.86M,103.96M,225.42M,,,225.42M,,225.42M,185.52M,185.52M,,105.22M,662.15M,1.732B,,1.732B,,,69.67M,62.05M,1.872B,2.534B,1.596M,5.759B,1.711B,4.721B,,-120.43M,2.629B
2017-06,567.26M,2.559B,3.126B,462.81M,462.81M,95.16M,16.97M,175.01M,287.14M,,71.34M,3.947B,,,,,338.86M,,338.86M,,338.86M,357.12M,219.09M,576.21M,134.44M,1.050B,4.997B,71.06M,1.405M,72.46M,12.86M,85.32M,225.23M,,,225.23M,,225.23M,208.61M,208.61M,,99.99M,653.29M,1.687B,,1.687B,,,72.38M,56.52M,1.825B,2.478B,1.594M,5.622B,1.684B,4.642B,,-147.78M,2.519B
2017-03,584.44M,2.382B,2.966B,461.76M,461.76M,91.98M,17.60M,170.40M,279.98M,,70.23M,3.778B,,,,,334.38M,,334.38M,,334.38M,353.80M,211.05M,564.84M,133.05M,1.032B,4.811B,66.93M,2.892M,69.82M,13.00M,82.82M,225.28M,,,225.28M,,225.28M,201.98M,201.98M,,92.26M,632.21M,1.642B,,1.642B,,,72.56M,59.23M,1.784B,2.416B,1.592M,5.491B,1.654B,4.565B,,-186.54M,2.395B
2016-12,505.63M,2.307B,2.813B,489.34M,489.34M,95.43M,16.58M,150.67M,262.68M,,70.39M,3.635B,0.0,35.72M,274.02M,438.60M,,20.20M,768.55M,-431.43M,337.12M,352.08M,207.06M,559.14M,130.36M,1.027B,4.662B,67.74M,15.24M,82.98M,13.39M,96.38M,,125.30M,,125.30M,,125.30M,148.84M,148.84M,,92.35M,520.32M,1.702B,,1.702B,,,72.57M,54.80M,1.840B,2.360B,1.586M,5.385B,1.607B,4.476B,,-216.28M,2.302B
2016-09,430.21M,2.283B,2.713B,441.77M,441.77M,97.35M,20.08M,185.75M,303.18M,,76.40M,3.534B,,,,,329.72M,,329.72M,,329.72M,356.45M,221.62M,578.06M,134.63M,1.042B,4.577B,67.76M,13.61M,81.38M,13.54M,94.91M,125.18M,,,125.18M,,125.18M,174.72M,174.72M,,83.24M,519.50M,1.657B,,1.657B,,,66.49M,63.48M,1.798B,2.318B,1.586M,5.211B,1.594B,4.392B,,-155.40M,2.259B
2016-06,463.38M,2.136B,2.600B,445.95M,445.95M,94.17M,18.24M,174.04M,286.45M,,73.75M,3.406B,,,,,330.24M,,330.24M,,330.24M,352.99M,217.39M,570.38M,141.52M,1.042B,4.448B,66.12M,7.296M,73.41M,12.93M,86.34M,125.26M,,,125.26M,,125.26M,190.90M,190.90M,,84.52M,522.60M,1.632B,,1.632B,,,70.76M,61.37M,1.776B,2.299B,1.581M,5.086B,1.541B,4.322B,,-156.93M,2.149B
2016-03,416.39M,2.089B,2.505B,439.58M,439.58M,92.70M,21.81M,172.54M,287.05M,,78.82M,3.311B,,,,,336.80M,,336.80M,,336.80M,356.88M,223.36M,580.24M,140.73M,1.058B,4.368B,73.29M,10.77M,84.06M,12.83M,96.90M,125.50M,,,125.50M,,125.50M,190.60M,190.60M,,80.08M,524.03M,1.593B,,1.593B,,,70.97M,65.15M,1.743B,2.267B,1.579M,4.958B,1.516B,4.245B,,-127.95M,2.102B
2015-12,487.66M,1.912B,2.399B,468.32M,468.32M,88.62M,20.90M,153.89M,263.42M,,82.54M,3.214B,0.0,38.74M,265.30M,380.02M,,20.48M,704.53M,-371.17M,333.36M,356.86M,218.02M,574.89M,146.90M,1.055B,4.269B,70.57M,14.89M,85.47M,13.35M,98.82M,50.00M,125.32M,-0.013M,175.31M,,175.31M,141.50M,141.50M,,93.79M,564.08M,1.493B,,1.493B,,,77.06M,60.78M,1.646B,2.210B,1.577M,4.864B,1.490B,4.150B,,-146.73M,2.059B
2015-09,459.52M,1.851B,2.311B,416.31M,416.31M,94.23M,21.81M,165.75M,281.79M,,85.02M,3.094B,,,,,325.55M,,325.55M,,325.55M,352.15M,222.81M,574.96M,126.89M,1.027B,4.121B,61.71M,5.388M,67.10M,13.11M,80.20M,175.18M,,,175.18M,,175.18M,157.99M,157.99M,,82.77M,535.95M,1.455B,,1.455B,,,77.35M,64.90M,1.617B,2.153B,1.573M,4.713B,1.452B,4.070B,,-126.82M,1.969B
2015-06,365.88M,1.843B,2.209B,406.58M,406.58M,92.23M,21.21M,159.49M,272.93M,,118.55M,3.007B,,,,,324.90M,,324.90M,,324.90M,353.34M,223.16M,576.50M,120.49M,1.022B,4.029B,65.01M,22.41M,87.42M,13.04M,100.46M,175.30M,,,175.30M,,175.30M,170.66M,170.66M,,75.85M,546.69M,1.385B,,1.385B,,,83.12M,61.01M,1.550B,2.096B,1.572M,4.596B,1.439B,3.986B,,-118.27M,1.933B
2015-03,440.80M,1.668B,2.109B,394.37M,394.37M,85.94M,19.51M,152.07M,257.53M,,115.03M,2.876B,,,,,316.81M,,316.81M,,316.81M,350.02M,213.11M,563.13M,116.81M,996.75M,3.873B,63.95M,19.40M,83.36M,12.87M,96.23M,175.32M,,,175.32M,,175.32M,167.34M,167.34M,,70.63M,538.47M,1.31B,,1.31B,,,84.24M,56.46M,1.472B,2.010B,1.57M,4.491B,1.415B,3.906B,,-138.38M,1.862B
2014-12,422.18M,1.633B,2.055B,433.62M,433.62M,84.95M,16.75M,144.73M,246.43M,,81.61M,2.817B,0.0,39.69M,256.60M,367.72M,,20.61M,684.61M,-363.03M,321.58M,354.84M,229.82M,584.66M,151.40M,1.058B,3.875B,65.70M,15.14M,80.85M,13.27M,94.11M,225.23M,,,225.23M,,225.23M,129.71M,129.71M,,84.24M,580.49M,1.237B,,1.237B,,,85.23M,56.45M,1.400B,1.980B,1.567M,4.395B,1.392B,3.815B,,-78.70M,1.895B
2014-09,356.97M,1.589B,1.946B,393.17M,393.17M,89.04M,19.46M,160.59M,269.10M,,90.79M,2.699B,,,,,322.92M,,322.92M,,322.92M,358.46M,241.65M,600.12M,129.22M,1.052B,3.752B,60.27M,14.69M,74.96M,12.48M,87.44M,225.01M,,,225.01M,,225.01M,147.33M,147.33M,,80.23M,574.48M,1.205B,,1.205B,,,57.94M,50.40M,1.335B,1.910B,1.562M,4.243B,1.346B,3.739B,,-10.08M,1.842B
2014-06,428.69M,1.489B,1.918B,401.92M,401.92M,88.05M,20.32M,164.39M,272.76M,,88.36M,2.681B,,,,,328.60M,,328.60M,,328.60M,354.08M,237.06M,591.14M,127.18M,1.047B,3.728B,65.09M,3.959M,69.04M,12.48M,81.52M,233.40M,,,233.40M,,233.40M,164.18M,164.18M,,84.88M,594.59M,1.16B,,1.16B,,,59.88M,46.17M,1.289B,1.884B,1.561M,4.130B,1.336B,3.663B,,39.08M,1.843B
2014-03,395.38M,1.458B,1.853B,401.41M,401.41M,88.50M,21.26M,156.87M,266.63M,,86.48M,2.608B,,,,,329.88M,,329.88M,,329.88M,353.47M,238.26M,591.73M,120.42M,1.042B,3.650B,73.18M,3.553M,76.73M,12.80M,89.53M,232.10M,,,232.10M,,232.10M,161.88M,161.88M,,74.23M,584.45M,1.10B,,1.10B,,,76.75M,44.57M,1.246B,1.830B,1.56M,4.033B,1.322B,3.570B,,32.46M,1.819B
2013-12,440.80M,1.363B,1.804B,430.98M,430.98M,76.93M,19.66M,146.21M,242.80M,,78.80M,2.556B,0.0,37.16M,205.64M,336.14M,,80.42M,659.35M,-334.42M,324.93M,350.35M,239.11M,589.46M,111.98M,1.026B,3.583B,64.96M,19.77M,84.73M,12.96M,97.69M,0.00,133.35M,,133.35M,,133.35M,128.06M,128.06M,,85.13M,487.53M,1.19B,,1.19B,,,74.72M,41.76M,1.332B,1.819B,1.552M,3.963B,1.271B,3.478B,,5.879M,1.763B
2013-09,431.00M,1.268B,1.699B,373.84M,373.84M,81.38M,20.80M,154.80M,256.98M,,99.15M,2.429B,,,,,313.67M,,313.67M,,313.67M,340.39M,230.77M,571.17M,111.40M,996.24M,3.425B,62.75M,39.72M,102.47M,11.96M,114.43M,133.76M,,,133.76M,,133.76M,134.54M,134.54M,,79.95M,492.90M,1.16B,,1.16B,,,102.15M,32.58M,1.314B,1.807B,1.546M,3.821B,1.223B,3.402B,,-25.17M,1.619B
