,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2021-01,11.96B,11.96B,4.176B,7.784B,2.277B,484.00M,2.761B,1.527B,39.00M,,-234.00M,113.00M,161.00M,48.00M,4.327B,3.457B,161.00M,113.00M,48.00M,-250.00M,48.00M,3.255B,710.00M,2.545B,,2.545B,2.728B,3.804B,436.00M,3.368B,,0.60,,,0.6433,0.60,,0.60,,,0.6432,0.60,,4.223B,4.234B,0.36,,AOR,
2020-10,11.93B,11.93B,4.348B,7.581B,2.217B,544.00M,2.761B,1.612B,36.00M,,-602.00M,112.00M,174.00M,62.00M,4.409B,3.172B,174.00M,112.00M,62.00M,-553.00M,62.00M,2.681B,507.00M,2.174B,,2.174B,2.617B,3.244B,451.00M,2.793B,,0.51,,,0.6147,0.51,,0.51,,,0.6143,0.51,,4.23B,4.244B,0.36,,AOR,
2020-07,12.15B,12.15B,4.47B,7.684B,2.218B,494.00M,2.712B,1.565B,33.00M,,-127.00M,119.00M,187.00M,68.00M,4.31B,3.374B,187.00M,119.00M,68.00M,-136.00M,68.00M,3.306B,670.00M,2.636B,,2.636B,2.729B,3.869B,444.00M,3.425B,,0.62,,,0.6421,0.62,,0.62,,,0.6420,0.62,,4.227B,4.242B,0.36,,AOR,
2020-04,11.98B,11.98B,4.212B,7.771B,2.192B,457.00M,2.649B,1.546B,34.00M,,-128.00M,130.00M,218.00M,88.00M,4.229B,3.542B,218.00M,130.00M,88.00M,-186.00M,88.00M,3.444B,670.00M,2.774B,,2.774B,2.869B,4.02B,446.00M,3.574B,,0.66,,,0.6825,0.66,,0.65,,,0.6724,0.65,,4.23B,4.243B,0.36,,AOR,
2020-01,12.00B,12.00B,4.241B,7.764B,2.279B,455.00M,2.734B,1.57B,38.00M,,-42.00M,158.00M,242.00M,84.00M,4.342B,3.422B,242.00M,158.00M,84.00M,28.00M,84.00M,3.534B,656.00M,2.878B,,2.878B,2.837B,4.149B,457.00M,3.692B,,0.68,,,0.6704,0.68,,0.68,,,0.6704,0.68,,4.242B,4.26B,0.35,,AOR,
2019-10,13.16B,13.16B,4.695B,8.464B,2.48B,519.00M,2.999B,1.666B,36.00M,,-184.00M,178.00M,273.00M,95.00M,4.701B,3.763B,273.00M,178.00M,95.00M,-172.00M,95.00M,3.686B,760.00M,2.926B,,2.926B,3.056B,4.325B,461.00M,3.864B,,0.69,,,0.7207,0.69,,0.68,,,0.7105,0.68,,4.246B,4.273B,0.35,,AOR,Restated
2019-07,13.43B,13.43B,4.854B,8.574B,2.487B,566.00M,3.053B,1.753B,38.00M,,-40.00M,204.00M,305.00M,101.00M,4.844B,3.73B,305.00M,204.00M,101.00M,-127.00M,101.00M,3.704B,1.498B,2.206B,,2.206B,2.261B,4.372B,464.00M,3.908B,,0.52,,,0.5328,0.52,,0.51,,,0.5227,0.51,,4.272B,4.285B,0.35,,AOR,Restated
2019-04,12.96B,12.96B,4.785B,8.173B,2.403B,541.00M,2.944B,1.659B,39.00M,,-18.00M,211.00M,331.00M,120.00M,4.642B,3.531B,331.00M,211.00M,120.00M,-36.00M,120.00M,3.615B,571.00M,3.044B,,3.044B,3.064B,4.307B,481.00M,3.826B,,0.70,,,0.7046,0.70,,0.69,,,0.6946,0.69,,4.37B,4.415B,0.35,,AOR,Restated
2019-01,12.45B,12.45B,4.673B,7.773B,2.271B,509.00M,2.78B,1.557B,39.00M,,-186.00M,223.00M,328.00M,105.00M,4.376B,3.397B,328.00M,223.00M,105.00M,-159.00M,105.00M,3.343B,521.00M,2.822B,,2.822B,2.934B,4.053B,487.00M,3.566B,,0.63,,,0.6551,0.63,,0.63,,,0.6549,0.63,,4.47B,4.505B,0.33,,AOR,Restated
2018-10,13.07B,13.07B,4.926B,8.146B,2.41B,211.00M,2.621B,1.608B,34.00M,,-78.00M,221.00M,344.00M,123.00M,4.263B,3.883B,344.00M,221.00M,123.00M,-97.00M,123.00M,3.909B,360.00M,3.549B,,3.549B,3.625B,4.595B,465.00M,4.13B,,0.78,,,0.7967,0.78,,0.77,,,0.7865,0.77,,4.565B,4.614B,0.33,,AOR,Restated
2018-07,12.84B,12.84B,4.922B,7.922B,2.348B,543.00M,2.891B,1.626B,33.00M,,-26.00M,224.00M,353.00M,129.00M,4.55B,3.372B,353.00M,224.00M,129.00M,91.00M,129.00M,3.592B,-211.00M,3.803B,,3.803B,3.702B,4.332B,516.00M,3.816B,,0.81,,,0.7884,0.81,,0.81,,,0.7892,0.81,,4.672B,4.848B,0.33,,AOR,Restated
2018-04,12.46B,12.46B,4.704B,7.759B,2.325B,561.00M,2.886B,1.59B,67.00M,,-82.00M,237.00M,380.00M,143.00M,4.543B,3.216B,380.00M,237.00M,143.00M,-106.00M,143.00M,3.253B,562.00M,2.691B,,2.691B,2.754B,4.054B,564.00M,3.49B,,0.56,,,0.5731,0.56,,0.56,,,0.5730,0.56,,4.791B,4.844B,0.33,,AOR,Restated
2018-01,11.89B,11.89B,4.389B,7.498B,2.235B,483.00M,2.718B,1.549B,60.00M,,-98.00M,247.00M,396.00M,149.00M,4.327B,3.171B,396.00M,247.00M,149.00M,-88.00M,149.00M,3.232B,12.01B,-8.778B,,-8.778B,-8.750B,4.025B,546.00M,3.479B,,-1.78,,,-1.774,-1.78,,-1.78,,,-1.774,-1.78,,4.924B,4.924B,0.29,,AOR,Restated
2017-10,12.14B,12.14B,4.709B,7.427B,2.334B,557.00M,2.891B,1.567B,61.00M,,-152.00M,235.00M,379.00M,144.00M,4.519B,2.908B,379.00M,235.00M,144.00M,-90.00M,144.00M,2.962B,568.00M,2.394B,,2.394B,2.462B,3.763B,566.00M,3.197B,,0.48,,,0.4937,0.48,,0.48,,,0.4936,0.48,,4.959B,4.994B,0.29,,AOR,Restated
2017-07,12.13B,12.13B,4.587B,7.546B,2.318B,495.00M,2.813B,1.499B,58.00M,,-142.00M,222.00M,360.00M,138.00M,4.37B,3.176B,360.00M,222.00M,138.00M,-134.00M,138.00M,3.18B,756.00M,2.424B,,2.424B,2.524B,3.98B,578.00M,3.402B,,0.49,,,0.5100,0.49,,0.48,,,0.4999,0.48,,4.995B,5.028B,0.29,,AOR,Restated
2017-04,11.94B,11.94B,4.422B,7.518B,2.226B,487.00M,2.713B,1.507B,59.00M,,-70.00M,219.00M,354.00M,135.00M,4.279B,3.239B,354.00M,219.00M,135.00M,-183.00M,135.00M,3.191B,676.00M,2.515B,,2.515B,2.630B,3.97B,560.00M,3.41B,,0.50,,,0.5230,0.50,,0.50,,,0.5228,0.50,,5.005B,5.045B,0.29,,AOR,Restated
2017-01,11.58B,11.58B,4.304B,7.276B,2.222B,456.00M,2.678B,1.508B,64.00M,,-133.00M,222.00M,329.00M,107.00M,4.25B,3.026B,329.00M,222.00M,107.00M,-170.00M,107.00M,2.963B,615.00M,2.348B,,2.348B,2.479B,3.734B,549.00M,3.185B,,0.47,,,0.4962,0.47,,0.47,,,0.4961,0.47,,5.015B,5.04B,0.26,,AOR,Restated
2016-10,12.35B,12.35B,4.468B,7.884B,2.418B,555.00M,2.973B,1.545B,78.00M,,-411.00M,198.00M,295.00M,97.00M,4.596B,3.288B,295.00M,198.00M,97.00M,-432.00M,97.00M,2.953B,631.00M,2.322B,,2.322B,2.673B,3.75B,599.00M,3.151B,,0.46,,,0.5297,0.46,,0.46,,,0.5292,0.46,,5.027B,5.066B,0.26,,AOR,Restated
