,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2021-01,2.545B,-27.00M,-27.00M,436.00M,436.00M,29.00M,436.00M,,436.00M,300.00M,-124.00M,,-1.183B,47.00M,-23.00M,561.00M,-422.00M,2.974B,,-187.00M,5.00M,-182.00M,-28.00M,396.00M,-4.00M,182.00M,,0.00,0.00,0.00,305.00M,-997.00M,-692.00M,-1.521B,-1.521B,35.00M,-2.178B,,10.82B,978.00M,11.80B,,305.00M,,0.00,-997.00M,1.432B,60.00M,,AOR,
2020-10,2.174B,-59.00M,-59.00M,451.00M,451.00M,-120.00M,438.00M,,438.00M,1.693B,-21.00M,,-11.00M,-259.00M,7.00M,-210.00M,1.199B,4.096B,,-171.00M,4.00M,-167.00M,-869.00M,-1.674B,,-2.71B,,0.00,0.00,0.00,1.00M,-889.00M,-888.00M,-1.52B,-1.52B,35.00M,-2.373B,,11.81B,-987.00M,10.82B,,1.00M,,0.00,-889.00M,710.00M,160.00M,,AOR,
2020-07,2.636B,47.00M,47.00M,444.00M,444.00M,-141.00M,399.00M,,399.00M,-2.058B,-59.00M,,195.00M,-49.00M,535.00M,1.82B,384.00M,3.802B,,-208.00M,4.00M,-204.00M,-126.00M,829.00M,0.00,499.00M,,-1.50B,0.00,-1.50B,320.00M,-208.00M,112.00M,-1.525B,-1.525B,54.00M,-2.859B,,10.37B,1.442B,11.81B,,320.00M,0.00,-1.50B,-208.00M,433.00M,84.00M,,AOR,
2020-04,2.774B,-23.00M,-23.00M,446.00M,446.00M,-25.00M,391.00M,,391.00M,-338.00M,118.00M,,757.00M,15.00M,-290.00M,398.00M,660.00M,4.237B,,-171.00M,44.00M,-127.00M,2.00M,361.00M,0.00,236.00M,,0.00,0.00,0.00,1.00M,-1.093B,-1.092B,-1.519B,-1.519B,9.00M,-2.602B,,8.499B,1.871B,10.37B,,1.00M,0.00,0.00,-1.093B,388.00M,170.00M,,AOR,
2020-01,2.878B,-154.00M,-154.00M,457.00M,457.00M,47.00M,384.00M,,384.00M,831.00M,-9.00M,,-758.00M,71.00M,27.00M,30.00M,192.00M,3.80B,,-189.00M,127.00M,-62.00M,-9.00M,924.00M,-10.00M,843.00M,,-2.50B,0.00,-2.50B,332.00M,-1.107B,-775.00M,-1.486B,-1.486B,4.00M,-4.757B,,8.613B,-114.00M,8.499B,,332.00M,,-2.50B,-1.107B,1.286B,145.00M,,AOR,
2019-10,2.926B,-8.00M,-8.00M,461.00M,461.00M,81.00M,395.00M,,395.00M,661.00M,34.00M,,-375.00M,59.00M,-382.00M,-315.00M,-318.00M,3.587B,,-202.00M,4.00M,-198.00M,-160.00M,2.28B,,1.922B,,-2.72B,-3.47B,-6.19B,2.00M,-978.00M,-976.00M,-1.486B,-1.486B,-16.00M,-8.668B,,11.77B,-3.159B,8.613B,,2.00M,,-2.72B,-978.00M,1.009B,204.00M,,AOR,Restated
2019-07,2.206B,55.00M,55.00M,464.00M,464.00M,-69.00M,404.00M,,404.00M,-1.781B,132.00M,,1.106B,-219.00M,305.00M,1.331B,874.00M,3.942B,,-208.00M,7.00M,-201.00M,2.00M,2.888B,0.00,2.689B,,-810.00M,1.723B,913.00M,319.00M,-4.936B,-4.617B,-1.49B,-1.49B,62.00M,-5.132B,,10.27B,1.499B,11.77B,,319.00M,720.00M,-1.53B,-4.936B,495.00M,185.00M,,AOR,Restated
2019-04,3.044B,-2.00M,-2.00M,481.00M,481.00M,-24.00M,374.00M,,374.00M,-326.00M,202.00M,,419.00M,-84.00M,-242.00M,485.00M,454.00M,4.329B,,-228.00M,5.00M,-223.00M,-542.00M,6.371B,0.00,5.606B,,-3.72B,1.723B,-1.997B,9.00M,-6.067B,-6.058B,-1.519B,-1.519B,33.00M,-9.541B,,9.879B,394.00M,10.27B,,9.00M,1.53B,-5.25B,-6.067B,523.00M,282.00M,,AOR,Restated
2019-01,2.822B,-84.00M,-84.00M,487.00M,487.00M,-185.00M,389.00M,,389.00M,609.00M,-169.00M,,-536.00M,-357.00M,274.00M,525.00M,346.00M,3.797B,,-261.00M,8.00M,-253.00M,353.00M,3.779B,-12.00M,3.867B,,0.00,0.00,0.00,304.00M,-5.182B,-4.878B,-1.47B,-1.47B,77.00M,-6.271B,,8.486B,1.393B,9.879B,,304.00M,,0.00,-5.182B,1.099B,154.00M,,AOR,Restated
2018-10,3.549B,7.00M,7.00M,465.00M,465.00M,-72.00M,403.00M,,403.00M,1.165B,-34.00M,,-590.00M,-295.00M,-186.00M,-657.00M,-597.00M,3.763B,,-212.00M,2.00M,-210.00M,-1.977B,4.862B,,2.675B,,0.00,0.00,0.00,8.00M,-5.394B,-5.386B,-1.50B,-1.50B,-59.00M,-6.945B,,8.993B,-507.00M,8.486B,,8.00M,,0.00,-5.394B,869.00M,271.00M,,AOR,Restated
2018-07,3.803B,-163.00M,-163.00M,516.00M,516.00M,-113.00M,392.00M,,392.00M,-1.387B,45.00M,,-321.00M,201.00M,320.00M,837.00M,-305.00M,4.10B,,-214.00M,5.00M,-209.00M,-353.00M,8.641B,-3.00M,8.076B,,-2.50B,0.00,-2.50B,305.00M,-6.147B,-5.842B,-1.535B,-1.535B,-77.00M,-9.954B,,6.771B,2.222B,8.993B,,305.00M,0.00,-2.50B,-6.147B,579.00M,172.00M,,AOR,Restated
